SA4_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
201,0,37,4309,4349,77,568,3553,4202,2451,1844,3159,7452,4582,1333,2127,8043,5207,1204,2598,9003,5606,803,2552,8966,4750,399,1956,7104,2294,113,1006,3415,509,16,425,952,25474,6315,21695,53484,6,78,3906,3985,163,829,3200,4194,3176,1910,3004,8097,5012,1321,2594,8919,5574,1216,3254,10047,5555,731,3396,9689,4380,280,2945,7609,1600,57,2257,3917,244,7,1344,1596,25714,6431,25907,58059,6,109,8218,8334,238,1399,6757,8394,5627,3753,6167,15549,9598,2651,4720,16964,10776,2417,5857,19049,11163,1534,5953,18653,9132,681,4898,14711,3895,174,3265,7335,758,25,1773,2552,51195,12745,47604,111540
202,3,27,4243,4267,108,611,3165,3883,2412,1735,2959,7107,4447,1212,2002,7661,5027,1115,2507,8652,5521,801,2567,8891,4627,377,1876,6874,2378,97,983,3450,565,14,467,1045,25083,5981,20770,51833,12,88,3965,4058,183,850,2913,3943,3160,1805,2854,7819,4887,1298,2441,8630,5503,1106,3064,9669,5477,697,3298,9471,4136,312,2804,7252,1761,62,2112,3936,297,11,1198,1498,25413,6214,24655,56283,12,109,8207,8328,292,1455,6079,7832,5574,3537,5816,14924,9339,2508,4443,16284,10527,2215,5577,18318,11000,1497,5862,18357,8768,686,4674,14127,4133,160,3095,7387,860,26,1664,2548,50500,12194,45420,108119
203,6,42,7654,7702,144,857,6727,7727,5058,3333,6128,14520,9562,2278,3614,15454,9776,1696,4197,15663,9872,1205,3734,14808,8333,528,2553,11413,4200,149,1425,5774,1105,25,788,1915,48053,10114,36813,94977,12,102,7135,7241,306,1209,5745,7251,6635,3553,5675,15861,10240,2234,4479,16953,10323,1792,5386,17498,9847,1044,5371,16257,7602,418,4654,12666,3233,87,3783,7100,528,14,2348,2894,48712,10441,44573,103726,12,145,14789,14948,443,2059,12469,14973,11689,6886,11804,30382,19803,4510,8090,32405,20099,3487,9583,33160,19716,2246,9106,31065,15934,945,7203,24081,7433,238,5209,12880,1628,39,3138,4810,96764,20556,81384,198705
204,3,50,4438,4496,87,598,2835,3522,2378,1778,2784,6939,4661,1351,1973,7994,5839,1282,2844,9962,6686,964,2993,10643,5791,503,2309,8607,2869,144,1093,4105,704,20,514,1240,29028,6706,21769,57506,10,120,4050,4176,200,834,2177,3208,3236,1865,2613,7712,5211,1411,2469,9089,6284,1290,3241,10809,6895,865,3380,11135,5246,388,3014,8648,2041,68,2468,4577,310,22,1403,1736,29426,6855,24816,61093,9,170,8489,8669,294,1430,5012,6737,5612,3638,5395,14643,9876,2762,4445,17083,12122,2572,6078,20772,13577,1834,6369,21781,11040,900,5321,17253,4910,212,3557,8680,1017,40,1910,2976,58453,13560,46588,118602
205,7,63,7174,7242,167,984,4571,5720,4133,2918,4618,11665,6809,2003,3428,12245,8599,1935,4458,14992,10426,1512,4780,16713,10020,774,3632,14424,4884,187,1960,7036,1135,31,830,1990,46164,10414,35447,92025,9,177,6437,6616,310,1422,3863,5591,5431,3029,4517,12971,7709,2105,3938,13746,9517,1989,5101,16606,10862,1424,5607,17897,9046,569,4940,14561,3401,139,4161,7705,523,15,2234,2776,46802,10859,40796,98459,11,243,13604,13855,470,2404,8433,11309,9556,5941,9130,24632,14516,4105,7362,25988,18116,3927,9558,31601,21290,2935,10391,34611,19064,1349,8569,28980,8290,325,6126,14735,1650,46,3063,4766,92964,21277,76242,190481
206,12,152,10594,10757,331,2658,22182,25173,13347,17684,35621,66657,17485,8255,13223,38961,14066,4534,9829,28426,10872,2610,7403,20881,8315,1097,4561,13974,4653,245,2319,7218,1389,59,1133,2580,70469,37292,106870,214632,23,231,11906,12156,828,3852,25642,30318,16806,17993,36415,71213,17474,6825,15285,39586,14128,3727,12009,29867,10674,2036,10323,23028,7317,668,7446,15430,3336,129,5761,9228,590,31,3030,3644,71173,35490,127822,234480,34,385,22499,22913,1161,6509,47828,55491,30159,35685,72038,137878,34961,15082,28509,78554,28190,8261,21841,58293,21543,4645,17718,43913,15633,1763,12014,29401,7990,377,8085,16447,1973,87,4169,6223,141640,72785,234688,449113
207,6,47,11327,11386,141,672,12659,13475,6714,3511,11625,21845,13606,1764,4041,19416,16147,1434,4029,21609,13434,990,3252,17681,10224,478,2176,12879,6401,181,1576,8159,1876,54,1094,3029,68554,9133,51778,129461,8,54,11025,11084,298,981,11249,12532,8646,3515,10234,22394,15431,1685,5190,22302,17100,1448,6419,24965,12987,832,6024,19843,9559,383,5410,15357,4643,99,5404,10149,904,18,3627,4545,69584,9015,64583,143180,16,100,22354,22468,440,1650,23911,26004,15356,7027,21860,44241,29039,3453,9231,41716,33249,2879,10444,46575,26427,1822,9275,37527,19785,864,7589,28240,11044,278,6977,18305,2786,73,4718,7574,138138,18142,116363,272642
208,3,29,11116,11154,144,730,10747,11621,7673,4694,10471,22829,17024,3125,4968,25118,17870,2531,5310,25710,13926,1587,4776,20286,10014,735,3279,14027,5340,211,1933,7476,1871,53,1309,3234,73859,13700,53904,141459,5,60,10532,10600,381,1050,10117,11553,10269,4882,9639,24792,18484,3126,6132,27750,18521,2502,7630,28646,13196,1360,7501,22051,9057,528,6641,16223,4037,133,5680,9854,886,38,4268,5182,74830,13677,68148,156648,10,90,21649,21748,527,1779,20871,23172,17940,9578,20109,47625,35508,6255,11104,52865,36385,5033,12939,54361,27116,2945,12274,42341,19073,1254,9921,30256,9374,343,7610,17331,2752,93,5575,8415,148689,27377,122045,298109
209,7,34,13976,14016,297,803,14366,15461,13057,5468,15837,34367,21347,3930,7305,32590,19470,2860,6945,29269,16636,1734,5432,23803,12489,649,3273,16414,6394,164,1884,8445,1441,30,1041,2513,91140,15676,70061,176882,25,73,12996,13094,969,1324,12700,15000,17133,5759,12531,35424,21933,4115,8087,34139,19519,2875,9286,31676,16252,1427,8290,25973,10955,469,6490,17918,4405,107,5471,9989,653,17,3033,3705,91849,16168,78892,186913,33,112,26975,27113,1265,2128,27066,30459,30194,11225,28374,69790,43284,8049,15395,66722,38988,5731,16228,60948,32891,3164,13719,49773,23445,1114,9770,34327,10800,274,7360,18432,2090,50,4074,6223,182994,31845,148954,363791
210,13,29,11189,11227,319,580,10823,11719,10068,3376,11739,25189,15569,2330,5282,23173,14595,1981,5258,21840,11450,1078,3912,16439,8466,419,2306,11191,4802,141,1404,6345,1185,27,812,2022,66464,9966,52715,129148,45,61,10470,10573,1139,863,8705,10712,13288,3529,8647,25466,15815,2409,5811,24031,14463,1852,6766,23086,10848,939,5788,17568,7574,326,4717,12613,3264,79,4275,7617,490,7,2294,2792,66924,10071,57467,134462,54,96,21660,21807,1460,1445,19523,22430,23351,6907,20386,50654,31383,4735,11090,47208,29061,3832,12026,44923,22298,2019,9696,34010,16040,742,7021,23799,8068,220,5679,13968,1678,33,3100,4812,133387,20035,110179,263607
