SA4_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
201,27,97,303,33,72,234,767,20,87,50,29,12,0,210,327,824,332,86,35,25,1624,953,328,500,99,52,13,1948,926,166,506,52,33,11,1686,2962,154,684,34,43,14,3900,2750,29,431,9,37,14,3270,998,9,154,4,26,10,1201,137,0,45,3,8,3,198,25,0,16,0,6,3,51,17,4,3,0,0,0,27,3,0,3,0,0,0,8,4,0,5,0,0,0,11,10,0,14,0,0,4,22,124,104,138,31,37,23,452,9280,1802,3185,381,367,359,15369
202,13,96,270,13,66,209,667,9,91,36,32,6,7,184,176,692,309,44,56,23,1293,636,366,499,80,54,14,1640,631,171,437,98,43,7,1386,2333,97,672,71,57,17,3254,3065,37,645,13,52,17,3823,1127,9,213,5,18,4,1374,133,3,49,0,5,0,188,28,3,16,0,5,0,48,9,0,11,0,3,0,21,5,0,4,0,0,0,9,0,0,3,0,0,0,3,9,0,12,0,0,0,25,104,107,122,23,49,26,427,8284,1674,3290,378,404,322,14352
203,39,156,391,24,100,340,1048,26,122,44,43,14,3,250,178,1106,317,127,65,21,1812,823,442,618,173,83,18,2155,866,223,536,136,68,13,1841,2952,242,969,91,86,32,4374,5850,151,1243,40,96,19,7392,4466,31,748,29,69,23,5368,983,8,215,3,13,4,1224,252,0,45,3,8,0,303,55,0,24,0,0,0,84,27,0,23,0,0,0,55,16,0,12,0,3,0,28,36,0,29,0,0,0,62,273,165,233,55,90,42,849,16826,2649,5439,711,697,517,26852
204,19,114,430,26,178,338,1102,14,95,64,22,25,5,216,244,946,437,52,77,18,1777,1154,428,735,59,89,28,2495,1017,255,579,15,66,13,1945,2096,124,687,8,379,18,3315,2371,33,475,3,160,13,3056,1041,7,152,0,24,11,1229,78,3,32,0,18,0,134,15,3,12,0,3,0,34,9,0,4,0,3,0,18,3,4,9,0,0,0,14,0,3,3,0,0,0,6,14,0,27,0,10,0,49,115,139,172,25,89,24,564,8193,2149,3814,210,1116,477,15956
205,36,205,673,41,230,538,1725,36,330,107,52,39,13,575,647,1154,617,104,150,34,2708,1942,676,1065,159,214,34,4091,1716,175,926,76,98,21,3016,3750,127,1058,38,133,30,5138,3468,35,606,12,91,22,4234,1269,16,205,8,31,12,1539,99,10,39,0,7,3,155,25,3,10,0,0,0,43,11,0,6,0,0,0,20,6,0,7,0,0,0,20,0,0,4,0,0,0,7,18,0,26,0,6,0,53,195,144,297,39,136,29,839,13220,2865,5648,545,1146,733,24153
206,234,658,1572,76,111,731,3378,50,713,72,63,9,3,913,251,5019,422,240,79,57,6074,762,1924,778,418,79,37,3996,997,938,570,227,34,18,2787,5053,873,1214,227,121,33,7524,14433,812,2611,259,236,55,18405,27257,376,3557,124,237,81,31632,20892,88,2924,53,167,66,24195,12155,45,1818,23,120,30,14191,5545,24,825,16,43,16,6468,2626,11,481,6,29,8,3167,1319,3,268,0,11,9,1616,2342,3,440,0,32,15,2834,1544,679,850,163,145,143,3519,95471,12176,18412,1884,1456,1302,130699
207,71,61,751,43,61,398,1382,15,54,26,49,5,5,155,107,492,236,81,29,7,951,255,188,349,127,55,14,995,464,117,252,72,38,7,953,832,84,419,62,39,6,1452,3500,81,855,40,69,16,4564,9894,56,1380,24,98,23,11476,5322,17,876,22,54,20,6305,2415,6,349,3,26,10,2813,1229,0,203,0,13,0,1446,650,3,105,3,7,0,770,376,0,56,0,8,0,449,810,0,151,0,5,4,976,475,90,450,77,58,61,1205,26417,1246,6471,609,566,567,35875
208,68,100,699,38,35,450,1393,21,88,48,47,3,8,220,92,1009,223,99,33,20,1481,254,312,403,183,58,11,1216,405,135,300,48,26,10,930,2517,121,593,70,83,18,3407,5784,117,1130,27,67,10,7136,9887,67,1503,15,63,34,11569,5579,27,909,6,49,13,6571,2740,3,442,4,15,8,3207,1497,0,235,0,6,5,1744,897,3,194,0,0,3,1098,532,0,90,0,6,4,634,1144,3,239,0,14,0,1403,588,144,374,61,74,55,1292,32003,2128,7380,603,537,639,43295
209,94,208,662,35,41,392,1422,28,144,41,45,6,5,269,121,1407,270,84,56,17,1964,267,560,435,122,57,13,1449,340,303,367,51,32,9,1108,1536,314,709,89,163,19,2827,11432,354,1998,81,286,48,14187,11023,214,1378,17,141,41,12819,2520,36,438,9,37,10,3050,589,14,144,0,14,3,768,215,10,57,3,4,0,287,116,4,33,5,8,0,161,42,0,6,0,0,0,52,239,5,63,0,5,0,309,542,282,409,61,82,78,1447,29101,3848,7008,598,933,640,42123
210,67,104,475,36,40,303,1019,13,94,33,14,6,0,166,74,804,176,18,35,8,1118,177,377,287,59,53,10,962,219,216,282,29,44,3,796,1012,221,579,38,141,14,2006,8116,257,1887,47,383,47,10739,7218,112,1033,10,146,28,8550,1154,17,211,6,20,9,1418,259,3,55,0,5,0,328,101,3,32,0,5,0,145,43,3,15,0,0,0,64,30,0,12,0,3,0,41,152,0,39,0,11,0,207,381,155,316,29,63,48,995,19025,2365,5429,283,953,485,28552
