SA4_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
201,2275,967,1095,2057,1041,1182,2219,1056,1065,2124,1061,1076,2137,5210,5597,10806,979,1123,2102,1077,1061,2137,1007,1077,2082,1048,1073,2123,995,1087,2082,5104,5424,10530,967,1074,2039,973,982,1955,976,1007,1984,947,996,1943,1016,1068,2079,4879,5127,10008,872,851,1726,760,796,1563,717,805,1525,649,704,1349,662,639,1301,3667,3797,7463,578,613,1194,516,601,1110,507,551,1063,432,551,981,443,459,897,2476,2771,5244,1628,2012,3639,875,1506,2378,341,738,1082,68,189,257,10,28,35,76798,80690,157485
202,2233,1059,1087,2152,1045,1107,2160,1033,1108,2147,979,1075,2049,5200,5531,10735,1002,1005,2011,966,1031,1997,989,1076,2056,1012,1072,2086,1021,1039,2063,4989,5221,10216,957,1032,1990,978,1004,1982,873,899,1769,875,921,1800,1011,1039,2055,4693,4899,9597,736,758,1491,761,785,1545,672,725,1395,627,663,1282,643,642,1291,3441,3570,7009,610,596,1208,502,586,1087,483,535,1024,433,567,1006,450,479,930,2484,2768,5252,1634,1994,3630,1017,1505,2523,377,756,1134,60,194,257,4,41,46,74698,78392,153092
203,3594,1728,1942,3664,1732,1855,3590,1660,1870,3534,1693,1856,3553,8526,9405,17927,1733,1845,3577,1655,1777,3434,1660,1795,3451,1580,1783,3365,1635,1715,3347,8258,8920,17180,1559,1728,3280,1605,1704,3307,1481,1758,3237,1464,1640,3102,1646,1740,3384,7752,8564,16314,1319,1464,2784,1220,1333,2552,1190,1273,2462,1076,1163,2246,1032,1136,2165,5841,6371,12212,907,1077,1984,820,1023,1842,865,925,1791,797,913,1715,749,901,1649,4140,4837,8973,2817,3707,6525,1820,2782,4603,687,1460,2146,141,368,507,13,54,68,135813,143119,278929
204,2645,1314,1332,2645,1191,1293,2491,1236,1322,2565,1196,1275,2471,6212,6607,12815,1279,1278,2557,1277,1353,2634,1223,1237,2458,1278,1258,2535,1157,1127,2284,6214,6251,12465,1188,1200,2389,1244,1180,2430,1171,1162,2331,1175,1126,2302,1208,1221,2434,5986,5901,11885,1084,950,2037,918,976,1900,851,873,1725,818,816,1634,774,865,1635,4444,4477,8928,715,712,1425,645,693,1340,618,689,1309,553,558,1105,497,575,1071,3036,3217,6252,1951,2361,4313,1214,1714,2927,447,847,1296,78,251,323,12,28,45,83920,86275,170194
205,4055,1897,2074,3975,2034,2120,4151,1927,2072,3998,1864,2053,3923,9664,10443,20106,2006,2111,4116,1897,2022,3918,1961,2059,4021,1963,2138,4099,1997,2027,4030,9820,10355,20178,2008,2053,4065,2046,2148,4197,1923,1977,3898,1999,1914,3911,2091,2016,4106,10070,10098,20172,1751,1723,3476,1565,1633,3195,1494,1532,3024,1355,1338,2701,1382,1349,2733,7553,7574,15125,1281,1269,2548,1115,1150,2260,1122,1148,2268,928,1050,1975,856,929,1793,5296,5549,10844,3343,3937,7280,1936,2742,4681,680,1319,2000,127,367,496,16,55,75,133172,138247,271416
206,6064,2722,2928,5656,2727,2703,5432,2509,2772,5280,2478,2760,5242,13388,14292,27679,2452,2662,5117,2274,2498,4772,2080,2420,4504,2140,2346,4484,2077,2237,4320,11031,12170,23194,2141,2234,4371,1958,2148,4098,1842,1905,3744,1823,2139,3961,1911,2104,4017,9673,10523,20196,1664,1677,3341,1456,1639,3092,1404,1472,2879,1168,1263,2427,1217,1363,2574,6903,7410,14312,1128,1313,2443,1087,1292,2379,1032,1238,2272,998,1222,2218,846,1199,2044,5093,6264,11357,3687,4916,8605,2413,3486,5904,956,1720,2676,189,509,694,25,69,100,285795,305884,591679
207,4646,2162,2362,4518,2050,2251,4302,2037,2206,4244,1965,2216,4182,10391,11495,21893,1950,2173,4115,1718,2034,3750,1796,1971,3774,1616,1942,3559,1710,1841,3551,8794,9962,18754,1599,1807,3406,1607,1927,3531,1474,1830,3307,1550,1861,3418,1631,1950,3584,7864,9378,17240,1476,1708,3188,1269,1560,2826,1337,1661,2997,1195,1431,2624,1199,1405,2605,6472,7766,14240,1138,1443,2586,1217,1318,2531,1074,1338,2410,1014,1318,2333,961,1228,2191,5404,6642,12046,4113,5259,9374,2677,4115,6794,1100,2263,3363,221,607,825,22,102,125,172782,186862,359644
208,5306,2435,2655,5093,2346,2599,4945,2381,2505,4886,2222,2387,4606,11944,12898,24835,2276,2306,4577,2138,2251,4393,2014,2204,4219,1982,2119,4101,1916,2251,4170,10326,11130,21458,1836,2123,3958,1770,2007,3774,1779,1992,3772,1703,2054,3756,1996,2194,4187,9092,10361,19454,1589,1764,3350,1422,1712,3131,1352,1572,2930,1186,1386,2569,1169,1434,2605,6713,7874,14591,1118,1326,2444,1084,1276,2359,951,1298,2251,983,1242,2229,965,1236,2204,5109,6374,11490,3745,5357,9104,2896,4598,7490,1293,2657,3954,278,705,988,14,96,112,194086,209615,403707
209,6330,2805,2989,5798,2815,2989,5802,2637,2968,5600,2641,2874,5516,13975,15070,29048,2619,2877,5504,2496,2659,5154,2284,2613,4893,2333,2521,4848,2207,2379,4580,11937,13050,24985,2147,2387,4532,2069,2356,4426,2104,2273,4376,2063,2231,4297,2157,2272,4429,10531,11524,22050,1739,1903,3647,1630,1723,3344,1576,1738,3319,1439,1557,2990,1377,1511,2886,7762,8430,16189,1258,1415,2679,1203,1437,2644,1122,1294,2412,1060,1311,2373,1003,1169,2174,5649,6626,12274,4065,5129,9196,2328,3513,5846,907,1663,2575,167,403,576,15,50,68,243480,251875,495353
210,4448,2025,2097,4122,1944,2079,4021,1846,1982,3829,1833,1902,3736,9836,10319,20158,1840,1945,3785,1630,1780,3411,1598,1752,3357,1595,1738,3336,1477,1584,3065,8151,8801,16946,1479,1639,3120,1336,1619,2954,1436,1607,3040,1414,1614,3026,1470,1595,3063,7130,8067,15197,1299,1321,2623,1138,1208,2349,1102,1300,2401,934,1084,2020,996,1138,2127,5472,6053,11522,961,981,1940,906,1076,1988,808,1047,1854,775,927,1701,813,947,1756,4258,4980,9240,3004,3961,6964,1844,2637,4483,640,1142,1787,93,246,341,6,36,44,180073,183294,363371
