SA4_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
201,13951,1156,731,123,25,11,84,16082
202,13717,1119,700,99,21,7,79,15748
203,27822,2074,1110,179,30,8,129,31365
204,14500,1274,806,141,18,7,116,16859
205,22574,2000,1320,214,34,18,203,26368
206,41759,2243,682,226,18,12,88,45035
207,44444,1858,673,373,23,15,74,47447
208,48931,2498,933,278,33,5,78,52754
209,61409,3144,1682,669,57,17,154,67140
210,45130,2255,1273,531,38,25,128,49380
211,60716,4107,2035,595,72,23,176,67726
212,92523,5453,3068,1504,135,65,332,103089
213,88120,4954,2917,1354,128,88,344,97906
214,28145,2649,1426,264,51,16,128,32680
215,12589,994,705,128,25,12,125,14580
216,11625,889,600,119,19,11,78,13343
217,10944,787,561,74,9,11,79,12462
297,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0
