SA4_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
201,188,4227,534,4948,251,4302,415,4971,585,7251,693,8530,1007,7293,747,9046,1320,7969,937,10223,1536,7849,926,10317,994,6511,1045,8547,423,2987,689,4100,94,915,278,1291,6403,49308,6261,61973,238,3977,490,4705,376,4144,378,4900,1028,7302,654,8982,1592,7458,654,9704,2295,7942,833,11065,2566,7540,908,11020,1443,6446,1041,8929,475,3427,879,4783,82,1906,471,2456,10103,50138,6305,66545,429,8198,1027,9654,626,8449,792,9873,1614,14553,1344,17520,2603,14748,1394,18747,3618,15911,1764,21290,4106,15394,1837,21334,2431,12959,2080,17469,900,6415,1574,8886,180,2822,751,3745,16509,99441,12567,128519
202,187,3979,588,4748,244,3939,416,4598,589,6878,898,8364,877,7002,856,8736,1242,7618,972,9833,1557,7664,968,10195,908,6272,952,8128,436,2950,729,4118,146,985,333,1457,6189,47272,6712,60173,279,3799,546,4627,306,4005,321,4634,1063,7014,668,8738,1537,7202,737,9480,2202,7615,831,10643,2557,7324,878,10756,1303,6174,994,8472,483,3365,914,4759,117,1740,649,2500,9838,48231,6535,64603,461,7779,1135,9372,551,7940,738,9235,1649,13886,1564,17108,2416,14204,1594,18211,3442,15233,1803,20471,4112,14989,1848,20946,2209,12448,1946,16603,922,6313,1640,8878,260,2722,976,3961,16031,95507,13247,124780
203,335,7611,801,8752,397,7845,732,8977,1012,14108,1524,16643,1606,14252,1440,17300,2253,13835,1404,17491,2604,12905,1274,16783,1648,10578,1359,13587,794,5171,992,6955,222,1931,504,2667,10869,88243,10035,109156,412,7222,723,8363,561,7343,577,8475,1787,14569,1098,17444,2885,14278,1080,18239,3970,13827,1184,18979,4306,12704,1314,18329,2499,10962,1474,14941,845,6328,1373,8547,187,3594,880,4657,17449,90823,9704,117970,752,14834,1526,17118,960,15188,1308,17452,2792,28674,2622,34086,4487,28532,2518,35537,6216,27662,2590,36470,6906,25611,2593,35106,4150,21542,2840,28527,1641,11497,2367,15504,409,5527,1388,7326,28315,179066,19739,227122
204,226,4434,723,5382,220,3933,422,4583,634,6872,802,8309,904,7408,903,9220,1411,8873,1039,11323,1694,9542,1191,12425,1107,8103,1223,10432,496,3640,847,4982,141,1181,434,1754,6834,53980,7596,68406,262,3986,656,4909,290,3254,369,3914,1048,7059,702,8811,1646,7633,783,10058,2251,8806,983,12040,2863,8894,1100,12854,1572,7554,1249,10378,599,3935,1046,5576,111,2058,669,2840,10649,53185,7556,71384,485,8426,1380,10287,518,7191,788,8501,1685,13932,1504,17119,2547,15039,1685,19275,3666,17675,2025,23366,4560,18436,2289,25285,2678,15657,2473,20812,1090,7574,1893,10558,257,3235,1105,4590,17477,107163,15148,139788
205,352,6589,1092,8033,390,5759,751,6900,1002,11295,1513,13812,1455,11261,1457,14169,2095,13496,1758,17348,2649,14935,1906,19485,1930,13623,2065,17619,810,6319,1508,8637,203,1911,646,2763,10886,85194,12691,108772,353,6143,899,7394,540,5471,631,6639,1742,11686,1181,14612,2578,11349,1242,15166,3718,13291,1564,18570,4458,14441,1897,20800,2610,12970,2092,17673,902,6689,1901,9486,162,3275,1056,4489,17061,85309,12455,114826,710,12728,1989,15423,929,11223,1385,13540,2749,22979,2697,28423,4034,22611,2692,29340,5806,26787,3317,35918,7102,29377,3802,40282,4543,26592,4158,35293,1714,13005,3407,18127,366,5190,1697,7251,27945,170502,25151,223600
206,466,11007,1347,12815,995,25876,3049,29922,2826,66619,8265,77711,3032,37454,4654,45141,4082,25488,3239,32810,3525,18343,2549,24417,1900,12759,1916,16573,967,6564,1247,8773,322,2663,602,3585,18114,206772,26859,251741,547,12756,1449,14754,1358,31167,3366,35890,3995,69962,8170,82124,4553,36193,4131,44880,6388,24205,2942,33541,6097,17864,2499,26459,3014,12973,1942,17939,1282,8370,1530,11181,257,4440,1093,5790,27493,217931,27120,272543,1011,23763,2793,27570,2355,57042,6412,65808,6821,136581,16438,159836,7582,73650,8787,90017,10469,49693,6182,66343,9621,36206,5045,50874,4917,25735,3860,34506,2246,14934,2770,19956,582,7104,1691,9372,45604,424703,53977,524285
207,467,11089,676,12230,682,13319,763,14761,1300,21224,1404,23938,1806,18113,1063,20987,3286,18839,1252,23376,3200,14960,1023,19181,1981,11475,877,14340,1145,7426,946,9515,433,3041,545,4013,14299,119490,8547,142342,508,10931,649,12087,731,12387,686,13803,1752,21248,1380,24381,3084,19543,1094,23716,5345,19865,1210,26420,5263,15107,1091,21461,3140,12826,1174,17148,1553,9004,1342,11908,354,5634,1105,7094,21734,126546,9734,158013,973,22021,1321,24314,1411,25711,1447,28564,3053,42474,2784,48315,4894,37657,2155,44705,8629,38699,2466,49792,8461,30063,2117,40646,5126,24306,2056,31487,2698,16431,2290,21417,785,8675,1645,11110,36028,246040,18282,300350
208,400,10640,752,11790,566,11398,782,12743,1289,22180,1687,25156,2185,23570,1624,27381,3592,22713,1665,27968,3689,17243,1343,22264,2029,12627,1154,15806,1069,6779,1013,8859,409,3360,709,4481,15217,130509,10727,156447,438,10189,673,11304,647,11281,696,12623,1933,23498,1648,27074,3682,24490,1532,29702,5976,23059,1592,30631,5794,16903,1333,24027,3290,13504,1451,18237,1414,8817,1506,11732,332,6284,1441,8064,23507,138022,11866,173391,836,20831,1425,23090,1215,22677,1479,25368,3216,45681,3330,52231,5870,48061,3156,57088,9567,45776,3256,58600,9479,34144,2671,46291,5316,26128,2605,34044,2479,15591,2516,20587,746,9650,2148,12538,38724,268532,22594,329844
209,579,13170,1252,15007,808,15086,1221,17111,2450,32632,2688,37769,3280,29794,2232,35302,4102,25511,2071,31682,3925,20266,1723,25916,2395,14279,1614,18297,1135,7382,1198,9718,310,2537,581,3427,18983,160658,14586,194224,626,12358,1191,14170,1140,14478,1124,16738,3715,32322,2611,38654,5443,28904,2111,36458,6971,24755,2080,33805,6576,19704,1837,28117,3411,14707,1831,19953,1314,8839,1597,11750,227,4304,1096,5632,29435,160373,15475,205282,1209,25526,2442,29178,1948,29566,2341,33852,6162,64954,5296,76421,8725,58699,4342,71765,11074,50261,4152,65482,10502,39973,3559,54028,5808,28988,3449,38246,2450,16216,2798,21466,542,6841,1676,9057,48420,321026,30056,399503
210,574,10177,1137,11887,796,10946,1013,12753,1927,23483,2223,27632,2668,20668,1846,25176,3115,18792,1702,23610,2617,13982,1390,17990,1473,9866,1256,12600,857,5450,958,7262,240,1943,411,2587,14255,115305,11936,141503,660,9549,1025,11237,1010,9862,800,11668,2972,22597,2011,27571,4241,19800,1687,25726,5275,17762,1614,24652,4236,13439,1440,19115,2294,10347,1481,14124,945,6774,1222,8940,166,3261,632,4063,21801,113378,11918,147096,1240,19730,2160,23121,1799,20806,1816,24425,4895,46075,4237,55208,6909,40461,3537,50908,8392,36548,3319,48264,6853,27424,2829,37105,3765,20219,2735,26721,1804,12225,2178,16209,404,5199,1045,6650,36059,228681,23854,288599
211,602,14730,1047,16382,728,14369,838,15936,1936,27458,1656,31044,3033,28154,1744,32923,4271,28130,1802,34209,4398,23971,1589,29952,2725,17540,1535,21803,1221,8346,1230,10807,311,2879,647,3840,19223,165579,12085,196894,709,13768,946,15434,987,13224,704,14911,3011,27717,1656,32387,5136,28124,1597,34854,7397,27786,1742,36924,7503,23279,1656,32439,4000,18420,1861,24276,1361,9942,1830,13136,256,5335,1209,6801,30363,167589,13209,211158,1312,28504,1996,31809,1713,27590,1545,30848,4947,55175,3305,63435,8167,56278,3343,67780,11673,55916,3542,71134,11900,47246,3246,62391,6729,35956,3398,46081,2580,18293,3064,23943,564,8213,1856,10639,49587,333165,25295,408056
212,1126,22764,2087,25975,1569,27091,2102,30759,3788,50301,4081,58168,4948,44349,3476,52776,5533,39140,3098,47774,4890,30254,2551,37692,3107,20975,2284,26360,1631,11141,1916,14688,445,3825,782,5048,27026,249843,22376,299248,1283,21061,1772,24123,1847,24126,1751,27727,5710,48764,3750,58222,7709,42103,3045,52854,8759,37171,2875,48805,8018,29054,2591,39657,4401,22007,2583,28990,1770,13159,2296,17225,307,6535,1418,8254,39803,243985,22075,305863,2407,43826,3864,50095,3415,51220,3851,58490,9497,99062,7831,116387,12660,86452,6518,105635,14291,76317,5975,96584,12901,59304,5140,77349,7506,42981,4868,55358,3396,24303,4215,31914,750,10356,2204,13311,66829,493829,44458,605115
213,949,18960,2063,21967,1338,22436,2425,26202,4018,52714,5732,62461,5404,47682,4600,57686,5446,36132,3485,45061,4379,27441,2730,34544,2568,17246,2317,22132,1154,7317,1518,9988,257,2314,588,3156,25513,232233,25458,283202,1114,17915,1868,20898,1686,20310,1895,23892,6438,52857,4791,64081,8521,44623,3882,57022,8675,34057,3237,45971,7359,26442,2767,36570,3543,17016,2546,23107,1231,9146,1834,12204,163,4330,1044,5539,38733,226686,23863,289288,2066,36871,3933,42871,3024,42746,4319,50091,10455,105573,10524,126540,13927,92301,8475,114709,14122,70191,6722,91031,11742,53881,5493,71110,6109,34261,4862,45235,2389,16460,3355,22199,422,6640,1635,8698,64247,458923,49319,572482
214,296,7590,816,8695,349,7201,612,8169,926,13320,1163,15407,1615,14742,1250,17610,2220,15625,1440,19290,2433,13837,1380,17647,1695,12058,1448,15208,863,6363,1254,8482,251,2210,591,3054,10656,92960,9950,113561,359,7165,734,8262,553,6620,574,7747,1718,13714,1134,16562,2733,14900,1235,18877,3956,15492,1344,20793,4318,13723,1419,19457,2649,13021,1735,17406,949,7211,1722,9878,214,3524,981,4721,17454,95380,10876,123705,655,14753,1546,16958,909,13826,1185,15920,2644,27036,2300,31974,4355,29646,2492,36487,6174,31116,2791,40081,6752,27561,2794,37104,4350,25078,3182,32608,1812,13580,2975,18360,464,5737,1573,7772,28104,188337,20830,237269
215,235,3854,628,4716,234,3330,462,4026,585,6616,1030,8228,824,6169,923,7916,1267,7542,1120,9933,1516,8142,1193,10849,936,6529,1189,8657,464,3408,908,4780,143,1256,396,1789,6196,46843,7850,60891,241,3541,595,4381,285,3143,368,3792,993,6413,747,8149,1302,6223,731,8259,2117,7179,889,10179,2299,7220,1043,10565,1285,6095,1151,8529,583,3907,1085,5575,117,2251,660,3034,9228,45966,7272,62466,475,7399,1228,9101,520,6477,826,7825,1579,13022,1782,16382,2124,12397,1650,16175,3383,14716,2010,20112,3817,15359,2234,21405,2224,12628,2337,17186,1050,7310,1991,10355,263,3500,1053,4819,15431,92806,15115,123356
216,200,3611,580,4388,207,2917,354,3473,511,5608,742,6865,733,5652,743,7124,998,6622,892,8508,1178,6612,887,8672,760,5531,1042,7338,397,2927,799,4123,110,941,312,1372,5094,40430,6343,51868,232,3254,499,3989,241,2710,276,3233,884,5671,653,7201,1279,5601,627,7501,1710,6390,753,8852,1884,6096,833,8816,1050,5256,1034,7341,449,3119,920,4495,70,1619,519,2213,7811,39715,6114,53639,434,6863,1077,8377,448,5630,624,6706,1394,11283,1389,14067,2006,11251,1367,14628,2708,13009,1641,17361,3064,12706,1714,17490,1811,10791,2081,14681,851,6046,1720,8616,180,2560,835,3579,12905,80140,12456,105507
217,141,3329,492,3961,169,2902,323,3392,397,5154,516,6065,659,5469,541,6667,989,6546,770,8305,1214,6759,802,8772,742,5487,883,7115,356,2570,662,3585,99,898,274,1270,4754,39122,5257,49132,171,3039,469,3680,223,2539,253,3015,688,5099,443,6232,1073,5385,504,6960,1768,6410,656,8831,2045,6257,806,9101,981,5263,896,7140,353,3086,884,4321,76,1691,492,2260,7380,38763,5396,51535,315,6365,959,7635,393,5439,576,6408,1087,10257,955,12295,1726,10848,1041,13624,2755,12956,1422,17133,3254,13016,1605,17876,1723,10754,1776,14254,711,5652,1550,7910,166,2592,768,3529,12132,77884,10653,100676
297,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,21,3,25
299,8,124,42,180,20,301,122,447,48,695,306,1052,47,419,352,813,43,335,251,628,43,279,141,460,30,192,62,283,3,49,23,72,0,9,0,9,243,2405,1296,3942,7,131,41,178,22,323,107,453,57,538,201,795,54,272,152,479,40,216,93,347,52,227,78,352,26,141,36,204,4,29,9,49,0,19,11,28,265,1887,725,2883,18,254,84,357,41,627,229,898,101,1239,505,1848,101,691,500,1295,87,547,337,975,92,503,215,816,58,332,95,482,7,81,36,121,0,22,11,38,505,4294,2019,6825
