SA4_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201,12723,9189,4136,1562,74538
202,13008,9161,4335,1862,74307
203,21940,15636,7557,3256,137730
204,15338,11026,4877,2026,81819
205,23721,18457,8586,3182,128181
206,36380,21573,8949,3929,377787
207,29393,20093,11441,5558,200005
208,32928,20698,10673,5809,222014
209,30882,18223,8208,3404,236708
210,19300,11409,5835,2362,157191
211,38573,24938,11913,4874,248796
212,41721,25480,13430,5371,340313
213,35645,18841,7678,3078,325426
214,22850,17926,9539,3770,141726
215,11322,7613,3882,1756,64162
216,9262,6539,3472,1418,55530
217,10020,6783,3230,1401,55218
297,10,0,0,0,25
299,526,263,61,19,4580
