SA4_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
201,39,102,147,137,146,134,34,3,745,103,389,296,180,121,45,0,0,1123,537,1368,1495,1886,1845,1471,638,179,9420,496,1035,767,650,644,455,224,57,4321,100,291,314,378,292,191,92,22,1685,92,308,321,353,383,200,75,17,1754,52,281,338,322,495,487,150,29,2155,272,688,878,886,685,394,131,23,3959,187,360,433,437,414,311,100,17,2271,208,215,205,177,150,125,24,3,1103,140,336,313,233,211,127,54,17,1437,8,14,4,17,13,17,6,5,80,23,74,118,132,95,86,27,11,568,916,753,828,995,992,1053,677,287,6499,3169,6225,6449,6783,6485,5100,2240,677,37120,64,149,187,128,82,36,11,3,654,17,67,77,68,54,13,0,0,291,29,106,110,118,66,59,63,28,564,27,63,58,44,24,14,3,0,239,67,147,153,137,67,27,8,3,608,372,1246,1143,1339,1334,817,349,112,6719,217,805,930,877,1052,792,270,81,5034,475,1354
202,27,99,150,155,146,144,40,5,771,109,310,244,172,108,48,4,0,1000,527,1435,1411,1778,1843,1454,671,202,9329,441,961,729,750,705,465,228,53,4330,98,266,390,433,367,184,75,24,1836,105,299,325,350,367,174,63,15,1697,78,255,346,310,491,471,184,43,2178,213,645,789,724,636,415,118,29,3576,210,345,437,474,479,370,122,22,2456,94,188,239,159,164,110,28,14,1000,129,314,248,242,185,107,48,15,1296,15,11,6,4,9,18,6,3,80,21,59,123,109,92,71,45,11,523,965,958,905,1048,1062,983,681,340,6945,3044,6143,6348,6700,6658,5008,2321,778,37012,46,121,208,129,120,50,17,9,692,20,50,76,72,66,30,7,0,303,25,103,130,137,91,68,38,20,617,23,55,82,67,43,16,3,7,289,56,143,195,124,93,33,7,3,662,430,1267,1227,1363,1431,813,361,124,7015,191,784,924,929,1077,823,282,91,5108,376,1193
203,164,290,374,319,358,281,103,24,1918,218,585,528,333,203,78,3,4,1952,949,2728,2996,3498,3475,2845,1316,444,18251,930,2354,1842,1486,1248,801,426,141,9229,115,367,491,436,335,263,142,27,2186,187,723,686,630,604,290,108,49,3277,88,479,585,525,828,753,287,72,3622,461,1534,1820,1654,1467,947,310,82,8271,510,804,800,783,702,531,186,44,4364,281,479,416,233,220,127,49,6,1810,276,673,508,429,270,183,98,26,2457,27,15,16,13,19,15,18,10,125,54,149,234,202,181,100,48,24,997,1505,1569,1558,1545,1394,1355,1008,534,10463,5766,12747,12851,12086,11326,8563,4096,1488,68919,205,430,506,319,204,99,24,11,1808,33,136,155,99,77,42,3,0,544,91,259,267,221,155,123,121,61,1292,90,240,181,133,76,25,5,5,762,94,200,235,169,105,36,10,12,854,791,2679,2399,2303,2245,1295,612,218,12537,321,1625,1727,1632,2051,1443,544,142,9486,833,2704
204,35,76,121,132,188,147,40,15,748,65,148,165,126,111,60,3,0,672,698,1752,1862,2380,2387,1953,747,244,12013,476,872,812,825,924,631,291,77,4901,153,379,522,553,464,303,140,32,2543,73,266,280,300,370,207,75,29,1602,43,211,296,338,510,455,157,31,2038,222,535,687,785,780,504,160,50,3713,232,306,324,380,411,322,99,10,2085,90,150,109,87,103,70,26,5,632,158,328,377,336,263,162,71,19,1713,17,12,12,7,13,21,15,5,92,32,90,117,112,119,87,38,16,618,1097,851,991,1162,1337,1158,803,386,7778,3380,5975,6660,7522,7964,6075,2654,918,41148,47,125,205,123,154,64,20,10,745,10,33,57,62,58,27,0,3,250,37,92,129,127,107,96,59,27,684,8,63,58,48,24,23,9,0,231,103,240,258,210,130,48,15,7,1013,387,1180,1207,1426,1546,966,427,149,7287,176,747,863,889,1193,905,328,91,5188,461,1342
205,68,136,150,146,203,246,67,18,1026,117,305,252,151,136,74,12,7,1053,1116,2932,2966,4197,4251,3688,1599,438,21180,722,1716,1385,1446,1606,1062,564,153,8654,212,638,713,732,516,336,138,42,3328,92,342,344,410,511,284,122,23,2124,62,313,370,427,774,710,225,33,2925,283,768,925,867,931,803,265,74,4906,244,437,485,566,672,448,166,26,3043,127,198,176,134,182,165,44,14,1045,200,533,490,442,361,251,114,25,2419,21,11,3,11,20,29,24,14,128,30,113,157,185,200,156,53,23,914,1815,1602,1621,1959,2056,2142,1415,589,13204,5118,10042,10030,11664,12416,10397,4806,1480,65953,84,205,235,168,172,73,12,11,967,16,63,89,79,88,45,3,4,386,63,141,194,188,155,121,103,54,1007,32,94,96,82,46,19,7,4,384,148,318,369,274,166,68,14,9,1367,578,1854,1560,1851,2253,1533,621,201,10459,274,1205,1331,1390,1928,1383,485,124,8121,662,2140
206,1159,2524,1580,1205,928,662,191,67,8330,875,5493,3400,1393,634,143,11,4,11963,2254,8740,4644,3627,2827,2013,976,413,25502,892,4317,2240,1657,1071,646,313,110,11241,215,766,464,385,243,132,56,11,2269,510,3418,2029,1374,1121,702,321,110,9589,177,1474,990,929,1110,700,234,64,5683,3416,14320,8438,5444,3210,1728,498,160,37202,1489,6544,4114,3023,2597,1700,555,138,20151,1690,6156,2987,1470,813,380,96,32,13621,795,2504,1211,681,352,163,54,26,5786,231,78,35,29,44,36,25,8,487,320,930,683,517,309,186,49,35,3046,4247,8325,4759,3325,2590,1918,1187,563,26909,18278,65594,37576,25058,17850,11116,4566,1740,181781,1477,3055,1756,1002,593,291,93,33,8301,327,1715,1028,495,234,74,8,7,3894,696,2244,949,435,236,179,204,85,5029,614,2072,936,555,240,108,24,4,4563,227,620,377,224,113,35,11,7,1606,1584,8905,4301,2978,2575,1380,660,231,22622,597,4102,2651,2776,3247,1962,634,202,16171,5128,16840
207,442,678,688,927,935,690,307,113,4787,591,2180,2172,1466,724,213,26,6,7380,891,3043,2722,3641,3158,2679,1706,727,18558,471,1218,1002,1226,853,644,509,156,6068,83,257,187,236,169,123,72,29,1152,283,1253,1275,1238,1057,651,428,172,6358,83,454,400,557,685,574,323,96,3164,1800,5522,5087,5206,3546,2112,941,333,24544,599,1528,1550,1817,1597,1158,487,166,8900,665,1142,672,485,354,193,89,29,3625,276,727,466,435,265,140,88,29,2415,69,40,7,26,21,28,24,8,218,117,227,244,262,198,121,83,32,1288,1279,1418,1120,1280,1053,898,896,541,8479,7643,19689,17577,18784,14617,10226,5968,2430,96930,488,879,928,1058,638,333,146,77,4542,121,690,893,665,330,71,17,0,2791,160,635,643,574,346,186,220,88,2854,149,429,334,282,156,58,19,14,1449,80,156,132,133,102,29,17,11,664,919,3375,2853,3133,2700,1782,1125,483,16364,279,1477,1582,2420,2693,2172,1025,365,12015,2035,6412
208,297,649,799,955,841,567,210,93,4412,436,2084,2359,1487,714,195,28,3,7310,802,3264,3620,4536,3862,2917,1678,787,21455,642,1919,1711,1697,1314,771,447,180,8685,112,320,372,350,222,108,68,24,1571,224,1014,1147,1161,921,587,269,145,5475,84,538,649,748,859,572,236,74,3752,1420,5125,6254,5747,3742,2090,767,311,25463,625,1694,2020,1965,1686,1148,369,111,9613,625,1160,989,687,510,250,100,41,4368,293,886,673,511,299,192,110,31,3007,42,27,13,12,20,17,22,4,158,92,248,373,357,230,151,64,48,1565,1333,1720,1696,1729,1373,1151,1015,680,10700,7031,20644,22676,21948,16593,10711,5390,2538,107528,350,938,1166,971,590,264,97,40,4424,101,790,809,578,306,78,8,7,2675,125,648,609,522,367,261,282,146,2959,127,470,396,337,175,67,21,14,1600,72,150,203,153,88,27,17,0,715,757,3465,3237,3381,2645,1524,928,428,16360,365,1994,2384,3087,3300,2129,852,278,14394,1819,6422
209,360,890,949,823,699,468,143,36,4369,525,2656,2484,1016,482,133,7,0,7311,1551,5834,5990,6049,5177,3548,1554,492,30199,1277,3410,2603,2300,1526,915,497,142,12675,153,502,533,395,275,135,46,14,2050,306,1267,1135,882,738,365,163,41,4891,118,739,795,727,911,651,225,60,4226,1482,5309,4770,3468,2458,1267,313,89,19154,844,1901,1871,1583,1265,671,208,44,8370,637,1403,1090,580,326,180,67,18,4297,422,1431,922,685,386,207,122,39,4209,74,57,43,35,40,29,27,17,319,117,447,465,389,246,147,58,26,1892,2259,2819,2430,2189,1845,1632,1206,580,14964,10113,28654,26086,21112,16360,10354,4650,1591,118925,473,1376,1180,762,446,167,51,7,4462,108,884,780,367,131,51,4,0,2337,154,694,706,429,327,236,193,61,2796,104,387,345,217,87,17,9,3,1165,131,281,315,178,113,24,10,3,1051,1260,4681,3864,3058,2396,1144,440,146,16982,617,3070,2931,2713,2556,1373,420,118,13792,1923,7028
210,208,412,440,390,339,171,44,17,2013,372,1671,1561,572,235,62,6,0,4484,1290,4209,4369,4704,3869,2571,1288,420,22716,1053,2516,1702,1480,860,525,318,86,8536,89,293,309,276,196,93,40,7,1306,191,671,589,498,369,180,64,10,2575,102,487,506,470,533,358,146,34,2650,1040,3803,3207,2237,1514,659,201,61,12710,663,1325,1072,937,633,282,101,30,5039,363,709,459,263,138,82,28,8,2057,267,1032,669,514,263,193,93,29,3054,45,40,24,32,29,35,25,9,244,74,291,304,267,170,85,53,17,1264,1971,2233,1962,1800,1411,1309,958,453,12098,7742,19701,17166,14443,10549,6592,3372,1184,80750,309,779,727,432,204,79,15,7,2551,67,644,532,219,102,19,3,0,1585,83,506,462,336,203,140,148,50,1921,74,264,166,102,34,25,4,0,669,81,167,183,101,56,24,11,0,618,737,2659,2077,1641,1278,608,265,88,9359,518,2092,2034,1866,1479,703,248,62,9011,1308,4770
