SA4_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
201,51496,127414,5302,9485,519,1153,5826,10634,1328,1934,70,108,0,0,3,10,1398,2046,122,165,80,126,28,44,451,1015,675,1353,346,711,59743,142164,9112,..,68853,142164
202,52347,129575,3303,5117,405,793,3714,5909,670,1038,56,87,17,18,3,4,747,1143,131,188,98,142,22,37,128,267,386,635,318,671,57513,137939,7987,..,65499,137939
203,88852,229388,8115,13413,2058,4221,10170,17627,2284,3593,145,221,198,321,11,16,2637,4143,79,147,260,344,20,45,271,769,627,1296,346,749,102631,253215,23483,..,126115,253215
204,57905,141002,3288,4958,218,452,3507,5407,1561,2298,51,93,81,165,3,14,1690,2564,216,317,175,265,33,64,157,335,583,980,414,908,64101,150859,13071,..,77172,150859
205,94012,226631,4073,5842,442,809,4514,6650,3326,4779,46,91,9,17,7,12,3392,4895,353,507,408,611,38,79,172,320,977,1516,591,1173,103488,240870,31365,..,134850,240870
206,53415,147755,28450,63506,28281,68666,56731,132169,25494,44691,31587,53918,77035,145555,109,202,134225,244372,11,24,18,38,54,66,1258,2601,1344,2724,1192,2417,246911,529437,33929,..,280837,529437
207,80264,236516,16012,34005,11201,30491,27211,64499,8448,16270,6192,11487,5527,9678,8,23,20184,37460,5,27,5,15,3,6,219,523,238,571,437,944,128334,339983,13398,..,141733,339983
208,82105,238657,22466,45324,14688,37393,37154,82719,20124,37510,5338,9595,3550,6014,39,66,29050,53185,17,24,148,195,3,3,677,1362,838,1586,590,1355,149732,377494,15464,..,165195,377494
209,134536,391609,15464,33018,9463,23940,24922,56959,5414,10877,1344,2255,1705,3123,15,24,8478,16280,13,29,16,37,23,50,265,635,319,746,413,935,168667,466526,13393,..,182065,466526
210,95786,289608,9755,21285,8311,21633,18066,42919,3404,7318,198,356,230,438,30,77,3865,8195,37,63,198,258,3,14,345,936,582,1271,318,827,118615,342813,9560,..,128180,342813
211,153179,428256,13194,24683,4656,11224,17851,35905,1881,3297,745,1305,560,945,23,40,3209,5581,156,214,206,275,18,44,218,601,592,1141,460,1011,175298,471898,13653,..,188950,471898
212,197558,606598,20562,48507,9284,27005,29842,75512,11149,25034,1538,3018,1452,2623,30,70,14170,30755,214,273,285,429,29,48,354,988,877,1737,565,1334,243018,715937,17863,..,260875,715937
213,182821,559876,22782,54897,15526,42811,38303,97707,9031,18255,1997,3711,2965,5371,80,165,14072,27494,181,267,148,220,12,29,355,902,694,1418,535,1198,236425,687694,18175,..,254604,687694
214,87968,230360,11150,18912,3170,6702,14326,25612,3743,5855,193,285,90,149,13,21,4048,6311,163,227,664,878,13,36,67,177,907,1315,229,438,107477,264049,32063,..,139538,264049
215,50538,123056,2747,4328,93,172,2838,4499,2532,3755,4,11,0,3,5,7,2542,3774,258,400,152,267,32,63,154,318,593,1048,392,875,56900,133249,9183,..,66079,133249
216,42184,107592,3140,5173,134,285,3275,5454,1078,1574,21,30,3,4,5,12,1110,1617,212,287,216,317,15,40,93,240,529,878,222,497,47321,116038,6474,..,53792,116038
217,41981,102369,2270,3309,398,722,2666,4032,1130,1605,81,108,11,11,4,12,1231,1725,77,127,117,205,11,27,121,264,332,627,326,709,46541,109457,10454,..,56992,109457
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
