SA4_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
201,39746,41308,81054,5346,5955,11299,655,672,1325,17328,18991,36315,556,630,1194,313,336,644,314,339,653,143,168,313,111,110,222,65,61,122,0,0,0,19482,21301,40776,1222,1316,2538,384,329,709,26433,28892,55322,5831,5962,11793,72006,76161,148171
202,38527,39790,78318,5076,5636,10711,694,820,1513,16222,18156,34379,564,603,1174,266,296,565,275,288,568,118,155,274,162,167,334,69,78,141,0,3,5,18374,20577,38946,1137,1307,2448,367,289,658,24961,27811,52770,6535,6245,12773,70019,73842,143861
203,68296,72257,140552,11726,12848,24571,1004,1181,2181,29373,32412,61785,953,1022,1978,370,366,736,477,487,970,232,268,501,183,208,387,140,161,300,0,0,0,32732,36105,68831,3936,3854,7786,685,606,1285,49071,53404,102475,9504,9157,18659,126866,134812,261686
204,44803,45736,90544,8552,9216,17764,2644,2805,5447,11990,12912,24901,1417,1216,2635,283,303,590,387,404,784,166,184,348,306,290,597,159,159,323,0,0,0,17357,18271,35625,1075,1215,2292,383,330,713,27365,29032,56394,6906,6880,13789,79076,81650,160728
205,71447,72955,144401,15714,17385,33099,1057,1153,2209,20482,22634,43115,1216,1280,2492,277,304,587,580,579,1160,195,226,424,202,201,403,101,103,206,4,0,4,24116,26482,50598,1504,1798,3297,561,516,1083,41889,46182,88074,11998,11711,23708,125335,130850,256183
206,101111,109623,210739,12786,13264,26049,6070,6886,12956,67149,70215,137367,4688,5360,10048,1840,2083,3921,2790,3032,5825,1092,1221,2314,426,451,879,1383,1461,2839,7,4,12,85450,90710,176159,44257,50256,94511,2118,2014,4133,144608,156238,300846,26393,26682,53070,272112,292547,564656
207,90873,99935,190807,6731,7079,13803,1597,1728,3325,35967,38168,74135,1138,1312,2448,596,657,1253,635,665,1303,269,272,538,101,126,224,265,290,560,5,0,5,40575,43213,83783,17066,18818,35879,710,682,1386,65072,69784,134859,7853,8723,16571,163795,178440,342234
208,100229,109512,209741,9235,9762,18997,1843,2020,3867,42908,45525,88436,1306,1474,2780,496,514,1011,707,719,1427,280,307,585,100,115,218,253,270,524,4,0,4,47909,50941,98847,14059,16068,30128,848,790,1635,72046,77560,149605,9982,11026,21015,182262,198096,380361
209,128757,134387,263142,9139,9376,18518,1827,1874,3699,53162,55029,108192,1549,1604,3152,627,645,1267,618,632,1254,280,339,618,237,242,480,265,292,558,6,4,8,58582,60655,119238,14988,15408,30396,1007,922,1927,83715,86363,170084,13349,14210,27557,225819,234958,460779
210,95213,98977,194191,9442,9666,19103,1338,1364,2703,35073,35666,70745,930,941,1871,418,410,830,438,435,873,142,157,297,149,123,277,119,129,253,3,3,4,38609,39236,77847,11550,10918,22471,742,681,1424,60343,60503,120847,10843,11032,21868,166397,170514,336912
