SA4_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
201,0,0,3,5,0,12,0,0,0,24,0,0,3,4,0,0,3,3,0,16,0,0,3,16,3,0,0,0,0,25,0,3,3,13,19,91,183,100,33,453,8,32,52,179,155,142,90,28,10,694,0,0,3,0,8,13,15,8,3,56,0,0,9,19,4,0,0,0,0,33,0,0,5,16,12,0,3,0,0,37,4,28,23,162,57,70,24,3,0,370,0,0,0,11,3,8,9,4,8,52,0,3,9,26,47,64,107,49,23,323,0,8,4,14,11,13,0,0,0,43,0,10,14,45,30,26,17,3,0,149,0,0,0,4,7,10,14,5,7,50,0,9,7,36,5,8,10,0,0,72,0,0,3,13,3,0,0,0,0,19,3,6,13,51,16,12,0,0,0,101,0,0,0,0,3,3,3,0,0,6,0,0,0,3,0,3,0,0,0,7,0,8,18,57,28,49,23,3,0,183
202,0,0,0,14,11,0,4,0,0,30,0,8,39,111,33,15,7,9,0,230,3,0,0,15,0,0,0,0,0,25,0,3,7,15,17,45,81,38,13,222,3,20,40,192,118,143,75,26,6,621,0,0,0,6,9,10,14,12,3,53,0,7,4,19,0,0,3,0,0,30,0,3,0,31,13,3,3,0,0,55,0,28,31,168,78,44,18,4,0,377,0,0,0,7,0,7,4,9,5,30,0,0,5,17,40,60,68,39,16,257,0,0,7,13,4,13,3,0,0,38,0,9,17,61,23,22,23,6,3,163,0,0,0,0,4,3,10,3,0,22,0,10,4,41,19,13,9,6,4,103,0,3,11,65,3,5,0,0,0,88,15,85,73,61,15,6,4,0,0,261,0,0,0,0,0,3,3,0,0,9,0,0,0,8,0,0,4,0,0,9,0,15,13,49,26,26,28,6,3,170
203,0,4,8,17,15,5,8,3,0,54,3,5,38,92,27,21,16,0,0,203,0,4,9,33,3,0,0,0,0,45,0,3,13,38,38,133,298,187,98,809,15,70,119,476,276,218,136,36,16,1358,0,7,3,26,37,50,61,33,10,236,5,36,35,60,3,3,4,0,0,143,0,5,0,32,22,13,3,3,0,80,13,50,99,321,186,136,80,9,8,890,0,0,0,48,22,45,50,44,55,264,3,24,20,81,101,191,207,151,44,811,0,20,27,42,25,21,14,0,0,152,3,23,39,141,85,50,38,21,6,401,0,0,0,13,36,58,67,48,21,239,3,11,16,91,20,20,18,3,8,187,3,0,7,23,4,4,4,0,0,46,9,91,64,126,46,15,10,3,0,354,0,0,5,36,47,87,83,60,16,340,0,0,5,19,14,7,13,5,0,66,10,56,39,164,56,45,46,9,4,425
204,0,0,0,8,3,3,3,0,0,26,0,0,0,6,0,0,0,0,0,10,0,14,18,16,0,0,0,0,0,54,0,3,4,22,19,84,139,61,25,364,4,34,44,213,162,178,95,45,14,777,0,0,0,11,7,11,11,7,4,59,0,0,0,18,0,0,0,0,0,22,0,0,3,17,17,9,5,0,0,47,5,23,28,191,68,78,30,5,0,438,0,0,0,14,4,5,11,7,17,55,0,0,6,28,37,77,91,41,12,301,0,0,7,15,9,4,4,0,0,42,0,4,11,55,27,25,15,3,4,148,0,0,0,0,11,13,14,13,10,56,0,6,3,33,15,9,4,3,0,75,0,3,18,56,0,3,0,0,0,80,6,9,14,57,27,10,3,3,0,133,0,0,0,0,7,4,3,0,0,10,0,0,0,8,3,0,5,0,0,14,5,12,6,53,34,37,36,6,0,195
205,0,3,4,22,20,14,14,0,3,75,0,0,0,14,3,3,0,3,0,26,0,0,3,17,3,0,0,0,0,22,0,10,6,43,49,224,424,221,104,1078,12,90,107,405,289,343,197,72,21,1529,0,0,0,8,24,33,59,23,11,157,0,3,8,16,6,0,3,0,0,40,0,7,4,28,16,13,8,0,0,67,9,34,41,284,166,152,87,21,8,796,0,0,0,16,13,34,33,18,33,146,0,8,8,54,69,178,288,150,56,815,0,4,5,22,11,9,0,0,0,51,0,23,27,92,66,55,37,15,3,318,0,0,0,0,6,10,24,12,4,64,0,11,4,63,20,19,23,3,4,147,0,0,11,82,7,0,0,0,0,97,3,15,19,96,41,19,3,3,0,190,0,0,0,0,3,3,3,0,0,13,0,0,0,0,3,0,3,0,0,10,9,26,15,66,45,64,48,10,0,281
206,0,0,56,218,29,35,25,16,8,393,0,7,84,50,14,19,9,3,5,190,3,18,218,570,12,15,0,0,0,834,4,20,48,233,56,51,90,33,17,545,46,126,960,4413,802,628,234,85,33,7330,0,0,7,139,31,35,14,13,5,246,16,28,31,228,11,14,8,0,0,336,0,3,14,96,46,14,6,0,0,174,13,53,196,1140,198,173,88,23,10,1881,0,3,18,345,76,155,134,107,139,976,8,15,81,533,184,133,130,60,24,1176,22,58,685,811,110,86,41,6,3,1821,6,10,169,721,166,128,74,25,13,1316,0,0,0,63,40,45,45,53,22,269,3,17,127,513,101,119,61,17,18,973,8,12,270,1030,59,54,21,0,0,1465,20,29,406,1403,139,47,15,3,3,2071,0,3,9,100,71,54,36,39,14,332,0,8,14,223,194,111,87,47,7,697,71,174,351,1370,261,187,123,17,17,2562
207,0,3,19,70,37,35,13,10,4,192,0,3,9,36,15,19,7,5,7,109,0,0,27,56,5,0,3,0,0,93,5,15,13,39,34,40,91,70,39,347,21,186,294,707,435,324,169,109,40,2284,0,0,0,16,19,23,19,18,14,120,3,31,38,130,37,23,11,4,0,284,0,3,5,30,39,15,6,7,0,104,11,60,78,521,149,121,81,15,3,1031,0,0,0,95,45,98,84,81,45,446,0,17,16,92,81,93,128,100,65,600,17,138,186,402,184,207,117,34,9,1306,8,60,184,384,258,161,122,59,13,1248,0,0,0,18,34,35,26,34,8,152,4,50,191,563,216,260,161,96,54,1596,6,32,103,623,139,181,91,13,4,1196,8,22,77,384,90,34,14,9,0,636,0,0,3,27,34,49,41,46,12,221,0,3,14,51,56,35,14,20,5,193,39,159,133,240,167,88,48,18,7,892
208,0,11,8,151,80,78,62,36,16,441,3,0,8,18,17,13,10,9,4,84,0,6,49,139,6,5,0,0,0,207,7,38,17,79,59,77,105,51,42,483,39,184,306,1227,731,542,257,97,44,3427,0,0,7,59,53,35,43,26,17,243,0,8,9,70,15,10,9,3,0,116,0,0,5,37,37,21,4,3,0,102,12,53,88,603,229,222,86,26,7,1315,0,9,7,254,115,255,298,193,369,1504,0,44,57,239,209,189,231,140,70,1181,11,101,83,237,89,69,44,16,9,662,24,133,288,958,619,431,298,139,74,2955,0,0,6,26,47,55,39,39,16,231,3,19,50,426,199,211,174,106,58,1250,3,10,24,178,26,24,6,0,0,282,14,34,67,401,78,44,16,5,0,663,0,0,0,26,27,16,9,11,3,92,0,6,5,63,86,70,49,32,10,323,44,226,160,415,234,155,70,19,10,1332
209,3,7,45,167,62,60,27,22,11,409,0,4,14,37,11,4,3,0,0,82,4,22,122,385,16,14,4,0,0,562,0,16,3,57,30,61,104,66,23,356,58,322,317,1174,470,335,140,57,13,2883,0,4,3,30,32,27,42,24,4,176,20,61,50,366,47,40,9,6,3,610,0,4,3,51,26,14,6,0,0,102,15,97,194,1017,429,362,176,49,20,2355,0,3,5,124,53,96,60,54,40,437,4,23,35,132,130,174,164,104,35,800,8,65,79,240,79,62,29,15,0,571,4,61,97,301,155,84,47,20,0,772,0,0,0,21,64,86,78,58,16,325,23,123,191,1057,355,291,174,86,23,2319,3,7,29,187,32,29,5,3,0,290,13,24,87,421,93,46,14,4,0,703,0,24,74,638,683,853,764,399,86,3524,3,10,22,139,171,110,56,35,3,546,20,65,77,253,102,73,52,7,3,657
210,0,11,12,75,36,34,14,8,9,192,0,3,10,38,15,4,9,6,0,86,5,56,205,546,12,12,3,3,0,843,0,9,8,22,19,50,85,40,14,243,70,380,393,933,429,229,93,18,14,2558,0,0,3,13,16,21,41,18,13,130,90,213,171,990,78,41,19,4,4,1609,0,3,9,37,23,9,5,0,0,83,22,106,206,930,472,384,153,34,25,2335,0,0,0,87,59,90,79,69,76,463,0,9,6,77,75,127,131,90,29,554,12,42,57,101,54,29,16,4,4,327,3,33,36,126,70,35,20,16,0,334,0,0,3,17,46,46,51,47,14,225,32,140,176,853,475,209,137,47,24,2096,0,3,14,76,9,14,3,0,0,116,4,22,32,290,71,28,15,0,0,471,0,0,3,72,77,79,75,26,8,347,19,58,162,1163,1246,585,347,145,30,3753,10,39,56,126,51,37,23,7,3,344
