SA4_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
201,3012,671,3745,24238,10531,1158,35927,80931,11656,128519
202,3013,888,3961,23734,10292,1219,35238,77171,12366,124780
203,5954,1279,7326,45781,19081,1993,66855,141914,18355,227122
204,3539,980,4590,24937,10858,1100,36897,88930,13964,139788
205,5570,1566,7251,39105,17840,1942,58886,141230,23477,223600
206,7624,1567,9372,67840,24494,2255,94587,377769,51935,524285
207,9453,1473,11110,59135,20786,1732,81653,201660,17037,300350
208,10426,1927,12538,71263,22637,2426,96323,212393,21129,329844
209,7363,1540,9057,86990,27675,2738,117407,254511,27586,399503
210,5639,906,6650,61588,18212,1728,81533,185370,21701,288599
211,8830,1687,10639,86628,33042,3548,123213,261582,23262,408056
212,11160,1957,13311,131090,38604,3781,173478,390733,40902,605115
213,7047,1497,8698,133422,34463,3626,171508,355575,45402,572482
214,6245,1436,7772,47239,19956,2104,69300,148727,19247,237269
215,3795,964,4819,20909,8944,972,30821,78496,14037,123356
216,2782,743,3579,19109,7747,798,27653,66457,11395,105507
217,2752,719,3529,18178,7921,813,26914,63870,9888,100676
297,0,0,0,5,0,0,5,18,3,25
299,25,13,38,649,290,14,960,3900,1969,6825
