SA4_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
201,0,18,0,18,..,170,12,187,0,189,..,76,11,88,0,88,..,46,3,45,0,45,..,38,11,50,0,50,..,14,0,14,0,14,..,42,8,54,0,54,..,596,117,715,24,738,..,3057,433,3487,53,3538,..,208,13,218,5200,5424,67839,3271,440,3711,5249,76798,71583,..,..,..,..,71583,..,45,0,45,0,45,..,64,4,73,0,73,..,13,0,13,0,20,..,73,24,95,0,97,..,371,107,478,4,480,..,36,8,42,0,42,..,482,139,616,3,617,..,84,14,93,0,97,..,142,0,146,3,147,..,112,4,116,0,112,..,178,4,181,3,189,..,89,14,103,3,108,..,29,4,38,0,38,..,105,8,116,0,116,..,101,24,130,0,125,..,39,7,42,0,47,..,37,9,44,0,44,..,58,6,65,0,65,..,371,58,430,3,433,..,163,18,173,0,175,..,92,9,100,0,100,..,23,3,24
202,0,18,0,18,..,176,3,178,5,187,..,68,4,70,0,70,..,31,0,35,3,38,..,16,3,18,0,22,..,11,4,19,0,19,..,42,13,55,0,57,..,669,338,1002,26,1030,..,2550,592,3137,45,3186,..,170,25,189,5881,6076,65439,2713,612,3329,5931,74698,69179,..,..,..,..,69179,..,48,3,48,0,48,..,73,6,84,0,85,..,4,0,4,0,4,..,62,17,80,0,83,..,227,133,365,3,367,..,13,3,19,0,19,..,305,157,464,6,468,..,29,3,33,0,33,..,77,3,79,3,78,..,97,5,100,0,100,..,154,7,156,0,165,..,93,13,111,0,111,..,30,6,33,0,32,..,86,7,94,0,97,..,82,18,101,0,100,..,47,8,60,0,60,..,31,0,33,0,33,..,61,3,69,0,69,..,340,46,391,0,393,..,157,14,164,4,170,..,46,0,47,0,50,..,26,6,31
203,4,67,3,69,..,550,11,564,5,568,..,238,39,274,4,281,..,119,3,126,0,126,..,81,20,100,0,97,..,140,31,172,0,175,..,287,84,370,8,380,..,2070,583,2647,65,2713,..,10948,1753,12702,187,12883,..,334,29,366,8455,8818,114106,11279,1787,13066,8634,135813,121288,..,..,..,..,121288,..,86,0,86,3,94,..,238,59,303,4,303,..,15,0,15,0,15,..,207,28,236,0,234,..,736,194,930,20,948,..,41,15,52,0,52,..,980,233,1214,15,1234,..,932,208,1138,7,1140,..,308,3,315,7,319,..,249,10,256,3,261,..,535,20,555,8,561,..,422,83,506,11,512,..,50,7,65,0,65,..,225,13,233,0,237,..,318,45,364,3,370,..,111,11,120,0,124,..,79,14,91,0,91,..,152,12,162,5,164,..,937,95,1036,14,1044,..,1148,210,1355,25,1379,..,166,11,183,0,183,..,74,14,87
204,0,32,0,32,..,204,9,212,0,217,..,80,10,90,0,91,..,23,0,27,0,27,..,36,13,46,3,50,..,17,7,21,0,21,..,25,3,28,0,29,..,516,99,616,17,626,..,3223,446,3676,57,3732,..,198,11,208,6236,6438,73744,3421,460,3879,6291,83920,75833,..,..,..,..,75833,..,37,0,39,0,39,..,55,4,56,0,56,..,3,0,3,0,6,..,58,17,82,0,81,..,185,81,262,0,264,..,17,14,32,0,32,..,262,114,373,3,380,..,84,16,103,0,100,..,108,3,107,3,110,..,122,4,127,3,126,..,333,10,339,6,346,..,91,10,100,3,103,..,9,6,14,0,20,..,73,7,84,0,84,..,110,14,123,0,123,..,57,0,59,0,59,..,25,5,33,0,32,..,113,38,152,3,153,..,383,71,454,9,461,..,615,97,716,13,731,..,70,12,77,0,77,..,20,8,24
205,3,33,0,34,..,240,13,254,3,257,..,150,14,169,0,169,..,65,8,78,0,78,..,41,18,61,0,65,..,18,3,20,0,20,..,106,44,147,3,148,..,841,182,1026,26,1048,..,5084,730,5811,106,5914,..,344,22,373,10644,11019,116236,5429,751,6181,10750,133172,121103,..,..,..,..,121103,..,93,0,96,0,96,..,114,28,136,7,146,..,19,0,19,0,16,..,105,32,134,3,141,..,317,149,461,6,470,..,33,13,47,0,47,..,452,190,645,4,650,..,79,10,91,0,91,..,370,8,380,4,382,..,139,4,143,3,145,..,378,15,391,11,405,..,277,58,328,10,338,..,33,3,37,0,37,..,99,10,106,0,111,..,105,8,118,0,118,..,83,0,85,0,89,..,48,4,49,0,49,..,62,12,70,3,76,..,434,36,467,3,471,..,816,156,969,18,989,..,67,12,80,0,76,..,29,5,31
206,16,514,5,517,..,3167,126,3292,22,3313,..,3300,246,3542,32,3580,..,864,31,897,12,900,..,787,214,996,12,1008,..,929,166,1091,12,1100,..,2871,845,3714,31,3744,..,7806,1038,8840,202,9044,..,70373,11559,81934,792,82719,..,615,112,718,24912,25635,177437,70982,11672,82655,25705,285795,184383,..,..,..,..,184383,..,173,3,181,0,177,..,2860,747,3606,40,3640,..,26,0,26,0,26,..,4352,1202,5550,41,5594,..,17425,3518,20940,120,21066,..,1206,504,1709,14,1722,..,22979,5223,28198,174,28379,..,609,68,676,10,684,..,474,6,474,6,482,..,2049,74,2126,23,2144,..,1429,42,1464,21,1483,..,6814,2531,9344,68,9407,..,361,30,390,4,390,..,2034,79,2116,15,2133,..,318,35,349,0,351,..,473,11,484,0,484,..,405,38,442,3,447,..,1677,117,1792,8,1805,..,5271,306,5579,31,5605,..,7344,1800,9144,92,9240,..,1287,301,1583,18,1600,..,1438,584,2021
207,11,199,0,199,..,1260,64,1321,9,1329,..,756,69,824,6,834,..,683,18,695,7,698,..,234,51,282,0,280,..,221,21,241,0,242,..,1574,251,1829,9,1833,..,2719,453,3174,99,3271,..,50202,9839,60038,461,60502,..,352,68,422,7024,7448,104833,50556,9901,60458,7489,172782,110336,..,..,..,..,110336,..,200,5,203,3,204,..,1179,196,1373,16,1382,..,3,0,3,0,3,..,7786,2290,10075,56,10129,..,15696,6163,21857,101,21957,..,1144,438,1579,4,1585,..,24619,8887,33510,166,33671,..,316,41,361,6,365,..,183,3,183,3,184,..,784,23,804,0,809,..,685,17,703,7,708,..,6067,1246,7316,63,7377,..,214,20,229,0,237,..,1394,55,1449,13,1467,..,474,45,523,0,526,..,827,23,855,0,859,..,287,25,314,3,322,..,947,70,1017,6,1020,..,4148,246,4392,30,4423,..,3977,534,4511,50,4565,..,586,78,659,8,668,..,970,344,1313
208,0,111,0,112,..,982,31,1019,4,1021,..,1096,77,1174,12,1192,..,608,31,634,0,633,..,214,48,260,3,266,..,394,62,458,3,459,..,711,92,805,8,807,..,5859,647,6508,112,6625,..,38472,5196,43672,390,44058,..,424,67,489,9166,9652,140373,38899,5260,44155,9552,194086,149298,..,..,..,..,149298,..,286,7,292,0,291,..,619,59,683,12,690,..,0,0,3,0,3,..,1642,357,2004,15,2012,..,6699,2066,8760,49,8810,..,457,166,629,3,625,..,8799,2589,11386,66,11452,..,403,40,449,3,451,..,315,10,319,8,331,..,1318,51,1363,11,1373,..,1107,26,1138,5,1143,..,5830,1299,7130,62,7192,..,199,6,207,0,207,..,1461,88,1545,6,1556,..,380,38,421,0,425,..,456,16,468,0,470,..,114,9,120,0,118,..,1106,131,1241,10,1246,..,3715,288,4001,20,4023,..,2433,284,2713,37,2750,..,873,195,1067,8,1069,..,504,142,645
209,15,282,0,279,..,1840,92,1927,14,1945,..,1053,105,1160,18,1174,..,1472,145,1621,26,1639,..,232,42,281,4,281,..,992,156,1142,15,1156,..,2925,1022,3945,40,3984,..,6930,1294,8219,215,8435,..,66504,11829,78327,959,79290,..,627,168,802,11838,12637,151561,67127,11995,79129,12792,243480,155766,..,..,..,..,155766,..,209,4,214,0,216,..,5815,1603,7410,76,7486,..,33,0,33,0,33,..,1642,675,2316,12,2335,..,5012,2232,7251,43,7290,..,526,228,752,7,755,..,7180,3135,10319,65,10385,..,875,144,1021,13,1035,..,227,6,234,3,234,..,589,16,604,7,611,..,646,22,669,3,671,..,6571,1497,8070,97,8161,..,336,41,375,0,377,..,2424,176,2600,32,2631,..,3054,469,3524,51,3574,..,1352,103,1462,7,1470,..,760,108,871,10,879,..,1339,140,1476,11,1484,..,9266,1037,10298,115,10416,..,9681,2124,11798,153,11954,..,483,53,536,4,542,..,240,87,324
210,17,274,0,271,..,1739,67,1806,12,1825,..,958,131,1084,13,1098,..,492,58,552,0,552,..,148,61,207,6,210,..,6467,1356,7830,86,7914,..,1460,431,1893,13,1901,..,9200,2604,11797,189,11990,..,59486,10389,69869,870,70739,..,468,148,619,9700,10323,99010,59953,10536,70493,10575,180073,100419,..,..,..,..,100419,..,77,3,78,3,78,..,8885,2187,11079,116,11192,..,10,0,10,0,10,..,725,306,1037,6,1042,..,1229,452,1677,11,1691,..,110,38,152,0,152,..,2066,796,2864,17,2876,..,925,158,1084,8,1093,..,102,0,105,0,106,..,273,10,282,3,281,..,360,16,376,13,388,..,3231,779,4007,51,4059,..,411,62,474,11,477,..,1720,113,1829,19,1852,..,2286,360,2652,29,2681,..,1839,169,2012,16,2029,..,2006,333,2335,25,2366,..,1315,236,1552,12,1567,..,9580,1274,10859,123,10977,..,7828,1776,9603,138,9745,..,194,21,211,0,212,..,114,43,154
