SA4_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
201,314,646,436,260,406,97,37,2195,39,45,23,24,21,6,6,158,9,13,18,10,17,0,3,67,442,970,722,497,838,250,92,3809,30,102,58,39,27,12,7,270,69,158,71,59,56,13,3,430,99,258,137,96,87,23,5,699,539,1231,857,593,922,272,98,4512,955,831,453,321,298,75,20,2952,11,15,4,5,5,0,0,45,1505,2070,1314,916,1220,346,121,7505
202,285,670,436,299,409,120,30,2251,52,48,34,17,14,6,3,173,9,9,9,8,8,0,3,44,440,984,741,568,854,285,104,3972,25,64,46,26,47,9,3,220,53,84,53,27,39,11,0,273,79,157,102,57,86,18,3,497,516,1140,845,623,934,303,105,4462,899,817,422,268,293,79,23,2795,6,5,6,6,5,0,0,34,1430,1956,1273,887,1240,379,129,7291
203,534,975,728,501,700,231,104,3770,73,53,33,11,53,12,8,242,9,23,16,13,17,9,3,95,826,1601,1263,956,1489,562,251,6944,31,108,71,57,69,14,9,358,78,155,102,49,62,16,8,462,112,267,171,102,129,29,14,822,933,1862,1429,1057,1616,594,267,7765,1262,1205,603,441,520,171,74,4271,23,32,19,10,14,6,3,109,2221,3100,2050,1508,2151,765,349,12151
204,316,683,467,309,428,94,20,2310,35,44,23,7,19,7,0,139,14,15,15,15,23,3,3,85,500,1122,837,623,911,214,56,4262,32,75,53,35,47,7,3,245,62,103,57,29,19,8,5,288,94,178,108,68,70,10,6,536,594,1299,945,687,976,225,63,4798,859,818,406,278,294,73,17,2744,27,18,12,17,12,0,0,75,1476,2139,1359,987,1278,299,74,7611
205,495,1035,679,510,676,153,38,3585,75,58,33,37,36,4,4,250,22,27,17,13,17,4,0,108,792,1591,1141,961,1417,347,89,6346,47,141,88,65,98,21,3,467,93,232,138,66,87,14,0,632,140,373,227,136,185,39,3,1096,933,1969,1366,1094,1604,387,94,7439,1677,1514,717,477,561,134,28,5100,30,31,12,23,4,4,0,104,2640,3511,2103,1590,2168,525,121,12642
206,475,819,542,380,540,376,234,3369,67,36,25,19,26,28,16,211,15,17,20,21,22,22,10,120,912,1696,1176,887,1351,983,653,7657,52,91,49,41,82,40,33,389,69,169,86,59,74,51,29,530,122,255,136,94,150,94,65,920,1037,1955,1311,985,1501,1076,719,8581,1192,1102,640,459,636,437,274,4734,29,27,23,17,15,11,8,120,2254,3081,1969,1456,2152,1523,1004,13441
207,226,665,532,395,626,436,242,3123,39,13,12,15,15,23,16,146,8,22,12,7,16,23,15,101,469,1320,1108,868,1496,1096,631,6989,27,64,25,29,50,30,25,247,21,59,34,44,58,40,26,277,49,118,59,70,104,77,47,525,518,1441,1162,940,1600,1173,672,7513,462,615,413,347,553,343,244,2975,9,5,3,8,4,7,4,54,992,2061,1583,1297,2156,1519,924,10534
208,355,915,642,494,685,413,219,3726,45,28,15,18,35,20,16,183,14,27,14,13,29,19,10,123,718,1758,1396,1087,1734,1134,660,8494,11,58,36,35,57,44,18,257,25,105,61,40,50,23,11,306,42,164,90,70,109,61,31,564,755,1922,1494,1164,1843,1192,693,9057,547,577,393,284,360,233,173,2564,17,14,12,3,3,0,3,50,1317,2506,1893,1446,2205,1425,869,11670
209,635,1365,1006,688,895,436,221,5241,85,62,40,25,32,25,18,281,34,39,39,27,33,25,12,212,1185,2389,1903,1442,2077,1174,664,10836,59,113,72,61,74,55,19,462,95,206,118,83,70,37,18,624,153,319,191,146,143,96,36,1083,1341,2706,2089,1585,2220,1271,698,11914,1746,1774,970,618,706,378,231,6435,40,37,34,23,15,4,0,151,3132,4519,3094,2227,2943,1656,932,18497
210,500,956,722,492,681,331,152,3836,57,43,37,26,24,20,13,224,27,47,29,32,38,21,15,215,911,1751,1374,1064,1596,838,466,7996,51,115,66,54,86,49,22,439,94,159,100,76,82,30,16,556,144,279,169,130,166,78,32,999,1056,2029,1540,1191,1762,922,495,8995,1540,1496,970,602,811,382,202,6006,33,46,20,19,14,3,7,142,2628,3567,2530,1822,2586,1305,702,15136
