SA4_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
201,21,575,2176,2047,2245,1839,688,198,93,9879,13,192,1456,1421,1615,1070,311,94,32,6185,0,63,958,1320,1296,951,211,56,18,4882,0,27,498,838,927,635,124,42,20,3111,3,21,499,1003,1148,789,164,34,12,3680,9,20,156,525,635,446,167,57,27,2059,1052,807,1364,1458,1762,1858,1943,1339,766,12346,9654,9873,17520,18747,21290,21334,17469,8886,3745,128519
202,23,588,2139,1903,2167,1825,690,242,105,9688,9,245,1443,1457,1560,1211,355,88,30,6391,0,67,918,1292,1332,1021,247,55,23,4965,0,37,494,803,916,623,148,33,17,3072,3,23,517,1090,1215,768,169,63,19,3875,13,25,151,495,587,429,180,69,23,1965,1131,753,1618,1569,1781,1911,1866,1420,1072,13124,9372,9235,17108,18211,20471,20946,16603,8878,3961,124780
203,37,1090,4497,3902,3908,3264,1390,418,194,18697,15,382,3370,3057,2784,2075,669,160,71,12580,10,171,2331,2758,2601,1798,459,132,39,10296,4,61,1216,1979,1917,1283,299,65,33,6864,7,35,1274,2725,2577,1702,423,110,44,8896,19,50,403,1311,1532,991,398,142,58,4902,1642,1366,2633,2608,2760,2696,2838,2180,1630,20352,17118,17452,34086,35537,36470,35106,28527,15504,7326,227122
204,61,667,2267,2218,2610,2375,890,277,148,11507,22,236,1522,1659,1843,1529,497,103,38,7449,6,108,889,1268,1494,1197,282,81,31,5347,6,25,474,852,1062,755,200,52,26,3458,3,18,415,892,1197,858,226,66,11,3693,10,25,123,332,474,430,221,99,29,1732,1402,774,1539,1723,2044,2393,2310,1653,1062,14898,10287,8501,17119,19275,23366,25285,20812,10558,4590,139788
205,51,912,3361,2881,3403,3106,1434,513,178,15841,6,338,2236,2101,2249,1926,687,160,52,9743,6,152,1402,1684,2042,1714,413,103,41,7551,0,50,825,1230,1488,1193,285,50,23,5138,4,67,953,1571,2023,1561,354,87,25,6650,31,62,422,762,1179,936,294,124,61,3871,1985,1420,2762,2728,3409,3908,4038,2854,1625,24737,15423,13540,28423,29340,35918,40282,35293,18127,7251,223600
206,194,4117,20986,7640,5316,3851,2165,603,227,45098,67,1753,17899,7150,4701,3194,1437,362,115,36674,58,695,14439,7961,5053,3375,1239,294,111,33233,26,320,8697,6626,4132,2518,911,258,101,23586,65,322,12994,12994,8079,4548,1564,423,159,41141,59,263,4464,10886,9012,5217,2202,608,266,32982,2902,6434,16680,9001,6411,5230,3956,2729,1866,55211,27570,65808,159836,90017,66343,50874,34506,19956,9372,524285
207,40,1685,6372,3646,4069,3412,2128,922,431,22700,23,606,4907,3236,3246,2614,1357,590,266,16849,17,264,3750,3410,3679,2632,1247,458,220,15676,3,74,2153,2822,2959,2153,800,291,147,11401,19,83,3067,5843,5673,3686,1336,467,232,20400,17,94,1195,5900,7411,4066,1487,504,253,20932,1461,1586,2882,2336,2755,2358,2277,2420,2291,20362,24314,28564,48315,44705,49792,40646,31487,21417,11110,300350
208,58,1562,7284,4966,5222,4382,2250,825,453,27014,17,600,5710,4512,4305,3222,1455,468,231,20522,28,230,4478,4919,4549,3210,1210,390,223,19231,10,96,2618,3904,3644,2447,846,257,141,13960,11,87,3712,7729,7108,3865,1323,389,216,24451,23,70,1414,7545,8263,4106,1432,491,274,23620,1550,1647,3501,3450,3681,3053,2880,2582,2577,24922,23090,25368,52231,57088,58600,46291,34044,20587,12538,329844
209,67,1999,10160,7890,7262,5128,1709,494,180,34887,21,679,7336,6283,5306,3519,1020,202,87,24440,14,274,5030,5839,4703,2960,683,151,51,19696,6,89,2685,4133,3412,2183,442,89,22,13058,7,105,2997,6162,4900,2876,598,115,34,17782,26,53,771,2824,2959,1650,459,142,50,8937,2548,2389,5365,4583,4369,3774,3465,2731,1988,31209,29178,33852,76421,71765,65482,54028,38246,21466,9057,399503
210,54,1517,7006,5487,5123,3442,1088,294,100,24114,19,534,4761,4116,3695,2286,510,106,50,16082,3,213,3295,3491,3211,1795,370,56,30,12461,10,89,1747,2537,2200,1255,226,34,19,8117,3,71,2049,3672,2923,1554,302,63,25,10664,13,47,536,1531,1539,834,201,84,27,4821,2167,1831,4179,3617,3457,2840,2728,2076,1228,24118,23121,24425,55208,50908,48264,37105,26721,16209,6650,288599
