SA4_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
201,8,0,0,14,15,0,0,0,14,3,0,4,22,3,0,19,698,73,13,8,797,9,0,9,809,44,0,852,104,20,8,0,134,3,0,3,135,45,0,183,0,0,0,0,3,0,0,0,3,0,0,3,801,94,18,10,934,16,0,12,944,88,3,1040,93,18,3,0,116,0,3,3,118,18,3,133,122,26,5,0,153,0,0,0,153,7,0,159,4,0,0,0,9,0,0,0,9,0,0,9,0,0,0,3,3,0,0,0,3,0,0,3,215,47,11,3,273,0,3,3,279,28,3,309,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,223,47,11,3,285,0,3,3,284,28,3,316,26,6,4,0,36,0,0,0,40,15,0,51,0,0,0,0,0,0,0,0,0,0,0,0,251,51,14,3
202,15,3,0,16,15,0,0,0,21,0,0,0,17,3,0,23,642,105,15,18,777,10,0,10,781,56,3,838,101,17,7,5,126,0,0,6,130,51,0,177,3,0,0,0,3,0,0,0,3,0,0,7,739,123,22,22,906,13,0,13,919,101,0,1024,89,6,0,0,100,5,0,5,100,0,0,102,96,24,5,0,123,0,0,0,129,6,0,133,0,0,4,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,189,32,9,5,230,5,0,5,234,12,0,247,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,6,191,32,9,5,238,3,0,3,238,13,0,253,24,7,0,3,28,0,0,3,33,11,0,47,0,0,0,0,0,0,0,0,0,0,0,0,217,39,6,11
203,36,0,0,38,45,5,3,0,58,7,3,9,70,3,0,72,1614,227,48,29,1920,33,5,35,1958,96,5,2063,249,50,8,12,320,10,0,16,334,87,0,416,0,0,0,0,4,0,0,0,4,0,3,5,1872,272,59,43,2244,46,9,52,2292,181,12,2485,267,30,8,0,302,5,0,4,305,32,0,339,345,64,3,0,412,0,0,3,413,29,0,442,11,0,9,4,29,0,0,0,29,3,0,30,3,0,0,3,9,0,0,0,9,0,0,9,627,94,19,12,754,8,0,5,758,63,3,824,8,0,0,0,7,0,0,0,7,0,0,7,9,4,0,0,13,4,0,4,15,0,0,15,14,3,0,0,21,4,0,4,23,0,0,23,643,100,19,15,774,8,0,7,783,63,3,848,99,25,4,3,133,4,3,7,139,50,0,191,0,0,0,0,0,0,0,0,0,0,0,3,742,121,28,17
204,10,4,0,8,14,0,0,0,15,3,0,4,17,3,0,20,562,71,12,11,652,10,0,12,666,30,0,697,79,13,3,0,94,0,0,4,104,22,0,121,0,0,0,0,0,0,0,0,3,0,0,6,639,80,11,11,752,12,3,19,766,55,3,829,70,9,0,0,78,0,0,0,79,13,0,88,50,12,4,0,63,0,0,3,63,3,0,65,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,117,25,4,0,147,3,0,4,147,15,0,160,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,5,0,0,5,124,25,4,0,154,3,0,4,157,15,0,165,17,3,0,0,21,0,0,0,18,14,0,35,3,0,0,0,3,0,0,0,3,0,0,3,140,27,4,0
205,18,0,0,18,27,9,0,0,28,3,0,3,32,0,0,32,922,131,34,15,1108,20,0,25,1133,68,3,1204,166,31,4,3,206,8,5,11,210,57,0,266,0,0,0,0,3,0,0,0,3,0,8,6,1089,162,41,21,1314,24,5,36,1348,124,8,1478,108,12,0,0,121,3,0,3,122,8,0,135,137,17,0,3,155,0,0,3,160,18,0,178,3,0,0,0,4,0,0,0,4,3,0,12,4,0,0,4,4,0,0,0,5,0,0,5,251,33,6,8,289,3,0,4,300,24,0,323,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,0,0,0,6,0,0,6,5,3,0,0,8,0,0,0,8,0,0,8,257,33,6,8,299,3,0,4,308,24,0,336,34,9,3,0,44,3,0,8,47,15,3,66,0,0,0,0,0,0,0,0,0,0,0,0,286,42,6,9
206,54,10,0,62,67,18,0,7,86,9,3,17,104,10,0,112,2475,337,34,47,2894,52,15,68,2960,219,4,3189,465,86,9,13,570,23,12,35,607,189,3,802,3,0,0,0,3,0,0,0,3,0,6,9,2947,418,42,60,3471,79,20,98,3576,415,14,4001,613,89,4,6,718,18,6,22,741,57,0,803,573,129,8,4,711,10,3,9,727,72,0,796,16,3,6,0,29,0,0,0,29,3,0,28,9,0,0,15,29,0,0,0,24,5,0,35,1211,224,23,21,1486,24,9,37,1514,141,3,1658,9,4,0,0,9,4,0,4,12,0,0,15,15,3,0,0,13,3,3,9,25,3,0,28,22,3,0,0,23,5,3,7,34,5,0,39,1236,227,23,27,1511,33,11,44,1551,144,0,1696,278,69,7,4,357,8,7,13,372,145,3,521,0,0,0,4,0,0,0,0,0,0,3,4,1512,296,30,31
207,92,13,0,104,108,11,0,0,122,23,6,32,158,15,3,171,4073,589,48,51,4760,139,34,172,4935,295,12,5244,854,138,13,18,1019,22,10,33,1053,219,0,1278,10,0,0,0,13,0,0,0,13,3,10,21,4934,725,62,67,5796,160,40,206,6000,521,17,6541,952,121,6,11,1093,31,4,29,1126,96,0,1220,1120,226,18,8,1368,41,13,52,1421,80,3,1504,32,9,20,0,54,0,0,0,54,15,0,70,13,3,0,14,35,3,0,3,34,5,0,41,2117,357,40,39,2555,69,17,89,2643,190,3,2836,17,0,0,0,17,9,0,9,30,0,0,29,40,5,0,0,46,8,3,11,56,3,0,56,58,6,0,0,62,10,3,19,79,8,0,88,2170,370,43,39,2618,82,18,101,2722,198,5,2927,519,95,11,3,627,23,3,27,649,205,0,859,0,0,0,0,0,0,0,0,0,0,4,6,2690,459,54,40
208,79,3,0,82,93,12,3,0,109,10,5,16,129,6,0,133,3938,469,61,72,4539,108,21,129,4664,214,5,4889,707,90,17,16,832,24,3,30,865,130,0,989,0,3,0,4,8,0,0,0,8,0,4,12,4647,561,80,92,5378,132,22,153,5538,344,14,5890,962,115,9,9,1098,33,5,37,1135,65,0,1201,1034,169,17,7,1231,20,7,29,1262,84,0,1347,21,5,17,0,41,0,0,0,40,0,0,46,16,0,0,7,24,0,0,0,27,3,0,29,2034,297,44,22,2393,52,11,64,2464,152,0,2620,17,0,0,0,19,5,0,7,21,4,0,27,23,3,0,0,24,0,4,3,31,3,0,29,34,3,0,0,44,8,3,8,55,4,0,60,2069,298,44,22,2441,58,14,78,2517,161,0,2672,364,58,13,7,430,8,7,10,441,150,3,594,0,0,0,3,4,0,0,0,4,0,0,7,2429,357,54,35
209,88,8,0,99,121,26,0,7,146,25,10,34,178,10,0,190,4016,497,54,77,4654,117,21,141,4789,288,4,5083,810,167,25,26,1029,32,14,49,1072,360,3,1437,4,0,0,9,13,0,0,0,14,0,16,28,4833,668,77,116,5694,153,37,185,5881,643,26,6553,867,114,9,3,995,14,3,19,1020,92,0,1110,937,150,9,11,1107,25,3,26,1138,80,0,1220,30,3,12,0,36,0,0,0,43,5,0,43,15,0,0,18,38,0,0,0,38,5,0,41,1846,269,35,29,2184,37,13,45,2232,189,0,2419,19,4,0,0,27,9,0,9,38,3,0,41,20,8,0,0,26,0,3,3,33,0,0,33,41,10,0,0,53,12,5,15,64,3,0,72,1886,283,35,34,2234,45,15,63,2296,191,0,2482,393,79,12,17,506,24,3,27,534,250,0,783,0,0,0,0,5,0,0,0,5,0,9,11,2289,362,48,50
210,87,16,0,105,76,27,0,3,113,24,10,34,149,18,3,175,2573,356,45,77,3054,102,26,129,3186,256,8,3442,759,180,8,37,982,53,33,82,1070,581,5,1659,7,0,0,8,14,0,0,0,14,0,15,28,3340,535,61,116,4051,156,54,213,4261,837,29,5128,602,60,6,7,677,27,7,25,702,54,0,758,560,99,8,3,675,11,3,18,691,63,0,751,20,0,0,0,21,0,0,0,21,3,0,31,16,0,0,8,27,0,0,0,27,3,0,31,1192,167,15,26,1396,41,12,50,1442,122,0,1571,18,5,0,0,21,8,0,7,32,5,0,40,16,7,0,5,28,3,3,9,40,8,0,40,32,9,0,3,52,11,3,16,71,11,0,80,1227,175,15,30,1444,51,15,65,1511,133,0,1649,368,84,4,22,481,20,11,32,513,396,5,919,3,0,0,3,4,0,0,0,8,0,10,19,1589,259,25,55
