SA4_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
201,279,408,401,656,1107,1564,1095,2793,114,8415,600,1162,1568,1931,2225,2450,1342,1820,113,13213,296,627,579,837,2304,2661,1168,1469,188,10130,478,1745,1408,1566,1153,816,406,479,144,8197,351,1015,1215,1276,1991,1229,565,455,72,8162,276,2150,1026,872,845,604,349,420,115,6666,155,235,250,324,761,718,530,906,79,3955,307,1830,986,993,1290,912,538,529,160,7550,80,84,56,84,144,136,55,110,344,1107,2833,9252,7485,8545,11825,11081,6047,8989,1333,67396
202,275,407,468,711,1079,1590,1082,2789,118,8518,706,1196,1662,2105,2380,2411,1263,1816,88,13622,291,622,565,795,2090,2365,1133,1433,157,9454,476,1622,1252,1528,1102,884,413,481,115,7873,358,988,1082,1254,1898,1137,547,467,79,7809,235,2108,980,842,872,510,377,383,92,6400,143,251,241,291,709,731,505,866,82,3814,317,1847,987,1020,1428,1123,557,499,160,7933,68,91,72,83,130,123,43,90,321,1019,2880,9136,7313,8624,11684,10869,5919,8811,1215,66444
203,488,657,743,1050,2036,3019,1931,4452,152,14520,1186,2373,3188,3488,4477,5134,2674,3650,205,26367,550,1134,1076,1478,3961,5288,2270,2836,293,18883,797,3395,2706,2884,2092,1830,835,922,253,15714,656,1945,2298,2213,3488,2393,981,968,140,15082,502,4000,2007,1667,1632,1196,630,898,175,12707,265,489,492,545,1419,1542,886,1415,141,7191,455,3249,1630,1590,1956,1798,605,960,266,12505,114,171,106,164,258,332,92,186,624,2050,5010,17417,14239,15071,21318,22526,10910,16292,2244,125026
204,431,579,566,866,1235,2084,1357,4199,184,11499,578,920,1487,1818,2003,2128,1143,1650,119,11840,401,680,697,947,2390,2993,1472,1918,210,11707,539,1601,1365,1709,1331,1048,665,701,156,9128,355,995,1196,1428,1968,1273,573,538,86,8413,272,1843,992,1083,951,641,427,500,110,6829,221,266,320,404,1127,1048,630,1283,117,5418,434,2107,1152,1193,1561,1464,651,674,224,9446,103,93,72,81,145,150,69,148,407,1271,3334,9075,7861,9531,12699,12826,6988,11610,1615,75545
205,551,995,840,1263,1707,2672,1638,6021,241,15933,899,1545,2191,2493,2717,2836,1630,2399,176,16886,726,1146,1046,1416,3794,4504,2050,3160,302,18144,780,2566,2349,2564,1729,1147,684,720,239,12775,647,1773,1947,2082,2788,1819,733,692,121,12598,458,3248,1605,1422,1442,943,557,704,185,10566,390,440,438,519,1363,1317,1164,1837,144,7615,684,3339,1788,1875,2048,1700,998,1281,310,14037,164,165,116,107,228,199,113,187,671,1943,5299,15207,12321,13746,17808,17150,9562,17008,2391,110486
206,1343,1439,2072,2960,7157,12177,7856,16554,395,51950,3794,8428,8751,11426,19970,31655,15534,23274,938,123774,574,1494,2441,2030,4717,6170,2948,4127,363,24864,1088,6847,5752,4779,3986,3381,1963,2018,555,30365,1170,3658,3996,4019,9846,8673,3636,3468,351,38825,690,5729,3768,2908,3897,3734,1953,2687,353,25722,155,573,691,648,1172,1039,507,716,128,5617,350,3244,3374,1617,1837,1527,652,842,307,13767,184,379,303,352,753,921,310,690,1388,5275,9349,31796,31148,30749,53337,69270,35350,54383,4780,320165
207,614,1152,1518,2050,3500,6411,3740,9312,248,28527,1767,5336,5500,6211,9191,13773,6324,10391,504,58989,287,1054,1196,1216,2789,3340,1406,1914,187,13392,517,4760,2772,2137,1679,1329,670,715,212,14786,665,3245,3230,2906,4711,4150,1610,1624,217,22365,443,5117,2613,1862,1902,1957,936,1543,222,16605,76,404,388,327,653,669,273,393,51,3230,212,2514,1560,943,1027,786,324,421,149,7941,102,285,216,203,303,444,116,279,816,2771,4671,23868,18991,17860,25766,32858,15393,26595,2608,168603
208,788,1130,1572,2331,3970,7913,4992,11837,313,34844,2042,5320,6419,6974,9397,14755,7175,11128,491,63696,426,1228,1285,1613,3718,4983,2152,2902,272,18592,644,5067,3086,2880,2079,1900,976,1053,257,17941,820,3611,3824,3649,5824,5228,2050,2043,283,27338,541,5316,2748,2123,2273,2505,1256,2023,245,19037,146,464,436,403,1128,936,458,621,68,4655,264,2593,1450,1111,1330,1062,466,554,159,8998,107,280,206,187,367,500,163,360,915,3081,5780,25007,21037,21285,30081,39789,19692,32526,3002,198179
209,732,824,1226,1766,4498,6379,3759,7772,287,27242,1988,4174,5257,6075,9996,11958,5309,6990,481,52226,745,1720,2040,2482,7487,9504,3772,4381,577,32711,1070,5091,4317,4434,4108,2850,1345,1421,450,25093,1193,3638,4458,4637,8793,6468,2323,2004,358,33876,715,6974,3597,2849,3231,2472,1203,1618,379,23039,382,750,1040,1236,3438,2943,1592,2112,305,13802,544,4287,2988,2361,3853,2850,1108,1329,491,19804,162,316,204,269,620,556,183,292,1209,3817,7521,27775,25133,26101,46024,45992,20596,27917,4551,231609
210,429,549,661,1037,2999,4169,2277,4849,231,17206,1144,2022,2665,3114,6005,7005,2731,3609,333,28629,553,1259,1404,1681,5601,6436,2569,3118,524,23148,617,3079,2881,3124,2904,2054,1105,1239,384,17391,815,2177,2855,2992,6515,4615,1657,1503,297,23423,502,4505,2505,1991,2390,1670,816,985,292,15660,334,723,1034,1221,3067,2781,1363,2035,333,12899,405,2945,2298,1838,2960,2237,940,1046,400,15070,162,215,175,193,452,408,123,234,1014,2969,4970,17458,16482,17200,32896,31374,13588,18625,3811,156400
