SA4_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
201,10,12,0,1090,298,67,15,399,29,186,17,67,15,140,703,1936,19,0,15,33,7,20,6,3,3,31,31,167,2845,740,162,5668,565,2809,205,807,192,1309,772,16082
202,8,13,7,1018,278,68,26,368,38,154,21,64,7,114,705,1839,18,3,13,22,9,17,3,4,10,23,26,144,2812,836,150,5448,573,2737,252,823,163,1183,774,15748
203,18,26,3,2843,519,110,30,764,59,328,33,137,33,275,1468,3753,45,4,18,77,7,32,8,13,14,41,77,339,5297,1370,308,11323,1191,5674,375,1578,368,2258,1618,31365
204,8,12,6,848,368,90,23,441,46,174,21,73,21,118,879,2253,26,3,12,36,3,13,3,5,11,28,53,201,3535,799,195,5644,634,2755,245,723,219,1120,994,16859
205,9,29,3,1694,544,104,37,682,62,311,25,151,42,215,1429,3599,47,10,33,53,10,32,12,9,12,41,76,335,4398,1214,305,8843,926,4547,416,1516,387,2224,1593,26368
206,56,195,13,12325,594,135,43,683,66,401,35,162,47,390,2477,5025,47,10,29,70,8,40,11,11,18,50,114,405,9115,1938,370,13675,1943,8499,430,2199,444,3740,2685,45035
207,48,270,15,13076,711,162,47,899,65,589,37,232,42,403,2825,6010,65,8,41,103,18,42,7,9,7,37,96,430,9625,1962,312,14573,1271,9421,399,2525,400,3956,2995,47447
208,64,205,6,14309,889,169,45,1132,80,627,57,172,50,310,2780,6307,81,11,36,137,14,58,12,28,17,35,99,521,11358,1930,386,18338,1729,9951,472,2226,449,2955,2956,52754
209,39,122,3,7183,922,209,64,1221,117,797,49,276,87,698,2694,7139,97,19,60,142,24,75,15,23,33,96,189,775,12092,2686,574,20924,2330,13491,698,3620,845,6814,3063,67140
210,22,97,6,4020,631,122,59,701,84,624,45,288,104,645,1960,5268,54,8,28,76,17,50,11,17,25,114,221,619,8614,1657,387,12640,1485,10529,471,3426,761,7042,2370,49380
211,37,133,9,7730,1093,220,64,1575,133,746,78,270,70,464,2859,7570,104,20,70,165,27,66,16,12,29,65,144,717,13089,2727,532,23562,2400,13048,696,3287,641,4633,3118,67726
212,31,201,11,7859,1484,256,105,1514,158,1248,82,382,160,1075,4294,10754,106,18,87,156,31,97,6,19,49,114,329,1019,21172,3919,812,26986,2842,23015,852,6302,1306,10983,4905,103089
213,49,168,11,7804,1224,231,119,1220,161,1099,75,440,178,1016,3824,9595,124,21,61,140,26,91,13,25,50,185,392,1122,19813,3449,838,24242,3150,22857,866,6144,1478,10554,4514,97906
214,14,49,4,3073,592,146,26,807,68,383,40,164,61,241,1419,3952,54,11,30,84,8,39,6,11,20,37,77,380,6061,1395,298,11693,1079,6103,348,1572,354,2204,1569,32680
215,3,13,3,619,342,53,19,410,34,181,25,57,27,127,809,2070,29,3,14,32,4,10,9,3,10,34,43,189,2958,567,162,4892,515,2261,207,704,187,1213,923,14580
216,3,14,0,660,380,50,15,328,25,170,31,49,10,135,616,1806,36,4,10,37,8,17,4,0,10,34,46,201,2909,499,158,4334,465,2062,187,647,196,1194,700,13343
217,3,12,0,640,313,54,15,382,21,127,16,55,14,57,610,1664,16,3,16,27,4,9,0,0,7,17,25,127,2416,591,171,4651,430,1862,166,572,163,756,688,12462
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
