SA4_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
201,0,3,11,38,12,7,4,0,0,81,0,0,3,3,15,9,10,6,3,47,0,0,7,10,4,3,4,0,0,32,12,35,55,209,101,105,94,81,36,721,248,496,595,1324,934,974,892,540,279,6278,4527,9615,9604,18684,11065,11020,8929,4783,2456,80690,0,0,12,3,0,0,0,0,0,16,8710,17969,17270,30009,17208,16795,12735,6291,2760,129747,0,9,4,40,7,0,3,0,0,69,0,0,0,4,3,8,5,9,0,26,0,3,0,9,4,0,0,0,0,20,0,3,13,47,33,24,15,8,0,149,0,0,0,9,3,3,5,3,0,33,3,38,266,308,86,48,29,6,0,780,0,0,0,3,28,42,53,51,9,192,0,9,3,12,8,11,11,3,3,55,15,120,100,457,735,926,1086,589,172,4206,0,4,14,27,13,18,6,3,0,90,0,3,6,30,11,12,9,10,0,76,0,8,12,49,52,93,232,85,53,587
202,0,3,8,32,3,3,0,0,0,57,0,0,0,6,5,7,16,6,3,49,0,0,3,10,0,0,3,0,0,29,5,24,34,143,66,75,77,38,18,484,276,531,571,1416,913,968,823,589,368,6467,4552,9234,9255,18216,10643,10756,8472,4759,2500,78392,6,6,16,37,6,0,0,0,0,80,8552,17214,16447,28910,16550,16843,12625,6699,2983,126822,0,7,0,36,4,3,0,0,0,49,0,0,0,3,3,3,3,0,0,7,0,3,0,7,3,0,0,0,0,24,0,12,7,74,22,19,18,3,3,160,0,0,0,6,7,3,0,0,0,22,4,24,61,178,67,33,16,5,0,383,0,0,0,7,11,16,31,10,0,79,0,5,6,26,12,8,14,5,0,83,7,92,87,403,655,798,868,451,168,3538,3,10,9,31,18,9,0,0,0,79,3,0,3,20,9,13,14,5,0,65,0,5,8,45,58,86,167,75,27,463
203,0,9,26,131,49,30,8,3,3,258,0,3,4,24,32,31,41,16,10,162,0,4,4,43,10,8,6,3,0,75,27,100,153,564,268,293,321,269,153,2146,385,780,933,2110,1330,1367,1195,881,525,9522,8303,16839,16840,35683,18979,18329,14941,8547,4657,143119,9,66,160,198,58,20,8,0,0,516,16035,30802,29361,54669,27978,25830,18790,9398,4622,217488,0,14,9,54,14,0,0,0,0,93,0,0,26,102,106,108,46,49,7,448,0,0,5,21,13,17,3,0,0,57,12,34,34,153,80,39,23,12,3,390,0,0,0,20,13,15,13,0,0,63,23,99,305,703,173,147,70,30,15,1564,0,3,20,123,206,261,359,335,71,1389,0,10,10,39,14,30,36,9,3,150,54,403,364,1360,1632,1946,2098,1274,531,9663,0,7,9,63,30,11,3,3,0,132,0,7,20,83,33,17,24,9,8,202,0,19,34,138,90,216,617,257,168,1554
204,0,4,3,20,3,0,0,0,0,32,0,0,4,8,13,5,15,3,3,48,0,0,0,10,10,3,3,0,0,29,11,45,52,203,114,129,162,120,49,895,287,590,671,1544,1107,1205,1049,629,376,7461,4623,10267,8820,18867,12040,12854,10378,5576,2840,86275,0,0,3,4,0,0,0,0,0,12,8744,19140,16508,29995,18913,19967,15017,7430,3211,138911,0,3,0,15,3,0,0,0,0,25,0,0,0,7,3,10,11,5,0,37,0,4,3,18,3,6,0,0,0,34,5,12,3,69,35,34,16,15,0,189,0,0,0,7,10,3,5,3,0,33,3,27,199,120,43,15,14,12,0,433,0,0,0,9,27,43,61,58,19,213,0,3,0,10,0,11,12,5,4,44,14,78,101,424,758,902,1236,600,220,4329,0,3,8,26,11,12,5,3,0,70,0,7,7,25,19,28,29,9,3,115,0,6,15,57,87,174,442,195,83,1061
205,0,3,10,98,27,12,3,0,0,155,0,3,0,14,20,29,31,18,3,122,0,7,3,11,19,8,10,3,0,60,4,71,63,301,195,203,223,141,80,1276,475,976,1092,2503,1794,2014,1861,1178,627,12522,7396,16019,14034,29780,18570,20800,17673,9486,4489,138247,0,0,0,7,3,0,0,0,0,9,14137,29579,25599,47275,28331,30509,23689,11465,4679,215278,0,8,0,41,7,4,0,0,0,71,0,0,0,14,5,5,7,13,3,50,0,3,9,29,3,5,3,0,0,56,9,19,9,79,52,60,36,7,8,277,0,0,3,27,13,18,18,7,0,86,6,24,86,257,103,63,34,16,0,596,0,0,0,8,37,40,72,50,12,222,0,10,0,25,8,22,41,22,3,132,14,148,149,698,1315,2041,2825,1666,570,9430,0,4,14,54,26,31,7,4,0,141,0,5,13,23,19,16,20,19,0,118,6,11,12,99,97,197,638,326,119,1506
206,13,84,677,1611,717,728,356,176,73,4445,0,0,20,113,24,23,15,6,0,201,0,3,28,123,13,19,7,0,0,189,163,364,1815,7198,1321,1018,954,791,480,14100,1058,1277,4243,11817,2936,2458,1711,1147,765,27412,13343,20002,50645,126997,33541,26459,17939,11181,5790,305884,0,4,52,91,22,13,7,0,0,193,22845,33181,45033,127187,40758,29528,16496,6664,3405,325095,7,24,99,335,17,17,6,0,0,499,0,0,12,224,67,76,45,39,3,476,0,3,98,140,36,57,25,12,6,371,44,48,232,1437,235,125,57,6,11,2194,22,12,48,577,119,96,72,27,8,982,107,452,15482,10007,1779,1259,584,630,254,30565,0,4,18,171,153,180,157,161,35,886,16,80,35,208,104,195,215,149,77,1086,183,559,1515,9036,2990,2130,1729,586,269,18997,3,4,26,293,90,67,50,9,4,553,16,55,321,1513,170,96,102,47,19,2341,28,37,210,1249,354,201,474,177,99,2839
207,4,40,295,822,514,442,187,72,34,2404,0,7,3,18,26,23,20,9,3,102,0,8,23,74,25,34,13,3,4,180,53,218,369,1496,655,550,586,504,293,4732,294,596,973,2170,1085,1007,992,836,679,8636,8423,20428,25893,48102,26420,21461,17148,11908,7094,186862,0,3,14,40,14,10,7,3,0,96,15478,33923,34327,44597,28293,21411,15820,10328,6209,210397,4,21,44,179,29,17,9,3,0,306,0,0,13,36,41,13,12,5,3,121,0,0,35,96,70,79,30,27,0,334,18,54,72,255,120,80,35,16,6,665,0,5,9,72,45,39,32,11,6,225,333,1835,6912,13329,5356,3777,1720,1027,363,34645,0,0,3,38,85,93,144,166,54,587,0,41,36,183,123,219,217,128,58,1008,123,681,564,1659,1609,1439,1367,909,486,8836,0,9,29,161,105,89,61,49,8,504,10,49,51,220,103,42,49,28,8,575,12,40,60,208,158,139,417,233,137,1392
208,7,15,117,476,164,143,43,15,11,998,4,12,3,49,33,29,33,12,17,195,0,3,18,77,40,26,13,5,0,182,76,461,520,3313,1661,1444,1431,922,522,10341,474,834,1004,2962,1535,1327,1168,992,814,11102,11516,24706,23930,56780,30631,24027,18237,11732,8064,209615,0,3,13,45,10,5,0,0,0,84,21042,42321,34878,62082,36667,28122,17888,9880,6871,259756,3,8,22,162,23,22,6,0,0,241,0,0,14,113,70,47,32,24,0,302,3,3,15,150,93,46,31,11,3,346,31,108,90,401,227,123,45,17,9,1058,6,10,13,164,99,49,48,17,0,409,110,586,4013,5600,1835,1268,488,304,83,14295,0,0,7,81,120,114,153,123,32,630,5,19,18,79,98,190,241,148,96,889,225,1350,1014,3800,3341,2413,2288,1276,727,16433,0,5,11,157,115,84,29,9,5,417,20,124,110,410,170,80,143,54,21,1138,19,51,116,426,324,214,675,346,231,2404
209,17,71,466,1477,663,547,155,74,31,3510,0,8,9,27,33,21,17,15,7,151,3,22,51,153,45,23,8,0,0,309,183,605,745,3060,1171,971,712,424,192,8064,816,1319,1629,4436,2118,1867,1561,1145,683,15576,16914,29679,30910,75110,33805,28117,19953,11750,5632,251875,0,24,78,171,57,32,12,3,0,375,31367,52034,47417,86966,40898,30166,17596,8089,4169,318712,14,39,107,453,51,14,5,0,0,689,0,4,29,196,134,136,67,59,8,632,0,4,30,173,81,78,28,6,0,396,10,39,59,277,127,71,21,3,6,606,0,8,7,125,80,70,59,12,9,362,111,362,2006,5641,1598,1293,550,264,70,11881,0,3,21,132,266,304,324,283,55,1388,5,80,64,384,173,332,344,142,67,1590,77,591,572,2200,2178,1868,1710,852,348,10407,0,22,61,421,198,145,65,35,18,968,3,17,23,151,90,62,45,17,17,415,3,31,96,310,227,152,484,213,89,1599
210,8,28,98,664,390,347,119,71,45,1778,0,0,4,15,14,14,12,6,5,76,0,3,22,52,13,14,0,0,0,109,108,484,621,2309,1181,901,647,454,174,6894,700,1236,1204,3367,1653,1397,1225,838,409,12028,12785,23417,22910,53297,24652,19115,14124,8940,4063,183294,0,37,104,172,41,13,12,0,0,379,23610,39588,35289,57632,26534,18924,10704,5559,2657,220510,4,62,55,422,85,46,7,0,0,677,0,0,21,164,92,105,58,41,4,493,0,0,3,38,20,19,7,3,0,87,3,33,29,149,64,43,14,4,4,356,3,5,8,94,96,71,83,16,4,380,13,87,304,1061,460,410,161,97,36,2634,0,5,16,94,215,287,413,360,61,1447,18,74,83,281,201,297,342,252,88,1639,32,250,217,1087,1191,1187,1138,663,247,6016,0,55,88,492,256,189,93,35,3,1213,0,12,14,56,60,37,25,10,5,223,4,24,40,180,112,139,527,176,122,1323
