SA4_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
201,836,858,816,460,130,10,3831,39,466,712,780,767,387,91,11,3249,935,3498,3493,2554,2238,1465,457,130,14773,587,1685,2053,2352,2068,1468,512,137,10860,2567,4693,4213,4509,3849,2407,982,286,23506,382,339,296,240,217,100,19,4,1605,167,294,376,398,417,297,131,40,2121,3114,5331,4884,5152,4479,2810,1129,334,27231,41,74,83,123,151,167,75,33,752,1748,1390,1497,1933,2201,2429,1741,913,13842,6533,13086,13563,13739,12723,9189,4136,1562,74538
202,798,816,709,513,122,28,3619,51,465,812,800,820,425,86,12,3457,828,3352,3562,2585,2337,1475,516,136,14790,476,1487,1876,2146,2158,1548,574,186,10447,2475,4547,4010,4409,3917,2300,1023,274,22956,316,317,268,262,223,105,14,7,1518,172,322,350,397,464,344,122,52,2221,2958,5191,4630,5073,4606,2753,1153,331,26699,47,101,97,102,158,163,86,46,804,1810,1644,1661,1962,2217,2277,1789,1128,14487,6256,12776,13438,13479,13008,9161,4335,1862,74307
203,1972,1491,1263,802,205,37,7571,100,995,1275,1206,1209,626,146,31,5580,2110,7948,7586,5162,4465,2774,934,254,31233,1307,3777,4379,4347,4065,2884,1118,404,22287,4374,8404,7561,7970,6494,4100,1861,586,41349,521,471,415,375,323,195,55,11,2364,300,527,645,726,768,628,266,107,3970,5198,9398,8623,9072,7586,4925,2173,713,47685,85,189,209,192,254,257,188,84,1459,2795,2629,2595,2889,3095,3385,2795,1732,21917,11728,26619,26638,24355,21940,15636,7557,3256,137730
204,531,583,613,359,77,16,2647,41,396,582,674,713,414,101,12,2924,536,2570,2981,2240,2529,1561,523,154,13098,588,1867,2298,2689,2666,1902,684,207,12899,2801,5166,5004,5599,5053,3111,1146,365,28246,439,333,319,301,281,159,32,18,1878,205,327,451,513,559,475,163,64,2749,3440,5826,5775,6414,5887,3740,1342,445,32880,43,95,106,144,170,180,120,42,895,2057,1547,1803,2262,2761,2871,2031,1145,16473,6748,12728,14075,15010,15338,11026,4877,2026,81819
205,728,713,875,581,147,31,3706,67,597,794,872,1030,615,111,13,4102,911,4044,3871,3093,3713,2445,783,200,19063,811,2715,3124,3604,3758,2908,1072,308,18297,4225,8821,7776,9151,8241,5545,2314,630,46694,573,585,500,439,449,244,57,13,2868,302,551,636,733,900,761,258,89,4239,5098,9958,8915,10322,9590,6544,2628,736,53802,69,161,168,201,244,335,174,79,1440,3280,2786,2921,3770,4509,5027,3667,1814,27766,10288,20851,20518,22574,23721,18457,8586,3182,128181
206,14566,8823,5965,3317,833,198,59176,445,5875,4880,3885,3226,1357,264,46,19976,18925,64478,30743,17188,11141,6135,2040,691,151340,5044,13179,8543,6670,5042,3100,1202,454,43230,4560,11232,6612,5778,3961,2188,1111,502,35947,645,676,498,386,246,157,37,15,2671,591,1286,1099,1164,935,595,271,114,6048,5793,13188,8206,7334,5146,2941,1420,633,44671,639,1143,686,507,440,432,208,86,4135,9197,16318,8794,6434,5422,4300,2981,1817,55257,41728,137973,76414,50845,36380,21573,8949,3929,377787
207,7704,6547,4506,2536,844,243,31107,162,1579,2307,2909,2442,1212,371,109,11086,7054,19613,17074,15308,10573,6067,2784,1053,79540,2296,4316,4380,5672,4651,3771,2071,874,28032,2276,3528,3018,4405,3295,2497,1796,723,21545,326,214,203,314,238,155,71,27,1557,264,378,528,902,824,705,446,273,4321,2863,4123,3754,5616,4364,3366,2315,1025,27417,181,401,415,472,449,439,324,167,2854,2536,2714,2211,2599,2403,2700,2729,2086,19966,15712,40846,37845,39116,29393,20093,11441,5558,200005
208,7572,6075,3796,2034,583,170,27943,159,1727,2740,3144,2429,1135,299,80,11699,6034,19238,20313,16201,10693,5531,2241,883,81134,1879,5510,6762,7334,5662,3942,1832,773,33693,2689,5730,5621,6979,5285,3265,1897,929,32395,375,275,383,381,287,205,73,23,1996,284,539,827,1159,1083,916,414,268,5506,3356,6546,6829,8525,6657,4381,2382,1222,39892,174,431,498,536,470,467,307,198,3070,2622,3341,3222,3440,3226,3198,3030,2486,24569,14725,44004,47932,45245,32928,20698,10673,5809,222014
209,6431,3579,2420,1200,321,44,21847,215,2142,2735,2344,1889,753,143,27,10240,5457,20275,17087,10090,6957,3394,1024,290,64577,3093,9469,8985,7358,5158,2825,962,289,38142,5792,12658,11246,11451,8232,4688,2173,676,56917,708,693,714,603,444,204,42,16,3428,534,1055,1289,1426,1180,745,268,102,6590,7033,14412,13246,13476,9860,5628,2485,792,66934,221,609,582,483,439,372,177,78,2949,4409,5337,4572,4491,4160,4048,3102,1889,32014,20937,59583,53634,41826,30882,18223,8208,3404,236708
210,3403,1663,999,408,77,20,10835,174,1254,1450,1163,853,317,86,13,5320,3324,12485,10000,5719,3680,1536,460,136,37342,2287,6717,6260,5274,3258,1669,649,170,26285,4478,9502,8307,8572,5876,3362,1705,507,42306,584,595,525,503,329,130,38,7,2709,429,879,979,1072,777,495,206,87,4924,5494,10975,9815,10152,6978,3983,1944,598,49939,167,506,403,334,313,231,102,64,2125,3628,4198,3624,3573,3221,3247,2513,1355,25356,15339,40127,34949,27882,19300,11409,5835,2362,157191
