SUA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
2000,78629,67982,22473,1823,170900,62535,5631,239070,888,271,378,29,1566,3568,135,5268,123,78,62,8,273,197,34,496,1015,349,436,30,1838,3760,168,5768,697,193,327,25,1240,3392,159,4794,16,3,11,0,31,52,7,83,11,18,6,0,39,57,3,95,6,4,0,0,13,15,0,35,731,220,342,26,1323,3512,169,5002,175,48,34,4,265,700,24,983,180,39,34,0,255,510,31,796,44,40,16,3,92,94,3,194,300,233,83,3,623,367,34,1018,699,356,166,13,1233,1670,91,2995,575,401,146,7,1136,688,52,1876,81639,69310,23572,1904,176428,72175,6110,254709
2001,1649,2475,790,49,4966,1178,113,6261,135,95,87,4,316,310,14,640,18,8,15,3,46,32,3,75,150,101,103,6,363,335,21,715,3,0,4,0,10,63,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,63,0,73,0,0,0,0,0,10,0,10,5,0,0,0,3,12,0,22,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,7,0,0,0,11,22,0,29,4,3,0,0,10,15,0,17,1816,2581,901,52,5359,1609,132,7099
2002,1578,1284,623,46,3528,1410,118,5058,32,18,15,4,74,208,9,289,0,7,6,0,8,15,3,28,35,24,25,4,80,225,10,319,18,3,26,0,46,62,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,26,0,46,62,0,107,0,0,0,0,0,0,0,0,4,0,0,0,3,15,0,17,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,9,9,3,0,0,8,12,3,24,4,8,4,0,12,57,0,77,1637,1322,675,53,3686,1768,137,5587
2003,8255,9462,3969,314,21991,7633,1368,30992,866,597,519,59,2032,2523,297,4855,116,69,80,5,276,171,59,506,986,659,599,63,2310,2692,356,5362,157,55,99,8,315,734,65,1117,13,9,3,0,25,36,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,63,105,12,337,770,79,1185,3,0,0,0,3,4,0,3,4,0,0,0,3,9,0,9,0,0,0,0,0,0,0,0,23,22,13,3,65,26,0,90,33,22,14,3,73,31,0,102,37,26,8,8,74,79,12,168,9468,10235,4694,394,24788,11213,1813,37811
2004,8543,9340,4142,367,22398,7888,1270,31549,416,132,290,42,882,1741,186,2805,99,30,56,13,189,159,43,388,516,159,343,52,1068,1897,231,3199,61,36,59,3,163,278,26,464,13,4,0,0,16,39,4,56,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,76,39,62,3,176,328,28,532,4,3,0,0,10,47,3,57,15,0,3,0,21,34,0,51,0,0,0,0,0,4,0,3,16,10,4,0,30,14,3,47,40,11,9,0,56,102,4,159,27,19,12,0,61,61,6,125,9192,9569,4569,426,23759,10265,1537,35561
2005,1157,1148,499,46,2853,1123,139,4120,39,17,27,12,92,367,28,492,0,0,0,0,0,6,5,11,40,17,27,12,94,374,32,501,0,0,3,0,3,20,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,20,0,23,0,0,0,0,3,22,0,21,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,8,7,4,13,8,3,0,0,11,27,4,42,3,3,0,0,7,6,0,10,1204,1175,530,58,2970,1557,174,4697
2006,2180,1944,685,40,4848,1495,171,6517,157,35,74,3,268,485,27,778,3,3,3,0,6,11,0,20,157,32,72,3,276,496,27,802,41,20,17,3,81,122,9,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,20,17,3,81,122,9,212,3,0,0,0,6,7,0,8,17,3,0,0,23,38,0,59,0,0,0,0,0,0,0,0,9,4,0,0,17,3,0,18,23,10,3,0,41,43,0,87,10,8,0,0,20,9,3,29,2421,2015,778,49,5268,2165,213,7646
2007,21560,26269,9334,767,57929,17632,2551,78120,1578,676,736,74,3063,4521,367,7949,572,329,199,28,1140,686,158,1986,2151,1011,936,104,4203,5207,528,9936,356,167,158,16,697,1270,113,2079,26,6,6,0,33,90,14,141,45,16,8,0,66,115,16,197,3,0,0,0,3,7,0,8,431,191,164,15,798,1480,142,2421,14,9,3,0,25,48,0,73,37,3,10,0,54,189,6,250,0,3,0,0,3,0,0,4,42,100,20,5,165,64,21,252,92,112,35,7,239,302,30,580,68,61,25,4,159,100,20,279,24298,27643,10496,900,63336,24721,3276,91328
2008,1873,2852,501,28,5254,879,78,6213,88,44,46,3,186,219,10,410,0,0,4,0,3,7,0,9,94,44,50,3,189,224,10,418,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,0,0,0,3,4,0,9,3,0,0,0,4,13,0,15,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,11,3,0,0,10,17,0,31,5,10,0,0,12,4,0,16,1976,2914,547,29,5471,1128,88,6682
2009,1669,1588,645,54,3968,1497,143,5606,82,13,31,3,128,305,3,433,3,0,0,0,5,8,0,11,87,14,32,3,137,308,3,446,47,19,29,4,95,277,19,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,29,4,95,277,19,392,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,7,4,0,0,0,5,4,0,9,3,0,0,0,8,11,0,26,1811,1627,701,69,4209,2097,166,6481
2010,241384,445454,118210,12939,817989,169218,30772,1017976,36668,34289,15874,2222,89060,57972,9039,156065,27836,32174,11605,1872,73494,21780,8891,104161,64505,66468,27480,4092,162552,79750,17929,260225,20610,12309,6965,1576,41464,39338,7567,88364,12975,3847,2525,1006,20354,22713,6075,49147,25355,6921,4746,2772,39795,38864,14449,93114,76,50,36,3,158,150,23,333,59018,23131,14264,5363,101775,101070,28115,230952,126,29,38,3,189,540,22,757,213,56,83,11,361,1204,29,1600,14,21,3,0,38,89,0,134,871,722,378,82,2057,1210,445,3719,1227,837,494,94,2653,3053,496,6200,994,985,350,70,2404,1797,372,4571,367118,536875,160801,22566,1087364,354886,77684,1519926
2011,4116,6552,2822,204,13686,3091,524,17307,350,483,345,33,1210,819,71,2099,45,73,79,3,201,76,15,294,394,560,426,38,1417,896,82,2395,7,6,23,0,39,18,3,68,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,11,11,27,0,45,20,3,75,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,10,3,6,0,0,14,3,0,21,10,10,4,0,29,19,0,46,4528,7141,3284,239,15191,4031,614,19836
2012,4566,4812,1967,136,11485,3355,437,15273,362,110,159,21,657,951,64,1674,19,7,10,0,35,24,4,61,381,113,172,21,694,980,67,1738,148,51,103,11,312,763,58,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,51,103,11,312,764,58,1132,30,4,4,0,41,71,3,116,28,0,4,3,36,39,7,83,3,0,3,0,6,3,0,7,3,5,0,3,11,11,3,24,62,10,14,3,90,128,12,227,30,16,14,0,60,42,0,101,5186,5007,2273,177,12640,5259,574,18471
2013,1540,1453,876,49,3918,1601,152,5665,111,15,72,9,211,569,21,797,0,0,3,0,0,4,0,7,112,15,73,9,212,570,21,806,27,3,16,0,44,215,8,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,16,0,44,215,8,267,0,0,0,0,0,21,0,17,4,0,0,0,4,0,0,6,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0,4,23,0,29,3,3,0,0,7,5,0,13,1686,1474,970,53,4184,2410,180,6781
2014,1140,982,469,27,2619,1041,105,3761,34,3,17,0,46,115,3,171,3,3,3,0,9,10,0,19,30,9,22,0,59,126,3,192,18,13,12,0,40,162,7,213,0,0,0,0,0,4,0,6,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,15,13,12,0,46,171,7,225,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,0,6,6,0,16,3,3,3,0,8,15,0,27,3,6,0,0,10,11,0,19,1201,1008,508,32,2746,1359,117,4220
2015,1362,1444,591,39,3440,1207,138,4784,48,20,23,8,95,280,16,391,10,3,7,0,21,59,0,83,53,20,33,8,115,336,14,471,47,16,19,6,86,187,12,291,8,5,0,0,15,10,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,20,6,102,197,19,320,5,0,0,0,11,6,0,20,6,0,0,0,6,9,0,14,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,15,0,0,0,16,23,3,43,0,0,0,0,4,6,0,10,1491,1488,642,54,3677,1772,178,5624
2016,4117,4871,2100,138,11234,3591,464,15284,342,220,167,15,742,1066,99,1906,24,17,5,0,46,36,11,97,366,229,172,22,787,1101,106,1999,4,12,12,0,31,85,3,119,3,0,0,0,3,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,16,0,38,108,3,146,18,0,0,0,21,63,0,80,32,0,9,0,42,78,3,123,3,0,0,0,3,6,0,9,3,8,3,0,19,9,5,28,55,14,16,0,80,148,10,237,12,4,3,0,22,13,3,31,4556,5141,2299,159,12159,4959,590,17703
2017,954,969,398,40,2362,849,112,3326,52,20,21,0,87,142,18,248,0,0,0,0,0,9,0,11,52,20,21,0,87,145,17,259,44,31,21,6,104,225,30,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,44,31,21,6,108,223,30,360,0,0,0,0,3,16,0,20,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,7,3,0,6,7,3,0,0,13,20,0,26,22,8,3,0,37,15,0,54,1079,1038,448,50,2604,1261,162,4026
2018,3719,3766,1875,120,9481,3656,395,13533,133,38,52,0,223,547,25,794,12,11,17,0,43,49,0,87,137,50,69,0,265,592,27,882,143,48,101,14,304,793,40,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,48,101,14,304,789,40,1132,0,0,0,0,0,4,0,5,15,0,0,0,17,35,3,55,0,0,0,0,0,3,0,3,3,3,3,0,10,4,0,11,21,3,5,0,23,42,3,69,11,3,5,0,26,36,0,60,4028,3875,2056,133,10092,5118,465,15676
2019,1842,1715,817,63,4438,1720,175,6335,163,35,60,9,269,707,36,1008,5,3,4,0,14,30,0,49,170,40,61,8,282,740,40,1054,0,4,9,0,15,45,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,9,0,15,53,0,64,0,0,0,0,0,5,0,6,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,4,0,0,7,3,0,10,5,7,0,0,10,13,0,28,3,0,3,0,7,5,0,20,2021,1763,892,74,4752,2528,214,7495
2020,3463,3733,1302,92,8596,2350,265,11215,94,28,57,4,186,333,15,529,8,0,0,0,11,26,0,36,96,32,64,4,193,356,17,567,201,16,47,6,275,435,15,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,16,47,6,275,435,15,725,6,0,0,3,12,36,0,46,9,3,3,0,23,50,0,70,0,0,0,0,0,0,0,3,4,0,0,0,4,3,0,7,27,5,7,4,42,83,3,130,11,11,3,0,29,13,0,45,3807,3803,1426,108,9132,3241,302,12676
