SUA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
2000,0,0,0,26,64,7385,59,42,10,6,3,7,3,3,361,7883,1573,15,8,0,0,5,0,0,0,156,1768,490,3,3,0,0,3,0,0,0,30,531,151,0,3,0,0,0,0,0,0,34,183,15,0,0,0,0,0,0,0,0,0,22,655,3,3,0,0,3,0,0,0,63,733,23,0,0,0,0,0,0,0,0,21,51,2262,18,14,0,3,7,0,3,0,249,2552,38930,3013,2908,552,515,499,427,438,296,2235,49824,7672,1154,2537,468,566,605,583,695,520,744,15539,937,107,284,55,91,111,191,310,282,363,2733,129,15,19,3,3,0,6,11,3,39,233,8739,1272,2841,525,666,721,783,1010,808,1144,18503,155,12,11,4,3,3,0,10,7,1010,1221,47825,4302,5757,1079,1185,1220,1210,1462,1114,4391,69542
2001,0,0,0,0,0,191,0,0,3,0,0,0,0,0,15,212,42,0,0,0,0,0,0,0,0,13,63,17,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,3,3,65,0,0,0,0,0,0,0,0,21,86,1274,145,167,33,25,27,4,10,3,71,1758,362,70,171,13,15,22,33,22,17,16,746,40,0,8,0,3,4,3,10,8,3,69,0,0,0,0,0,0,0,0,0,3,6,404,67,179,20,18,26,40,30,26,19,828,3,0,0,0,0,0,0,0,0,3,5,1677,210,352,46,50,47,42,35,27,97,2593
2002,0,0,0,0,7,221,0,0,0,0,0,0,0,0,14,240,45,0,0,0,0,0,0,0,0,3,50,10,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,3,63,0,0,0,0,0,0,0,0,11,72,703,67,79,9,19,10,12,0,0,39,935,149,30,84,14,19,27,32,19,3,19,398,15,8,10,0,4,4,5,13,0,4,70,5,0,0,0,0,0,0,0,0,0,8,173,41,88,14,25,28,39,33,3,27,476,9,0,0,0,0,0,0,0,0,9,15,882,112,166,23,45,41,49,33,4,71,1426
2003,0,0,0,0,9,818,17,8,3,0,0,0,5,0,33,881,175,0,3,0,0,0,0,0,0,27,205,77,0,0,0,0,0,0,0,0,5,87,18,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,12,107,6,0,0,0,0,0,0,0,0,0,5,271,4,8,0,0,0,0,0,0,36,322,3846,423,460,103,141,99,81,87,42,222,5492,920,467,1010,154,197,173,146,193,160,96,3515,84,23,83,8,31,29,41,46,47,41,438,11,8,6,0,4,0,0,0,0,4,34,1013,495,1106,165,227,201,188,239,212,146,3985,25,0,0,3,0,0,0,0,0,10,33,4882,914,1565,267,367,303,271,326,251,370,9516
2004,0,0,0,6,7,457,11,5,0,0,3,0,0,3,35,519,148,8,0,0,0,0,0,0,0,13,168,32,0,0,0,0,0,0,0,0,5,34,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,3,5,189,9,0,0,0,0,0,0,0,21,217,2822,336,382,67,46,71,35,66,28,173,4009,514,346,968,145,141,184,150,139,84,97,2765,51,25,208,45,31,91,70,85,74,54,742,5,0,8,0,3,0,3,3,0,4,28,573,375,1180,191,172,273,224,225,160,160,3532,7,0,0,0,0,0,0,0,0,21,28,3397,713,1556,256,216,338,256,286,188,350,7565
2005,0,0,0,0,0,93,0,0,0,0,0,0,0,0,9,97,20,0,0,0,0,0,0,0,0,3,23,14,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,3,45,326,36,34,11,15,8,9,0,5,37,473,85,58,77,30,27,33,7,20,3,22,359,7,7,12,4,5,9,6,11,4,7,72,0,0,0,0,0,0,0,0,0,0,7,95,64,95,36,31,35,14,34,3,27,431,0,0,0,0,0,0,0,0,0,0,3,419,97,130,50,46,44,18,33,9,62,912
2006,0,0,0,0,3,178,4,0,0,0,0,0,0,0,14,201,45,0,0,0,0,0,0,0,0,6,48,5,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0,0,0,0,0,9,66,735,69,81,30,20,7,7,14,10,58,1049,105,16,96,23,26,34,20,27,18,18,378,16,0,5,0,0,0,0,10,4,0,32,0,0,0,0,0,0,0,0,0,0,3,116,16,97,26,23,35,20,36,19,20,408,7,0,0,0,0,0,0,0,0,6,6,862,91,186,49,48,47,27,45,28,83,1468
2007,0,0,0,10,29,3844,42,24,3,4,4,3,8,0,195,4123,788,8,3,0,0,0,0,0,0,85,886,480,0,3,0,0,0,0,0,0,57,544,213,0,3,0,0,0,0,0,0,37,259,12,0,0,0,0,0,0,0,0,3,11,704,0,5,0,0,0,3,0,0,97,810,9,0,0,0,0,0,0,0,0,11,26,1507,7,13,0,0,0,3,0,0,194,1725,15018,1542,1955,434,334,335,303,306,161,693,21087,6154,1246,2987,485,624,765,671,795,503,439,14670,1407,135,306,75,124,209,147,240,219,228,3081,103,14,23,3,3,9,7,6,9,18,186,7661,1390,3315,565,754,983,824,1044,730,684,17947,64,0,6,0,0,0,3,0,3,287,368,22742,2930,5278,993,1088,1317,1130,1350,897,1670,39391
2008,0,0,0,0,0,217,5,3,0,0,0,0,0,0,6,238,53,0,0,0,0,0,0,0,0,0,51,16,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,3,76,1542,209,188,38,15,23,16,11,4,54,2089,304,32,63,10,8,12,14,5,4,16,458,16,7,3,4,3,0,5,0,3,9,47,4,0,0,0,0,0,0,0,0,0,6,321,36,71,13,14,12,19,5,6,23,512,3,0,0,0,0,0,0,0,0,0,7,1869,247,259,49,27,33,29,19,12,72,2609
2009,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,99,18,0,0,0,0,0,0,0,0,0,21,14,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,38,372,44,50,10,8,20,9,11,9,16,544,100,36,193,27,25,13,16,10,11,9,435,8,0,9,4,4,0,0,4,7,5,38,0,0,0,0,0,0,0,0,0,0,3,109,38,202,35,25,13,14,13,12,13,483,3,0,0,0,0,0,0,0,0,3,7,486,85,251,36,39,28,31,19,24,35,1034
