SUA_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
2010,131,148,55,328,318,309,629,959,3852,23,4836,86,302,39,426,144,146,283,710,1140,12,1859,151,942,88,1185,419,462,883,2062,2962,31,5054,223,1228,96,1544,299,378,675,2219,3221,16,5454,335,2038,185,2557,430,506,937,3493,4981,40,8514,1054,4388,350,5796,450,722,1172,6962,6702,36,13708,2184,4562,355,7105,327,404,732,7839,7025,60,14924,3998,4836,371,9207,290,293,580,9789,7043,58,16886,5742,4505,389,10641,277,239,514,11148,7017,63,18229,5574,3137,328,9042,227,169,392,9432,4582,53,14072,5187,2114,257,7562,129,95,224,7784,3270,27,11084,4274,1492,212,5972,86,72,158,6133,2387,22,8544,6943,1910,310,9168,132,67,195,9366,2857,20,12240,2833,749,135,3715,41,27,73,3793,1352,12,5156,1394,331,65,1781,23,8,32,1821,430,7,2252,1825,347,73,2244,40,15,59,2301,350,3,2655,1538,327,66,1930,24,7,29,1965,623,7,2591,5447,3205,542,9193,358,274,625,9822,5814,407,16042,443,348
2011,3,6,0,8,10,3,12,19,67,0,87,0,3,0,3,0,0,0,3,25,0,32,0,14,0,15,12,10,23,37,68,0,107,5,24,0,31,11,9,19,53,104,0,161,0,44,3,47,17,12,33,76,156,0,238,17,95,11,121,21,37,53,174,249,0,420,45,86,12,139,12,19,36,175,212,0,387,96,102,14,216,7,5,13,228,169,0,398,121,80,11,212,7,11,16,231,132,4,365,102,53,9,163,7,0,10,173,97,0,271,71,21,4,95,4,3,9,103,62,0,165,77,21,0,100,5,5,11,103,31,0,140,103,28,0,139,0,0,0,136,36,0,175,44,7,0,52,0,0,0,54,14,0,70,17,5,0,21,0,0,0,25,6,0,29,13,0,0,12,0,0,0,19,3,0,22,10,0,0,6,0,0,0,7,7,0,16,85,41,11,139,6,11,20,160,115,4,274,4,6
2012,0,0,0,0,0,3,4,4,19,0,23,0,7,3,11,3,4,3,16,7,0,23,0,10,0,10,12,7,15,27,52,0,80,0,27,0,27,10,4,13,43,76,0,125,0,45,3,47,11,12,23,69,129,3,207,15,94,4,112,7,16,21,132,149,0,287,53,85,4,139,4,10,17,157,145,0,308,95,88,13,188,4,3,9,194,109,3,310,81,45,11,132,6,3,12,147,77,3,227,69,34,3,108,0,0,3,109,44,0,159,56,16,9,79,0,0,0,80,30,0,109,40,15,0,53,0,0,0,55,15,0,67,42,18,0,63,0,0,0,63,11,0,72,18,0,0,18,0,0,0,18,7,0,24,7,0,0,3,0,0,0,3,0,0,3,4,0,0,4,0,0,0,8,3,0,8,5,3,0,14,0,0,0,14,3,0,16,75,39,4,125,6,3,13,130,72,9,214,3,7
2013,0,0,0,0,0,0,0,3,5,0,10,0,0,0,0,3,0,3,3,6,0,11,0,3,0,4,5,3,10,12,20,0,37,0,14,0,14,7,0,11,21,45,0,62,0,13,0,13,3,7,10,30,50,0,76,3,44,0,49,9,9,22,70,69,0,143,9,39,6,52,6,11,12,69,77,0,149,16,41,3,57,3,0,3,65,49,0,116,24,14,4,38,0,0,0,38,41,0,83,20,9,0,38,0,0,0,39,19,0,55,17,14,3,27,0,0,0,27,10,0,35,6,10,3,15,0,0,0,15,7,0,20,22,0,3,25,0,0,0,25,6,0,32,13,0,0,15,0,0,0,15,3,0,18,3,0,0,4,0,0,0,4,0,0,10,5,0,0,6,0,0,0,6,4,0,7,3,0,0,3,0,0,0,0,0,0,5,33,21,3,59,6,0,6,62,33,3,101,0,4
2014,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,3,0,3,0,3,0,0,3,8,11,0,16,0,8,0,11,0,0,3,16,12,0,23,0,6,0,9,0,3,3,14,23,0,38,3,17,4,24,0,8,8,29,31,0,64,9,19,0,26,0,0,4,34,33,0,63,13,19,0,32,0,3,3,38,29,0,67,15,17,0,33,0,0,0,35,20,0,53,19,8,0,30,0,0,0,30,11,0,40,7,0,0,9,0,0,0,10,0,0,17,13,3,0,10,0,0,0,10,8,0,20,16,5,0,14,0,0,0,14,4,0,19,5,0,0,5,0,0,0,5,0,0,8,3,0,0,4,0,0,0,4,0,0,4,4,0,0,4,0,0,0,4,0,0,4,3,0,0,3,0,0,0,3,0,0,3,21,11,0,31,0,0,0,31,20,0,54,3,0
2015,0,0,0,0,0,0,0,0,8,0,12,0,3,0,3,0,0,0,3,3,0,4,0,3,0,9,4,0,5,9,6,0,14,0,3,0,4,0,6,5,10,22,0,34,3,13,0,22,3,5,3,27,25,0,56,4,20,0,31,3,3,12,41,30,0,70,10,24,0,40,0,4,4,41,38,0,82,19,29,0,42,0,0,0,42,38,4,81,25,15,0,40,0,0,4,45,26,0,69,24,10,0,32,0,0,0,31,11,0,46,11,10,3,26,0,0,0,26,5,0,32,17,7,0,24,0,0,0,24,8,0,35,18,3,0,21,0,3,3,19,3,0,20,4,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,9,6,0,0,6,0,0,0,6,0,0,6,11,20,4,37,0,0,0,39,21,0,56,3,8
2016,0,0,3,8,3,3,9,16,27,0,42,0,6,0,6,0,0,0,6,8,0,16,0,6,7,9,0,8,8,17,47,0,59,3,19,3,23,4,6,14,35,63,0,99,10,30,3,44,11,18,32,76,107,0,179,14,79,7,105,7,18,29,132,160,0,287,45,99,9,151,7,7,16,168,132,0,300,65,88,10,162,8,10,18,178,115,0,295,100,74,14,180,0,3,8,189,82,0,268,83,44,9,135,3,0,3,139,56,0,194,61,14,6,76,0,3,3,78,25,0,104,44,15,4,61,0,4,0,67,14,0,83,52,16,3,72,0,0,0,72,23,0,93,24,5,0,32,0,0,0,32,9,0,37,4,0,0,5,0,0,0,8,0,0,8,10,0,0,8,0,0,0,7,3,0,12,4,0,0,5,0,0,0,5,3,0,14,66,52,10,122,8,3,14,137,70,4,209,8,8
2017,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,6,7,0,13,0,5,0,5,0,0,0,8,19,0,26,4,10,0,8,3,3,6,13,22,0,36,0,21,3,26,0,3,8,30,24,0,55,5,18,0,26,0,0,0,27,22,0,45,20,18,0,35,0,0,3,34,16,0,54,19,17,4,34,0,0,0,39,20,0,53,23,9,0,26,0,0,0,26,3,0,32,13,3,0,10,0,0,0,10,6,0,17,9,0,0,9,0,0,0,9,6,0,16,17,4,0,18,0,0,0,18,3,0,21,4,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,11,15,0,23,0,0,0,27,18,0,45,0,0
2018,0,0,0,0,7,0,5,5,11,0,19,0,0,0,0,0,0,3,3,11,0,14,3,7,0,15,12,3,13,26,45,0,73,0,17,0,21,5,13,15,31,81,0,115,5,34,3,39,20,19,41,86,94,0,177,20,96,4,120,15,36,48,171,148,3,324,29,65,5,101,6,13,18,120,122,0,241,53,65,5,126,9,6,7,134,83,4,217,62,70,12,143,3,8,18,156,77,0,227,40,31,4,75,0,0,0,78,33,0,109,60,12,4,79,0,0,0,78,22,0,98,44,18,7,68,0,0,0,68,11,0,81,43,13,3,62,5,0,4,64,16,0,77,18,7,0,28,0,0,0,31,9,0,38,3,0,0,6,0,0,0,6,3,0,7,6,0,0,6,0,0,0,9,4,0,16,5,0,0,7,3,0,3,12,5,0,12,47,47,7,97,14,6,16,116,65,0,176,3,0
2019,0,0,0,0,0,0,0,0,5,0,5,0,3,0,3,0,0,3,7,9,0,14,0,3,0,7,3,0,9,15,16,0,31,0,4,0,4,6,4,5,17,20,0,33,0,24,3,29,3,3,8,40,40,0,77,3,38,3,40,3,12,13,56,43,0,104,17,29,4,56,0,3,3,52,63,0,116,25,45,0,72,3,4,6,76,39,0,117,26,29,0,52,4,0,4,56,41,0,100,33,9,0,44,0,0,3,48,16,0,64,18,4,0,23,0,0,0,26,12,0,40,10,7,0,20,0,0,0,20,8,0,27,19,3,0,20,5,0,5,25,13,0,40,8,3,0,12,0,0,0,12,6,0,17,0,0,0,3,0,0,0,3,0,0,4,5,3,0,5,0,0,0,7,0,0,11,0,0,0,5,0,0,0,5,0,0,5,23,30,0,47,4,0,4,51,22,0,73,0,8
2020,5,3,0,3,0,0,0,10,15,0,22,0,6,0,6,0,5,3,7,7,0,18,0,12,0,17,3,4,3,23,27,0,46,0,14,0,12,3,8,10,23,40,0,65,3,31,0,28,5,9,12,41,48,0,89,3,51,8,58,4,3,15,73,90,0,163,28,49,4,85,3,6,9,90,69,3,168,33,54,0,97,3,0,8,103,66,0,163,49,46,8,99,0,3,7,102,74,3,174,61,24,0,93,0,0,0,94,28,0,123,51,16,7,78,0,0,0,79,16,0,99,23,10,0,33,0,0,0,33,14,0,46,35,13,0,54,0,0,3,50,16,0,69,15,6,0,22,0,0,0,22,4,0,23,6,0,0,8,0,0,0,8,0,0,8,3,0,0,3,0,0,0,5,3,0,9,8,3,0,7,0,0,0,7,0,0,9,35,27,16,79,5,0,5,88,51,3,138,5,3
2021,0,0,0,0,0,0,0,3,8,0,13,0,3,0,4,0,0,3,4,6,0,14,0,9,0,14,0,3,3,19,25,0,40,0,20,3,21,3,4,5,33,30,0,66,3,8,0,12,7,9,15,28,58,0,87,4,84,10,102,4,3,14,110,74,0,182,24,67,7,95,3,4,8,102,78,0,183,47,62,8,120,0,0,0,125,64,0,188,52,53,0,106,0,3,8,113,41,0,156,54,36,3,95,3,0,3,94,29,0,125,37,17,3,54,0,0,0,60,20,3,74,19,17,0,37,0,0,0,43,13,0,53,41,12,4,59,0,0,0,59,12,0,68,11,3,0,15,0,0,0,15,4,0,21,5,0,0,5,0,0,0,5,0,0,5,4,0,0,4,0,0,0,4,8,0,13,3,0,0,3,0,0,0,3,0,0,5,28,32,9,70,0,0,4,74,37,8,114,3,6
