SUA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
2000,115380,63995,56223,71276,92149,99375,80372,40488,16671,635933,166,159,110,96,141,139,147,97,54,1117,314,362,391,351,379,487,328,101,32,2750,3786,4609,4168,3342,3513,4093,3384,1368,705,28970,313,313,393,311,311,310,217,44,10,2213,193,311,302,247,244,305,219,71,5,1900,84,115,138,100,116,153,90,21,3,816,31,27,57,45,68,97,93,36,3,465,42,52,54,17,20,22,14,0,0,224,8,26,41,25,28,34,13,3,0,184,0,0,0,0,0,0,0,0,0,3,4779,5811,5543,4433,4680,5506,4357,1638,766,37524,4943,5967,5652,4537,4819,5649,4507,1740,820,38635,120324,69964,61874,75806,96973,105028,84881,42228,17487,674571
2001,4184,2441,2442,2694,2694,2256,1777,746,307,19546,0,0,3,6,3,3,3,3,0,23,3,0,0,0,0,3,3,5,0,14,61,98,97,53,55,49,43,30,9,497,3,0,0,5,0,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,98,97,60,69,55,51,32,9,541,64,99,100,65,73,59,55,35,8,562,4250,2541,2542,2762,2766,2319,1832,786,320,20114
2002,2540,1538,1535,1429,1669,1774,1577,1102,540,13701,0,0,0,0,0,6,4,0,0,13,0,0,8,0,8,3,6,0,0,26,52,117,98,68,92,71,44,40,20,593,0,0,4,3,0,7,4,0,0,20,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,119,103,71,97,88,55,41,20,651,52,119,103,71,102,94,59,39,17,667,2594,1654,1643,1506,1768,1868,1635,1142,560,14365
2003,18479,13087,12268,11651,12038,11013,8501,4864,2198,94099,7,31,15,3,11,13,13,7,9,115,0,27,12,18,17,17,26,7,0,127,421,923,600,371,338,362,300,191,118,3637,4,7,8,13,13,27,19,0,0,88,4,11,9,8,11,12,9,8,3,77,3,0,0,4,10,5,4,0,0,32,0,0,3,3,8,15,15,4,0,49,5,8,5,3,3,7,0,0,0,31,0,0,3,0,4,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,442,978,644,418,406,448,376,213,128,4055,456,1007,658,422,420,461,387,221,138,4170,18935,14099,12927,12072,12459,11469,8888,5086,2333,98273
2004,17637,12196,11693,10751,11027,10677,8057,4841,2363,89225,24,14,15,7,11,9,8,3,4,99,8,41,34,14,29,33,29,14,0,216,370,853,581,345,318,338,224,145,123,3297,10,8,12,10,16,19,21,4,0,93,0,12,11,8,9,31,11,3,0,81,0,5,11,9,16,16,3,6,0,63,0,4,4,0,6,6,16,0,0,39,0,4,3,0,3,3,3,0,0,20,0,3,3,3,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,393,939,657,382,396,434,311,181,129,3816,413,952,671,391,402,447,315,186,137,3913,18048,13142,12365,11143,11433,11121,8370,5024,2494,93143
2005,2155,1365,1342,1262,1444,1477,1144,832,429,11451,3,4,4,0,4,0,3,0,0,25,0,0,0,0,4,0,3,0,0,11,47,74,59,46,36,40,25,19,16,364,0,0,0,0,4,3,3,0,0,11,3,3,3,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,82,69,44,46,44,37,25,14,414,57,88,70,46,45,47,39,25,14,432,2213,1454,1408,1311,1486,1522,1188,851,447,11889
2006,3570,2022,2019,2078,2439,2485,2328,1419,596,18955,4,0,5,5,0,8,3,8,3,32,15,24,22,22,29,38,30,8,3,185,64,106,124,100,120,129,194,83,24,938,5,0,0,4,11,5,26,3,0,51,0,3,0,0,10,12,14,6,0,52,5,0,0,0,9,13,4,0,0,28,0,3,5,0,5,3,0,0,0,12,3,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,89,141,147,131,176,198,277,111,32,1297,96,141,153,135,174,203,284,114,37,1334,3661,2164,2168,2213,2613,2688,2613,1531,632,20287
2007,44625,29727,29729,30424,30633,28197,21783,12608,6175,233900,36,45,32,20,20,23,29,18,19,242,21,69,45,30,38,40,33,11,3,287,788,1545,1189,779,754,740,658,386,268,7109,24,36,31,44,33,64,44,9,3,282,5,14,23,14,18,15,33,7,0,134,5,16,15,9,18,23,16,0,0,104,5,21,7,13,10,23,18,0,0,93,3,3,7,5,3,6,0,0,0,20,3,0,13,8,5,10,0,0,0,36,0,0,0,0,0,0,0,0,0,0,850,1706,1314,907,883,917,810,419,270,8075,886,1748,1346,923,902,942,834,430,293,8311,45513,31476,31072,31347,31535,29147,22622,13044,6465,242215
2008,4357,2176,1680,2705,3009,2447,1858,677,279,19198,3,5,0,0,0,0,0,0,0,13,0,3,3,6,3,10,5,0,0,30,45,75,58,35,39,20,51,23,7,359,0,5,4,0,6,9,3,0,3,29,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,80,63,43,50,38,68,32,9,432,53,88,63,43,50,38,67,30,9,440,4405,2264,1745,2750,3060,2483,1931,706,291,19640
2009,2972,1772,1882,1693,1852,1909,1443,1079,509,15120,3,3,3,0,0,3,5,4,0,25,0,4,6,3,8,0,0,0,0,15,50,95,118,84,70,79,52,34,22,598,0,3,3,0,8,3,0,0,0,17,9,0,7,10,11,19,17,7,0,78,0,0,0,0,0,5,0,0,0,12,6,0,0,0,3,0,4,0,0,8,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,61,100,132,100,90,109,76,42,22,732,68,102,131,103,93,113,80,42,23,765,3040,1876,2013,1796,1942,2025,1523,1123,536,15885
