SUA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
2000,1183,329,300,34,1846,917,178,222,22,1345,692,279,747,25,1743,383,138,1099,20,1637,4519,667,1875,109,7165,2459,948,2948,92,6452,13296,1893,2993,233,18415,7630,3300,2869,295,14087,9203,5820,2569,245,17841,7986,6612,1770,205,16566,4257,6037,1114,102,11514,4873,5965,798,106,11741,7859,10124,885,129,18999,4143,6783,345,62,11337,2181,3635,112,16,5942,1115,2117,167,4,3406,2465,3906,178,29,6571,5551,9966,2530,105,18156,2311,894,676,67,3946,83018,69594,24208,1901,178719
2001,37,4,15,0,60,15,3,9,0,25,12,5,23,0,44,4,0,32,0,39,73,16,62,0,150,38,21,91,3,150,269,45,120,10,437,130,94,113,3,334,187,174,98,4,457,177,183,84,7,453,101,216,59,4,383,109,214,50,3,381,261,432,61,3,759,156,325,21,0,500,74,218,4,0,300,46,127,3,0,181,50,226,3,0,289,105,268,76,3,450,45,24,17,4,90,1889,2597,934,57,5478
2002,18,4,6,0,26,14,3,6,0,23,10,0,19,0,30,7,3,36,0,45,84,8,55,6,156,40,12,83,0,134,283,34,104,8,425,181,80,85,9,362,202,139,66,5,411,167,152,42,6,367,98,141,31,3,280,90,109,24,3,222,151,185,22,3,357,75,104,11,0,190,32,55,0,0,91,11,33,3,0,51,30,58,6,0,91,110,193,70,4,378,53,14,17,3,87,1661,1328,685,53,3729
2003,97,28,58,5,192,64,19,17,8,108,57,30,120,4,209,45,17,192,0,251,388,58,387,30,862,254,107,597,27,988,1448,237,638,40,2358,822,425,577,42,1862,975,709,504,54,2247,915,906,367,42,2234,613,923,252,31,1822,605,858,178,19,1655,1139,1677,191,35,3045,603,1115,65,12,1794,304,715,24,9,1049,166,376,38,3,588,338,819,30,4,1187,551,1130,425,21,2123,206,102,117,9,437,9599,10255,4775,395,25022
2004,79,21,49,4,157,69,4,37,11,127,46,11,128,9,199,20,8,193,3,222,368,92,294,23,777,229,93,583,21,933,1363,219,633,58,2264,835,445,602,42,1925,1032,705,532,66,2342,997,920,377,40,2329,563,888,262,31,1738,567,851,158,24,1608,1076,1565,196,32,2874,581,1107,63,13,1768,320,618,13,5,960,135,369,27,0,529,277,586,25,3,893,562,1024,427,19,2030,214,83,96,10,404,9344,9617,4696,423,24078
2005,10,5,4,0,14,11,3,3,0,15,9,4,19,5,37,5,0,32,0,37,65,3,37,0,107,32,17,90,0,135,181,21,61,3,270,104,53,63,9,231,161,97,44,7,314,124,139,45,4,313,80,114,20,4,213,81,135,20,4,234,144,211,25,6,387,51,115,0,0,171,33,66,3,0,100,10,30,0,0,41,21,45,3,4,75,72,120,52,0,246,33,19,17,3,67,1221,1180,547,56,3008
2006,34,8,8,0,46,14,4,4,0,18,15,4,23,0,37,9,5,30,0,45,127,7,53,4,192,60,16,99,0,175,426,34,92,11,555,193,79,96,12,377,282,146,104,4,532,251,189,58,3,506,138,178,42,6,367,160,187,29,0,371,267,314,27,3,604,131,235,13,0,381,67,146,0,0,217,25,59,3,0,90,49,130,6,0,182,139,273,82,3,492,82,19,28,3,130,2460,2024,793,49,5327
2007,309,84,152,20,562,172,54,95,5,329,162,79,294,18,549,94,46,367,14,519,1124,190,706,39,2058,597,281,1205,37,2118,3299,567,1203,83,5150,2101,904,1228,105,4337,2484,1632,1272,120,5511,2243,2052,886,119,5302,1341,2216,636,58,4251,1496,2338,465,63,4365,2952,4592,599,85,8230,1814,3255,190,34,5301,917,2057,76,20,3065,527,1281,99,6,1912,1035,2579,89,8,3710,1570,3273,968,48,5864,565,298,251,19,1131,24812,27779,10773,898,64269
2008,31,7,4,3,46,16,5,4,0,24,3,8,13,3,21,8,6,15,0,24,64,8,22,0,87,45,17,34,0,90,164,29,51,0,251,164,36,60,3,274,198,102,68,3,371,181,136,37,3,357,122,182,43,0,347,110,200,36,0,351,226,435,54,3,712,181,377,19,0,579,125,269,15,0,406,76,252,4,0,329,146,461,10,0,614,130,379,66,3,575,42,24,12,0,77,2029,2924,570,31,5550
2009,14,0,9,0,28,13,6,3,3,26,10,0,10,0,31,9,0,37,0,42,72,11,56,3,140,39,22,95,3,162,246,36,99,3,383,181,77,91,10,363,205,126,82,9,432,198,171,55,14,442,105,163,38,4,307,129,162,17,3,312,203,267,18,7,495,111,139,7,3,265,54,89,0,0,139,26,41,4,0,65,55,79,5,0,140,112,231,50,0,392,47,14,20,0,75,1830,1629,715,69,4246
