SUA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
2000,8,127,18252,18387,286,1730,10995,13014,8535,6097,10088,24720,18266,5345,7868,31477,24652,5560,11478,41694,29286,4298,12859,46447,25978,2234,10110,38326,12245,532,5193,17969,2771,89,2238,5099,122037,26011,89085,237134,19,308,16229,16553,632,2596,8318,11543,11708,6494,8752,26962,20869,5725,8192,34785,27294,5631,11426,44347,29736,3906,12799,46439,23207,1644,11771,36624,8468,322,9721,18508,1324,61,5412,6799,123264,26687,92610,242568,27,431,34474,34943,922,4322,19310,24554,20242,12595,18843,51683,39131,11073,16058,66263,51948,11188,22903,86045,59025,8207,25654,92891,49187,3876,21885,74950,20714,848,14912,36478,4101,149,7655,11901,245307,52697,181696,479697
2001,0,0,652,654,9,56,488,559,414,306,415,1134,751,187,267,1209,786,159,314,1252,717,80,234,1034,585,43,173,797,221,6,81,306,57,0,34,91,3530,846,2658,7038,0,4,603,606,24,98,407,527,537,291,377,1203,825,205,324,1353,791,149,394,1334,720,81,323,1129,519,35,336,885,145,4,225,379,26,0,118,146,3585,862,3112,7558,0,5,1252,1265,36,152,895,1083,951,595,787,2336,1578,392,592,2563,1575,303,702,2583,1435,165,561,2163,1097,78,511,1688,367,12,304,686,76,3,151,233,7119,1705,5777,14599
2002,0,4,377,378,10,72,240,325,250,166,270,687,305,117,204,622,397,84,203,677,472,68,217,759,498,41,148,685,304,7,103,419,82,5,40,126,2312,563,1808,4686,0,14,347,362,21,96,225,345,305,163,243,713,345,104,263,709,468,112,295,874,500,59,322,880,453,19,283,760,229,8,307,539,34,0,185,225,2354,584,2476,5413,0,19,723,740,38,167,465,673,551,333,516,1393,644,224,471,1339,861,194,495,1552,970,133,536,1640,953,64,439,1452,530,14,410,956,117,11,229,358,4668,1144,4285,10101
2003,0,30,2839,2864,53,439,2626,3121,1826,1405,2391,5626,3065,763,1387,5210,3158,605,1549,5314,3143,386,1348,4873,2530,181,943,3652,1330,69,500,1903,322,8,245,574,15437,3874,13825,33140,3,52,2584,2642,112,656,2449,3215,2305,1384,2311,5991,3294,773,1820,5889,3270,631,2214,6113,3090,328,2134,5550,2367,137,1809,4313,987,31,1464,2482,159,3,871,1034,15590,3990,17658,37236,3,84,5424,5508,168,1096,5075,6340,4128,2791,4703,11620,6361,1536,3208,11102,6427,1232,3765,11431,6230,713,3479,10421,4902,314,2745,7967,2322,97,1966,4384,479,12,1120,1612,31025,7868,31483,70372
2004,3,20,2712,2729,87,503,2327,2914,1822,1286,2169,5276,2777,680,1353,4806,2849,571,1515,4937,3042,328,1381,4753,2489,132,907,3528,1405,47,521,1980,341,13,270,615,14821,3566,13153,31540,8,73,2521,2607,145,678,2236,3057,2311,1307,2179,5796,2990,680,1757,5430,3021,540,1968,5529,3061,281,2028,5368,2280,113,1641,4037,1069,31,1289,2379,178,7,763,952,15054,3716,16384,35149,8,89,5236,5338,229,1182,4560,5972,4133,2596,4346,11075,5761,1360,3114,10234,5870,1108,3481,10461,6102,607,3405,10117,4772,250,2543,7564,2471,75,1808,4357,520,18,1035,1567,29871,7284,29531,66687
2005,0,3,330,334,15,62,265,338,199,130,331,661,338,87,210,630,353,87,190,636,398,61,176,634,336,14,150,498,213,7,81,300,59,0,42,98,1909,448,1776,4130,0,7,304,309,14,88,204,307,261,126,226,618,328,89,173,587,386,80,252,716,407,49,272,727,316,11,239,564,170,11,253,435,27,0,156,188,1914,460,2086,4457,0,6,637,646,29,149,469,653,458,258,554,1276,661,181,378,1217,735,170,441,1348,806,110,446,1361,651,24,385,1059,381,13,334,731,89,0,202,290,3818,909,3854,8587
2006,0,0,582,580,11,78,298,388,337,221,320,871,542,163,215,923,660,151,277,1088,728,106,293,1117,751,66,251,1062,420,21,133,574,84,3,57,144,3529,810,2421,6762,0,6,536,546,17,111,263,393,412,244,367,1022,615,156,277,1049,718,149,367,1235,767,88,367,1232,712,53,365,1124,310,11,349,672,41,3,171,213,3587,831,3062,7478,0,8,1118,1124,30,190,564,784,748,467,684,1897,1160,327,490,1971,1378,302,643,2327,1497,192,658,2348,1460,114,614,2190,725,35,486,1245,124,3,227,356,7117,1639,5482,14243
2007,6,39,6783,6823,132,799,6194,7125,4623,3063,5717,13408,8527,2002,3277,13806,8527,1455,3719,13701,8503,991,3237,12733,7035,445,2191,9672,3689,123,1232,5042,993,23,690,1711,42031,8940,33038,84013,12,96,6413,6511,280,1127,5370,6777,6041,3241,5292,14578,9080,1931,4134,15145,8978,1537,4946,15461,8436,867,4837,14135,6466,338,4155,10957,2860,79,3434,6364,474,11,2130,2616,42625,9222,40709,92557,12,130,13192,13340,414,1927,11567,13904,10673,6311,11010,27986,17603,3933,7409,28951,17503,2992,8666,29158,16944,1855,8071,26872,13501,777,6354,20632,6545,202,4663,11407,1469,32,2823,4322,84660,18159,73752,176572
2008,0,0,649,649,6,26,415,449,321,169,253,750,911,168,129,1210,995,192,200,1385,864,112,177,1154,711,40,140,896,241,6,69,315,39,0,39,82,4095,714,2076,6888,0,0,602,602,14,42,367,415,437,180,247,868,1015,181,199,1394,1060,174,288,1523,851,80,268,1205,604,24,263,893,161,3,125,295,24,0,77,100,4164,688,2428,7283,0,0,1253,1253,15,67,778,865,761,354,503,1616,1924,352,325,2605,2052,362,489,2906,1718,194,444,2360,1316,67,407,1787,404,6,196,604,60,0,119,179,8257,1405,4507,14170
2009,0,10,431,437,13,74,324,410,291,247,317,854,475,89,181,742,542,72,231,847,569,60,235,867,459,14,153,626,315,9,116,436,90,3,51,150,2756,581,2035,5373,0,19,395,414,24,129,300,448,385,204,352,945,508,106,261,877,581,70,291,943,571,53,335,954,452,15,279,747,240,0,334,576,52,0,197,250,2807,595,2751,6150,0,29,829,853,32,206,625,862,674,454,674,1797,981,193,441,1619,1125,146,517,1795,1140,112,568,1826,914,32,428,1375,555,9,449,1013,142,3,250,395,5560,1180,4787,11528
