SUA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
2000,16035,154,27,9,8,0,3,2799,19036,10702,1340,609,149,38,9,10,1406,14256,7398,2623,2280,795,208,48,29,1268,14648,4392,3004,4527,2382,728,178,101,1364,16673,2832,2261,5708,3619,1303,363,206,1388,17687,2991,2346,6979,4752,1784,538,314,1611,21312,3245,2480,7863,5432,2141,584,384,1825,23956,3497,2390,8347,6053,2439,724,437,2046,25944,3476,2388,8506,6637,2848,821,460,2188,27333,2986,2215,8604,6775,2912,855,450,2188,26981,2427,1761,8120,6484,3001,954,511,2220,25481,1459,1139,5219,4865,2660,1019,653,1782,18797,924,638,2725,3314,2282,1026,855,1456,13214,584,440,1692,2090,1718,849,849,1172,9385,751,685,2044,2125,1700,860,988,1721,10880,63692,25866,73243,55477,25753,8819,6257,26453,285568
2001,585,3,0,0,0,0,0,65,651,475,30,28,4,0,0,0,47,582,361,115,80,24,6,0,0,42,632,157,131,225,97,27,0,3,26,658,115,115,229,147,41,19,3,48,711,89,69,312,155,50,14,6,37,739,82,96,289,161,54,29,8,32,756,65,59,255,177,46,16,12,41,673,68,69,244,171,51,19,11,31,660,45,47,205,170,77,11,8,24,576,42,44,223,123,58,17,10,39,554,24,24,144,125,75,10,0,34,438,21,14,52,70,36,22,16,29,264,11,10,28,50,35,15,22,21,192,10,10,28,42,28,17,22,51,216,2158,828,2356,1514,580,180,112,577,8307
2002,347,4,0,0,0,0,0,60,409,297,40,24,7,0,0,0,54,425,197,78,68,32,5,0,0,44,426,98,74,120,41,26,0,5,40,394,59,56,127,73,23,15,9,37,386,57,35,140,83,34,5,8,35,400,62,51,163,100,54,15,9,33,479,58,41,178,109,51,15,11,47,507,62,52,162,127,55,8,7,49,522,53,39,172,115,56,21,19,47,510,48,43,147,148,72,27,8,51,534,25,27,155,104,59,14,12,43,436,39,21,78,93,66,26,11,54,392,22,18,52,60,49,20,22,45,291,27,23,65,61,46,27,34,89,383,1450,600,1643,1144,593,200,141,731,6498
2003,2782,42,5,0,0,0,0,356,3191,2986,276,131,23,8,0,6,356,3783,1942,575,421,158,38,5,10,240,3401,995,645,894,316,107,28,16,226,3224,577,464,1065,571,194,44,30,180,3129,485,414,1121,673,256,66,50,189,3248,447,399,1203,699,247,84,68,203,3351,436,356,1143,742,312,83,53,200,3318,426,311,1053,804,290,84,54,210,3233,349,267,1026,759,304,84,47,208,3049,260,187,959,752,356,124,68,209,2910,194,132,595,512,317,130,99,186,2166,147,84,389,407,279,127,124,178,1732,100,66,231,262,227,135,149,161,1327,148,97,313,309,221,126,166,210,1589,12275,4319,10545,6978,3158,1124,932,3308,42647
2004,2574,34,9,0,0,0,0,380,3002,2780,307,135,37,3,3,3,303,3572,1859,586,412,159,44,15,9,243,3315,915,632,818,362,104,31,19,214,3099,520,439,935,548,169,66,34,183,2891,379,380,1031,648,256,68,44,184,2993,400,362,1004,648,253,74,50,190,2979,374,327,995,716,302,86,52,204,3058,336,305,1022,793,352,96,60,189,3143,258,211,986,733,329,83,57,214,2875,224,192,896,729,308,103,49,195,2690,175,102,530,547,297,96,80,171,1997,120,91,359,407,283,117,119,187,1679,87,69,213,237,211,105,118,179,1218,116,112,284,309,209,119,147,334,1632,11124,4136,9617,6884,3107,1060,843,3371,40147
2005,297,3,0,0,0,0,0,39,345,253,45,18,3,4,0,0,36,363,163,62,70,28,10,4,0,29,356,75,62,82,54,26,3,0,17,323,49,24,93,76,34,4,7,14,300,37,37,110,79,31,13,3,19,328,46,36,145,94,46,11,7,31,405,50,32,109,101,52,13,12,28,389,60,24,111,127,61,17,10,37,437,41,36,114,108,57,18,11,34,417,39,20,98,103,70,20,16,23,392,42,18,62,71,53,22,17,39,319,23,9,60,84,46,31,24,32,303,15,8,37,54,37,29,28,28,236,23,13,43,64,47,32,35,58,303,1202,438,1137,1043,569,209,165,455,5219
2006,506,3,0,0,0,0,0,89,601,321,64,28,3,0,0,0,60,474,322,95,85,30,14,0,0,52,597,144,118,154,67,31,11,0,45,572,84,73,170,115,37,6,7,33,521,74,74,215,163,55,11,4,33,630,61,54,274,160,66,14,10,36,679,87,59,236,163,60,14,3,45,668,59,58,247,203,75,25,4,57,735,51,51,246,201,67,26,10,44,694,60,53,269,205,87,19,10,46,746,45,33,189,169,89,32,16,62,632,25,14,103,120,83,48,31,59,476,24,13,66,68,70,42,44,49,380,26,23,71,88,45,38,41,65,393,1892,795,2352,1760,778,284,172,768,8794
2007,6685,47,15,0,0,0,3,804,7552,6481,499,183,40,12,0,0,693,7907,5026,1200,742,237,63,14,3,582,7870,2900,1796,2005,704,198,62,31,472,8168,1525,1287,2736,1308,358,72,58,365,7713,1226,1141,3241,1726,509,163,97,458,8552,1133,1044,3196,1718,587,146,97,476,8401,1110,911,3017,1862,674,166,104,491,8328,991,806,2903,2043,711,170,98,485,8197,803,668,2838,1912,721,163,72,478,7660,617,566,2729,1879,682,223,106,517,7327,432,368,1793,1550,661,210,139,387,5534,276,235,1116,1083,687,277,240,384,4299,192,205,789,798,522,237,233,368,3350,288,339,954,864,589,272,290,605,4203,29680,11111,28249,17715,6979,2181,1567,7593,105074
2008,571,3,0,0,0,0,0,63,642,429,5,4,5,0,0,0,24,467,276,52,37,8,0,0,0,21,390,151,118,172,66,13,0,3,29,559,117,105,235,124,27,5,3,41,655,86,76,358,204,42,9,0,40,830,81,94,345,185,76,9,7,45,846,88,77,297,202,55,14,8,34,785,78,61,289,155,68,8,3,32,697,64,55,242,154,62,14,3,35,628,42,55,214,170,76,19,10,40,632,23,25,142,107,48,25,10,24,403,11,10,68,62,35,21,8,16,230,8,11,33,33,18,3,11,23,137,7,16,40,49,15,8,12,40,193,2052,783,2472,1530,525,144,72,524,8100
2009,407,7,0,0,0,0,0,51,472,363,69,31,4,0,0,0,35,510,297,83,68,29,8,0,0,30,513,141,118,130,70,20,3,4,23,514,66,63,153,94,30,6,6,30,447,65,56,180,134,38,9,9,29,510,60,42,178,125,38,7,9,22,477,67,39,183,154,46,16,7,28,548,65,35,192,148,67,23,7,39,568,64,31,188,131,62,23,9,49,549,42,24,151,145,43,22,15,29,471,24,17,110,120,76,29,6,47,422,23,13,71,97,74,30,20,27,353,30,14,46,78,52,28,21,25,298,32,25,54,87,63,31,41,32,356,1722,629,1740,1412,615,226,157,486,7000
