SUA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
2000,0,36,126,257,90,54,36,16,3,618,0,0,0,8,36,55,70,51,13,236,0,3,3,17,3,15,30,11,3,85,16,171,199,1004,1798,2593,3049,1567,579,10974,0,5,4,45,29,25,15,0,0,132,0,4,13,66,37,37,27,10,7,198,0,8,31,185,184,279,586,253,130,1660,0,0,3,10,29,74,102,56,23,295,0,6,27,77,17,20,8,3,0,156,25,64,49,520,61,78,63,35,14,904,0,8,10,71,32,21,25,14,3,188,3,0,3,17,5,4,0,5,0,37,3,8,4,29,13,0,0,0,0,61,0,16,16,115,66,99,110,62,23,514,0,7,19,38,76,266,412,368,162,1335,0,9,20,87,30,24,16,4,5,194,3,3,20,54,7,4,3,0,0,101,0,0,0,15,9,8,4,0,0,39,9,18,35,152,94,74,21,10,6,417,0,3,9,21,34,104,149,58,12,380
2001,0,0,5,6,5,0,0,0,0,20,0,0,0,3,3,4,4,0,0,14,0,0,0,0,0,0,0,0,0,3,0,15,9,51,69,90,104,43,24,392,0,0,0,5,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,3,7,7,25,9,4,58,0,0,0,0,3,0,8,3,0,12,0,0,0,3,0,0,0,0,0,3,4,4,0,42,5,9,5,0,3,78,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,3,3,3,3,20,0,0,0,0,3,8,7,6,3,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,3,0,0,0,14,0,0,0,11,7,9,18,5,3,53
2002,0,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,23,19,50,62,53,20,229,0,0,0,4,5,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,19,9,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,19,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,0,0,0,0,0,3,9,11,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,14,0,0,0,0,0,0,5,0,0,11
2003,0,20,114,161,35,25,8,0,0,376,0,0,0,3,11,7,11,10,6,51,0,7,3,7,0,0,0,0,0,12,11,48,33,135,154,207,258,154,70,1066,0,0,6,15,3,10,0,3,0,37,0,3,0,8,5,5,4,0,0,22,0,3,6,9,13,19,55,23,19,155,0,0,0,0,0,7,7,11,0,29,0,0,0,8,8,6,3,0,0,24,7,26,24,261,22,16,13,3,0,386,0,3,7,14,0,0,7,0,0,32,0,3,7,16,0,3,5,0,0,31,0,0,0,8,6,0,0,0,0,14,0,0,6,15,5,13,12,5,3,64,0,0,0,5,7,9,20,24,22,78,0,5,0,30,12,4,0,3,0,58,0,3,3,19,0,0,0,0,0,25,0,0,0,4,3,0,0,0,0,3,0,15,9,34,16,15,6,3,0,98,0,0,0,0,0,10,15,6,0,29
2004,0,6,30,79,29,11,8,0,0,168,0,0,0,3,3,0,7,3,0,14,0,0,3,9,6,0,0,0,0,27,3,24,13,88,132,157,159,107,59,747,0,0,3,12,9,6,0,0,0,29,0,0,0,4,0,0,0,0,0,12,0,0,3,12,12,14,33,17,14,98,0,0,0,0,0,7,4,11,4,26,0,0,4,7,4,3,3,0,0,17,10,20,31,211,17,11,7,3,3,319,0,0,7,20,15,5,3,0,0,48,3,9,3,5,0,0,0,0,0,28,0,0,0,4,0,0,0,0,0,15,0,4,0,17,8,4,13,7,3,52,0,0,0,3,4,7,12,9,10,52,0,0,0,10,4,3,0,0,0,17,0,3,3,15,0,0,0,0,0,28,0,0,0,4,4,0,0,0,0,6,0,5,6,17,16,13,7,3,0,73,0,0,0,3,0,4,8,0,0,11
2005,0,3,5,17,6,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,7,23,20,26,12,96,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,3,0,0,0,23,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,10,25,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
2006,0,0,0,6,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,16,30,39,63,53,15,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,3,0,3,14,3,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,20,0,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,3,0,15,0,0,0,3,0,3,3,3,3,17,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,3,3,4,0,5
2007,8,41,144,382,100,76,33,18,7,802,0,3,12,65,100,123,197,158,38,690,0,3,8,14,3,6,14,3,0,47,22,183,152,568,729,862,943,596,288,4337,0,0,6,26,19,4,3,3,0,68,0,3,13,32,4,9,6,7,3,80,0,6,11,73,31,119,278,132,99,749,0,0,3,8,16,37,74,49,17,207,3,11,22,36,11,11,7,0,0,101,21,65,88,634,44,56,25,17,15,970,0,7,20,69,26,7,17,4,3,160,3,40,35,106,16,13,3,0,0,223,4,21,3,51,12,8,3,0,0,108,3,18,9,83,45,48,39,29,11,288,0,5,6,19,58,127,226,251,111,799,3,17,5,59,19,7,3,3,3,120,0,3,7,51,9,0,0,0,0,79,0,3,0,3,10,8,3,3,0,38,3,8,41,109,50,47,10,4,3,275,0,0,0,0,7,32,57,17,6,112
2008,0,0,5,13,8,0,3,0,0,30,0,0,0,0,4,3,3,8,0,13,0,0,0,0,0,0,3,0,0,3,0,11,12,68,110,101,92,49,12,455,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,7,0,0,3,6,7,11,20,5,4,63,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,11,6,9,7,0,3,40,0,0,0,0,11,16,13,4,0,47,0,0,0,3,5,0,0,0,0,6,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,17,0,0,0,3,0,25,10,0,0,36
2009,0,0,0,12,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,15,9,20,27,15,9,106,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,15,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,4,6,3,37,3,3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,3,0,0,6,14,11,32,0,0,0,3,3,0,0,0,0,6,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
