SUA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
2000,1296,814,504,115,158,28,2923,486,212,165,59,117,13,1059,1098,535,462,198,256,28,2582,977,590,429,213,228,16,2446,1744,1466,793,412,445,29,4895,2157,2231,1018,535,503,32,6471,2211,2939,1153,566,472,36,7382,2262,3480,1204,515,398,52,7908,1729,3010,906,341,267,26,6282,1700,3237,893,313,203,19,6378,1092,2035,476,157,100,20,3878,1567,2866,803,184,165,19,5611,517,1009,228,54,45,0,1853,356,610,157,42,17,3,1184,848,1424,415,69,79,9,2840,952,1451,455,83,88,11,3036,307,487,185,28,29,4,1032,316,441,170,29,32,3,988,1419,1342,749,202,247,41,3997,23030,30189,11158,4114,3856,394,72741
2001,16,24,16,0,3,0,68,10,7,3,0,0,0,15,6,15,20,3,4,0,48,21,11,11,5,5,0,54,29,18,26,6,4,3,93,53,48,36,9,21,0,163,47,83,41,13,17,0,208,70,141,46,24,25,3,307,65,137,36,29,19,3,293,92,172,46,18,16,0,352,46,133,21,9,8,3,223,67,162,64,7,7,0,310,23,63,20,3,0,0,105,10,47,11,3,3,0,77,38,60,32,3,3,0,136,31,74,30,4,10,0,150,13,13,0,3,0,0,25,3,4,0,0,0,0,11,38,45,31,4,9,0,124,684,1251,499,160,159,14,2769
2002,10,7,7,0,0,0,31,9,8,0,0,3,0,24,20,6,4,0,0,0,39,15,7,8,0,3,0,38,23,24,17,10,6,0,76,39,46,19,15,10,0,129,42,59,15,11,16,3,148,53,80,23,12,17,0,188,69,97,21,10,11,3,202,29,78,14,4,3,0,132,11,36,6,9,5,0,66,29,40,21,4,3,0,91,8,15,0,0,0,0,25,3,7,4,0,0,0,14,7,23,3,0,0,0,39,14,11,12,0,0,0,36,3,6,3,0,0,0,11,3,4,0,0,0,0,11,20,17,16,8,4,3,55,410,587,183,79,78,18,1347
2003,81,72,51,11,23,0,237,52,26,21,3,16,0,118,101,57,50,13,22,3,253,87,64,46,23,30,3,252,144,135,94,51,61,5,487,217,291,134,85,101,8,837,288,444,147,109,100,4,1088,375,617,148,84,93,13,1332,306,551,144,60,50,13,1126,295,587,127,62,49,5,1121,162,388,69,20,23,5,660,207,457,116,30,23,4,837,61,162,24,10,4,0,267,35,91,24,3,3,0,156,103,214,50,11,9,3,394,93,214,53,10,5,0,380,30,64,21,5,0,0,121,19,56,17,0,0,0,95,95,132,72,23,32,10,363,2748,4629,1420,610,634,72,10119
2004,103,71,61,10,26,6,273,63,20,20,13,18,4,128,117,58,52,23,45,5,293,86,64,48,18,40,0,250,137,133,119,42,67,0,502,235,247,118,69,83,10,766,234,426,153,87,85,17,996,316,586,151,104,98,15,1274,307,581,131,83,72,4,1184,333,581,137,66,45,5,1158,151,385,71,32,20,3,657,215,423,116,32,19,0,813,72,150,42,12,10,0,281,36,85,22,4,3,3,151,74,189,45,13,4,0,333,91,157,47,18,7,3,323,31,43,12,7,0,0,94,11,51,14,0,3,4,85,135,124,67,26,32,10,388,2753,4372,1418,649,668,91,9962
2005,12,8,7,0,0,0,28,5,0,3,3,0,0,11,13,4,3,0,3,0,31,14,7,8,6,6,0,39,22,20,14,7,7,0,72,27,51,21,18,3,3,127,46,67,16,14,5,3,153,49,85,29,7,13,3,192,30,76,19,11,5,0,141,30,61,17,5,4,0,114,16,29,10,0,0,0,55,6,49,7,3,3,0,67,8,10,4,0,0,0,16,4,3,0,0,0,0,12,5,9,4,0,0,0,21,10,11,6,0,0,0,22,3,3,0,0,0,0,8,0,5,0,0,0,0,4,16,22,15,0,5,0,62,302,536,185,77,66,12,1178
2006,26,14,10,0,4,0,62,11,0,0,0,3,0,17,23,13,7,0,3,0,45,12,13,6,3,6,0,42,34,24,22,4,4,0,88,50,42,21,8,13,0,134,66,62,33,13,19,0,195,79,127,37,19,18,0,278,68,113,25,16,8,0,230,57,124,36,14,10,0,236,33,74,15,6,0,0,132,56,101,31,0,3,0,194,17,39,4,0,3,0,61,10,11,4,0,0,0,29,19,45,12,0,3,0,84,16,51,12,0,3,0,77,7,14,0,0,0,0,22,3,16,3,0,0,0,19,39,33,17,3,5,0,98,609,916,303,94,105,6,2022
2007,296,258,183,52,53,10,846,115,50,67,14,44,0,287,219,159,140,47,86,11,661,177,156,129,42,73,5,579,290,340,259,72,129,8,1104,417,511,306,124,179,12,1557,509,745,378,169,191,25,2014,678,1130,408,197,196,23,2632,637,1224,329,177,164,22,2559,701,1470,377,166,142,15,2867,483,1057,229,81,75,7,1943,697,1592,419,109,94,20,2937,284,626,108,26,22,4,1075,174,421,109,14,14,3,739,383,796,195,41,39,6,1453,377,908,235,43,31,12,1605,143,285,65,13,14,0,513,81,187,46,11,10,0,338,297,452,242,55,89,20,1151,6956,12375,4230,1459,1646,196,26866
2008,26,23,19,4,8,0,88,13,4,11,0,0,0,31,10,17,7,4,9,0,46,11,12,20,0,9,0,51,28,29,21,3,6,0,87,31,30,29,7,14,0,116,42,64,32,11,5,0,158,35,65,41,22,15,0,176,49,106,44,11,14,0,227,49,105,45,15,13,0,233,30,123,21,9,5,0,191,78,207,51,8,13,0,351,37,101,18,3,0,0,151,26,75,19,3,0,0,123,65,171,33,0,5,0,271,78,199,31,0,4,0,319,37,60,15,3,3,0,123,16,38,10,0,0,0,74,35,64,21,7,18,0,142,696,1504,491,117,140,8,2954
2009,19,12,5,3,4,0,47,12,3,4,6,3,0,28,17,14,7,3,0,0,46,23,17,9,6,5,0,56,52,40,31,9,15,4,154,59,63,30,24,18,7,192,66,113,37,17,12,4,246,77,123,30,9,13,0,253,52,107,25,9,13,0,200,55,82,11,7,3,0,166,18,54,7,3,3,3,84,18,40,14,3,3,0,79,13,20,3,0,0,0,36,4,11,0,0,0,0,18,14,21,9,3,0,0,43,14,22,5,0,0,0,42,3,0,0,0,0,0,9,3,9,0,0,0,0,16,17,15,15,3,3,0,49,523,764,254,103,97,18,1760
