SUA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2000,9086,10196,21451,28032,37238,30523,7556,1081,230,145396,8751,2953,7582,8179,9168,19773,32913,18905,9020,117240,1196,1108,2286,2788,3493,4015,3803,2616,1630,22936,19036,14256,31319,38999,49901,54307,44278,22601,10880,285568,3880,12115,27581,33829,45111,35113,8169,1351,264,167406,10887,7212,12618,18435,23062,23488,9084,1599,287,106666,627,728,2374,2106,2740,3661,1307,227,45,13820,692,661,946,1089,1343,1212,573,303,84,6901,16084,20707,43519,55459,72254,63468,19136,3472,682,294791,920,1461,1856,1663,2056,1865,90,16,9,9921,1461,665,825,865,994,1188,231,23,10,6264,2380,2127,2679,2521,3048,3057,326,37,17,16181,18465,22835,46198,57989,75303,66524,19462,3507,698,310977,18977,5327,11193,12681,15794,34128,63739,36028,14607,212483,2507,2347,4697,5663,7372,8264,7810,4964,2593,46212,39948,30512,62085,76335,98475,108918,91011,44497,17903,569670
2001,371,449,928,1062,1061,680,111,6,0,4683,247,107,304,320,285,500,812,393,198,3165,31,23,57,70,77,57,72,52,20,454,651,582,1293,1454,1423,1235,990,451,216,8307,136,517,1322,1417,1458,869,113,9,3,5846,407,290,462,595,585,453,149,14,0,2954,16,20,84,56,67,72,15,3,0,324,17,31,38,38,31,22,10,0,0,190,573,858,1899,2107,2140,1412,290,19,3,9307,37,79,87,63,58,42,3,0,0,365,79,32,18,40,20,32,4,0,0,231,113,115,108,108,78,73,8,0,0,597,689,965,2008,2214,2216,1482,299,19,3,9900,602,182,398,422,437,765,1477,700,293,5287,48,58,118,147,149,128,130,80,36,895,1342,1208,2530,2787,2802,2377,1903,795,333,16082
2002,206,287,547,546,718,565,108,21,4,3002,173,87,197,177,192,368,772,552,292,2805,35,51,77,65,76,94,92,108,90,688,409,425,821,788,987,1036,971,683,383,6498,74,317,691,619,736,580,95,6,0,3114,243,174,363,374,442,430,135,31,3,2200,20,28,62,44,60,53,21,3,0,285,9,12,20,19,17,27,15,4,0,120,342,530,1132,1053,1254,1092,271,46,7,5729,19,45,43,43,45,36,3,0,0,222,32,24,22,27,18,19,0,0,0,138,49,71,65,72,59,51,5,0,0,368,386,596,1200,1129,1311,1139,275,46,7,6092,382,129,269,261,308,598,1386,991,437,4764,66,92,160,129,145,172,189,168,116,1246,838,822,1628,1518,1767,1908,1851,1212,563,12101
2003,1707,2738,4802,4761,4995,3495,604,51,15,23161,1317,808,1446,1295,1323,2406,4115,2723,1415,16846,168,238,376,320,361,376,364,281,161,2640,3191,3783,6622,6369,6676,6281,5080,3059,1589,42647,461,2228,6108,5617,6064,3937,509,40,12,24971,2006,2258,2731,3058,2883,2493,822,102,8,16358,102,177,451,321,264,313,106,13,0,1741,84,134,150,119,130,107,31,17,3,772,2649,4796,9436,9115,9337,6847,1468,166,26,43841,189,391,469,286,320,188,15,0,0,1854,415,329,246,196,172,133,30,0,0,1516,599,722,709,487,485,321,40,0,0,3371,3245,5520,10149,9600,9830,7168,1508,170,26,47216,2929,1498,2082,1899,2107,3937,7275,4722,2096,28545,329,474,766,654,694,687,698,482,253,5037,6504,7489,12991,12161,12626,11787,9477,5375,2375,80792
2004,1678,2637,4600,4318,4533,3447,574,46,20,21850,1143,749,1435,1241,1163,2207,3779,2528,1306,15551,176,191,380,320,344,371,335,320,310,2748,3002,3572,6419,5884,6039,6022,4688,2891,1632,40147,450,2332,5969,5173,5499,3678,449,40,11,23611,1926,2077,2561,2725,2671,2595,793,89,13,15457,110,187,470,321,281,344,100,7,0,1814,70,119,123,126,112,102,33,19,4,710,2564,4711,9126,8350,8563,6723,1379,151,31,41593,168,337,366,298,236,178,9,3,0,1595,404,274,203,185,123,120,30,3,0,1354,573,611,573,479,360,303,34,5,0,2947,3135,5320,9705,8829,8919,7028,1412,155,31,44535,2544,1263,1954,1783,1919,3645,6780,4527,2032,26442,337,389,765,635,709,736,679,556,456,5269,6023,6970,12416,11241,11552,11405,8880,5240,2515,76243
2005,203,255,479,472,605,484,95,11,6,2612,124,76,170,128,140,315,559,468,269,2253,17,29,33,26,45,61,58,60,33,352,345,363,678,628,794,860,706,540,303,5219,101,331,657,598,665,543,67,7,0,2974,269,179,320,368,390,342,121,15,5,2005,7,17,43,21,36,58,18,0,0,205,9,17,35,22,22,16,4,3,5,128,378,545,1050,1000,1108,965,217,33,12,5312,16,23,33,26,42,12,0,0,0,157,29,11,13,15,6,18,3,0,0,87,39,33,48,42,44,25,4,0,0,243,426,578,1098,1043,1156,987,222,33,12,5554,257,116,241,217,263,514,989,789,400,3782,36,55,99,62,97,103,106,96,46,699,713,745,1432,1315,1515,1606,1318,914,460,10034
2006,362,345,863,927,1094,819,151,15,3,4590,200,85,211,161,182,517,1125,728,329,3531,39,37,89,68,73,94,104,111,65,672,601,474,1166,1153,1350,1428,1382,858,393,8794,146,404,1117,1108,1357,902,143,14,3,5199,456,218,426,552,591,598,206,33,3,3090,27,24,83,55,67,109,28,8,0,395,20,28,24,30,27,33,15,3,3,186,645,675,1648,1751,2047,1645,390,57,10,8863,35,32,43,44,52,42,0,0,0,246,49,17,46,29,12,27,0,0,0,184,82,45,83,75,63,69,0,0,0,430,724,719,1734,1823,2116,1713,396,61,10,9299,443,133,287,254,310,829,2114,1342,515,6214,60,78,152,140,142,180,207,201,98,1263,1223,937,2176,2219,2565,2726,2713,1601,622,16773
2007,4083,5951,11855,12289,12770,8890,1609,127,32,57610,3144,1507,3361,3237,3117,6114,10403,6787,3623,41298,324,445,815,739,852,856,853,730,548,6159,7552,7907,16036,16268,16730,15858,12862,7644,4203,105074,891,5050,15536,15153,15571,9769,1282,103,19,63374,4922,5239,6288,7947,7659,6908,2256,260,27,41503,288,346,1122,846,727,818,235,23,8,4399,198,283,411,347,342,245,82,26,18,1958,6296,10925,23362,24291,24295,17742,3854,414,63,111234,326,695,893,684,747,538,15,10,3,3913,1019,612,480,441,337,372,73,10,0,3343,1344,1306,1375,1125,1087,913,94,20,4,7256,7639,12230,24732,25413,25385,18650,3942,435,68,118495,7033,3045,5020,4777,4942,9922,18743,12031,5684,71200,683,911,1647,1531,1702,1673,1652,1252,809,11859,15347,16188,31402,31719,32028,30243,24339,13708,6564,201556
2008,314,390,743,1165,1341,810,177,5,4,4946,310,62,162,248,215,459,797,322,142,2721,17,18,49,74,71,56,59,37,44,433,642,467,953,1488,1632,1327,1034,372,193,8100,82,367,983,1474,1757,1014,183,7,0,5874,419,329,354,701,804,576,243,20,0,3458,19,17,80,93,51,97,29,0,0,384,20,11,24,38,27,21,7,0,3,155,533,727,1442,2310,2641,1711,462,33,3,9860,20,39,32,33,47,44,4,0,0,214,81,30,21,25,25,38,9,0,0,234,106,67,48,58,70,79,17,0,0,448,635,796,1494,2368,2709,1793,477,33,3,10316,648,131,200,299,283,698,1468,658,236,4624,44,36,84,156,147,128,118,71,62,843,1334,961,1783,2826,3138,2608,2060,762,305,15775
2009,272,377,759,714,818,690,132,15,11,3780,169,98,225,198,163,359,695,587,323,2811,28,28,41,50,43,75,68,44,24,401,472,510,1028,954,1025,1120,896,647,356,7000,107,444,1009,827,976,757,113,18,3,4257,346,224,409,485,493,479,178,30,7,2654,14,25,79,45,52,76,31,3,0,312,15,22,22,20,20,25,12,6,4,147,479,707,1522,1371,1544,1340,334,60,12,7364,24,55,47,40,35,24,0,0,0,227,43,18,37,24,34,21,8,0,0,182,71,70,87,62,61,48,8,0,0,411,556,781,1605,1435,1607,1383,338,60,10,7779,357,151,288,259,276,604,1204,1000,491,4629,50,49,108,97,103,121,126,82,41,781,961,980,2010,1788,1983,2110,1665,1144,543,13188
