SUA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
2000,20576,838,39,21453,117,24,3,6,153,48,3,47,198,35,0,232,346,62,9,3,422,33,15,49,473,33,3,503,465,86,10,10,574,76,16,95,669,68,3,739,17810,2317,474,311,20912,260,73,336,21245,905,46,22190,5244,828,155,222,6448,167,38,205,6648,906,24,7574,61,7,13,12,96,3,0,3,101,9,63,163,23115,3151,641,548,27455,428,112,538,27992,1818,124,29931,3872,455,72,35,4434,49,29,76,4511,226,14,4746,6876,900,157,77,8005,81,14,96,8100,302,15,8413,217,38,73,3,330,8,3,9,334,25,0,360,96,12,0,111,224,3,0,3,229,10,3,240,11059,1411,296,227,12992,134,44,177,13170,558,31,13756,84,16,3,3,100,32,3,33,132,21,0,151,170,27,3,0,201,23,9,26,231,13,0,243,258,41,4,4,305,49,8,60,362,35,0,393,11316,1453,300,232,13297,183,50,237,13537,586,31,14153,2228,361,76,105
2001,746,24,0,773,8,0,0,0,6,0,0,0,6,0,0,6,18,0,0,0,18,3,0,3,24,0,0,24,27,0,0,0,29,3,0,3,27,0,0,28,667,72,5,13,757,14,0,14,773,28,0,798,249,25,8,7,292,6,3,13,302,18,0,319,0,0,0,0,0,0,0,0,0,0,0,0,917,99,18,14,1049,28,3,29,1081,39,0,1123,137,16,0,3,153,0,0,0,153,3,0,159,201,10,0,3,217,4,0,4,216,3,0,220,8,3,3,0,13,0,0,0,17,3,0,18,0,0,0,0,3,0,0,0,3,0,0,3,350,27,8,8,388,6,0,6,392,8,0,397,5,0,0,0,9,0,0,0,9,0,0,9,11,0,0,0,11,0,0,0,16,0,0,16,18,0,0,0,19,0,0,0,22,0,0,22,364,29,8,8,409,7,0,7,412,8,0,417,104,17,3,0
2002,344,30,0,376,0,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,12,0,0,0,12,0,0,12,303,40,6,3,347,6,0,6,355,30,0,382,110,12,0,0,129,3,0,3,133,22,0,150,0,0,0,3,3,0,0,0,3,0,3,3,418,52,7,3,478,6,0,6,489,49,3,535,54,7,3,0,69,0,0,0,68,3,0,74,127,14,3,0,140,3,0,3,141,8,0,152,5,0,0,4,8,0,0,0,8,3,0,10,3,0,0,0,3,0,0,0,3,0,0,3,191,20,11,4,218,4,0,4,221,21,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,20,11,4,218,4,0,4,221,21,0,240,38,6,0,0
2003,3084,122,0,3213,30,0,0,0,34,10,0,10,40,3,0,44,77,13,0,0,87,0,6,3,96,8,0,102,106,16,0,3,123,11,4,13,138,12,0,150,2750,326,39,45,3162,45,18,60,3221,137,0,3362,754,96,20,9,877,46,3,46,928,143,10,1082,0,0,0,0,0,0,0,0,0,0,7,4,3502,416,62,58,4037,85,24,110,4150,284,12,4442,506,80,3,3,589,12,8,23,607,33,0,638,983,100,10,7,1109,9,3,13,1121,39,0,1156,12,0,4,0,17,0,0,0,18,0,0,18,11,0,0,14,25,0,0,0,25,3,0,24,1514,178,16,22,1737,27,8,33,1771,69,0,1843,10,0,0,0,10,4,0,4,22,9,0,22,27,5,0,0,36,0,0,0,39,15,0,52,43,9,0,3,47,9,0,9,58,20,0,75,1552,187,16,23,1787,33,8,45,1831,88,0,1918,304,52,3,11
2004,2809,90,0,2899,30,0,0,0,32,8,0,8,39,3,0,45,70,5,0,0,80,8,4,15,94,6,0,98,100,8,0,3,114,14,4,17,129,11,0,142,2474,303,59,39,2881,47,16,60,2939,100,0,3038,728,121,10,11,874,45,13,57,938,144,4,1084,8,0,0,0,8,0,0,0,8,0,7,17,3217,420,75,55,3762,96,25,118,3880,248,12,4136,454,59,4,7,521,12,0,13,533,24,0,563,817,99,15,13,947,10,5,15,957,20,3,980,21,7,3,0,38,0,0,0,38,3,0,38,10,0,0,3,10,0,0,0,10,3,0,15,1297,169,31,17,1516,17,4,26,1540,56,3,1598,15,3,0,0,17,0,0,0,19,0,0,19,34,0,0,0,35,0,3,6,39,7,0,45,49,3,0,0,53,3,3,6,58,8,0,66,1347,172,31,18,1564,25,8,31,1598,59,3,1664,337,62,9,11
2005,416,8,0,419,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,5,0,0,5,4,3,0,0,4,0,0,0,5,0,0,5,371,33,0,10,414,8,0,4,419,8,0,426,73,17,4,9,100,7,0,7,104,11,0,117,0,0,0,0,0,0,0,0,0,0,3,3,442,51,4,12,512,12,0,11,526,21,4,548,58,15,3,0,79,0,0,0,76,0,0,75,133,9,0,0,146,0,0,0,146,7,0,154,3,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,200,20,4,3,228,0,0,0,228,8,0,241,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,4,0,0,0,4,0,0,4,205,21,4,3,231,0,0,0,234,8,0,240,27,3,0,3
2006,658,13,3,681,8,0,0,0,8,0,0,0,8,0,0,8,17,3,0,0,22,0,0,0,22,0,0,22,25,3,0,0,30,0,0,0,29,0,0,29,604,57,16,11,681,3,4,11,691,13,3,705,103,18,8,5,134,9,0,9,142,20,0,158,0,0,0,0,0,0,0,0,0,3,9,7,709,77,22,13,817,11,4,17,827,41,9,877,147,11,3,0,163,0,0,4,168,3,0,170,204,18,3,0,229,3,0,3,230,3,0,237,7,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,356,32,3,3,394,4,0,7,406,8,4,418,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,8,0,0,7,362,32,3,3,403,7,0,7,407,14,4,430,41,4,0,0
2007,7859,236,11,8107,61,11,0,0,73,11,0,11,81,7,0,86,200,17,3,3,221,19,3,17,241,3,3,256,264,23,5,6,294,28,3,29,329,11,3,337,6975,823,146,72,8020,138,27,166,8184,247,10,8445,2076,272,49,53,2446,75,25,99,2543,290,3,2838,17,0,0,7,21,0,0,0,21,0,11,33,9066,1097,199,130,10490,209,51,260,10752,544,26,11321,1208,180,17,13,1412,30,9,43,1456,84,6,1542,2534,257,26,18,2839,33,3,38,2876,75,3,2956,64,9,19,0,94,0,0,0,96,8,0,104,19,3,0,26,48,0,0,0,49,0,0,53,3830,442,71,55,4395,67,15,80,4476,170,14,4658,44,8,0,0,49,11,0,11,57,0,0,58,84,9,0,3,93,9,0,11,107,0,3,111,126,14,4,3,144,20,0,17,165,3,3,167,3959,459,69,57,4540,85,17,102,4644,172,13,4828,833,117,23,28
2008,937,27,0,970,8,0,0,0,10,0,0,0,10,0,0,10,20,0,0,0,24,0,0,0,24,0,0,24,33,0,0,0,32,0,0,0,32,0,0,32,865,70,8,19,956,13,0,14,969,27,0,1003,249,12,8,4,275,0,0,3,275,10,0,286,0,0,0,0,0,0,0,0,0,0,3,0,1123,85,15,24,1234,12,0,17,1252,39,3,1294,186,13,0,0,205,3,0,3,208,7,0,210,362,37,0,6,408,0,0,3,412,11,0,416,12,0,0,0,15,0,0,0,15,0,0,15,0,0,0,6,4,0,0,0,8,0,0,11,566,56,3,6,629,10,0,9,639,17,0,652,3,0,0,0,3,0,0,0,3,0,0,3,12,0,0,0,12,0,0,0,12,0,0,12,16,0,0,0,16,0,0,0,16,0,0,16,576,56,3,6,645,10,0,9,650,17,0,667,92,6,5,3
2009,501,16,0,512,3,0,0,0,8,0,0,0,8,0,0,8,6,0,0,0,6,0,0,3,6,0,0,9,6,0,0,0,8,0,0,3,15,0,0,11,440,42,13,5,499,10,0,11,509,15,0,527,129,22,3,6,159,3,0,3,162,24,0,187,0,0,0,0,0,0,0,0,0,0,0,0,572,61,17,11,663,8,0,10,672,37,0,710,84,7,0,0,94,3,0,3,97,3,0,96,185,15,0,0,203,3,0,3,208,0,0,207,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,278,21,3,4,305,9,0,9,313,5,0,315,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,3,0,3,0,9,0,0,0,5,0,0,8,278,21,3,4,310,9,0,10,320,6,0,326,44,10,0,0
