SUA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
2000,55538,43703,44563,31792,30499,24258,20506,38728,5201,294791
2001,1035,1472,1536,1072,1359,878,937,849,168,9307
2002,628,894,867,747,651,680,360,803,99,5729
2003,4643,9591,6324,5536,5520,4721,2290,4533,680,43841
2004,4247,8571,5916,5219,5169,4467,2379,5005,616,41593
2005,546,626,756,695,528,562,416,1083,106,5312
2006,1174,1421,1334,1149,921,1050,549,1145,121,8863
2007,12338,23962,16507,14213,13517,11537,6315,11048,1799,111234
2008,1468,2354,1550,1101,1415,818,416,613,123,9860
2009,936,1351,1069,877,896,901,427,806,96,7364
2010,270564,516976,254234,208149,283011,198523,112338,163277,35208,2042271
2011,2193,2817,3967,3126,3809,2583,3138,2742,500,24867
2012,2736,3436,2852,2436,2443,2367,1394,2644,363,20681
2013,431,757,1181,836,765,695,449,833,138,6085
2014,414,663,707,528,451,383,596,626,76,4446
2015,698,1245,986,783,662,633,289,761,99,6155
2016,2503,3679,2830,2275,2478,2269,1372,2765,335,20507
2017,651,785,666,523,560,538,254,606,75,4666
2018,1570,2707,2743,1903,2323,1721,1217,1896,298,16376
2019,801,1458,1084,1027,953,920,547,962,109,7862
2020,2051,2582,2494,1660,1729,1320,1034,2010,256,15136
2021,1669,2974,2223,1823,1799,1926,907,2248,210,15780
