SUA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
2000,2887,8099,18765,23445,29045,23685,6029,1043,189,113188,4569,2637,3215,3683,5346,7966,4602,1038,187,33252,299,282,685,902,1304,1852,730,145,35,6236,365,386,570,641,759,668,316,181,54,3936,8117,11404,23238,28666,36457,34173,11677,2410,462,156613,582,947,1248,1068,1299,1316,73,9,3,6541,675,286,262,216,312,511,149,15,4,2429,1259,1230,1508,1289,1613,1828,225,21,3,8972,9374,12633,24744,29952,38069,36000,11902,2426,470,165583,10226,2378,3610,4505,6624,14359,30829,17127,5584,95246,1304,1244,2411,2878,3878,4249,4005,2348,965,23274,20912,16255,30767,37337,48576,54607,46732,21903,7026,284107,994,4013,8818,10389,16067,11427,2139,307,67,54222,6314,4570,9397,14752,17712,15520,4484,554,101,73408,335,446,1685,1203,1436,1803,577,76,13,7584,327,274,373,447,586,544,260,123,30,2969,7972,9302,20275,26794,35798,29290,7457,1067,216,138178,339,509,613,593,754,548,15,8,7,3382,784,381,561,645,682,683,82,11,8,3832,1120,893,1177,1237,1433,1227,98,12,11,7212
2001,108,304,869,950,952,590,80,3,3,3863,143,120,110,110,111,122,82,12,0,810,7,11,23,24,29,37,12,3,0,127,6,21,21,19,22,13,8,0,0,113,257,452,1021,1103,1114,760,178,17,3,4917,20,48,56,37,33,29,3,0,0,222,40,15,0,6,3,11,4,0,0,77,57,68,52,43,37,40,8,0,0,300,319,520,1082,1147,1157,800,186,17,3,5219,355,76,97,109,149,273,661,301,98,2116,26,31,62,81,71,74,60,25,13,438,692,625,1233,1332,1373,1139,914,348,116,7773,29,209,452,468,504,279,33,3,0,1974,265,178,351,482,472,325,72,3,0,2144,4,8,64,36,38,35,5,0,0,194,9,9,12,17,8,6,4,0,0,78,315,402,880,1004,1026,651,111,6,0,4393,17,28,33,30,24,13,0,0,0,143,42,14,17,35,15,20,0,0,0,150,59,46,53,63,36,33,0,0,0,295
2002,46,185,478,436,424,385,71,3,0,2035,106,69,111,83,97,126,75,21,3,677,0,7,15,18,25,27,16,4,0,111,3,7,13,14,6,10,6,0,0,62,161,261,617,539,559,547,166,27,4,2888,6,34,27,31,32,22,0,0,0,155,14,11,4,6,3,5,0,0,0,49,24,39,36,39,33,25,3,0,0,205,179,304,651,581,593,574,167,27,4,3086,207,43,74,87,121,229,609,440,147,1962,34,45,86,66,67,75,101,60,28,554,428,390,809,732,773,877,878,532,183,5605,24,134,211,185,311,190,26,3,0,1080,133,109,259,296,344,310,60,13,0,1526,13,21,44,27,31,28,9,0,0,174,5,9,9,9,5,13,10,4,0,64,181,264,513,517,692,545,101,21,4,2843,11,11,14,10,10,10,0,0,0,68,16,16,19,23,18,14,0,0,0,93,22,23,30,34,28,21,0,0,0,165
2003,339,1330,3992,3857,3796,2534,371,34,3,16260,808,897,776,589,610,748,436,68,3,4932,32,63,101,102,111,143,54,11,0,616,41,73,86,61,74,53,24,11,3,427,1219,2353,4959,4606,4593,3481,885,118,14,22234,121,248,295,185,193,128,9,0,0,1177,201,183,91,50,52,57,12,0,0,642,319,428,384,238,239,185,25,0,0,1815,1544,2782,5348,4844,4837,3665,905,118,14,24057,1611,691,633,604,783,1534,3162,1994,685,11695,158,238,385,339,335,309,332,196,91,2388,3311,3709,6368,5789,5950,5514,4406,2315,786,38144,124,899,2111,1755,2271,1404,139,9,3,8711,1201,1363,1954,2474,2272,1745,382,36,3,11426,67,120,349,223,152,169,55,0,0,1128,38,60,61,56,61,50,11,6,0,346,1426,2438,4477,4505,4747,3361,586,45,15,21605,69,151,174,100,127,65,3,0,0,681,213,151,152,152,121,73,13,0,0,873,282,298,324,252,246,136,19,0,0,1549
2004,293,1434,3882,3524,3433,2368,331,27,8,15313,792,775,709,554,588,799,413,63,0,4700,46,64,124,116,121,174,59,5,0,699,33,65,73,64,65,51,13,10,0,388,1170,2341,4784,4260,4207,3394,819,108,14,21093,105,240,251,192,147,127,4,3,0,1068,187,110,61,54,35,57,15,3,0,532,291,346,317,247,184,186,22,5,0,1593,1456,2689,5102,4507,4388,3580,841,110,14,22684,1402,511,519,537,757,1442,3002,2000,729,10890,159,198,382,308,364,362,351,237,150,2517,3016,3395,6001,5358,5513,5384,4192,2352,886,36093,159,901,2093,1650,2060,1312,116,10,3,8301,1130,1302,1858,2167,2087,1800,375,30,9,10762,62,120,343,208,163,174,45,3,0,1116,36,51,55,63,44,52,21,7,0,327,1397,2369,4344,4083,4353,3330,566,45,20,20500,60,95,115,103,88,52,4,0,0,531,219,166,144,131,93,63,9,0,0,819,282,264,261,236,182,113,16,0,0,1352
2005,60,221,446,437,432,352,46,4,0,2017,120,62,108,84,65,108,58,10,4,623,9,8,14,3,17,35,16,0,0,93,3,8,23,9,11,4,5,3,3,67,193,300,588,541,528,493,124,19,7,2797,14,15,26,20,19,4,0,0,0,104,12,6,3,3,3,4,3,0,0,42,25,20,32,28,22,11,3,0,0,141,216,324,622,567,552,506,131,19,7,2944,131,37,67,83,124,198,428,322,138,1533,19,24,63,35,48,43,56,42,13,339,374,391,753,687,724,747,612,380,154,4817,40,108,208,157,233,190,21,3,0,962,141,119,215,280,318,239,60,6,3,1378,3,14,31,14,19,30,10,0,0,112,3,6,12,12,10,10,7,0,0,59,191,240,463,462,579,471,88,11,6,2512,5,5,5,8,18,11,0,0,0,55,9,5,4,11,3,8,3,0,0,45,18,15,11,15,23,20,3,0,0,102
2006,102,249,696,722,821,600,116,12,3,3322,205,73,82,94,109,188,102,30,0,880,7,9,25,16,36,51,15,3,0,167,12,18,19,18,19,20,3,3,0,104,321,348,823,855,985,854,239,38,4,4468,22,18,30,30,32,28,0,0,0,166,25,8,16,8,3,14,0,0,0,70,43,28,45,40,37,46,0,0,0,240,365,372,866,897,1017,899,242,38,4,4706,245,51,76,89,129,309,982,616,189,2685,15,36,66,75,71,91,109,88,38,592,624,460,1009,1064,1217,1295,1332,741,226,7977,44,161,416,385,533,308,31,0,0,1884,252,140,344,462,488,413,103,12,0,2208,18,14,56,37,36,56,8,3,0,232,11,12,11,14,11,14,11,0,0,81,319,326,831,892,1064,795,151,18,3,4397,14,7,8,11,22,13,0,0,0,80,29,11,29,18,12,13,0,0,0,110,39,25,39,34,29,26,0,0,0,188
2007,649,3016,9757,10612,9977,6556,946,86,11,41614,2046,2200,1822,1452,1528,2119,1164,184,19,12531,123,139,285,309,335,399,118,14,0,1724,69,153,268,211,205,132,40,18,6,1099,2891,5508,12132,12582,12037,9207,2275,297,36,56970,181,459,585,440,474,385,10,0,3,2545,482,314,163,98,98,163,46,11,0,1369,666,770,750,534,575,553,62,10,3,3911,3555,6279,12884,13117,12610,9765,2336,304,38,60883,3884,1541,1656,1540,1832,3801,8338,5239,2059,29897,356,465,833,786,855,819,800,519,266,5701,7795,8284,15369,15448,15298,14383,11474,6063,2361,96484,247,2036,5780,4536,5596,3216,330,20,3,21764,2872,3038,4468,6489,6127,4787,1092,77,13,28972,166,206,831,534,391,416,114,13,4,2676,125,133,141,141,141,119,38,15,6,861,3404,5415,11228,11707,12256,8535,1581,118,26,54266,141,235,310,244,274,149,8,5,3,1369,534,304,316,345,240,206,27,3,0,1973,677,541,629,591,514,357,31,10,0,3348
2008,63,233,622,1048,1162,694,140,10,0,3964,193,123,72,85,135,183,139,16,0,944,9,8,19,23,27,55,16,0,0,151,9,7,14,20,20,11,7,0,0,85,271,369,716,1178,1336,940,294,25,0,5145,11,25,21,21,25,31,0,0,0,137,43,9,11,3,3,14,5,0,0,89,57,37,33,24,27,37,11,0,0,226,325,408,748,1204,1366,980,305,25,0,5365,347,69,43,49,59,231,668,331,95,1897,26,21,41,81,75,71,56,34,17,409,688,490,828,1335,1506,1288,1026,393,112,7677,20,136,362,429,592,320,48,0,0,1908,227,211,285,615,664,394,107,3,0,2513,10,11,67,67,30,44,10,0,0,226,13,3,9,15,12,13,6,0,0,72,265,357,726,1128,1301,765,169,5,4,4721,5,17,8,12,18,16,0,0,0,78,45,16,11,21,18,22,7,0,0,146,51,36,16,39,38,38,3,0,0,226
2009,84,257,663,575,629,495,83,18,3,2807,153,70,103,86,90,121,88,23,0,745,3,8,20,18,20,33,17,0,0,123,5,16,13,13,6,13,10,3,0,79,243,353,800,686,750,667,197,47,3,3756,15,41,36,25,24,19,0,0,0,157,24,10,13,12,9,10,4,0,0,86,39,45,48,33,33,28,4,0,0,238,279,404,852,721,787,695,208,47,3,3997,190,52,62,62,114,242,511,418,169,1820,23,21,66,50,63,52,58,41,13,377,495,467,981,836,964,989,773,500,183,6190,31,189,348,249,348,258,28,3,0,1447,196,154,303,397,399,361,83,4,3,1904,10,13,63,23,26,40,14,0,0,186,6,3,7,10,16,8,8,5,0,60,240,356,716,682,789,672,129,15,9,3610,7,17,19,15,5,9,0,0,0,67,20,6,21,16,18,7,3,0,0,105,34,23,35,27,28,20,3,0,0,174
