SUA_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
2000,345,814,546,525,475,453,144,317,1260,4881,7584,25618,23247,24548,19388,15201,7307,12327,2969,138178,1493,3722,2836,3618,3209,5985,2946,15659,806,40277,184,77,81,68,225,337,379,1008,35,2400,904,1729,1522,1899,5219,5346,3411,3486,285,23801,245,153,197,241,1017,1091,573,693,46,4252,1073,1725,1561,2204,3814,7638,2964,5515,420,26921,224,488,485,530,1136,1434,866,1167,52,6394,1045,6402,3608,3853,4033,2807,1755,2585,380,26453,780,6104,2526,2341,1796,1456,900,2654,372,18944,581,1031,1007,1130,1618,2076,1294,3305,217,12257,99,315,233,239,446,384,256,300,19,2291,225,287,483,583,805,761,300,432,40,3909,117,321,321,280,517,533,308,560,25,2983,397,1535,1363,1636,1687,1863,965,1740,98,11284,340,2001,1180,1138,1070,1027,414,738,144,8042,1210,1177,1488,1658,4011,3632,1782,1751,168,16882,994,3061,3403,3535,3537,2717,2024,3335,230,22836,2512,4167,7354,8740,5235,4427,1647,2124,420,36628,224,926,554,593,756,605,294,646,66,4669
2001,0,19,14,19,13,19,11,7,36,144,194,796,656,688,774,613,283,303,78,4393,5,28,20,12,25,32,17,45,4,181,3,3,0,4,3,8,12,43,3,75,24,35,18,25,135,181,94,135,3,642,4,0,5,3,17,25,14,38,0,108,35,36,49,81,149,357,178,265,18,1176,0,15,21,14,58,70,42,56,3,276,32,254,116,118,131,100,60,74,16,901,14,227,69,46,48,41,15,27,0,485,33,29,48,59,132,191,113,209,15,818,0,5,6,10,17,21,15,22,0,99,15,9,8,24,60,67,15,26,3,220,3,8,7,12,24,22,14,25,5,118,11,56,60,31,80,104,53,71,3,477,11,44,24,33,58,38,24,25,3,261,41,29,63,50,180,189,66,90,7,699,31,114,123,137,149,114,83,111,8,872,48,104,160,228,173,130,52,56,7,968,3,40,10,11,29,15,9,19,0,141
2002,5,9,5,6,7,11,0,4,27,76,174,476,487,559,463,307,144,172,64,2843,11,28,16,24,23,23,20,42,5,189,5,0,0,0,5,3,8,21,0,42,25,39,38,65,132,81,83,78,3,541,4,6,3,3,24,20,9,13,0,79,23,25,23,46,89,127,62,114,7,511,3,19,17,20,33,28,23,23,0,162,35,155,99,102,130,89,50,86,7,755,18,119,60,60,52,30,18,45,8,415,5,14,25,23,29,28,24,67,3,216,3,13,6,0,15,3,10,7,0,52,10,4,8,10,12,17,3,9,0,76,0,6,6,3,12,19,6,15,0,69,4,19,23,36,41,37,19,28,5,223,7,39,27,32,17,24,10,13,3,176,27,25,18,25,68,68,29,20,0,277,25,55,63,100,105,48,35,51,7,484,60,80,180,215,142,130,43,58,9,905,3,14,4,8,13,3,4,10,0,59
2003,33,117,41,53,64,48,9,30,134,525,1128,4105,3496,3821,3688,2414,1201,1403,346,21605,25,82,53,59,79,74,61,118,10,550,11,6,15,21,30,33,65,142,0,324,81,241,173,189,863,816,549,522,29,3462,14,7,19,30,115,122,42,59,0,405,92,162,182,268,668,1203,507,769,54,3898,21,74,57,66,191,189,119,158,15,892,199,1201,703,695,872,517,335,411,53,4984,117,1352,483,417,343,193,173,286,60,3415,67,119,110,155,228,261,186,353,22,1510,41,76,52,57,223,156,176,118,7,906,44,43,69,84,163,173,88,91,7,761,10,42,37,35,104,106,66,129,4,531,63,259,212,258,400,537,267,342,17,2352,30,244,163,156,202,131,52,78,18,1085,143,194,236,260,685,605,277,260,22,2683,188,640,596,641,932,600,473,706,45,4822,427,750,1238,1662,1292,1054,427,524,50,7425,39,229,112,121,119,89,68,93,19,887
2004,23,89,60,60,64,45,17,28,128,513,1116,3837,3247,3676,3730,2241,1138,1190,327,20500,16,77,59,98,167,111,75,130,9,749,26,14,17,20,39,79,111,307,3,611,120,244,178,229,1039,775,478,433,45,3550,28,17,14,58,110,149,68,73,6,523,91,171,154,277,624,1137,494,656,53,3667,20,77,47,41,157,130,81,132,4,697,199,1305,685,646,855,451,370,325,56,4892,103,1141,445,380,303,196,141,260,51,3028,48,115,105,133,194,224,183,296,22,1331,23,57,32,38,149,79,51,68,0,496,84,78,137,154,509,329,196,176,14,1672,10,35,42,39,95,79,48,102,4,448,59,185,129,185,371,341,188,255,15,1735,48,260,186,168,232,134,64,86,10,1185,173,121,195,247,650,540,308,233,24,2494,164,549,496,542,690,486,329,507,36,3796,449,719,1153,1677,1292,943,385,450,54,7121,33,166,71,77,80,68,34,56,3,585
2005,3,20,10,8,12,7,0,0,26,89,112,517,405,459,474,235,119,127,59,2512,16,23,21,28,34,27,21,70,6,252,0,0,0,0,0,4,0,5,0,12,35,52,75,115,271,196,118,108,17,977,3,0,0,0,16,19,5,3,0,54,9,22,8,17,66,98,70,76,0,372,5,5,7,5,28,16,22,19,0,106,35,134,75,84,113,59,47,43,10,592,14,157,46,40,32,28,11,34,3,372,8,24,12,17,22,21,34,74,7,216,0,11,13,15,17,12,9,8,0,75,3,3,4,5,13,13,11,13,0,72,0,9,0,0,16,9,3,8,0,38,0,21,13,15,41,24,20,20,0,158,3,38,26,27,35,9,11,16,0,174,18,23,28,38,90,29,19,28,5,280,14,36,59,65,57,42,41,36,3,357,29,107,127,168,163,60,31,44,6,732,0,24,3,3,9,3,4,0,0,50
2006,8,20,19,8,23,13,3,10,47,148,232,736,674,792,769,533,266,314,81,4397,14,31,19,25,29,67,35,86,4,315,5,0,0,0,0,3,0,17,0,32,32,61,51,58,224,172,152,193,7,954,3,3,0,4,12,22,10,18,0,78,31,33,40,57,121,225,131,192,8,823,9,6,20,20,34,38,24,45,0,202,56,223,112,161,159,125,74,99,14,1027,49,275,141,134,143,98,56,149,16,1068,11,26,24,43,56,37,48,83,3,337,6,14,0,3,9,10,3,6,0,58,5,4,12,14,43,33,13,17,0,140,3,8,9,9,26,14,9,20,3,92,11,25,29,36,56,49,27,50,3,285,7,55,23,39,39,18,13,16,4,213,19,23,29,43,95,115,39,43,0,401,29,84,76,89,124,113,73,97,5,698,69,112,222,279,227,153,79,77,11,1235,13,32,23,22,29,14,15,15,3,164
2007,82,293,166,183,173,135,55,74,377,1544,2676,10416,9279,9278,8948,6438,2993,3382,861,54266,62,162,115,109,156,231,94,249,24,1203,32,14,6,6,24,44,38,166,0,332,232,507,475,468,1849,2280,1042,1265,67,8176,52,63,69,69,417,286,186,217,14,1366,298,608,525,748,1645,3366,1406,2297,137,11034,81,210,192,201,561,587,338,450,18,2646,490,2984,1826,1737,2076,1650,891,1184,137,12959,316,3178,1164,1009,808,601,374,627,126,8190,214,287,320,434,644,916,618,1064,72,4568,37,187,112,115,295,260,125,175,10,1316,146,151,310,311,701,763,376,426,11,3198,43,132,126,138,314,288,145,291,8,1475,186,691,614,639,1082,1365,650,1025,48,6290,112,778,554,452,540,424,172,272,50,3358,414,518,609,620,1612,1658,765,722,53,6976,428,1475,1489,1481,2097,1614,997,1532,79,11193,905,1972,3129,3773,2892,2109,900,1033,143,16845,72,575,234,223,225,227,124,218,27,1922
2008,4,33,21,19,16,26,3,12,30,167,226,879,843,788,671,585,279,366,72,4721,6,15,16,15,11,26,15,23,0,132,0,0,0,0,0,4,0,9,0,18,15,53,50,45,129,151,88,126,3,668,4,5,5,3,20,28,10,21,0,103,32,65,59,83,148,349,138,337,19,1216,4,9,16,16,56,56,38,63,0,251,27,219,121,90,101,68,70,72,6,772,16,183,66,34,27,32,23,47,8,449,36,28,67,68,119,155,106,141,4,730,0,17,12,17,17,37,16,28,0,135,21,14,38,41,72,77,43,72,0,378,10,15,15,20,20,21,20,40,0,151,28,79,64,85,98,157,63,146,8,712,14,66,44,47,38,48,31,39,5,321,50,47,63,74,166,164,89,101,11,768,45,174,133,148,155,142,95,161,5,1061,63,139,233,219,142,125,62,67,8,1048,3,64,21,26,18,33,15,31,0,204
2009,7,14,19,16,14,11,0,8,17,93,186,667,578,660,640,388,199,223,60,3610,15,43,14,41,39,67,25,80,4,324,4,0,0,0,0,5,9,16,0,31,3,25,17,20,71,56,30,28,3,257,13,6,10,5,36,66,8,11,0,150,25,32,25,43,139,189,119,107,4,683,5,21,4,16,71,50,50,48,0,254,33,191,124,136,188,123,84,64,17,958,23,194,66,65,58,32,29,61,7,536,20,27,22,18,52,54,35,77,5,305,5,8,9,6,29,9,14,12,0,93,4,7,16,10,41,38,12,23,0,155,5,7,7,5,14,13,14,15,0,76,9,26,19,39,63,51,15,38,3,269,6,63,34,27,48,21,3,22,0,226,25,22,36,45,138,94,41,41,5,444,18,53,86,93,111,60,65,97,12,582,81,140,205,269,215,215,73,84,10,1287,8,39,13,14,9,6,5,5,0,117
