SUA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
2000,1566,10129,722,3675,1379,488,82,509,108,18660,1675,7836,190,2019,1010,308,36,271,92,13443,2874,2127,416,1131,6322,1739,132,762,187,15680,1438,3257,349,7560,1833,825,79,1034,156,16518,405,901,235,367,437,310,34,197,30,2917,861,160,2081,1284,946,889,80,818,71,7197,17,14,4,19,17,11,4,23,6,113,177,277,79,156,205,53,22,68,20,1049,443,350,216,615,495,485,56,522,254,3444,11254,26837,5393,17471,13879,5706,691,5202,1035,87474,937,1498,447,264,355,143,78,250,54,4026,411,704,294,108,272,118,74,149,45,2177,5260,2451,14486,861,1005,1016,4150,3608,524,33349,2974,574,7785,304,279,345,1091,1698,206,15247,6749,1391,2058,472,750,598,974,2231,189,15415,1993,12147,902,4410,1474,561,168,676,138,22473,2518,10393,439,2401,1169,393,217,460,145,18145,5984,3907,971,1583,7125,2643,649,1396,321,24581,2255,4656,613,9269,2128,1001,268,1433,221,21839,667,1513,547,511,517,432,120,399,54,4775
2001,21,269,16,95,41,19,3,8,0,474,33,312,0,81,28,17,0,3,0,475,86,99,13,43,265,66,8,17,4,603,34,101,12,262,78,30,3,15,4,543,11,28,8,8,12,13,0,3,0,86,20,8,50,34,34,24,3,11,3,193,0,0,0,0,3,0,0,0,0,3,0,11,3,3,3,0,0,0,0,29,5,7,0,13,17,9,0,11,6,68,238,890,145,552,548,192,28,86,30,2714,16,45,16,9,21,6,0,3,3,130,29,65,23,5,19,3,7,4,6,158,151,99,508,33,46,30,152,84,18,1137,50,15,348,9,18,4,44,59,5,553,31,17,51,4,25,9,15,14,3,166,29,311,22,110,45,21,8,18,0,559,54,393,6,84,36,14,9,5,6,610,205,185,30,66,326,114,55,37,8,1019,55,135,24,312,100,34,20,29,11,728,21,55,19,7,16,19,9,11,3,165
2002,15,236,21,106,31,17,0,17,0,435,19,160,0,47,20,11,0,6,4,262,45,44,5,25,127,33,4,20,0,321,13,60,11,172,34,23,3,21,3,340,3,21,7,4,13,3,0,3,0,48,12,3,58,45,32,21,0,21,0,191,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,0,5,0,21,6,5,4,11,9,16,0,11,8,75,130,555,121,431,289,136,12,121,18,1817,7,19,0,6,8,3,0,3,0,51,3,10,4,8,3,4,4,3,0,39,67,47,305,9,26,31,70,78,8,648,53,12,148,3,10,10,19,39,3,304,32,19,30,14,10,10,7,17,0,133,23,297,28,126,31,16,3,18,0,534,26,199,4,54,22,16,0,15,3,346,99,91,22,40,154,56,15,43,4,520,25,86,13,207,37,26,9,26,3,435,7,26,11,10,13,4,4,12,0,74
2003,111,2079,83,590,216,80,16,49,11,3236,131,1482,25,352,133,70,3,32,16,2243,429,567,69,228,1279,340,20,103,30,3058,178,675,57,1094,349,178,7,128,27,2703,54,185,41,68,81,92,7,28,0,553,69,26,303,227,162,156,10,91,9,1061,0,3,0,4,3,7,0,8,0,20,16,49,10,31,44,12,0,10,3,184,15,35,15,59,45,42,3,48,47,309,1100,5370,753,2743,2466,1050,76,569,159,14280,92,297,73,50,59,29,11,29,9,646,132,350,137,33,88,38,16,48,10,856,469,440,1719,105,133,140,415,355,64,3835,324,72,1369,57,38,69,107,195,16,2253,125,108,178,39,56,43,39,83,9,688,169,2758,123,773,243,96,23,77,24,4299,256,2109,57,430,156,103,32,59,24,3223,1099,1186,215,345,1530,597,110,227,63,5369,282,1019,111,1415,423,226,55,202,49,3784,106,357,110,105,106,135,23,83,12,1043
2004,140,2062,89,600,248,99,4,57,26,3321,132,1277,27,335,160,64,11,41,9,2053,360,482,57,160,1022,283,21,106,22,2502,151,544,54,1192,306,159,19,161,27,2613,47,124,28,46,74,61,0,16,3,405,84,32,335,201,140,151,13,112,4,1064,0,4,0,0,0,0,0,3,0,9,18,46,5,13,24,22,0,9,7,140,28,41,20,59,58,39,3,48,35,342,1057,4874,737,2683,2177,934,96,632,146,13336,87,223,64,40,68,24,4,28,9,548,85,271,103,29,71,27,16,46,14,666,434,501,1812,120,167,155,401,398,36,4027,325,96,1281,56,65,71,127,210,20,2249,145,116,183,32,56,43,72,128,6,789,196,2697,126,772,265,118,13,75,32,4293,244,1822,51,404,184,95,35,67,15,2922,845,1007,147,235,1275,476,100,235,42,4368,270,809,92,1549,367,193,66,261,36,3642,69,232,73,63,87,90,25,50,9,702
2005,16,130,9,84,21,7,0,12,0,281,7,128,0,29,11,3,0,8,0,191,40,32,11,28,109,39,0,20,3,289,16,31,7,232,36,17,0,25,0,357,3,6,0,3,6,8,0,0,3,33,10,8,41,30,18,15,0,27,0,150,0,0,0,0,0,0,0,3,0,6,0,0,0,3,4,4,0,0,0,14,5,4,5,16,4,9,0,7,6,62,109,354,81,442,215,112,3,134,19,1466,10,4,5,4,3,4,0,8,0,39,4,9,6,0,0,3,0,3,0,31,56,24,228,4,17,31,76,107,9,557,47,9,130,3,3,10,19,26,7,252,29,19,25,11,8,7,24,28,0,141,21,180,11,92,20,7,3,14,0,355,8,176,5,36,13,8,3,11,0,263,86,74,14,39,139,58,15,41,3,469,20,43,11,278,37,25,3,36,0,458,12,17,5,11,9,12,0,12,3,69
2006,25,366,12,110,42,28,0,10,0,600,23,276,8,76,24,9,0,0,4,421,83,75,10,39,185,60,3,24,7,478,37,89,12,244,48,26,0,33,0,486,11,23,4,7,6,11,0,3,3,67,21,11,108,61,33,45,3,21,5,309,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,23,12,12,3,27,12,17,3,11,7,100,231,886,184,586,380,208,18,128,28,2648,20,30,6,4,8,0,4,3,0,78,10,3,11,3,7,0,7,7,0,48,156,63,445,23,28,44,88,102,8,964,93,10,256,7,4,17,36,67,9,495,59,35,49,16,5,25,28,43,4,262,39,443,21,134,44,29,0,20,0,726,46,372,9,86,24,15,5,8,4,575,192,150,22,55,208,103,17,42,5,793,54,123,15,299,52,32,9,43,3,634,14,30,9,11,6,14,4,7,3,97
2007,350,4910,294,1430,634,234,30,121,62,8079,377,3435,50,824,402,145,12,54,29,5331,1181,1328,159,656,2920,898,61,230,88,7520,490,1668,141,3092,873,411,51,266,74,7063,179,643,106,187,259,245,13,61,15,1727,222,85,827,563,375,348,30,209,39,2696,0,10,3,8,3,9,0,6,3,32,52,143,26,75,112,41,3,18,6,477,60,79,51,144,124,119,20,97,107,793,3208,13309,2085,7273,6146,2742,271,1275,449,36762,301,1000,275,187,199,145,37,119,30,2287,298,761,250,68,157,95,71,84,27,1796,1353,1675,4506,414,411,413,998,1095,150,11014,893,486,3771,201,207,224,309,682,85,6855,264,250,501,86,120,121,117,199,27,1688,524,6398,399,1814,701,297,89,212,89,10533,630,4763,145,992,462,188,77,105,44,7414,2908,2870,489,953,3600,1469,389,533,161,13370,812,2451,325,3963,1076,549,159,453,105,9901,307,1167,254,273,330,356,68,158,26,2937
2008,35,389,22,111,53,15,0,10,3,627,51,390,5,68,46,14,0,3,0,583,143,154,18,63,260,66,0,13,5,727,35,158,13,215,93,28,3,15,4,559,20,43,7,19,19,10,0,0,0,120,16,3,58,35,32,20,3,12,0,177,0,0,0,0,0,0,0,0,0,0,7,13,3,9,20,5,0,0,0,59,3,18,3,6,21,10,0,4,4,67,350,1281,170,563,601,188,10,70,33,3267,52,106,23,19,21,7,4,8,7,249,32,67,14,3,10,0,0,3,4,135,209,253,532,39,70,35,97,81,11,1323,96,47,386,19,11,7,21,32,3,633,31,19,57,13,29,16,13,21,3,195,43,470,24,135,56,17,4,11,4,764,93,508,13,83,55,13,5,8,6,785,356,315,41,91,336,122,27,23,14,1323,77,245,20,273,106,35,10,22,6,791,36,79,16,23,18,18,8,8,5,213
2009,24,354,13,125,39,12,0,5,3,577,28,218,3,34,14,4,3,8,0,313,63,84,9,30,229,52,0,13,4,489,33,93,10,208,47,31,3,12,4,444,14,19,3,12,15,11,0,0,0,70,20,10,59,44,35,41,4,10,0,221,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,0,0,0,0,13,3,4,3,10,14,8,0,6,4,53,202,827,128,477,420,165,13,74,19,2314,9,43,11,9,8,3,3,0,0,85,7,17,10,0,3,6,3,4,5,61,80,53,323,9,22,28,78,49,6,653,77,3,196,7,4,10,27,33,4,372,74,56,38,7,18,21,17,35,6,266,35,432,13,161,43,12,3,5,3,708,41,309,11,36,14,8,10,6,0,443,162,151,23,51,262,90,18,22,6,782,43,136,18,259,55,37,4,27,9,588,13,24,9,11,15,9,0,6,0,92
