SUA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
2000,609,2836,65,619,340,61,11,54,30,4622,142,524,8,73,76,8,6,5,11,847,3113,13910,586,2013,2432,741,68,623,204,23694,16,44,9,70,27,16,0,13,11,202,1432,2151,344,1542,1363,444,51,309,79,7710,1511,1882,559,3545,2406,701,97,571,112,11381,1980,1259,3065,6718,4509,2145,308,2082,199,22250,312,133,162,580,749,456,44,399,27,2867,448,181,220,1108,812,443,37,363,23,3634,135,178,57,130,185,75,12,105,18,904,659,610,249,852,678,554,63,623,276,4559,11254,26837,5393,17471,13879,5706,691,5202,1035,87474,44,143,3,14,16,3,0,3,3,233,260,1043,29,31,37,4,6,11,20,1446,1493,3522,142,270,364,94,33,118,74,6109,66,276,13,15,17,5,3,3,3,413,1032,3923,143,779,425,94,36,112,51,6596,241,672,38,112,94,12,10,15,12,1207,6680,20343,1472,2817,3039,1144,308,1270,361,37431,43,58,28,87,37,20,3,26,13,314
2001,6,91,0,18,10,3,0,0,0,126,3,13,0,4,4,0,0,0,0,24,69,484,18,52,74,34,0,4,5,745,0,0,0,3,4,0,0,0,0,10,30,58,13,46,49,14,0,8,3,219,34,54,22,119,113,28,4,18,3,397,56,52,76,212,196,69,14,28,9,701,6,3,3,12,28,17,0,8,0,73,9,7,7,52,40,10,3,5,0,137,0,0,0,3,8,0,0,0,0,23,12,13,3,27,19,6,0,12,3,90,238,890,145,552,548,192,28,86,30,2714,0,6,0,0,0,0,0,0,0,10,7,41,3,0,0,0,0,0,0,53,51,126,3,11,15,10,0,0,3,226,3,7,0,0,0,0,0,0,0,14,24,123,0,17,8,7,0,0,0,178,5,27,0,4,8,0,0,0,0,41,166,689,37,73,117,51,15,21,20,1190,0,0,0,3,4,0,0,0,0,16
2002,5,52,0,6,4,0,0,0,0,73,0,19,0,3,4,0,0,0,0,28,26,290,11,39,39,11,4,17,7,435,0,0,0,3,3,0,0,0,0,5,19,37,3,42,41,8,0,4,0,154,26,46,12,82,52,15,3,12,3,260,26,36,79,171,121,63,5,56,0,555,0,0,3,23,11,12,0,6,0,57,4,4,3,35,8,10,0,7,0,77,0,4,3,0,5,3,0,0,0,13,5,10,4,22,9,18,0,16,8,93,130,555,121,431,289,136,12,121,18,1817,0,3,0,0,0,0,0,0,0,3,3,17,0,3,0,0,0,0,0,19,14,57,3,4,4,3,0,7,0,89,0,8,0,0,0,0,0,0,0,9,13,64,0,16,4,4,0,0,0,98,0,17,0,8,4,0,0,0,0,29,65,435,24,51,52,19,13,20,6,683,0,0,0,3,3,0,0,0,0,11
2003,62,592,17,102,58,17,0,6,9,861,19,140,3,20,20,3,0,0,3,201,324,2913,115,431,527,179,8,81,37,4631,3,3,0,4,6,4,0,0,0,20,127,278,37,211,224,60,7,30,16,989,134,251,72,562,415,139,3,51,18,1641,174,204,433,1071,830,408,36,243,21,3424,25,15,22,68,120,92,7,50,3,412,25,18,20,122,104,64,3,26,4,382,3,40,6,17,24,11,0,6,0,119,27,62,13,86,61,57,9,69,33,418,1100,5370,753,2743,2466,1050,76,569,159,14280,15,50,0,0,0,3,0,0,0,72,41,337,4,6,3,0,0,3,0,399,335,1027,46,53,105,31,13,19,19,1662,22,87,0,10,3,3,0,4,0,122,146,866,29,142,82,25,13,18,10,1325,44,176,6,25,20,7,0,0,6,290,937,4722,300,659,704,280,67,199,86,7960,4,3,0,9,6,4,0,0,0,27
2004,73,511,11,113,72,6,4,3,4,790,16,131,4,8,15,0,0,0,0,169,341,2732,73,314,459,154,5,77,30,4185,0,3,0,18,5,0,0,4,0,33,87,245,44,223,188,53,3,22,11,873,142,244,57,566,331,111,7,67,11,1532,209,192,457,1097,747,376,46,268,38,3433,28,17,15,65,93,81,9,49,3,366,38,28,35,144,127,68,14,61,10,518,8,29,4,16,26,9,4,13,0,117,32,69,22,85,67,57,9,57,38,434,1057,4874,737,2683,2177,934,96,632,146,13336,4,44,0,0,0,0,0,0,0,45,18,210,4,6,8,0,0,0,5,251,211,814,21,52,68,16,3,14,10,1216,10,60,0,4,9,0,0,0,0,84,138,748,23,144,92,16,4,7,4,1181,28,166,4,15,18,0,0,3,0,237,775,4345,204,459,626,253,52,179,52,6957,0,10,6,23,11,0,0,4,0,46
2005,3,26,0,11,0,0,0,0,0,34,3,5,0,0,0,0,0,0,0,9,23,195,8,25,33,16,0,8,0,314,0,0,0,3,0,0,0,0,0,6,13,30,3,52,17,3,0,4,0,127,19,22,5,75,46,16,0,8,0,190,24,25,53,204,77,48,3,70,3,504,3,0,0,11,16,14,0,6,0,55,3,4,0,26,15,12,0,8,0,71,0,0,0,3,3,4,0,4,0,19,7,9,7,28,5,12,0,18,7,85,109,354,81,442,215,112,3,134,19,1466,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,9,22,39,0,3,3,0,0,3,0,66,0,8,0,0,0,0,0,0,0,9,4,42,0,11,3,0,0,3,0,60,3,11,0,3,0,0,0,0,0,20,49,294,23,33,42,25,8,22,0,498,0,0,0,3,0,0,0,0,0,6
2006,8,78,0,14,11,3,0,3,0,117,5,27,0,0,3,0,0,0,0,38,60,502,13,56,77,25,0,9,3,754,0,0,0,3,3,0,0,0,0,11,24,60,12,43,31,10,0,3,0,186,36,66,17,128,61,23,3,9,3,346,52,36,127,247,129,95,7,64,3,765,8,4,3,24,13,11,0,10,0,79,4,3,5,34,28,14,0,5,0,92,3,4,0,4,0,4,0,3,0,22,7,25,3,25,19,19,3,13,12,125,231,886,184,586,380,208,18,128,28,2648,0,5,0,0,0,0,0,0,0,8,4,11,0,0,0,0,0,0,0,18,39,84,4,3,10,0,0,0,0,144,3,11,0,0,0,0,0,0,0,16,18,115,0,17,11,0,0,3,0,168,7,33,0,0,3,0,0,0,0,47,192,739,33,86,87,39,9,17,7,1215,0,0,3,3,3,0,0,3,0,11
2007,192,1310,30,246,144,31,3,7,8,1976,55,283,4,27,38,4,0,3,5,421,1045,7353,261,1220,1469,548,30,171,110,12202,5,15,4,42,15,8,0,3,0,91,382,858,151,624,634,213,28,69,33,2989,441,702,277,1384,1093,391,27,145,44,4515,488,472,1154,2714,1801,1010,117,563,97,8418,51,53,36,191,192,147,19,87,6,781,77,67,48,363,310,170,20,87,10,1152,26,95,23,55,60,34,3,8,9,313,70,180,52,232,179,139,31,110,98,1083,3208,13309,2085,7273,6146,2742,271,1275,449,36762,23,129,3,10,14,0,0,0,0,181,94,990,18,18,34,4,0,8,8,1166,792,2300,114,205,246,102,58,73,44,3942,49,167,6,16,29,6,0,0,3,282,369,1869,75,324,195,44,15,34,20,2933,103,380,12,41,55,3,3,4,7,619,2770,11945,814,1763,2070,973,250,537,224,21344,12,19,12,47,16,9,3,3,0,125
2008,27,144,0,16,23,0,0,0,4,218,10,34,0,3,7,0,0,0,0,52,126,660,26,114,149,34,3,16,10,1146,0,0,0,0,0,0,0,0,0,9,35,97,7,45,50,19,3,10,0,262,52,64,24,116,110,22,0,8,3,415,35,31,78,168,162,58,0,25,3,561,3,3,3,12,22,13,0,3,0,73,10,3,12,40,40,19,3,6,0,128,0,11,4,7,10,4,0,4,0,29,5,23,3,24,25,11,0,3,3,96,350,1281,170,563,601,188,10,70,33,3267,3,4,0,3,0,0,0,0,0,10,17,72,3,0,4,3,0,0,0,100,110,260,3,14,20,4,0,3,0,419,8,26,0,0,0,0,0,0,3,36,53,212,8,23,31,3,0,0,4,332,16,47,3,4,8,0,0,0,0,76,344,1079,62,167,191,67,22,29,19,1985,0,0,0,0,3,0,0,0,0,12
2009,5,79,0,17,3,0,0,0,0,110,4,25,0,0,0,0,0,0,0,30,58,462,10,56,53,18,0,6,0,659,0,3,0,0,3,0,0,0,0,7,30,54,4,44,38,11,0,3,0,179,29,66,11,94,86,29,0,5,6,320,42,31,87,201,146,73,10,33,5,619,3,4,3,12,35,11,0,6,0,76,10,10,6,26,25,7,0,7,0,102,6,3,0,4,3,0,0,0,0,20,3,11,4,16,18,13,0,9,7,80,202,827,128,477,420,165,13,74,19,2314,0,11,0,0,0,0,0,0,0,12,3,49,0,0,0,0,0,0,0,52,27,80,0,5,13,4,3,0,0,138,5,10,0,3,0,0,0,0,0,18,15,106,0,16,3,0,0,0,0,145,5,37,0,3,0,0,0,0,0,50,116,650,16,72,71,20,11,15,7,985,0,3,3,0,3,0,0,0,0,10
