SUA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
2000,80,9,11,47,0,37,3,9,7,111,7,329,36,6,3,22,3,34,0,14,11,52,7,178,39,6,3,48,3,31,3,48,7,94,3,279,9,0,0,9,0,16,3,37,5,55,0,138,73,27,5,79,9,54,3,96,16,301,3,667,64,77,4,114,12,183,15,188,31,249,7,948,165,125,17,246,29,333,26,322,53,560,23,1893,233,277,33,597,62,880,48,458,96,595,24,3300,468,449,49,1527,145,1615,93,565,133,728,40,5820,700,443,71,2371,234,1568,107,418,121,545,27,6612,697,340,69,2545,204,1351,100,249,104,362,30,6037,983,299,57,2728,244,1033,90,177,56,268,26,5965,2299,462,134,4335,486,1540,195,242,102,294,32,10124,2038,241,93,3064,371,580,103,100,45,129,17,6783,1374,119,58,1472,190,238,57,47,16,57,14,3635,831,49,28,615,99,374,17,30,24,29,10,2117,1470,120,57,1431,160,418,82,64
2001,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,0,0,0,0,0,0,0,3,0,10,0,21,3,4,0,4,0,8,0,3,0,20,0,45,4,3,0,7,3,37,0,19,0,24,0,94,5,7,0,38,5,57,0,22,11,22,0,174,14,8,0,52,0,68,3,8,6,17,0,183,20,12,0,80,5,71,0,11,0,11,0,216,29,10,0,89,5,60,3,11,0,10,0,214,104,12,10,165,15,91,3,16,0,12,0,432,98,8,3,143,20,32,0,6,7,6,0,325,81,5,0,92,9,17,3,3,0,3,0,218,49,0,0,43,4,22,0,3,0,0,0,127,99,0,0,90,5,26,0,4
2002,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,8,0,0,0,0,0,0,0,3,0,3,0,12,0,0,0,5,0,14,0,4,0,7,0,34,0,3,0,12,0,25,0,21,0,16,0,80,7,10,0,34,3,51,3,12,0,14,0,139,5,6,0,62,7,36,3,16,3,5,0,152,9,8,0,66,11,32,3,3,0,8,0,141,16,9,3,60,4,16,0,0,0,7,0,109,40,7,0,79,17,22,3,9,0,4,0,185,28,3,0,46,8,0,3,3,0,0,0,104,24,3,0,15,4,0,0,0,0,0,0,55,17,0,0,11,0,4,0,0,0,0,0,33,8,0,0,25,5,7,0,4
2003,0,0,0,6,0,0,0,0,0,17,0,28,0,3,0,0,0,0,0,0,0,7,0,19,0,4,0,4,0,0,0,6,3,11,0,30,0,0,0,0,0,0,0,8,0,10,0,17,0,3,0,6,0,4,0,17,0,32,0,58,0,8,0,11,0,21,0,33,0,38,0,107,7,18,0,17,0,51,0,51,3,84,0,237,16,27,0,58,6,135,9,83,8,87,0,425,34,49,8,172,15,227,11,58,21,121,4,709,64,63,7,356,21,228,15,60,16,80,5,906,71,62,13,368,50,250,5,39,10,57,0,923,98,42,3,424,41,179,17,25,8,29,0,858,327,54,16,822,72,258,21,41,10,51,3,1677,328,40,7,535,62,102,9,12,3,9,0,1115,277,23,16,306,32,37,10,7,3,15,0,715,138,13,3,113,17,76,0,7,3,5,0,376,304,22,0,317,40,93,10,18
2004,3,0,0,0,0,0,0,0,0,14,0,21,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,7,0,3,0,11,0,0,0,0,0,0,0,5,0,4,0,8,3,4,0,5,0,7,0,12,0,61,3,92,3,4,0,8,0,16,3,28,0,33,0,93,8,9,0,14,0,47,0,45,3,86,3,219,12,32,0,57,8,142,7,81,6,105,3,445,17,49,3,164,14,240,15,86,19,104,4,705,63,74,10,339,22,257,16,66,8,69,0,920,92,49,5,368,16,218,20,47,18,57,0,888,117,39,10,369,39,193,9,37,3,41,4,851,353,66,20,701,93,230,27,35,12,42,3,1565,323,38,6,527,74,81,20,20,4,16,0,1107,203,15,5,294,31,41,10,0,3,10,0,618,158,3,4,101,21,60,5,3,4,4,0,369,218,26,10,224,15,62,8,14
2005,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,0,9,0,17,0,3,0,0,0,4,0,3,0,8,3,21,0,4,0,6,3,19,0,7,0,13,0,53,4,8,0,24,3,33,0,12,0,9,0,97,13,9,0,65,3,31,0,7,0,4,0,139,14,3,0,68,3,15,0,3,0,0,0,114,17,4,3,68,9,18,3,0,3,3,0,135,58,3,3,103,6,18,3,3,0,10,0,211,28,4,3,66,3,3,0,3,0,6,0,115,27,3,0,24,3,3,0,0,0,0,0,66,13,0,0,10,0,8,0,0,0,0,0,30,15,0,0,21,0,5,0,0
2006,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,3,3,7,0,16,3,0,0,4,0,7,0,10,0,6,0,34,4,9,0,11,0,26,0,15,7,14,0,79,14,17,0,43,4,39,0,13,0,14,0,146,27,8,3,67,5,33,5,15,3,11,3,189,23,10,0,83,5,30,3,7,4,7,0,178,40,8,3,84,0,34,3,8,0,3,0,187,91,14,5,149,8,32,9,4,0,3,0,314,90,6,7,105,7,15,4,3,3,0,0,235,64,3,3,55,6,6,0,0,0,0,0,146,27,3,0,13,3,6,0,0,0,0,0,59,41,3,0,60,4,11,0,0
2007,10,0,3,11,0,7,0,3,0,44,0,84,4,0,7,3,0,0,0,8,3,31,0,54,4,3,0,11,0,10,3,16,5,31,0,79,0,3,0,4,0,9,0,15,0,12,0,46,3,7,0,7,0,20,3,39,6,91,0,190,3,20,0,14,3,47,8,78,5,99,3,281,25,38,10,42,0,134,7,104,6,194,4,567,22,56,0,124,12,267,6,170,21,218,4,904,61,121,5,329,37,543,19,206,37,265,4,1632,113,159,17,658,55,603,37,154,35,209,3,2052,174,131,11,891,86,597,28,120,33,137,4,2216,277,125,17,1011,91,560,32,73,26,118,10,2338,811,183,44,2087,188,898,63,116,40,160,8,4592,769,114,33,1634,206,297,39,68,22,68,7,3255,633,45,35,971,138,131,20,29,11,37,4,2057,461,27,14,392,61,264,11,20,17,18,0,1281,840,56,25,1113,109,324,33,38
2008,0,0,0,0,0,3,0,0,0,6,0,7,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,3,0,0,0,8,0,0,0,3,0,4,0,4,0,3,0,17,0,4,0,3,0,5,0,6,0,8,0,29,4,3,0,11,3,7,0,7,0,7,0,36,5,8,0,24,5,29,0,21,5,9,0,102,11,15,0,43,5,34,0,8,3,11,0,136,22,11,0,83,10,37,4,10,5,11,0,182,21,17,0,78,7,49,3,11,0,12,0,200,68,9,0,186,16,112,7,8,5,9,0,435,83,11,0,204,14,33,3,9,0,3,0,377,100,10,0,116,17,24,0,3,0,5,0,269,84,6,3,58,10,66,0,9,6,3,0,252,151,17,10,194,22,64,5,6
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,3,0,3,0,5,3,22,3,4,0,0,0,8,3,7,0,9,0,36,0,3,0,8,3,29,0,13,0,12,0,77,3,9,0,34,3,39,0,12,3,12,0,126,9,9,0,80,3,42,3,10,4,11,0,171,16,10,6,86,7,25,0,5,5,9,0,163,28,6,0,70,5,34,3,7,0,3,0,162,58,18,0,131,11,30,0,5,0,8,0,267,47,3,0,72,3,5,0,0,0,3,0,139,31,0,3,43,3,0,0,0,0,3,0,89,21,0,0,6,0,9,0,0,0,0,0,41,35,0,0,29,3,6,3,0
