SUA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
2000,..,323,8618,18442,24862,29536,26217,12338,2790,123121,..,1832,6015,5165,5356,4055,2001,432,74,24925,..,81,247,929,1679,1137,490,316,215,5089,55992,..,..,..,..,..,..,..,..,55992,..,13312,..,..,..,..,..,..,..,13312,..,11797,4830,2265,1650,762,103,3,0,21415,..,1043,511,313,476,660,552,315,176,4042,..,697,587,309,342,280,145,51,13,2421,..,1245,1333,676,1039,1271,949,347,69,6920,..,1069,2577,3372,6308,8756,7872,4163,1765,35879,1052,1705,1712,1178,1253,1370,1247,491,141,10141,57047,33100,26428,32648,42951,47822,39577,18462,5246,303270,..,682,11818,21052,27569,29964,23418,8526,1336,124380,..,2877,6391,5538,5354,3678,1432,265,49,25578,..,755,2821,4801,5257,2394,1207,1122,762,19117,52870,..,..,..,..,..,..,..,..,52870,..,13589,..,..,..,..,..,..,..,13589,..,6998,2671,929,724,489,105,3,0,11914,..,762,292,142,356,799,828,683,460,4315,..,730,368,146,154,121,68,23,17,1621
2001,..,12,423,759,797,729,587,221,57,3586,..,57,292,177,150,70,35,6,0,792,..,0,13,34,63,33,13,6,3,163,2063,..,..,..,..,..,..,..,..,2063,..,542,..,..,..,..,..,..,..,542,..,488,213,83,53,20,7,0,0,852,..,52,32,17,11,24,11,9,7,162,..,22,23,11,12,9,0,0,0,78,..,20,39,13,19,23,16,10,0,149,..,19,98,110,146,127,125,54,23,715,33,37,30,31,24,18,14,3,0,197,2094,1258,1165,1240,1281,1055,813,307,87,9300,..,22,551,837,802,736,523,149,26,3647,..,101,283,190,136,64,25,7,0,801,..,24,118,204,220,95,55,33,22,771,1974,..,..,..,..,..,..,..,..,1974,..,548,..,..,..,..,..,..,..,548,..,313,134,30,21,8,4,0,0,513,..,39,11,3,14,42,35,23,15,187,..,31,22,3,3,4,8,0,0,75
2002,..,10,252,307,394,472,503,307,85,2333,..,73,165,112,82,67,34,6,4,542,..,3,10,28,29,25,11,5,0,107,1175,..,..,..,..,..,..,..,..,1175,..,260,..,..,..,..,..,..,..,260,..,236,110,48,41,16,0,0,0,446,..,28,25,17,7,11,0,4,6,99,..,23,18,10,6,3,0,0,0,61,..,38,40,28,9,19,11,7,0,156,..,28,70,79,102,141,126,89,33,675,23,33,24,28,17,19,29,11,0,184,1204,734,710,655,696,775,719,431,130,6049,..,24,306,344,472,506,454,226,34,2373,..,112,162,102,103,53,17,7,0,567,..,25,97,163,153,68,33,27,15,576,1169,..,..,..,..,..,..,..,..,1169,..,266,..,..,..,..,..,..,..,266,..,152,51,25,15,4,3,0,0,251,..,29,7,7,6,22,16,17,4,102,..,28,11,3,0,0,0,0,3,45
2003,..,58,1845,3087,3184,3161,2557,1342,322,15563,..,462,1383,738,575,370,154,52,8,3747,..,12,53,164,269,139,52,34,25,743,9089,..,..,..,..,..,..,..,..,9089,..,2151,..,..,..,..,..,..,..,2151,..,1708,730,305,218,93,12,3,0,3070,..,246,146,73,65,81,47,26,18,704,..,161,138,55,55,29,6,3,0,448,..,935,655,160,157,132,89,29,13,2171,..,252,664,628,791,872,734,405,192,4536,188,282,252,138,129,92,76,35,17,1207,9280,6269,5877,5346,5441,4966,3732,1933,587,43435,..,125,2329,3321,3303,3120,2383,996,155,15732,..,706,1355,746,600,293,128,19,3,3850,..,215,708,1051,1139,454,179,169,113,4025,8576,..,..,..,..,..,..,..,..,8576,..,2138,..,..,..,..,..,..,..,2138,..,1118,408,131,118,64,10,0,0,1853,..,196,92,28,90,143,104,68,35,762,..,173,73,15,18,9,9,0,0,298
2004,..,90,1841,2798,2868,3077,2510,1419,341,14944,..,517,1272,653,551,289,117,40,13,3442,..,17,69,144,283,162,43,38,28,782,8659,..,..,..,..,..,..,..,..,8659,..,2017,..,..,..,..,..,..,..,2017,..,1656,696,305,198,98,14,0,0,2971,..,240,137,50,70,78,50,31,24,678,..,179,141,71,48,26,19,4,3,492,..,707,519,159,152,140,84,34,4,1802,..,219,597,632,760,880,688,413,208,4403,160,249,224,148,95,102,68,43,11,1096,8822,5892,5500,4955,5034,4849,3598,2022,632,41296,..,152,2325,3014,3046,3086,2297,1068,179,15175,..,752,1289,659,516,255,98,23,5,3598,..,225,688,1056,994,504,191,159,96,3911,8130,..,..,..,..,..,..,..,..,8130,..,2040,..,..,..,..,..,..,..,2040,..,1048,399,123,101,70,19,0,0,1761,..,252,98,28,88,121,128,96,44,857,..,165,71,34,16,14,0,0,0,293
2005,..,13,199,341,357,407,335,216,59,1922,..,62,130,82,85,57,11,5,0,431,..,0,4,25,27,15,9,6,8,93,1112,..,..,..,..,..,..,..,..,1112,..,218,..,..,..,..,..,..,..,218,..,218,93,40,24,9,3,0,0,390,..,43,25,3,15,7,8,0,3,106,..,17,19,8,7,0,0,0,3,43,..,67,89,49,28,22,8,5,0,270,..,40,102,76,100,110,119,68,35,648,18,36,32,18,18,13,11,6,0,150,1137,710,687,646,647,648,508,306,100,5393,..,20,264,328,388,407,316,176,27,1929,..,95,129,84,78,41,11,6,0,445,..,33,97,112,109,40,17,23,20,454,977,..,..,..,..,..,..,..,..,977,..,232,..,..,..,..,..,..,..,232,..,155,33,14,17,10,3,0,0,220,..,12,10,0,13,23,15,14,10,97,..,10,5,3,0,3,0,0,0,23
2006,..,8,335,550,666,731,759,425,84,3557,..,82,219,156,148,98,57,18,3,781,..,6,8,27,51,21,16,3,3,129,1691,..,..,..,..,..,..,..,..,1691,..,396,..,..,..,..,..,..,..,396,..,329,115,52,46,23,3,0,0,553,..,33,18,4,10,17,13,8,0,104,..,33,29,8,13,11,3,0,0,98,..,51,67,23,19,22,22,14,0,218,..,35,84,95,144,198,194,116,52,918,29,40,45,33,23,13,30,15,6,235,1722,1008,919,954,1110,1131,1096,588,146,8685,..,25,411,623,728,773,718,311,43,3618,..,116,242,157,147,87,40,13,0,799,..,48,121,180,168,62,33,32,24,668,1691,..,..,..,..,..,..,..,..,1691,..,418,..,..,..,..,..,..,..,418,..,222,72,22,13,14,4,0,0,345,..,17,7,4,8,28,24,13,14,118,..,20,12,3,3,7,3,0,0,45
2007,..,140,4660,8597,8600,8580,7081,3707,1000,42370,..,836,3034,1931,1380,913,394,104,16,8608,..,27,97,353,615,385,166,100,74,1811,21990,..,..,..,..,..,..,..,..,21990,..,5812,..,..,..,..,..,..,..,5812,..,4116,2179,884,539,228,35,0,0,7981,..,604,375,136,160,152,114,98,37,1685,..,388,387,148,115,65,24,8,3,1135,..,1597,1450,385,330,269,204,74,17,4326,..,423,1225,1367,1964,2138,1646,956,564,10283,362,530,519,318,254,267,159,99,38,2549,22355,14480,13925,14128,13957,12996,9837,5142,1742,108556,..,296,6086,9158,9068,8502,6509,2870,474,42959,..,1216,3205,1853,1451,799,289,65,9,8879,..,338,1270,2332,2619,1254,466,397,291,8963,20802,..,..,..,..,..,..,..,..,20802,..,5974,..,..,..,..,..,..,..,5974,..,2736,1434,395,272,179,36,0,0,5062,..,490,269,99,166,342,314,229,136,2047,..,366,216,53,72,32,8,8,4,762
2008,..,6,325,916,999,870,719,245,39,4128,..,26,165,165,183,109,27,5,0,683,..,0,3,11,47,35,15,6,7,127,2224,..,..,..,..,..,..,..,..,2224,..,604,..,..,..,..,..,..,..,604,..,385,166,46,23,10,0,0,0,637,..,23,11,0,9,11,9,5,3,72,..,16,20,4,7,4,3,0,0,53,..,6,22,10,8,19,17,6,3,94,..,20,37,47,110,101,105,49,25,490,7,31,21,9,10,18,21,3,0,123,2228,1129,774,1219,1394,1173,913,322,84,9230,..,10,440,1013,1067,862,610,165,24,4199,..,39,176,180,163,79,19,0,0,660,..,4,36,98,184,67,26,15,10,446,1982,..,..,..,..,..,..,..,..,1982,..,632,..,..,..,..,..,..,..,632,..,269,139,32,14,11,9,0,0,469,..,21,5,0,8,21,29,27,10,123,..,22,15,5,0,0,0,0,0,43
2009,..,11,290,478,544,576,459,317,90,2768,..,83,243,89,74,61,14,5,3,571,..,4,9,35,39,16,7,8,3,124,1521,..,..,..,..,..,..,..,..,1521,..,280,..,..,..,..,..,..,..,280,..,279,89,24,36,22,0,0,0,461,..,40,21,9,9,7,9,14,5,110,..,26,13,8,10,4,0,0,0,53,..,68,63,13,14,6,11,0,3,175,..,55,119,96,123,171,125,92,46,830,26,38,37,19,19,13,13,6,0,180,1548,886,895,764,870,886,645,444,150,7076,..,26,388,515,586,575,452,238,52,2817,..,142,202,101,72,50,15,0,0,587,..,44,115,160,138,64,17,30,22,595,1353,..,..,..,..,..,..,..,..,1353,..,291,..,..,..,..,..,..,..,291,..,168,49,13,12,9,3,0,0,259,..,26,20,4,6,20,16,6,5,105,..,31,4,8,3,0,0,0,0,42
