SUA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
2000,17,31,3,3,4,0,0,0,3,59,133,535,19,4,12,0,3,11,12,729,780,1212,84,88,112,45,26,60,40,2455,34,84,11,4,0,3,0,3,3,138,420,1086,84,157,81,34,24,55,23,1969,96,144,30,38,22,7,6,11,8,356,3564,6433,885,806,603,405,244,647,160,13743,26,21,21,15,9,9,3,16,0,112,2005,1141,760,562,285,272,240,363,79,5689,1954,1028,1122,942,432,317,308,559,100,6754,10845,1378,24130,2111,1288,1824,6242,6737,908,55458,287,55,222,133,72,141,240,383,20,1548,642,197,343,267,102,183,411,446,48,2634,193,115,143,52,33,45,124,143,23,875,1163,234,898,226,111,268,744,931,454,5027,22159,13675,28753,5402,3176,3541,8621,10352,1870,97548,25,115,0,15,8,3,0,0,0,170,128,516,8,23,29,3,0,8,6,718,711,2308,57,173,250,46,4,62,33,3647,35,195,5,15,18,4,0,0,0,274
2001,0,3,0,0,0,0,0,0,0,3,3,21,0,0,0,0,0,0,0,28,33,46,6,0,14,5,0,4,0,107,0,0,0,0,0,0,0,0,0,3,12,37,0,3,0,0,0,0,0,51,4,9,0,0,0,0,0,0,0,17,92,203,23,25,40,25,14,10,8,442,0,0,0,0,0,0,0,0,0,3,33,33,27,19,13,12,15,10,5,163,55,43,42,29,22,8,19,9,3,233,183,56,873,83,68,50,248,169,34,1755,6,0,8,0,3,5,9,11,0,40,6,5,11,8,8,10,21,13,0,82,6,4,7,0,0,0,7,6,0,28,21,3,23,3,0,4,15,15,9,99,465,461,1029,176,171,113,345,244,62,3059,0,4,0,0,0,0,0,0,0,9,3,16,0,0,0,0,0,0,0,22,16,79,0,7,7,6,0,0,0,116,0,9,0,0,0,0,0,0,0,11
2002,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,12,23,0,0,3,3,0,0,0,42,0,3,0,0,0,0,0,0,0,8,5,16,0,8,0,3,0,0,0,25,0,3,0,3,0,0,0,0,0,6,33,145,17,20,9,10,6,4,0,242,0,0,0,0,0,0,0,0,0,0,15,22,3,18,10,5,0,4,0,78,28,22,21,20,16,10,3,9,0,131,144,32,492,45,38,63,106,117,14,1048,7,6,6,4,3,3,3,7,0,39,7,7,7,0,5,3,4,15,0,59,0,3,3,3,0,0,3,3,0,15,15,4,7,3,0,15,13,27,12,99,270,285,565,117,80,114,146,202,27,1803,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,3,38,0,4,3,0,0,4,0,54,0,3,0,0,0,0,0,0,0,4
2003,10,24,0,0,0,0,0,0,0,30,23,189,3,3,0,0,0,3,0,223,197,424,38,23,38,23,17,15,8,780,11,31,0,3,0,0,0,3,0,46,81,272,13,38,23,10,7,13,0,463,21,40,3,12,4,3,0,0,3,87,610,1808,181,224,174,106,56,115,56,3328,0,3,0,0,0,0,0,0,0,8,178,217,125,94,63,55,50,42,10,846,219,217,229,157,100,87,54,74,17,1153,758,222,3363,362,246,343,591,677,92,6658,13,8,32,32,12,35,23,55,3,212,41,25,44,39,22,31,45,41,6,297,18,24,20,8,7,8,12,3,7,107,44,31,90,24,18,48,68,60,39,428,2230,3541,4139,1030,707,740,929,1109,240,14670,5,33,0,0,0,3,0,0,0,40,18,154,3,3,3,0,0,0,0,173,139,607,13,33,60,15,3,7,12,879,5,56,0,4,3,3,0,0,0,75
2004,0,17,0,0,0,0,0,0,0,14,12,116,0,6,4,0,0,0,6,143,133,317,7,15,25,4,3,11,7,525,0,18,0,4,3,0,0,0,0,28,68,238,11,36,20,8,5,4,3,389,16,32,0,7,9,0,0,3,0,72,435,1615,130,149,168,102,48,106,20,2767,0,0,3,3,6,0,0,0,0,16,127,190,114,91,48,26,28,36,11,667,199,210,209,171,82,69,42,71,17,1079,797,248,3328,443,286,333,648,767,70,6920,21,12,36,14,12,16,33,67,3,222,36,24,45,36,19,40,50,64,3,312,19,31,21,10,7,8,11,16,7,129,51,32,78,40,17,46,67,79,34,439,1914,3097,3990,1021,700,653,926,1226,177,13715,3,31,0,0,0,0,0,0,0,34,9,95,0,0,5,0,0,0,0,109,81,493,9,38,45,14,0,5,3,695,4,43,0,0,4,0,0,0,0,57
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,17,0,3,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,3,0,26,0,3,0,0,0,0,0,0,0,10,24,99,12,8,10,8,8,8,0,177,0,0,0,0,0,0,0,0,0,0,17,28,8,10,8,11,0,5,0,89,24,16,10,12,7,8,7,17,0,98,125,27,409,42,26,42,122,169,15,980,3,0,3,0,0,0,8,14,0,34,9,0,5,5,3,6,7,21,0,56,3,0,0,0,0,0,4,3,0,17,11,3,15,3,0,0,16,29,5,85,234,218,475,92,61,74,167,270,27,1608,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,6,27,0,3,4,0,0,0,0,39,0,6,0,0,0,0,0,0,0,3
2006,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,27,23,0,0,5,0,0,0,0,53,3,3,0,0,0,0,0,0,0,8,5,30,0,4,0,0,0,0,0,45,6,0,0,0,0,0,0,0,0,8,130,236,24,32,9,14,11,13,0,462,0,0,0,0,0,0,0,3,0,0,40,31,16,17,3,7,6,11,3,141,34,38,40,25,8,6,7,13,3,183,248,29,757,63,35,100,162,212,19,1631,5,7,3,4,0,6,6,10,0,36,17,5,7,11,0,6,0,12,0,70,0,0,3,0,0,3,0,3,0,19,15,10,13,8,4,13,21,29,10,125,535,417,877,166,71,164,207,309,39,2785,0,4,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,11,18,65,0,3,3,0,0,0,0,87,3,7,0,0,0,0,0,0,0,9
2007,8,28,0,3,5,0,0,0,0,47,59,610,6,5,9,0,0,3,3,705,493,974,79,64,93,63,46,47,27,1897,22,52,3,9,8,0,0,0,0,100,177,554,42,75,49,16,18,21,11,956,48,104,8,17,17,0,3,3,3,196,1721,4593,555,542,607,425,215,373,114,9138,4,3,12,5,7,4,3,0,0,37,478,614,477,276,145,150,116,151,30,2433,609,621,688,452,237,207,179,219,47,3268,1859,621,8525,1052,567,722,1525,1847,280,16999,40,30,87,56,31,64,63,122,5,489,126,82,123,105,48,85,135,125,16,838,38,82,58,25,19,22,32,41,4,320,109,118,221,100,47,73,175,211,122,1168,5797,9087,10886,2782,1876,1826,2510,3157,657,38580,16,98,0,4,11,0,0,0,0,132,35,378,8,5,24,4,0,0,6,463,297,1320,32,142,157,47,3,20,19,2048,25,120,4,6,18,5,0,0,3,183
2008,0,3,0,0,0,0,0,0,0,8,9,38,0,0,0,0,0,0,0,52,73,117,3,4,12,3,0,3,0,219,3,4,0,0,0,0,0,0,0,14,26,62,5,9,7,0,0,0,3,114,7,11,0,6,0,0,0,0,0,24,211,421,35,51,42,35,20,18,5,840,0,0,0,0,0,0,0,0,0,3,70,72,33,18,18,10,5,13,0,250,66,57,53,49,25,19,8,15,4,302,248,72,910,55,72,52,125,129,15,1677,4,0,4,4,3,0,0,5,0,24,10,9,9,13,11,8,9,5,3,83,3,12,5,3,0,3,4,0,0,44,10,13,23,3,4,4,8,10,5,86,757,894,1090,213,206,143,193,194,45,3731,3,5,0,0,0,0,0,0,0,6,4,34,0,4,4,3,0,0,0,47,31,138,3,7,9,0,0,0,3,200,3,20,0,0,0,0,0,0,0,22
2009,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,32,13,26,0,4,3,0,3,0,0,55,0,0,0,0,0,0,0,0,0,5,9,22,0,0,0,0,0,0,0,36,4,10,0,3,0,0,0,0,0,17,63,195,8,15,14,4,10,8,8,323,0,0,0,0,0,0,0,0,0,0,36,31,7,21,9,12,3,11,3,133,42,32,24,29,5,9,11,5,3,161,199,59,617,55,44,84,136,107,19,1320,6,4,4,6,0,5,0,12,0,39,11,3,8,9,0,10,3,8,0,52,6,4,0,0,0,3,3,3,0,18,10,6,18,3,0,7,8,21,7,90,407,430,688,154,91,131,173,164,42,2281,0,11,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,22,11,51,0,3,7,3,0,0,0,81,3,6,0,3,0,0,0,0,0,7
2010,288,820,45,35,88,41,12,21,11,1362,1928,12914,209,156,349,103,59,90,145,15951,18252,38847,3335,2416,6544,3614,2066,2316,1156,78548,836,1677,111,119,293,146,82,82,67,3410,4066,11223,741,909,1350,534,323,370,206,19719,976,1610,179,264,336,121,55,61,41,3649,48557,113865,15935,11701,20246,13620,7667,9437,3343,244363,119,125,184,130,66,82,94,87,20,905,9902,10897,9027,4046,3963,3488,3339,3019,700,48387,12139,10610,12672,6753,5660,4627,4714,4596,851,62618,26320,9498,110787,10940,9964,10344,20469,21204,3451,222973,849,517,1073,766,596,786,1010,1244,101,6941,2359,1575,2177,1723,1283,1649,2069,1730,256,14824,1454,2261,1358,581,658,569,904,786,263,8833,2109,2253,3539,1176,999,1294,2493,2467,2226,18557,130150,218689,161371,41703,52404,41016,45361,47524,12834,751038,254,1362,18,79,193,45,3,12,14,1987,1283,10269,144,167,479,79,4,32,122,12581,11107,42227,1372,4320,9585,3073,210,1293,897,74078,617,2650,54,222,467,132,5,50,57,4252
2011,0,0,0,0,0,0,0,0,0,0,8,19,0,3,3,0,0,0,0,29,58,133,20,20,37,12,30,8,4,322,0,5,0,3,0,0,3,0,0,14,9,50,6,5,8,4,0,3,3,93,5,11,0,3,0,0,0,0,0,22,174,416,107,70,123,58,80,49,16,1088,0,0,0,0,0,0,0,3,0,11,98,66,80,35,46,25,46,37,0,436,111,102,136,99,92,32,92,59,15,734,363,109,2116,236,215,153,664,483,88,4420,12,3,17,13,13,14,35,31,5,152,25,19,34,42,17,20,80,46,3,280,5,7,10,12,10,8,23,7,6,93,16,16,67,27,17,26,88,54,42,353,881,968,2603,569,578,350,1134,771,186,8041,0,10,0,0,3,0,0,0,0,14,0,14,0,0,0,0,0,0,0,15,22,140,5,32,41,8,0,10,5,265,0,8,0,3,0,0,0,0,0,15
2012,0,3,0,0,0,0,0,0,0,3,8,27,0,0,0,0,0,0,0,35,34,82,3,4,5,3,0,0,0,134,5,9,0,0,0,0,0,0,0,15,15,64,6,8,4,0,0,6,0,102,3,3,0,0,0,0,0,0,0,10,205,564,38,69,35,24,14,38,6,990,0,0,0,0,0,0,0,0,0,4,66,99,38,53,16,8,15,13,5,316,120,96,75,93,35,23,17,36,6,512,537,120,1580,168,108,188,355,361,57,3470,17,7,5,19,6,25,24,34,6,138,32,17,21,29,14,17,31,36,0,189,4,15,11,3,4,3,6,13,3,54,52,18,48,20,5,25,53,51,36,311,1107,1118,1837,453,234,314,524,587,120,6295,0,10,0,0,0,0,0,0,0,10,4,16,0,0,0,0,0,0,0,23,36,133,0,15,13,0,0,6,0,203,0,17,0,0,3,0,0,0,0,20
2013,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,7,5,10,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,13,0,3,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,3,26,86,12,21,10,6,4,9,4,168,0,0,0,0,0,3,0,0,0,3,5,23,21,11,11,3,0,6,0,83,24,22,34,21,13,0,8,11,4,146,96,38,728,68,43,44,140,160,23,1348,3,3,5,3,0,3,4,8,3,36,3,0,13,16,10,0,12,11,0,54,0,0,5,0,3,4,3,5,0,21,4,10,25,14,5,3,16,24,11,102,179,216,836,143,91,68,185,236,50,2014,0,4,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,3,33,0,8,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,3
2014,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,5,6,13,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,8,28,108,11,7,5,0,0,3,0,172,0,0,0,0,0,0,0,0,0,0,14,14,3,3,5,3,12,8,0,64,10,8,7,12,9,0,12,3,3,73,67,32,441,29,24,10,157,92,11,879,6,3,3,0,0,3,0,3,0,23,7,3,4,0,5,0,9,12,0,46,3,3,3,0,0,0,0,0,0,13,8,5,10,3,3,3,23,20,3,83,159,212,489,63,54,24,223,151,24,1398,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,4,19,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,4
2015,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,8,31,44,5,4,4,5,0,0,0,85,0,10,0,0,0,0,0,0,0,6,17,24,0,4,0,0,0,0,0,45,4,3,0,0,0,0,0,0,0,16,62,231,23,18,13,0,9,7,0,374,0,0,0,0,0,0,0,0,0,0,36,42,33,12,0,5,4,8,0,138,42,42,39,26,10,7,6,15,3,192,122,38,551,70,44,37,92,114,19,1089,3,3,3,0,3,6,3,11,0,29,4,9,11,0,0,13,3,7,0,41,6,3,4,0,0,3,3,8,0,33,7,7,6,10,0,4,6,8,6,62,330,452,681,159,79,78,125,178,32,2114,0,6,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,11,7,68,3,7,4,0,0,0,0,100,0,11,0,3,0,0,0,0,0,15
2016,0,10,0,0,0,0,0,0,0,11,3,46,0,0,0,0,0,0,0,47,73,151,13,4,13,7,3,6,0,271,0,7,0,0,0,0,0,0,0,13,16,127,0,10,13,4,0,0,3,172,9,11,0,0,3,0,0,3,0,32,195,598,41,49,53,35,27,40,6,1044,3,0,0,3,0,0,0,0,0,10,77,93,34,31,24,10,15,24,4,313,128,97,90,65,41,35,33,49,8,547,427,107,1523,139,105,163,298,429,40,3229,14,4,14,12,4,11,11,29,0,94,17,11,26,20,7,4,26,21,7,139,11,17,8,6,3,0,3,13,0,60,25,14,50,10,4,16,50,52,35,267,1002,1299,1801,351,262,287,471,661,105,6243,0,8,0,0,0,0,0,0,0,12,0,30,0,4,3,0,0,0,0,38,35,170,4,18,24,3,0,7,0,258,3,6,0,3,3,0,0,0,0,17
2017,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,6,13,0,0,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,3,6,15,0,0,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,4,40,140,9,17,7,6,0,10,0,229,0,0,0,0,0,0,0,3,0,3,20,21,7,10,4,5,4,4,0,73,24,22,13,14,6,13,4,12,5,122,145,25,369,24,26,36,74,92,10,810,4,0,0,0,0,3,3,3,0,18,4,8,3,0,3,4,6,0,0,26,3,3,0,0,0,0,0,3,0,13,8,6,9,3,3,4,11,19,7,65,272,259,421,76,55,72,99,148,32,1433,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,29,0,4,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
2018,0,3,0,0,0,0,0,0,0,5,4,28,0,0,3,0,0,0,0,39,45,96,7,12,12,6,0,3,0,174,0,7,0,0,0,0,0,0,0,10,14,58,3,13,7,0,0,0,3,94,4,15,0,3,0,0,0,0,0,20,149,480,71,42,59,21,12,16,4,861,3,0,0,0,0,0,0,0,0,7,39,51,74,31,15,12,8,16,0,252,80,88,89,58,36,28,25,21,9,437,309,83,1592,120,122,108,405,373,63,3178,12,0,7,13,3,12,13,28,4,100,15,5,28,12,7,12,20,21,3,120,5,8,6,4,3,0,4,9,3,46,28,12,45,10,9,10,41,43,21,216,720,941,1920,320,274,204,534,537,115,5557,3,7,0,0,0,0,0,0,0,4,0,26,0,0,0,0,0,0,0,28,24,119,0,12,9,10,0,0,0,174,7,5,0,0,0,0,0,0,0,12
2019,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,21,21,46,0,3,3,0,0,0,0,80,0,3,0,0,0,0,0,0,0,3,10,34,3,0,3,0,0,0,0,55,5,12,0,3,0,0,0,0,0,26,69,221,18,22,18,16,6,15,3,391,0,0,0,3,0,0,0,0,0,3,33,25,22,19,7,4,7,4,0,126,42,39,26,41,12,25,16,14,0,218,170,32,628,85,52,73,133,153,13,1353,5,0,10,0,0,11,11,10,0,47,11,0,9,11,3,4,11,16,3,71,4,8,4,0,3,3,0,3,0,28,7,4,20,0,3,7,22,16,10,89,378,457,738,196,109,149,204,236,40,2508,0,4,0,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,14,13,78,4,4,3,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0
2020,0,5,0,0,0,0,0,0,0,8,3,45,0,0,0,0,0,0,0,47,35,95,7,3,0,0,3,5,3,159,0,7,0,0,0,0,0,0,0,14,26,75,0,7,9,0,3,0,0,123,3,6,4,0,0,0,0,0,0,16,153,414,45,36,56,21,6,31,11,772,0,0,0,0,0,0,0,0,0,3,57,63,53,26,16,13,16,19,0,264,108,72,60,54,26,20,15,29,0,382,427,82,1401,91,88,105,329,372,41,2933,10,5,14,5,3,4,8,12,0,64,19,3,23,6,0,10,25,13,0,108,9,6,7,3,0,0,3,5,3,32,37,7,42,12,3,17,19,35,24,188,892,891,1657,260,203,192,425,525,81,5123,0,9,0,0,3,0,0,0,0,9,4,23,0,3,0,0,0,0,0,33,29,133,3,8,20,3,0,3,0,199,0,17,0,0,0,0,0,0,0,21
2021,0,7,0,0,0,0,0,0,0,6,4,40,0,0,0,0,0,0,0,48,41,86,5,4,6,0,0,5,0,144,0,7,0,0,0,0,0,0,0,6,15,76,7,4,3,0,0,0,3,111,7,19,3,3,0,0,0,0,0,43,161,590,38,47,51,40,10,44,6,980,0,0,0,3,0,0,0,0,0,0,58,70,46,34,9,16,5,16,3,250,66,72,73,54,26,21,18,29,5,374,336,76,1215,125,76,128,253,290,27,2529,3,0,10,17,6,9,8,13,0,67,11,3,13,17,3,14,14,16,0,105,5,11,8,3,0,4,4,11,0,41,21,17,37,13,3,9,24,46,18,183,734,1071,1461,326,193,247,351,469,62,4904,0,9,0,0,0,0,0,0,0,9,4,38,0,0,0,0,0,0,0,45,23,149,0,9,7,0,0,0,0,191,3,13,0,0,0,0,0,0,0,14
