SUA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
2000,335,70,2187,616,125,1575,252,2782,175,8117,986,462,4334,776,229,861,940,2594,225,11404,3847,2252,7538,1137,575,1010,2540,3960,383,23238,6730,3282,7145,1397,959,1204,3531,3874,542,28666,8916,3726,7979,2050,1373,1466,5412,4827,706,36457,9133,3965,6228,1642,1472,1451,4983,4622,679,34173,4909,1355,1308,380,464,584,1170,1228,283,11677,1527,176,118,38,64,63,93,194,145,2410,271,23,34,7,3,18,26,41,48,462,36655,15311,36877,8035,5264,8236,18948,24116,3171,156613,127,117,351,1774,366,3736,47,1303,147,7972,409,1086,819,2602,1169,1781,97,1200,132,9302,1893,5375,1499,3713,3482,1932,192,1936,251,20275,3636,6693,1635,4170,5449,2335,279,2256,342,26794,5041,7402,1825,5950,7540,3320,467,3812,448,35798,4765,6430,1270,4669,5677,2411,390,3301,386,29290,2396,1186,242,797,1403,468,77,691,193,7457,563,79,24,58,116,26,3,96,103,1067,60,27,14,19,41,13,4,16,29,216,18884,28392,7680,23757,25236,16031,1564,14609,2031,138178
2001,5,3,87,18,3,51,16,71,0,257,22,21,203,29,17,34,38,84,13,452,105,110,342,58,56,48,166,116,17,1021,176,134,267,61,75,47,202,115,33,1103,191,117,274,71,76,54,216,94,23,1114,131,108,146,41,50,29,171,74,15,760,32,24,17,13,7,16,39,24,11,178,6,3,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,3,673,520,1335,279,289,271,848,584,105,4917,3,8,13,55,23,165,3,43,10,315,30,39,31,101,85,82,5,24,5,402,63,251,52,168,196,91,14,33,14,880,110,270,46,146,253,109,22,38,15,1004,89,213,38,188,280,99,29,73,11,1026,50,139,21,119,196,53,20,45,6,651,15,24,0,14,37,4,0,15,0,111,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,363,946,206,795,1074,603,87,265,58,4393
2002,5,0,27,3,3,61,3,47,6,161,13,17,108,8,8,22,26,60,0,261,78,63,209,34,26,45,57,107,11,617,77,65,135,39,22,44,72,69,7,539,96,71,117,33,19,45,80,89,9,559,101,69,98,33,44,47,78,65,13,547,37,25,16,10,8,21,20,23,4,166,15,0,0,0,4,6,0,6,0,27,0,0,0,0,0,0,0,0,0,4,422,312,718,165,128,289,341,466,52,2888,3,3,3,41,9,102,0,18,7,181,9,32,22,69,31,54,0,37,0,264,34,142,30,105,84,55,3,57,4,513,34,125,31,107,92,61,0,58,6,517,61,136,27,138,178,61,6,75,3,692,44,117,25,104,108,46,7,76,10,545,19,27,0,18,17,4,0,16,7,101,6,0,0,3,0,3,0,0,5,21,0,0,0,0,0,0,0,0,0,4,208,579,149,588,521,398,21,340,41,2843
2003,19,20,272,135,21,322,23,383,27,1219,127,190,769,290,84,294,128,431,52,2353,523,970,1470,346,270,338,396,569,74,4959,791,1021,1043,290,244,270,438,432,82,4606,876,816,943,296,257,250,528,531,92,4593,584,703,654,183,230,229,448,403,49,3481,133,187,138,47,51,71,132,105,27,885,30,23,8,3,13,8,14,15,8,118,0,0,0,0,0,0,0,3,3,14,3091,3934,5297,1591,1173,1780,2104,2864,409,22234,10,23,42,319,62,777,6,166,24,1426,93,353,148,712,354,579,14,165,29,2438,285,1526,273,784,821,495,14,232,49,4477,392,1475,219,710,977,340,31,300,57,4505,436,1233,205,768,1148,425,63,405,61,4747,272,891,114,561,838,280,51,320,34,3361,62,140,22,82,136,48,8,73,9,586,4,8,0,8,9,0,0,4,6,45,0,0,0,3,0,0,0,0,0,15,1559,5659,1028,3943,4345,2941,188,1668,274,21605
2004,25,10,204,109,26,277,50,444,21,1170,118,175,728,244,80,279,149,510,48,2341,492,879,1468,280,244,271,391,709,57,4784,658,874,897,291,247,260,440,518,70,4260,710,706,895,304,271,252,519,489,60,4207,541,591,624,241,249,185,458,433,63,3394,147,159,109,60,59,59,122,82,22,819,27,24,13,3,4,7,9,19,7,108,0,3,4,4,0,0,0,0,0,14,2730,3429,4940,1532,1184,1597,2136,3191,346,21093,14,23,52,289,74,733,10,169,21,1397,96,332,155,661,280,565,24,238,24,2369,325,1485,259,739,753,408,39,279,45,4344,383,1286,206,606,873,360,30,280,53,4083,388,1079,170,730,1041,407,69,418,63,4353,266,812,103,582,796,324,60,351,43,3330,49,125,23,73,144,64,6,63,18,566,4,3,3,0,6,7,0,10,8,45,0,4,0,3,8,0,0,0,3,20,1516,5145,976,3685,3978,2867,243,1809,273,20500
2005,5,3,49,17,0,38,7,72,4,193,12,10,102,8,3,23,21,108,9,300,66,68,146,14,19,29,70,173,12,588,90,59,119,18,19,25,93,114,12,541,85,42,99,36,32,22,89,108,9,528,78,59,103,29,25,30,85,79,8,493,22,15,14,4,8,6,33,25,5,124,9,4,3,0,0,0,0,0,3,19,4,0,0,0,0,0,0,0,0,7,372,242,630,128,116,176,398,675,62,2797,3,0,9,28,9,89,0,42,0,191,11,28,15,52,28,40,0,64,5,240,33,92,33,100,77,56,0,64,15,463,33,87,26,99,78,55,4,68,6,462,44,81,17,167,108,67,3,85,4,579,41,70,22,96,91,60,0,73,10,471,8,11,6,23,19,14,0,8,0,88,6,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,6,175,377,125,563,412,378,15,410,46,2512
2006,10,5,81,28,5,100,5,84,5,321,23,21,145,25,9,23,18,70,9,348,109,119,257,43,18,65,72,129,15,823,184,100,231,43,31,53,91,122,7,855,224,104,190,62,39,65,146,147,11,985,163,93,175,42,30,61,131,147,9,854,48,27,22,18,12,25,47,35,6,239,17,6,5,0,4,4,0,3,3,38,0,0,0,0,0,0,0,0,0,4,772,472,1100,267,142,394,511,741,68,4468,0,6,0,101,14,158,0,27,8,319,13,39,31,109,31,72,0,20,7,326,83,262,60,159,115,92,3,49,10,831,93,257,48,152,169,102,7,66,4,892,123,198,56,175,260,124,12,115,8,1064,69,157,32,152,159,99,6,106,15,795,15,29,3,30,28,17,3,24,5,151,4,0,0,3,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,3,398,951,236,881,781,657,36,401,58,4397
2007,40,43,577,278,69,720,92,1013,48,2891,252,409,1727,633,225,756,372,1056,84,5508,1205,2308,3716,853,592,767,1035,1450,204,12132,2203,2646,2933,789,675,692,1144,1262,246,12582,2202,2188,2578,886,680,597,1468,1215,233,12037,1511,1759,1892,581,602,493,1224,983,159,9207,431,525,292,119,175,159,266,247,65,2275,64,74,31,3,12,16,19,48,26,297,7,6,7,0,0,0,0,0,6,36,7913,9961,13744,4148,3036,4201,5611,7278,1069,56970,30,39,108,833,159,1774,29,371,57,3404,228,698,346,1612,691,1337,79,358,69,5415,902,4005,715,1954,1889,1120,96,415,137,11228,1183,3732,607,1805,2439,1015,133,636,151,11707,1195,3023,590,2183,2844,1111,200,973,146,12256,710,2147,331,1423,2012,842,146,812,107,8535,153,326,56,254,414,135,16,189,38,1581,22,21,6,6,30,10,0,18,14,118,3,3,0,0,3,0,0,7,11,26,4426,13996,2765,10064,10472,7333,702,3770,735,54266
2008,3,0,64,34,9,50,11,92,0,271,16,17,167,41,15,37,27,47,6,369,76,126,279,42,39,25,53,60,9,716,255,274,294,62,77,45,91,68,17,1178,366,265,278,97,84,65,98,70,15,1336,218,216,195,52,65,51,78,55,14,940,66,85,43,13,17,15,28,24,4,294,12,3,7,0,0,5,0,6,0,25,0,0,0,0,0,0,0,0,0,0,1002,995,1330,341,304,298,394,425,63,5145,0,4,9,61,18,126,3,34,4,265,17,38,18,114,59,84,0,24,5,357,64,246,44,121,160,54,3,26,10,726,160,420,51,130,244,79,8,21,12,1128,140,373,51,207,369,93,10,46,16,1301,71,229,43,100,218,64,0,29,7,765,15,51,5,22,46,13,0,6,8,169,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,470,1361,223,762,1113,523,25,188,59,4721
2009,3,3,67,13,7,60,7,84,0,243,14,25,137,24,16,44,19,63,9,353,85,122,260,44,26,75,69,109,13,800,142,116,140,33,26,66,84,70,11,686,177,101,142,45,44,70,96,78,8,750,142,89,124,46,53,48,88,71,7,667,51,22,27,13,12,14,30,28,4,197,24,0,7,0,0,3,3,4,4,47,3,0,0,0,0,0,0,0,0,3,644,476,904,220,178,373,395,505,63,3756,0,3,9,55,12,120,0,40,3,240,7,80,29,78,54,67,0,31,6,356,37,259,44,128,127,72,7,35,4,716,62,185,30,123,151,87,9,40,5,682,84,173,36,141,182,92,7,59,9,789,73,152,14,111,153,77,7,73,7,672,22,21,8,19,33,5,0,11,0,129,3,0,0,0,0,3,0,0,5,15,0,0,0,0,0,0,0,0,0,9,288,874,166,658,721,531,33,299,37,3610
