SUA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
2000,36,37,24,11,19,25,40,1113,33,973,1162,459,81,19,25,28,3,11,10,16,22,17,229,3093,0,13,12,9,16,25,57,52,11,9,3,8,14,6,27,263,0,0,0,0,3,9,35,21,8,4,16,17,27,21,27,191,0,4,8,26,23,3,10,4,0,0,3,0,3,0,28,119,10,3,61,85,76,63,75,84,21,27,34,60,64,62,91,799,3,324,329,128,31,21,13,14,0,0,3,0,0,0,67,942,3,1324,1318,303,274,96,145,81,14,27,6,5,9,8,138,3755,27,80,246,807,1640,1212,1639,873,189,191,182,118,123,66,505,7890,0,3,3,7,0,10,8,44,4,16,10,7,8,14,3,136,0,3,3,25,157,323,272,403,132,161,186,122,194,116,137,2229,0,78,67,46,92,57,18,20,0,0,0,8,7,7,27,425,3,0,16,44,26,29,46,26,5,3,11,7,13,9,23,248
2001,0,0,3,0,0,0,0,45,0,19,25,17,5,3,0,0,0,0,0,0,0,0,3,79,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,19,0,22,35,13,16,3,4,3,0,0,0,0,0,0,10,103,0,16,28,10,12,0,9,3,0,3,0,0,0,0,3,95,0,3,7,16,40,50,89,33,18,7,3,0,4,0,14,276,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,10,0,0,0,0,0,14,13,11,0,0,3,0,4,0,0,48,0,0,0,0,5,3,3,3,0,0,0,0,0,0,0,21,0,0,0,3,0,0,3,12,0,3,0,0,0,0,0,15
2002,0,0,0,0,0,0,0,17,0,30,20,0,0,0,0,0,0,0,0,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,0,0,9,0,0,0,16,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,19,29,6,4,0,0,0,0,0,0,0,0,0,3,57,0,3,8,13,26,24,30,13,3,3,0,0,0,0,12,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,17,10,9,7,6,9,10,8,3,3,88,0,3,3,0,3,3,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
2003,3,3,3,0,0,0,5,129,0,60,68,19,4,4,5,9,0,0,0,0,0,0,10,175,0,4,0,4,6,7,25,19,0,3,0,0,0,0,3,81,0,0,0,0,3,0,8,14,0,0,0,0,3,0,3,43,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,12,3,0,6,14,19,22,32,42,10,3,3,5,9,3,3,180,0,10,22,19,3,0,0,0,0,0,0,0,0,0,3,62,0,243,187,38,13,4,6,0,0,0,0,0,5,0,17,525,0,10,29,81,129,124,145,83,17,38,21,17,11,9,29,749,0,0,0,0,0,0,16,28,0,3,8,3,3,3,0,65,0,0,0,4,26,53,50,82,31,51,40,21,29,9,22,412,0,15,7,0,8,9,0,0,0,3,0,0,0,0,4,49,0,0,3,6,3,7,8,16,0,0,0,0,3,11,0,52
2004,0,6,0,3,0,0,7,118,3,27,43,24,0,4,0,6,0,0,0,0,0,0,8,121,0,0,0,0,0,0,5,7,3,0,3,0,0,0,4,30,0,0,0,0,0,3,13,10,8,3,6,0,3,4,0,51,0,0,0,0,3,5,4,3,0,0,0,0,0,0,0,17,0,0,4,14,29,22,26,24,3,7,0,4,7,8,14,150,0,6,6,6,3,0,0,0,0,0,0,0,0,0,3,26,0,78,59,12,13,3,3,3,0,3,5,0,0,0,11,183,3,3,15,60,128,105,128,83,17,14,15,0,12,0,27,610,0,0,0,0,0,0,15,27,0,3,8,0,3,0,0,61,0,0,0,3,22,58,51,72,20,9,24,17,29,17,20,354,0,11,5,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,0,6,3,3,10,4,0,0,4,0,0,3,5,50
2005,0,0,0,0,0,0,0,4,0,22,18,3,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,11,16,0,3,0,0,3,0,0,0,0,0,0,0,37,0,0,6,8,22,14,19,12,4,10,4,6,0,0,14,123,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,10,10,9,0,0,0,3,6,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2006,3,3,0,3,0,0,3,40,3,19,12,3,0,0,0,0,0,0,4,0,0,0,3,44,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,6,0,0,0,0,0,0,0,12,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,26,17,0,3,0,0,0,0,0,0,0,0,0,11,59,0,0,5,14,32,32,50,21,5,9,3,4,4,4,10,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,14,9,17,15,7,8,3,8,12,3,96,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
2007,16,33,27,14,15,0,22,592,6,428,675,282,47,19,32,21,4,8,8,5,7,12,88,1642,0,3,3,3,11,13,42,34,14,10,4,6,9,4,12,164,0,0,0,0,0,15,39,41,9,6,15,4,5,10,7,157,0,0,4,21,22,13,7,14,4,3,0,0,0,3,17,102,3,0,17,47,57,76,77,86,17,30,18,36,22,19,26,522,0,97,94,43,12,6,0,0,0,0,0,0,0,0,8,270,0,676,426,84,50,29,39,32,6,3,0,0,3,3,66,1428,8,25,44,206,400,421,553,310,90,78,50,56,33,23,118,2414,0,0,3,5,6,8,19,85,21,52,80,28,58,11,25,401,0,0,5,15,109,225,293,298,41,37,51,53,70,34,45,1283,3,85,87,30,95,62,17,10,0,7,3,0,0,0,32,430,3,3,3,31,24,35,54,65,10,3,0,9,9,4,12,261
2008,4,0,3,0,0,0,3,68,0,35,37,28,3,0,0,0,0,0,0,3,0,0,0,109,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,12,6,3,3,0,0,0,0,0,0,0,28,0,30,31,9,9,4,0,0,0,0,0,0,0,0,3,88,0,21,18,3,9,4,4,0,0,0,0,0,0,0,0,56,0,0,5,24,49,47,65,39,9,3,4,3,5,0,12,261,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,5,3,4,0,0,0,0,0,0,0,24,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,3,0,13,0,0,0,0,0,0,0,18
2009,0,0,0,3,0,0,0,13,0,20,21,4,7,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,5,15,11,24,8,0,0,5,0,4,0,3,73,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,6,0,0,0,0,8,3,4,42,7,4,3,3,6,11,0,94,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
