SUA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
2000,135,316,325,285,497,120,30,1707,54,130,125,105,154,41,14,621,4,13,17,18,17,0,3,77,4,14,11,10,13,0,0,46,196,472,478,410,681,162,50,2451,13,35,25,23,39,7,4,148,10,21,19,7,12,0,0,77,22,58,51,30,54,5,3,221,221,528,529,440,735,172,52,2679,127,229,186,151,161,49,15,916,10,15,17,9,3,0,0,60,356,772,735,604,901,218,71,3651,257,764,689,606,940,247,80,3577,928,2067,1429,991,1312,318,61,7117,113,106,68,37,69,16,7,431,31,41,33,33,45,8,5,193,1333,2986,2221,1666,2368,582,156,11313,35,190,123,86,106,29,3,575,129,320,167,104,106,23,3,858,163,513,288,196,214,49,7,1431,1497,3494,2512,1861,2578,632,164,12747,2789,2612,1267,834,916,202,51,8661,35,55,35,33,27,3,0,188,4318,6155,3813,2725,3523,833,215,21593,394,1077,1011,884,1441,361,115,5280
2001,8,10,10,7,12,9,0,58,4,6,3,3,4,0,0,21,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,16,15,11,18,10,0,82,0,3,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,9,8,15,15,15,23,10,0,88,4,8,4,6,7,4,0,33,0,3,0,0,0,0,0,3,12,27,21,16,27,11,0,128,16,51,45,20,38,20,7,191,36,85,52,45,50,17,7,287,4,0,0,4,3,0,0,11,0,3,3,3,0,0,0,7,52,138,91,65,96,36,20,498,3,13,5,0,3,3,0,26,4,13,8,10,0,0,0,35,12,23,18,10,4,3,0,68,63,160,109,72,95,43,22,569,127,104,50,28,28,11,8,352,0,3,0,0,3,0,0,12,194,266,158,107,127,50,27,926,18,57,57,23,55,24,8,246
2002,0,8,11,3,12,0,0,32,3,3,4,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,10,5,17,0,0,54,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,20,10,5,16,0,0,59,4,3,0,5,4,0,0,18,0,0,0,0,0,0,0,0,12,25,12,14,18,0,0,79,4,28,17,19,32,7,0,102,31,49,41,22,45,5,3,195,0,3,4,6,7,0,0,23,0,3,0,0,0,0,0,8,34,83,61,44,83,15,3,329,3,3,0,0,0,0,0,11,9,12,7,11,3,0,0,39,8,19,6,11,4,0,0,45,51,103,71,52,85,21,3,376,112,89,41,30,47,4,0,319,3,0,0,0,0,0,0,6,160,192,110,80,130,27,3,702,7,39,25,18,45,11,0,135
2003,20,53,48,30,62,26,11,259,4,21,8,5,22,6,0,62,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,24,71,60,38,89,32,11,334,3,9,15,6,8,0,0,42,0,14,3,4,0,0,0,27,3,23,21,7,5,0,0,67,28,97,79,47,99,34,11,396,21,28,30,19,20,10,3,130,0,0,0,0,0,0,0,3,55,122,115,67,114,39,14,528,37,143,143,119,241,101,23,805,234,451,299,163,267,63,29,1512,30,29,16,11,10,6,0,113,3,5,12,7,11,0,3,41,302,631,474,301,533,168,59,2469,16,57,30,19,12,5,0,146,56,106,43,33,37,5,0,286,68,166,75,52,52,16,3,439,375,799,553,353,586,184,57,2905,658,534,266,194,174,44,9,1876,5,8,0,0,5,0,0,24,1039,1346,816,552,760,224,74,4803,62,194,190,152,310,123,38,1069
2004,26,56,46,43,79,30,14,287,3,25,11,10,11,9,0,69,0,4,0,0,3,0,0,11,0,0,0,3,0,0,0,5,34,79,62,59,93,41,13,381,6,5,5,6,3,0,0,23,4,7,3,4,3,0,0,18,6,9,11,8,4,0,0,44,41,92,70,62,99,41,19,420,26,35,29,19,22,8,3,144,0,0,0,0,0,0,0,7,66,127,97,88,128,48,17,577,52,133,131,121,204,80,42,767,216,449,291,191,261,68,22,1494,42,35,14,15,8,5,3,131,8,6,0,5,3,0,3,26,316,623,440,332,473,158,68,2413,16,52,29,11,27,3,0,138,40,62,37,18,24,6,0,203,62,114,69,34,52,10,0,334,377,733,508,366,532,165,70,2751,649,574,283,166,183,42,13,1914,4,3,4,0,3,0,0,14,1028,1313,792,528,712,209,88,4676,73,188,180,165,277,109,57,1052
2005,0,3,8,3,6,0,0,19,4,7,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,3,9,0,0,41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,14,8,4,14,0,0,41,4,5,3,3,0,0,0,20,0,0,0,0,0,0,0,0,10,14,13,7,13,3,0,65,12,18,15,9,19,0,0,73,33,39,41,19,42,5,0,189,0,0,3,0,0,0,0,11,0,0,3,0,0,0,0,5,51,54,62,31,63,8,0,275,0,5,3,0,3,3,0,11,3,0,3,0,3,0,0,10,3,6,4,0,3,3,0,20,50,64,66,36,69,16,0,296,99,76,29,29,19,4,0,263,0,0,0,0,0,0,0,0,154,135,99,66,85,18,0,554,9,19,18,16,30,5,0,97
2006,10,14,10,6,16,3,0,60,0,4,3,6,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,15,6,15,3,0,71,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,8,22,19,6,15,3,0,80,3,11,3,4,4,0,0,18,3,0,0,0,0,0,0,3,12,27,22,10,22,3,0,106,10,32,32,26,39,11,0,153,44,64,57,28,52,11,3,255,3,3,5,3,0,0,0,10,3,0,0,0,3,0,0,7,60,102,90,56,92,21,3,430,0,0,3,0,3,0,0,4,7,12,3,4,5,0,0,34,8,14,5,4,8,0,0,36,76,111,95,62,98,21,3,470,107,78,45,14,22,8,0,281,4,3,0,0,0,0,0,8,180,200,144,76,122,31,3,753,19,49,41,30,53,14,0,209
2007,56,118,100,75,156,69,33,614,18,46,47,33,32,16,5,204,8,3,0,0,6,0,0,23,3,7,0,3,4,4,0,18,83,181,151,111,201,84,39,855,7,12,11,15,19,0,0,61,0,8,7,0,8,0,0,18,9,23,19,11,21,0,0,81,92,203,171,124,226,84,45,936,41,72,58,53,46,12,13,280,3,5,6,0,3,0,0,14,129,273,230,176,269,97,54,1231,135,386,334,313,510,216,101,1995,480,834,611,430,595,200,87,3237,61,45,26,13,40,9,8,200,7,14,19,11,12,10,3,72,681,1275,993,765,1153,436,189,5503,28,92,54,38,45,14,5,273,68,132,90,44,54,18,8,413,100,227,141,78,94,31,17,683,785,1497,1132,845,1253,467,204,6186,1132,1035,493,358,444,150,62,3673,18,23,11,10,9,4,3,81,1934,2562,1642,1214,1703,620,269,9945,193,509,435,388,669,290,135,2605
2008,5,13,8,7,18,6,3,61,0,4,0,5,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,10,11,21,8,5,75,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,20,10,11,22,8,5,77,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,5,21,9,14,18,10,5,87,9,17,23,14,35,16,5,121,29,65,45,34,48,16,6,244,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,44,79,63,46,89,35,17,377,0,3,3,3,7,0,0,15,0,0,0,0,0,0,0,3,0,3,4,0,8,3,0,20,44,81,69,55,94,36,17,398,23,30,18,15,15,8,4,116,0,0,0,0,0,0,0,6,62,119,90,64,115,45,19,516,13,29,28,28,57,23,12,188
2009,3,8,12,8,12,3,0,48,0,8,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,15,8,12,3,0,64,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,6,7,22,16,9,10,3,0,67,8,9,6,3,3,3,0,29,3,0,0,0,0,0,0,3,16,30,22,11,16,3,0,97,7,18,11,11,28,8,0,86,23,80,43,36,39,16,0,242,0,3,0,0,0,3,0,6,0,0,4,0,0,0,0,8,34,96,57,50,74,25,3,341,0,7,3,0,0,3,0,15,8,16,9,9,3,0,0,38,10,18,8,7,4,3,0,55,43,113,65,57,83,30,3,399,130,107,40,28,25,0,0,329,0,0,0,0,0,0,0,3,177,229,112,80,103,35,4,730,10,27,20,25,38,8,0,134
