SUA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
2000,23,320,18,2465,154,70,23,132,24,228,25,152,61,793,3888,5551,196,49,68,128,20,85,11,67,38,995,648,2311,13154,4637,1001,11629,1168,6999,778,6516,1199,30651,5282,83018
2001,0,4,0,50,4,0,0,0,3,3,0,4,0,20,65,105,5,0,3,3,0,0,0,0,3,24,4,45,406,54,20,250,30,204,13,120,30,679,83,1889
2002,0,8,0,30,7,0,0,3,0,3,0,3,0,11,84,110,0,0,0,0,0,0,0,0,3,23,19,53,237,80,16,214,30,111,9,124,25,696,121,1661
2003,5,29,3,338,25,6,3,15,0,15,6,14,8,62,404,551,3,3,4,9,3,6,4,5,3,114,56,206,1824,417,83,1410,126,871,72,726,111,3450,506,9599
2004,7,37,0,277,19,6,3,18,3,16,0,13,4,87,386,562,12,6,0,7,4,8,3,7,4,110,48,214,1674,415,80,1408,131,789,90,716,113,3436,487,9344
2005,0,9,0,21,7,0,0,7,0,0,0,3,0,17,38,72,0,0,5,5,0,0,0,0,0,16,12,33,211,65,12,179,22,92,7,85,19,465,64,1221
2006,3,4,0,49,9,0,0,3,0,3,0,6,6,23,94,139,5,0,3,3,0,4,0,0,0,37,28,82,438,105,19,314,22,172,21,161,34,1034,144,2460
2007,3,137,0,1035,56,7,3,38,15,61,5,32,8,227,1119,1570,20,4,9,24,5,20,0,20,3,284,168,565,4571,1117,171,3427,296,2074,200,1924,241,9387,1422,24812
2008,0,12,0,146,4,3,0,6,0,3,0,0,0,8,99,130,5,0,3,4,0,0,0,3,0,16,6,42,381,99,15,278,41,220,23,149,15,688,117,2029
2009,0,12,0,55,7,0,0,0,0,0,0,0,0,20,82,112,3,0,0,5,3,0,0,0,0,20,13,47,351,91,18,261,32,139,20,117,27,658,114,1830
2010,177,2288,65,28122,1075,187,116,552,187,779,78,468,170,2454,18347,24419,552,121,248,300,100,251,37,207,162,3318,2286,7584,97054,15940,2721,49356,5121,41422,2227,26102,3858,119160,22620,385580
2011,0,12,0,91,9,0,3,12,3,23,0,15,0,32,198,295,6,3,8,12,0,0,0,0,3,57,38,123,1063,154,44,639,86,670,22,312,61,1452,259,4756
2012,3,14,0,111,25,3,0,12,0,11,0,6,0,44,261,361,7,0,5,8,0,5,0,7,0,75,68,177,985,229,43,706,70,470,32,318,69,2007,372,5310
2013,3,11,0,56,0,0,0,0,0,10,0,5,0,15,79,116,0,0,5,3,0,3,0,0,0,29,16,56,214,56,16,204,21,174,16,126,29,737,118,1712
2014,0,3,0,34,3,0,0,9,0,3,0,0,0,16,35,64,3,0,4,0,0,0,0,0,3,15,13,46,164,59,14,177,25,139,15,93,13,445,62,1212
2015,0,3,0,70,3,0,0,0,0,3,0,5,0,13,104,133,0,0,0,0,0,0,0,0,0,22,10,35,235,52,6,221,25,164,18,114,9,535,123,1505
2016,3,14,0,134,10,0,0,12,0,16,0,4,0,47,193,281,9,0,8,10,0,0,0,3,7,61,42,132,897,181,44,680,67,429,34,318,60,1710,273,4683
2017,3,0,0,30,3,0,0,3,0,6,0,0,0,8,39,62,5,0,3,0,0,0,0,0,0,12,19,40,241,42,12,151,13,86,5,73,18,388,71,1091
2018,0,10,0,151,3,0,0,4,0,11,0,3,3,46,175,243,4,0,0,4,0,3,0,0,3,57,36,114,686,122,18,594,50,419,31,314,78,1538,246,4099
2019,0,9,0,52,4,0,0,4,0,3,0,3,0,27,80,129,3,0,0,4,0,0,0,0,0,21,28,59,336,90,20,317,19,148,14,132,19,838,122,2050
2020,4,9,0,135,5,6,0,5,0,7,0,9,0,26,148,221,13,0,5,4,0,3,0,5,0,45,28,103,670,168,38,525,61,357,36,285,36,1497,211,3878
2021,3,18,0,118,13,0,3,9,0,4,0,3,0,38,133,194,3,0,0,4,0,5,0,0,0,36,23,75,650,165,31,567,46,264,23,267,47,1251,187,3490
