SUA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
2000,3,11,35,156,44,43,7,6,3,312,0,3,3,30,45,56,76,24,13,243,0,3,8,28,27,23,14,3,0,107,20,109,140,695,423,474,492,283,130,2766,1068,2557,2449,6288,4879,5501,4822,2751,1468,31790,17268,40767,33293,70322,49901,54307,44278,22601,10880,343603,0,5,5,32,9,0,0,0,0,43,33100,76353,62200,112722,78240,84196,65078,31257,12886,556037,3,10,4,40,12,3,3,0,0,73,0,0,0,16,17,21,14,17,3,84,0,16,24,87,27,22,7,3,0,186,19,48,27,245,144,133,74,28,4,719,0,0,4,42,35,32,33,9,3,159,6,65,362,422,137,108,67,29,3,1204,0,0,0,27,96,114,163,129,20,547,4,7,4,42,17,58,82,38,9,255,35,364,429,1929,3529,4848,6064,3113,999,21309,3,12,13,91,47,55,23,7,4,245,4,13,37,121,55,62,62,30,6,392,3,18,59,269,308,532,1227,583,197,3194
2001,0,0,0,7,4,4,0,0,0,15,0,0,0,0,3,0,3,3,3,18,0,0,7,5,0,0,0,0,0,13,0,3,3,36,24,23,9,10,3,113,32,55,56,163,89,77,90,56,22,642,658,1436,1234,2751,1423,1235,990,451,216,10407,0,0,0,0,0,0,0,0,0,0,1334,2649,2317,4355,2180,1733,1224,490,206,16487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,18,0,0,0,8,9,0,0,0,0,21,0,0,5,6,12,0,0,0,0,24,0,0,0,10,6,3,13,3,0,34,0,0,0,0,0,3,0,3,0,4,0,26,15,94,143,143,174,86,34,708,0,0,0,12,0,0,3,0,0,16,0,0,0,0,4,0,0,0,0,6,0,0,0,8,10,16,45,14,7,111
2002,0,0,0,17,3,0,0,0,0,25,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,7,7,10,7,3,4,45,48,58,95,160,106,117,105,110,81,891,469,857,841,1607,987,1036,971,683,383,7819,0,0,0,0,0,0,0,0,0,0,814,1540,1425,2478,1415,1490,1346,795,375,11668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,3,9,7,0,3,0,0,28,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,4,0,8,9,37,49,64,105,98,33,404,0,0,3,4,5,9,0,0,0,20,0,3,0,0,0,0,0,0,0,6,0,0,0,6,0,14,26,17,11,78
2003,0,6,6,27,4,5,0,0,0,56,0,0,0,0,5,0,5,9,3,25,0,0,3,11,3,0,4,0,0,24,5,29,56,143,60,52,42,49,19,447,165,282,421,830,502,463,453,317,135,3579,3127,6164,6972,12998,6676,6281,5080,3059,1589,51943,0,0,12,0,0,0,0,0,0,13,6087,11436,12260,20692,10452,9668,7182,3940,1824,83542,0,9,4,39,7,0,3,0,0,64,0,0,0,4,0,3,3,0,0,13,0,5,0,0,0,0,0,0,0,9,0,4,7,31,16,12,7,3,0,92,0,0,0,9,0,0,3,3,0,18,3,38,260,281,72,38,16,5,0,717,0,0,0,3,14,23,30,30,7,112,0,9,3,8,3,3,3,3,0,35,13,94,67,290,301,414,471,275,107,2028,0,4,9,20,10,15,3,3,0,68,0,3,4,17,8,3,4,3,0,36,3,5,8,21,19,40,115,32,29,278
2004,0,4,3,25,4,4,0,0,0,41,0,0,0,0,3,3,4,3,0,16,0,0,3,12,0,0,3,0,0,20,4,13,29,86,28,32,32,21,12,256,164,291,395,856,452,476,412,330,196,3570,3015,5749,6578,12305,6039,6022,4688,2891,1632,48916,6,6,16,40,10,0,0,0,0,72,5735,10782,11459,19573,9596,9526,7104,4141,1983,79897,0,7,0,30,4,3,0,0,0,48,0,0,0,0,0,0,3,0,0,4,0,4,0,8,0,0,0,0,0,11,0,3,6,39,9,7,14,0,3,89,0,0,0,7,0,0,0,0,0,6,0,12,57,136,50,19,9,3,0,283,0,0,0,3,3,0,11,6,0,25,0,5,6,21,11,3,7,0,0,52,5,42,45,180,282,305,348,190,90,1487,0,10,7,24,15,3,0,0,0,58,0,0,0,9,3,3,9,3,0,26,0,3,4,16,18,38,62,20,14,188
2005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,6,0,0,3,18,4,5,3,0,0,35,13,22,49,86,59,74,75,65,33,477,352,686,702,1306,794,860,706,540,303,6258,0,0,18,24,0,0,0,0,0,38,704,1373,1284,2275,1301,1353,1064,705,369,10417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,26,6,10,0,0,0,47,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,4,0,3,3,15,19,43,45,42,11,183,0,0,0,7,3,3,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4,19
2006,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,12,8,3,7,3,3,41,37,59,78,182,103,137,139,94,42,878,575,1234,1072,2314,1350,1428,1382,858,393,10611,0,0,0,0,0,0,0,0,0,0,1062,2296,1963,3663,2198,2260,2123,1224,478,17264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,0,0,0,26,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,8,0,4,7,28,40,83,121,95,19,403,0,0,0,3,0,0,0,0,0,3,0,0,3,4,7,4,4,0,0,12,0,0,0,3,4,3,26,5,5,54
2007,0,5,25,125,46,30,8,3,3,254,0,3,4,24,32,32,38,20,10,147,0,4,4,34,10,3,6,3,0,72,27,96,148,527,245,275,291,256,142,2007,352,672,857,1872,1159,1124,1006,789,474,8302,7466,14846,15459,32301,16730,15858,12862,7644,4203,127382,9,66,163,198,58,20,8,0,0,517,14402,26978,26587,49235,24443,22186,15886,8209,4092,192016,0,14,9,58,14,0,0,0,0,97,0,0,26,101,98,99,46,49,7,431,0,0,5,21,13,17,3,0,0,57,12,32,33,142,71,35,18,9,3,354,0,0,0,18,11,15,13,0,0,64,23,99,305,697,173,144,67,30,15,1542,0,3,20,126,198,249,343,309,63,1320,0,10,10,30,9,24,26,6,3,124,50,364,331,1216,1434,1661,1807,1125,472,8463,0,7,9,64,29,11,3,3,0,131,0,7,23,79,22,17,16,9,8,178,0,14,32,125,73,190,544,239,154,1382
2008,0,0,0,6,5,0,0,0,0,14,0,0,0,0,5,7,3,6,0,19,0,0,0,0,4,3,0,0,0,5,0,3,5,25,17,15,25,9,5,101,32,49,36,144,94,84,84,49,43,622,642,1457,1113,2440,1632,1327,1034,372,193,10202,0,0,0,0,0,0,0,0,0,0,1257,2891,2111,3832,2398,1920,1368,435,169,16386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,10,3,3,3,0,3,28,0,0,0,0,3,0,0,0,0,3,3,6,7,12,15,0,8,3,0,51,0,0,0,0,8,10,8,7,3,39,0,0,0,0,0,0,6,0,3,15,0,31,29,121,212,185,185,106,21,893,0,0,0,3,0,0,4,0,0,7,0,0,0,7,3,0,4,0,0,18,0,3,5,13,15,20,51,18,9,123
2009,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,13,4,5,3,8,4,40,21,32,58,116,60,102,83,43,29,542,480,974,975,1983,1025,1120,896,647,356,8448,0,0,0,0,0,0,0,0,0,0,981,1876,1765,3215,1738,1818,1380,957,455,14180,0,0,0,4,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,6,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,30,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,3,0,9,7,17,23,41,51,19,12,189,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,5,0,25
