SUA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
2000,5184,4987,3856,2231,668,306,22759,1784,3747,4733,5487,5491,2699,503,146,24580,335,850,1066,958,805,534,150,67,4768,1626,2718,2252,1926,1403,1001,286,100,11316,48,45,36,37,63,91,70,40,423,60,203,395,383,339,209,63,27,1686,3932,2825,3638,4656,5294,5404,4034,2411,32189,11778,23454,28123,30424,30710,20983,8923,4076,158476,268,782,1331,1106,1219,931,237,77,5958,225,587,741,667,586,286,26,8,3125,2633,6325,7622,10368,10456,8458,3464,1024,50357,1765,3816,3592,3778,4047,2669,1256,307,21217,1416,3264,4271,4278,3228,1694,617,166,18940,1355,4515,5074,6744,7683,4699,1855,578,32497,788,3375,4406,4827,7263,5772,1775,426,28628,1890,5837,7414,7503,6546,4236,1241,472,35150,2336,4597,5933,7015,7314,4131,933,221,32482,626,1354,1632,1439,1364,971,262,102,7752,2121,3815,3474,3159,2418,1648,521,175,17330,90,83,47,87,102,176,130,63,782,156,480,825,865,843,588,201,75,4036,8668,6952,8382,10540,11388,11188,7712,3876,68713,24331,45776,54747,62391
2001,222,158,97,49,11,9,822,68,162,207,162,129,65,11,0,799,23,36,33,14,15,5,3,0,130,66,105,54,48,24,27,5,0,330,0,0,0,5,0,0,7,0,8,0,5,9,9,10,3,0,0,44,69,79,99,93,85,96,83,61,659,395,970,1015,802,605,393,164,86,4444,9,40,55,35,21,19,7,0,181,14,45,73,42,18,9,0,0,196,90,255,278,357,285,209,67,16,1553,103,203,136,98,73,44,22,8,681,10,69,59,30,21,15,3,3,213,47,148,152,163,133,79,27,9,752,41,179,172,157,161,102,36,12,859,88,317,336,277,197,99,24,11,1341,111,210,249,206,168,93,15,3,1054,36,67,53,30,24,8,3,0,227,87,140,87,71,48,39,9,0,481,0,0,0,3,3,3,6,0,18,3,20,34,26,16,6,3,7,112,167,163,191,194,173,193,131,87,1297,795,1850,1870,1682
2002,107,89,64,45,20,17,499,55,81,88,108,88,42,4,0,478,13,13,19,19,10,9,3,3,81,45,58,48,45,33,26,10,0,269,0,0,0,5,0,3,4,0,23,3,5,4,5,12,4,0,3,30,116,91,81,98,122,137,157,137,938,353,582,532,597,563,455,300,215,3605,4,20,18,6,16,10,3,5,83,7,22,12,13,8,0,0,0,62,67,165,126,176,166,159,92,31,976,33,100,77,82,67,40,36,5,435,11,48,34,38,31,21,14,4,193,48,141,106,151,154,113,65,26,806,19,80,75,84,121,115,46,19,556,69,160,157,123,112,90,40,22,777,65,95,120,133,127,72,11,3,627,13,22,22,19,9,16,9,3,120,59,98,87,66,51,39,15,4,423,3,0,0,5,6,11,4,3,34,5,13,9,18,19,13,3,5,87,238,202,173,185,229,271,254,187,1730,644,1160,1019,1096
2003,1058,848,525,232,87,36,4192,434,878,887,778,646,314,57,16,4014,152,231,204,130,98,47,24,8,889,326,510,298,240,160,86,38,14,1677,11,6,7,10,5,14,11,3,61,16,63,87,56,37,16,7,3,281,555,449,403,479,501,534,528,310,3750,2484,5120,4730,4242,3544,2258,1236,547,24163,88,193,228,164,140,92,26,7,936,98,408,292,165,100,37,3,0,1103,365,1016,922,1084,959,783,406,117,5657,366,797,529,431,368,241,130,42,2907,91,218,190,189,111,82,54,14,945,364,1262,1059,1102,1042,609,276,94,5812,220,860,881,813,963,770,305,82,4903,626,1602,1725,1485,984,475,185,55,7130,594,1171,1195,1044,881,494,126,25,5527,321,402,345,225,176,105,40,12,1633,434,767,504,386,276,149,69,21,2608,20,14,7,13,13,20,12,8,113,28,114,167,134,90,57,27,10,624,1120,946,866,935,935,1017,877,487,7178,4729,9781,8911,8180
2004,846,629,438,203,77,49,3451,434,865,821,709,609,285,47,26,3799,88,187,119,82,85,43,21,5,636,347,490,295,238,129,115,34,14,1660,5,8,10,3,8,11,8,0,53,14,25,62,43,38,18,12,0,208,547,460,438,448,473,484,566,460,3878,2340,4848,4299,3684,3367,2132,1168,718,22561,62,162,190,129,113,81,29,8,778,103,301,218,133,94,39,7,0,894,380,1082,929,1076,1037,800,387,128,5809,348,753,510,458,415,269,145,38,2925,82,225,234,210,171,89,34,16,1068,447,1249,1012,998,1058,575,254,88,5674,219,803,795,692,817,667,264,91,4348,452,1425,1405,1075,813,428,143,64,5805,608,1130,1098,971,846,434,102,35,5215,154,321,213,132,148,90,47,12,1120,438,743,455,379,223,172,67,21,2506,20,6,18,4,9,26,9,0,98,28,67,134,106,86,51,30,9,515,1105,953,869,936,978,957,957,686,7437,4436,9216,8083,7305
2005,80,71,61,21,15,6,380,45,87,92,111,99,41,14,3,491,8,13,14,7,4,4,0,0,53,35,71,38,31,20,18,5,0,212,0,0,0,0,0,3,3,0,8,3,0,6,0,3,4,3,0,22,58,45,41,74,81,86,90,66,537,251,480,394,430,429,278,188,95,2551,0,13,15,7,10,3,0,3,49,6,11,12,0,8,5,0,0,41,58,150,128,121,146,84,47,14,744,49,81,46,52,51,42,15,5,328,21,40,41,37,21,7,8,0,174,36,94,78,99,95,60,43,9,512,19,69,56,55,104,71,37,6,419,65,138,143,107,97,45,18,8,616,63,99,112,141,133,54,17,9,616,13,33,21,9,7,10,0,0,98,48,106,68,61,33,31,13,0,352,0,0,3,0,0,4,3,0,17,7,9,12,14,9,10,4,0,56,121,123,92,139,139,163,155,94,1032,508,962,830,833
2006,151,135,83,46,20,10,658,42,129,129,146,141,62,12,0,674,12,24,17,12,7,14,0,0,90,68,122,83,76,52,39,13,4,453,0,0,0,0,3,0,4,3,12,0,4,13,4,4,3,3,0,27,118,100,75,107,123,177,181,107,986,371,886,818,761,712,523,340,166,4571,0,24,33,19,13,5,5,4,109,14,21,18,11,7,4,0,0,70,77,219,230,262,248,241,134,33,1447,56,146,105,127,120,72,27,16,664,17,69,82,64,42,34,14,0,322,49,194,182,180,203,104,66,18,999,25,156,169,130,153,123,54,11,826,54,220,245,224,158,101,47,16,1067,55,161,174,176,177,93,23,4,861,18,39,31,14,8,14,3,3,133,99,185,123,130,81,68,22,13,713,0,0,0,0,0,5,6,3,15,0,10,24,12,8,6,6,3,68,213,188,184,217,249,327,312,167,1852,689,1630,1590,1562
2007,2653,2006,1377,737,271,139,10426,988,2089,2209,2101,1600,824,156,35,10001,303,731,577,409,251,158,66,31,2523,684,1177,826,679,408,346,106,23,4256,27,16,11,16,26,25,30,10,150,43,126,186,164,100,54,25,13,715,1143,1000,959,1100,1128,1260,1236,937,8754,5483,12733,12316,10765,9123,6007,3066,1595,61082,359,666,813,558,496,329,111,26,3355,235,698,642,388,248,97,5,4,2316,947,2709,2823,3202,3094,2529,1257,441,17017,924,2375,1779,1379,1128,703,378,125,8795,176,451,564,453,306,210,116,37,2317,904,3174,2791,2616,2481,1343,645,247,14207,377,1928,2081,1915,2476,1850,721,195,11558,1220,3925,4303,3505,2644,1536,528,211,17871,1467,2849,2931,2809,2205,1263,321,72,13917,564,1183,969,613,429,262,103,42,4164,943,1787,1284,1033,656,491,196,46,6442,49,31,18,25,40,42,47,18,260,95,271,401,340,251,141,65,32,1601,2483,2464,2338,2446,2309,2407,2116,1405,17974,10751,24498,23748,21292
2008,279,228,151,100,25,8,1008,67,123,165,176,136,76,6,7,755,26,37,55,49,16,11,6,0,205,38,69,62,47,27,20,7,0,263,4,0,0,0,0,0,0,0,4,4,13,22,17,13,6,0,0,83,68,57,82,97,76,96,51,53,579,343,787,1180,1130,827,554,169,87,5077,13,39,82,70,69,52,8,0,336,9,14,59,46,21,15,0,0,166,66,206,366,386,379,280,112,24,1812,69,176,163,170,87,50,21,0,740,20,38,73,52,34,25,13,3,249,54,155,232,240,182,123,30,7,1028,28,140,216,240,269,188,56,14,1144,73,237,459,416,296,195,51,15,1741,91,158,216,254,203,113,18,6,1052,50,60,85,73,32,26,9,0,335,56,92,87,79,49,27,10,3,404,4,0,0,0,3,0,0,0,7,8,27,42,45,31,12,5,0,165,148,105,182,207,163,172,103,71,1151,682,1454,2261,2275
2009,148,110,93,24,6,12,598,61,121,140,112,109,45,5,0,597,11,29,23,17,4,4,3,0,89,51,96,77,39,35,31,13,3,339,0,0,0,0,0,0,0,0,9,0,3,3,3,0,0,5,0,20,85,57,65,59,94,99,79,62,596,376,782,699,569,620,364,195,118,3720,6,24,31,14,13,8,0,4,112,12,30,10,13,9,3,0,0,76,80,199,138,148,160,93,42,19,887,67,96,61,85,76,49,19,7,453,28,77,72,75,53,42,17,9,355,57,210,155,174,207,104,45,21,977,31,133,89,91,132,103,50,16,653,81,218,229,178,157,49,22,19,956,86,169,170,141,145,57,18,0,788,17,32,40,22,10,6,8,0,123,68,148,116,74,48,39,18,0,510,3,3,3,3,0,0,0,3,18,0,13,10,12,10,4,9,0,56,162,148,131,140,160,178,149,95,1160,693,1497,1263,1161
