SUA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
2000,82,296,2374,106,1187,1999,6046,76,335,395,122,155,15,1098,1053,1814,2177,269,599,97,6022,3263,843,3185,202,508,99,8097,2784,277,2260,70,293,39,5724,5427,172,2230,37,355,37,8266,5174,72,1534,16,219,44,7060,2225,25,632,11,70,19,2980,284,5,136,3,14,9,455,91,0,41,0,9,0,148,34,0,25,0,5,3,72,21,0,22,0,4,0,46,4,3,22,0,0,0,30,52,0,85,0,16,3,154,338,254,843,70,521,89,2109,20906,4102,15968,924,3954,2464,48311
2001,3,9,30,3,5,17,66,0,10,3,5,0,0,18,3,84,19,11,3,0,120,38,40,13,26,4,0,123,68,14,44,21,7,0,150,175,27,83,6,7,0,297,456,3,101,3,0,0,565,149,3,20,0,0,0,170,4,0,7,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,21,14,13,0,0,0,49,919,210,323,70,32,32,1590
2002,3,11,23,0,3,15,53,0,13,0,11,0,0,29,14,104,31,20,3,0,170,69,74,38,12,8,0,198,100,30,53,16,4,0,208,289,30,77,7,3,3,407,292,8,50,0,3,5,353,123,0,12,0,3,0,137,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,14,13,9,3,0,44,897,288,294,77,34,29,1620
2003,22,75,122,12,30,79,333,20,66,24,21,3,0,135,268,670,158,65,15,16,1196,750,273,260,87,29,9,1407,718,136,300,48,16,9,1227,2566,140,486,34,28,14,3272,2456,23,290,8,26,11,2818,874,8,109,4,23,10,1032,119,0,36,3,4,3,160,24,0,13,0,0,3,38,16,4,3,0,0,0,23,4,0,3,0,0,0,7,4,0,0,0,0,0,8,10,0,6,0,0,4,19,104,88,77,26,14,18,324,7951,1495,1883,311,194,172,12001
2004,11,80,115,10,16,85,310,6,55,14,14,0,5,94,137,560,167,31,22,13,932,528,330,270,59,35,8,1235,527,153,299,74,24,11,1091,2082,76,505,66,40,15,2785,2526,24,456,13,31,14,3065,786,8,141,0,11,0,953,70,3,30,0,3,0,110,15,3,11,0,5,0,31,11,0,6,0,0,0,14,7,0,3,0,0,0,8,0,0,3,0,0,0,3,5,0,4,0,0,0,13,74,78,66,20,17,21,275,6781,1372,2089,291,217,175,10924
2005,3,8,18,4,3,17,48,3,5,3,9,0,0,17,17,102,28,3,3,3,151,68,55,54,21,13,3,215,95,24,67,4,5,0,202,172,3,62,0,3,0,247,161,3,41,0,0,0,203,36,0,7,0,0,0,40,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,14,10,10,3,4,63,574,218,286,46,47,25,1196
2006,0,21,27,10,8,19,90,3,11,3,0,0,0,22,24,160,20,5,11,6,215,77,52,43,4,8,3,187,123,45,72,0,6,0,238,327,38,88,3,13,4,468,388,4,85,0,3,3,486,192,4,36,0,4,0,239,38,0,6,0,0,0,46,4,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,24,18,9,3,9,3,62,1198,354,397,38,54,37,2073
2007,33,149,327,22,75,270,885,24,120,44,29,18,3,234,162,1087,276,115,55,25,1723,793,429,543,165,74,14,2026,814,217,456,133,60,14,1706,2697,241,869,85,74,28,3999,5460,148,1126,40,92,16,6883,4213,26,677,29,63,20,5030,950,8,205,3,13,3,1177,243,0,44,3,8,0,293,57,0,24,0,0,0,84,29,0,23,0,0,0,52,16,0,9,0,3,0,24,32,0,28,0,0,0,61,245,157,193,54,80,37,765,15762,2606,4842,682,620,435,24938
2008,3,3,21,12,4,24,65,3,4,4,3,0,0,8,0,13,9,0,3,0,26,0,10,10,3,5,0,33,11,4,14,0,3,0,32,25,0,24,3,0,0,52,126,3,61,0,3,0,198,214,0,47,0,0,0,263,93,0,22,0,0,0,109,30,0,3,0,0,0,29,9,0,5,0,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,5,9,3,10,0,7,0,28,530,34,226,25,26,26,871
2009,3,17,30,0,4,9,68,4,59,4,0,0,0,70,45,94,24,16,3,0,187,315,42,74,13,3,5,450,142,29,41,3,3,4,223,237,9,58,0,3,0,307,215,3,37,7,7,4,265,100,3,18,3,4,3,133,8,0,3,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,22,25,14,7,7,9,84,1097,275,310,42,40,36,1796
