SUA_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
2000,267,16684,1478,18430,1827,38021,3094,42938,737,18723,1452,20912,535,14174,1543,16255,838,26264,3670,30767,1024,32087,4216,37337,1897,41915,4764,48576,2974,46743,4882,54607,3685,38792,4255,46732,3009,16743,2148,21903,2368,3831,830,7026,19160,293976,32339,345471,126,15786,1360,17268,833,36976,2956,40767,421,17261,1350,19036,365,12675,1214,14256,637,27968,2717,31319,1084,34521,3393,38999,1885,43975,4032,49901,2866,46974,4474,54307,3030,37313,3933,44278,3833,16571,2194,22601,4892,4661,1327,10880,19974,294680,28949,343603,387,32475,2841,35696,2656,74997,6050,83708,1157,35983,2803,39948,904,26848,2760,30512,1474,54228,6382,62085,2105,66613,7616,76335,3788,85889,8793,98475,5844,93713,9355,108918,6715,76112,8188,91011,6843,33310,4349,44497,7258,8484,2153,17903,39128,588656,61289,689078
2001,17,702,31,750,76,1280,69,1423,26,634,28,692,19,567,36,625,29,1143,65,1233,49,1202,85,1332,50,1244,77,1373,60,992,87,1139,70,770,76,914,67,247,35,348,38,60,13,116,503,8837,607,9944,16,608,42,658,37,1327,71,1436,19,607,29,651,19,537,29,582,31,1197,71,1293,36,1328,92,1454,61,1281,86,1423,85,1074,80,1235,89,830,70,990,92,308,50,451,117,85,18,216,596,9175,634,10407,28,1305,71,1407,113,2608,144,2857,44,1236,59,1342,38,1106,67,1208,55,2337,139,2530,84,2529,173,2787,110,2525,165,2802,145,2070,166,2377,156,1593,148,1903,162,560,81,795,153,148,32,333,1094,18011,1244,20345
2002,11,384,50,438,68,711,80,861,36,350,37,428,15,333,46,390,21,694,94,809,37,611,80,732,26,671,74,773,52,745,82,877,83,699,99,878,82,397,52,532,62,92,23,183,493,5693,723,6905,3,401,65,469,36,745,77,857,15,358,44,409,15,362,52,425,24,703,90,821,28,675,87,788,43,855,92,987,56,870,107,1036,86,788,93,971,127,460,96,683,175,134,69,383,610,6345,867,7819,11,785,112,903,100,1460,159,1717,49,709,74,838,30,691,95,822,51,1394,184,1628,68,1284,167,1518,70,1526,165,1767,108,1617,190,1908,166,1491,192,1851,207,859,148,1212,236,226,99,563,1102,12042,1584,14728
2003,48,3119,225,3392,379,5694,326,6409,161,2962,186,3311,125,3325,262,3709,159,5780,432,6368,190,5214,379,5789,285,5276,388,5950,380,4761,369,5514,425,3609,374,4406,403,1707,201,2315,298,412,77,786,2869,41853,3222,47944,22,2913,196,3127,150,5681,328,6164,96,2901,199,3191,77,3451,251,3783,150,6024,452,6622,223,5749,402,6369,336,5890,449,6676,418,5437,425,6281,420,4246,408,5080,610,2180,278,3059,785,685,122,1589,3295,45151,3504,51943,78,6033,415,6519,531,11380,661,12573,261,5864,389,6504,203,6770,515,7489,311,11798,881,12991,418,10958,785,12161,624,11165,834,12626,802,10196,793,11787,839,7858,780,9477,1015,3883,474,5375,1082,1094,200,2375,6157,86996,6726,99885
2004,58,2882,217,3157,421,5365,428,6213,142,2702,179,3016,95,3067,231,3395,183,5389,429,6001,193,4791,370,5358,266,4818,425,5513,314,4665,405,5384,388,3456,345,4192,359,1755,240,2352,309,431,148,886,2717,39328,3417,45463,30,2771,207,3015,182,5220,344,5749,85,2702,209,3002,81,3266,231,3572,167,5800,454,6419,180,5315,390,5884,251,5384,403,6039,337,5250,432,6022,390,3944,360,4688,543,2057,296,2891,741,649,240,1632,2994,42357,3565,48916,95,5654,424,6170,603,10586,775,11968,228,5406,392,6023,182,6333,457,6970,347,11187,888,12416,372,10112,761,11241,521,10205,826,11552,654,9915,835,11405,774,7398,706,8880,899,3812,533,5240,1051,1078,390,2515,5713,81685,6987,94378
2005,5,370,15,394,38,711,36,781,16,331,22,374,9,358,27,391,24,664,60,753,44,612,36,687,65,607,58,724,72,630,47,747,50,511,55,612,62,289,32,380,56,81,18,154,445,5150,396,5995,4,325,23,352,21,644,22,686,8,309,24,345,11,323,26,363,17,626,40,678,22,573,26,628,49,689,54,794,71,720,73,860,63,590,56,706,99,387,51,540,153,125,25,303,522,5311,426,6258,7,698,37,744,64,1350,59,1470,30,641,40,713,15,679,49,745,42,1293,97,1432,67,1185,65,1315,110,1291,115,1515,147,1343,116,1606,111,1098,111,1318,156,672,86,914,208,202,46,460,966,10461,819,12250
2006,3,529,50,579,65,1115,81,1261,24,576,25,624,23,402,40,460,26,909,71,1009,32,948,89,1064,37,1095,79,1217,76,1109,107,1295,127,1100,106,1332,126,545,72,741,79,123,31,226,616,8453,751,9816,3,529,43,575,19,1139,76,1234,10,545,42,601,17,417,42,474,26,1037,102,1166,31,1047,67,1153,41,1219,85,1350,77,1250,100,1428,113,1154,116,1382,159,605,90,858,208,133,58,393,704,9087,822,10611,6,1058,93,1157,86,2251,160,2497,39,1126,65,1223,35,817,75,937,53,1946,175,2176,65,1997,158,2219,84,2318,164,2565,147,2361,216,2726,234,2260,223,2713,290,1150,162,1601,282,254,83,622,1315,17537,1574,20424
2007,145,7425,465,8040,897,13865,792,15554,321,7045,431,7795,220,7467,593,8284,364,13660,1339,15369,356,13875,1221,15448,531,13627,1140,15298,723,12664,994,14383,1031,9556,894,11474,1018,4528,520,6063,879,1224,258,2361,6495,104940,8647,120081,60,6964,439,7466,402,13665,779,14846,208,6949,405,7552,172,7216,524,7907,286,14758,985,16036,399,14959,912,16268,638,15089,1009,16730,873,13936,1046,15858,936,11023,910,12862,1580,5405,662,7644,2078,1680,450,4203,7642,111624,8111,127382,211,14394,909,15507,1298,27527,1567,30400,528,13993,829,15347,387,14683,1119,16188,657,28419,2328,31402,761,28827,2131,31719,1175,28712,2151,32028,1598,26608,2044,30243,1966,20574,1799,24339,2599,9927,1180,13708,2958,2904,705,6564,14135,216564,16753,247459
2008,10,642,46,693,60,1510,79,1646,26,630,38,688,9,464,22,490,17,766,46,828,11,1224,105,1335,23,1380,97,1506,26,1187,80,1288,50,912,64,1026,58,298,32,393,38,57,11,112,324,9067,620,10017,3,597,35,642,26,1372,62,1457,15,602,25,642,9,441,17,467,14,884,54,953,13,1382,89,1488,32,1502,94,1632,44,1212,69,1327,49,913,72,1034,64,273,34,372,85,62,41,193,349,9240,610,10202,18,1237,81,1332,86,2880,144,3103,35,1239,60,1334,18,903,37,961,32,1655,102,1783,25,2606,192,2826,56,2887,196,3138,66,2395,150,2608,102,1822,133,2060,119,568,73,762,125,119,60,305,679,18310,1232,20218
2009,9,507,31,555,59,947,58,1061,18,449,28,495,23,435,17,467,30,875,70,981,19,759,58,836,42,853,63,964,51,885,52,989,55,663,55,773,72,392,39,500,64,112,13,183,442,6873,489,7806,0,450,30,480,36,887,51,974,18,419,34,472,7,473,30,510,23,949,57,1028,33,863,60,954,44,923,58,1025,76,969,76,1120,63,763,68,896,105,502,34,647,166,166,22,356,561,7361,524,8448,13,957,67,1035,95,1834,108,2035,37,861,55,961,22,909,47,980,52,1829,128,2010,51,1619,117,1788,89,1775,123,1983,123,1852,131,2110,116,1422,125,1665,177,901,69,1144,223,272,44,543,1008,14238,1008,16250
