SUA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
2000,196636,193289,389924,29891,31810,61704,3747,4084,7834,51885,55122,107010,2969,2971,5936,1196,1304,2502,1342,1382,2729,509,557,1063,687,662,1346,229,237,469,4,7,9,62571,66329,128897,4066,4570,8633,1286,1210,2495,97815,103912,201732,32591,29130,61724,327046,326333,653378
2001,5223,5316,10547,1061,1317,2379,70,73,140,1933,2060,3996,53,58,115,23,21,49,36,39,71,21,15,38,7,9,22,14,11,25,0,0,0,2160,2292,4451,130,154,288,43,70,115,3398,3837,7237,573,587,1162,9192,9745,18937
2002,3340,3686,7027,958,1145,2100,92,114,211,1001,1166,2170,90,118,212,14,11,29,48,47,93,13,20,36,18,12,31,10,14,24,0,0,0,1297,1490,2788,96,120,222,32,33,67,2391,2791,5178,738,877,1618,6466,7352,13817
2003,22740,24633,47370,3637,4058,7692,437,440,877,12272,13711,25980,368,416,789,216,234,450,222,234,457,99,115,219,69,83,152,41,41,80,0,0,0,13718,15273,28989,1003,1062,2060,306,247,549,18663,20634,39294,3153,3547,6695,44546,48811,93364
2004,22158,23430,45588,3133,3418,6555,486,547,1027,11163,12733,23893,375,397,770,176,199,380,172,189,362,81,99,183,98,99,202,49,51,99,0,3,3,12600,14316,26913,778,918,1690,242,181,422,16752,18829,35587,3396,3640,7038,42309,45899,88210
2005,3293,3480,6776,938,996,1929,26,33,61,638,722,1357,39,35,71,23,17,35,16,7,29,14,12,28,10,10,22,0,3,4,0,0,0,766,838,1607,122,77,201,26,14,39,1850,1930,3776,457,492,951,5604,5903,11507
2006,5067,5363,10430,1194,1302,2494,384,400,786,1469,1720,3192,110,105,212,18,22,41,50,45,93,12,20,32,18,24,44,4,0,9,0,0,0,2060,2340,4399,115,141,250,52,42,94,3421,3822,7241,752,847,1599,9236,10029,19267
2007,59690,63834,123522,10667,11728,22398,920,1103,2018,25857,28741,54600,866,931,1791,329,333,664,435,433,863,208,244,445,163,191,354,137,153,287,0,0,0,28909,32115,61025,3784,3689,7479,622,549,1170,43987,48078,92063,8358,8002,16360,112032,119913,231951
2008,5764,5813,11579,775,824,1596,84,81,165,1868,1992,3860,81,64,148,25,23,49,30,18,47,6,5,17,10,8,19,13,11,15,0,0,0,2112,2209,4320,94,130,222,48,54,97,3029,3208,6244,523,539,1064,9322,9558,18879
2009,4154,4439,8594,1369,1582,2950,44,43,91,867,1021,1894,53,63,118,96,99,198,25,23,44,4,6,8,18,17,32,3,3,7,0,0,0,1107,1280,2388,98,116,209,38,46,82,2610,3019,5632,480,512,994,7250,7967,15221
2010,1053535,1108521,2162053,94389,98131,192518,20324,21452,41775,458482,473629,932114,15811,16864,32677,6571,6770,13341,7974,8177,16155,3347,3698,7048,1850,1885,3738,3241,3414,6659,80,28,101,517689,535909,1053593,175061,187010,362075,10426,9493,19913,797561,830539,1628098,126937,130214,257154,1978029,2069280,4047309
2011,13793,14020,27806,1710,1825,3531,295,310,601,7168,7687,14862,214,216,430,105,126,237,106,105,203,65,72,135,20,33,51,16,15,37,0,0,0,7997,8561,16562,940,1143,2085,149,138,289,10798,11671,22460,2116,2204,4323,26703,27895,54598
2012,12419,12868,25284,1962,2231,4193,736,837,1569,3856,4193,8044,208,224,433,419,481,904,124,117,239,31,27,52,73,82,156,9,15,23,0,0,0,5463,5964,11431,646,572,1218,204,205,406,8276,8970,17247,2298,2234,4537,22989,24073,47066
2013,4634,4820,9449,1131,1327,2459,31,39,74,892,947,1836,46,52,105,3,6,3,27,32,56,10,8,18,7,10,14,3,0,0,0,0,0,1018,1096,2113,48,74,123,43,39,83,2237,2537,4774,724,706,1433,7593,8064,15656
2014,3049,3038,6088,747,803,1554,50,49,102,507,541,1049,24,24,50,66,87,147,29,35,66,14,23,39,3,8,12,3,0,4,0,0,0,701,779,1476,38,47,85,14,14,35,1507,1648,3150,481,466,954,5035,5159,10198
2015,3404,3706,7111,1004,1187,2193,141,131,276,936,1000,1935,114,110,223,40,42,84,51,49,97,9,12,26,31,28,59,22,27,46,0,0,0,1344,1394,2745,171,196,365,41,49,86,2563,2824,5380,576,606,1181,6546,7134,13684
2016,12371,12834,25201,2566,2719,5288,253,290,542,3721,4061,7779,202,201,406,61,68,130,73,61,128,47,54,96,29,23,49,12,13,19,0,0,0,4382,4771,9154,1028,1031,2056,138,122,259,8112,8643,16758,2127,2219,4340,22611,23690,46298
2017,2556,2728,5283,774,885,1661,120,107,231,582,649,1227,38,44,77,26,25,47,15,15,35,3,0,4,8,13,20,3,0,0,0,0,0,798,854,1646,180,145,322,21,18,41,1771,1898,3677,587,600,1183,4914,5225,10146
2018,10358,10823,21186,2817,3134,5954,131,133,259,2526,2839,5366,168,188,360,53,58,108,74,59,131,29,33,61,19,17,30,7,4,13,0,0,0,3013,3325,6339,305,347,659,98,79,170,6226,6890,13118,1773,1968,3749,18366,19682,38046
2019,4722,5262,9986,1358,1579,2933,127,158,284,1099,1279,2383,94,99,189,22,22,43,30,27,57,18,17,30,11,24,33,8,9,13,0,0,0,1411,1628,3036,88,94,188,53,50,100,2910,3347,6261,623,799,1420,8248,9418,17667
2020,8044,8621,16659,2096,2275,4372,121,145,263,3705,4088,7797,135,149,287,28,42,74,54,59,116,35,35,69,22,18,46,7,11,16,0,0,0,4116,4553,8668,193,245,436,81,72,156,6493,7141,13634,1193,1278,2476,15730,17038,32766
2021,8296,8943,17243,1855,2014,3862,102,99,209,2945,3424,6365,116,118,238,113,127,237,71,81,149,28,26,50,34,41,74,13,15,22,0,0,0,3423,3928,7352,405,355,759,78,81,155,5759,6375,12131,1258,1401,2658,15316,16725,32041
