SUA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
2000,463,187,2539,2386,492,5313,294,4085,317,16084,1396,1547,5160,3380,1400,2642,1039,3798,353,20707,5747,7628,9037,4853,4049,2946,2736,5894,633,43519,10366,9979,8781,5569,6408,3543,3810,6124,878,55459,13956,11131,9802,7996,8910,4791,5884,8638,1148,72254,13900,10399,7497,6308,7151,3864,5365,7924,1064,63468,7300,2541,1548,1178,1870,1053,1249,1914,477,19136,2090,248,143,94,179,86,98,291,241,3472,328,47,41,30,45,30,29,57,74,682,55538,43703,44563,31792,30499,24258,20506,38728,5201,294791
2001,9,10,96,75,22,217,22,113,8,573,50,58,234,131,99,121,44,105,14,858,174,364,393,224,249,134,185,146,31,1899,288,406,311,207,326,153,221,150,44,2107,284,331,313,252,358,149,245,169,37,2140,179,245,165,152,248,87,189,124,25,1412,47,48,20,24,41,19,39,37,11,290,6,6,0,0,3,3,0,4,0,19,0,0,0,0,0,3,0,0,0,3,1035,1472,1536,1072,1359,878,937,849,168,9307
2002,9,3,31,43,10,162,7,62,7,342,28,44,132,83,43,79,24,94,6,530,109,210,236,141,102,104,55,164,12,1132,110,184,170,147,119,102,76,130,14,1053,152,209,148,176,190,109,90,169,12,1254,147,185,120,128,154,97,85,139,24,1092,53,50,14,25,30,18,20,37,9,271,19,7,0,3,0,6,0,6,3,46,0,0,0,0,0,0,0,0,0,7,628,894,867,747,651,680,360,803,99,5729
2003,27,41,306,456,78,1098,35,546,53,2649,218,543,913,1001,439,873,139,593,77,4796,810,2502,1744,1136,1091,838,403,803,122,9436,1179,2499,1263,998,1225,609,464,730,146,9115,1316,2056,1144,1065,1410,671,588,943,154,9337,855,1594,768,744,1064,510,499,721,85,6847,191,322,159,131,188,118,144,177,37,1468,39,34,8,5,20,6,14,17,13,166,6,0,4,3,0,0,0,6,4,26,4643,9591,6324,5536,5520,4721,2290,4533,680,43841
2004,36,35,262,400,103,1014,59,614,39,2564,221,508,878,903,356,847,174,747,75,4711,821,2359,1722,1019,998,683,430,985,105,9126,1040,2163,1105,900,1126,618,470,799,123,8350,1094,1784,1067,1035,1312,658,581,899,121,8563,808,1403,728,821,1052,512,521,785,103,6723,192,286,131,134,208,123,125,142,35,1379,34,26,15,10,13,15,9,32,13,151,3,3,4,7,8,0,0,0,3,31,4247,8571,5916,5219,5169,4467,2379,5005,616,41593
2005,13,3,61,42,13,132,7,116,4,378,23,39,116,61,29,67,21,174,13,545,100,157,173,116,95,88,70,232,23,1050,118,141,143,115,101,80,100,183,13,1000,128,118,118,206,140,91,93,192,18,1108,121,132,127,129,113,86,94,148,16,965,30,28,18,27,30,17,31,35,9,217,12,3,3,3,4,0,0,0,6,33,4,0,0,0,0,0,0,0,3,12,546,626,756,695,528,562,416,1083,106,5312
2006,10,11,83,126,21,259,5,112,11,645,33,63,172,141,40,91,18,91,15,675,199,380,318,203,131,155,70,181,24,1648,275,355,277,201,193,152,100,185,13,1751,344,298,247,239,297,188,160,260,21,2047,235,253,205,190,188,162,140,248,29,1645,61,58,22,49,40,40,55,61,12,390,21,8,5,3,5,9,0,5,3,57,0,0,3,0,0,0,0,0,3,10,1174,1421,1334,1149,921,1050,549,1145,121,8863
2007,75,88,691,1113,227,2488,128,1383,109,6296,483,1106,2070,2239,914,2089,443,1412,157,10925,2101,6321,4429,2813,2482,1887,1127,1865,340,23362,3381,6377,3546,2595,3110,1708,1275,1898,399,24291,3400,5210,3171,3066,3526,1702,1662,2183,383,24295,2223,3905,2222,2009,2616,1330,1369,1797,264,17742,581,857,348,364,590,297,278,434,102,3854,87,89,36,11,42,27,22,71,38,414,12,14,5,0,4,4,0,7,22,63,12338,23962,16507,14213,13517,11537,6315,11048,1799,111234
2008,4,9,72,99,19,183,13,134,9,533,29,58,186,147,73,122,31,70,10,727,134,366,325,166,198,79,55,89,19,1442,417,695,341,193,317,128,95,89,25,2310,507,643,329,305,448,158,110,117,30,2641,290,446,241,149,286,112,80,86,19,1711,83,132,53,33,68,28,30,28,13,462,13,3,7,0,3,5,0,6,0,33,0,0,0,0,0,0,0,0,3,3,1468,2354,1550,1101,1415,818,416,613,123,9860
2009,3,4,69,74,19,173,7,126,5,479,26,107,166,96,70,109,23,99,12,707,122,381,310,175,150,145,81,146,16,1522,205,299,164,154,171,147,95,108,22,1371,261,269,175,193,228,163,103,140,9,1544,208,239,141,155,213,127,94,145,14,1340,78,45,34,29,41,22,30,40,10,334,33,0,7,0,0,4,3,4,9,60,0,0,0,0,0,0,0,0,0,12,936,1351,1069,877,896,901,427,806,96,7364
2010,1165,2326,8012,15581,4051,34197,1678,15638,1387,84049,8932,27384,28702,35317,23187,39539,8247,21225,3505,196031,57328,162953,73905,52365,67882,41914,24229,34649,9208,524424,79228,139279,56106,38274,64266,29562,24304,28178,7796,466991,72719,100420,49689,37916,67137,28982,28236,31938,6949,423981,40127,64932,30875,23517,44791,18619,21022,24561,4136,272576,9614,17494,6282,4809,10688,5126,4312,6181,1506,66010,1251,1920,568,320,890,522,276,815,503,7072,203,261,104,46,117,71,41,92,217,1142,270564,516976,254234,208149,283011,198523,112338,163277,35208,2042271
2011,21,9,254,145,58,506,42,281,26,1339,125,155,547,380,298,396,199,315,56,2460,562,933,1188,781,980,538,729,583,128,6427,625,838,877,687,935,420,818,536,117,5858,460,474,616,612,803,395,743,553,86,4738,327,341,426,442,636,276,501,400,66,3405,61,72,63,70,91,61,89,62,21,595,3,0,0,6,6,3,3,6,9,30,3,0,0,0,0,0,0,0,0,3,2193,2817,3967,3126,3809,2583,3138,2742,500,24867
2012,27,19,181,146,43,573,22,265,27,1305,97,193,358,324,158,327,80,306,22,1864,364,830,756,497,434,366,250,522,72,4088,604,861,541,490,500,357,267,421,67,4098,776,812,527,525,642,388,354,517,63,4604,595,585,411,377,534,280,346,489,71,3693,224,122,77,71,115,66,69,114,27,895,47,8,5,3,8,3,3,14,19,113,9,3,4,0,4,3,0,0,3,26,2736,3436,2852,2436,2443,2367,1394,2644,363,20681
2013,6,7,54,31,5,180,8,77,16,389,29,56,175,114,70,112,18,84,13,667,73,183,286,176,165,103,82,118,14,1205,94,164,197,147,152,95,91,157,34,1122,102,139,249,202,202,124,124,185,29,1350,91,181,178,135,139,66,120,171,24,1096,25,35,34,26,27,16,14,35,8,225,9,4,3,3,3,0,0,3,3,28,3,0,0,0,0,0,0,0,0,5,431,757,1181,836,765,695,449,833,138,6085
2014,4,0,25,52,9,112,5,78,0,290,15,25,84,60,23,45,31,63,7,347,42,126,143,83,54,45,96,74,7,679,73,162,159,107,101,59,113,106,12,899,121,152,169,112,129,53,185,159,20,1098,115,156,103,89,107,49,138,118,11,884,33,30,16,21,26,11,29,27,4,203,10,3,0,0,6,8,3,3,3,39,0,0,0,0,0,0,0,0,0,3,414,663,707,528,451,383,596,626,76,4446
2015,5,9,48,44,14,175,11,96,6,399,36,66,136,86,40,88,12,70,9,537,129,358,245,177,115,77,49,147,24,1324,180,319,210,138,134,104,56,114,20,1257,181,262,181,193,176,86,81,153,23,1337,122,190,142,130,161,89,68,138,15,1052,35,32,26,22,28,11,14,38,3,212,0,4,5,0,5,0,0,5,0,31,0,4,0,0,0,0,0,0,3,10,698,1245,986,783,662,633,289,761,99,6155
2016,26,25,146,172,77,609,18,259,36,1362,113,205,379,271,179,288,77,273,28,1812,438,1051,763,437,423,325,221,559,56,4282,601,850,565,460,513,324,270,501,80,4165,670,747,565,467,673,389,355,572,61,4497,480,631,342,377,500,258,326,462,45,3425,139,150,67,83,92,78,92,120,16,845,28,11,4,10,12,9,12,11,9,94,5,0,0,3,3,0,0,0,4,20,2503,3679,2830,2275,2478,2269,1372,2765,335,20507
2017,4,3,47,54,10,115,4,69,3,322,33,57,115,75,49,67,15,62,5,476,146,235,200,95,92,91,46,113,13,1019,129,181,121,85,121,81,52,100,17,884,153,151,102,114,134,94,73,140,12,970,142,134,70,86,131,79,52,87,12,796,39,26,6,16,18,12,14,23,8,165,5,0,3,0,7,0,0,8,5,31,0,0,0,0,0,0,0,0,0,4,651,785,666,523,560,538,254,606,75,4666
2018,13,4,131,145,30,399,21,197,15,946,75,182,367,286,201,263,46,163,27,1622,275,827,717,388,514,310,220,355,69,3671,389,608,510,338,534,275,240,357,46,3300,420,555,551,365,575,245,332,405,69,3505,290,416,384,319,398,173,303,338,49,2673,86,93,72,62,73,43,56,69,23,577,18,11,6,3,6,7,3,9,7,80,4,0,0,0,0,0,0,0,0,8,1570,2707,2743,1903,2323,1721,1217,1896,298,16376
2019,3,6,67,80,12,227,7,130,9,558,32,82,148,105,56,102,31,97,14,655,141,358,288,177,137,132,72,154,17,1469,182,345,232,205,194,155,102,150,28,1583,219,328,184,243,276,141,160,225,18,1793,164,287,143,185,224,129,140,166,13,1449,46,44,29,27,35,31,32,41,13,296,14,6,3,0,6,3,0,4,3,39,0,0,0,0,3,0,0,0,0,10,801,1458,1084,1027,953,920,547,962,109,7862
2020,36,11,156,144,44,251,18,258,13,934,76,117,336,198,118,181,62,226,14,1321,304,590,650,315,321,252,160,382,58,3036,407,565,451,298,361,174,196,323,50,2829,555,605,484,410,453,243,284,414,44,3483,412,565,344,251,345,166,250,319,46,2687,186,123,70,43,81,38,62,75,24,703,64,9,5,7,8,3,3,14,9,121,6,0,3,6,0,0,0,3,0,17,2051,2582,2494,1660,1729,1320,1034,2010,256,15136
2021,14,16,113,161,45,525,28,275,20,1203,80,170,298,248,107,319,78,295,24,1618,246,701,606,345,280,274,140,483,36,3116,392,745,459,342,368,219,160,325,32,3052,460,730,413,372,542,304,259,414,45,3526,333,513,279,312,386,233,194,359,30,2629,115,92,46,42,58,46,46,90,12,548,25,11,3,5,9,4,3,9,11,68,8,0,0,0,3,0,0,0,3,16,1669,2974,2223,1823,1799,1926,907,2248,210,15780
