SUA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
2000,123,849,3,976,16955,2985,20912,769,622,31,1429,13186,1642,16255,9730,1006,246,10987,16101,3680,30767,19356,854,575,20788,12437,4114,37337,12828,1735,350,14907,28741,4923,48576,2460,4641,81,7182,42177,5248,54607,427,4449,18,4897,36400,5438,46732,82,818,6,907,17446,3546,21903,59,62,3,124,5485,1420,7026,45840,15031,1315,62190,188930,32990,284107,190,1428,13,1635,14853,2548,19036,1754,1113,85,2945,10069,1237,14256,14490,1717,889,17103,11657,2563,31319,23083,1538,1490,26114,9830,3047,38999,11544,4376,531,16453,29496,3952,49901,1134,10799,87,12011,37644,4656,54307,297,6860,37,7195,32049,5032,44278,78,991,8,1071,17573,3948,22601,93,92,6,194,8422,2261,10880,52662,28913,3144,84722,171599,29252,285568,304,2279,20,2608,31806,5532,39948,2526,1738,110,4368,23260,2882,30512,24226,2729,1133,28081,27757,6243,62085,42445,2388,2068,46906,22267,7163,76335,24376,6110,877,31357,58243,8872,98475,3587,15439,164,19196,79817,9905,108918,730,11306,57,12091,68456,10471,91011,156,1808,16,1984,35026,7493,44497,151,155,13,313
2001,0,33,0,37,602,56,692,25,16,0,46,540,36,625,433,29,5,465,698,69,1233,748,29,18,789,456,83,1332,406,44,7,460,831,87,1373,61,136,0,195,874,77,1139,12,112,0,123,709,81,914,0,18,0,18,283,49,348,3,0,0,3,91,19,116,1679,418,41,2128,5084,554,7773,4,75,3,78,525,42,651,52,42,0,96,461,23,582,615,70,28,708,523,64,1293,902,52,52,1000,369,85,1454,369,132,10,507,834,81,1423,27,289,10,325,837,71,1235,14,188,0,200,695,95,990,0,19,0,27,349,79,451,4,0,0,4,185,25,216,1979,864,107,2954,4779,573,8307,8,106,4,118,1130,96,1342,79,60,4,142,998,62,1208,1039,95,40,1172,1218,133,2530,1642,82,73,1794,827,168,2787,769,177,19,966,1661,173,2802,85,427,5,523,1712,148,2377,22,302,3,322,1400,175,1903,0,41,0,38,633,128,795,7,0,0,6
2002,5,19,0,17,324,75,428,19,21,0,40,309,48,390,273,25,7,304,410,97,809,365,17,11,388,262,76,732,198,25,7,226,481,72,773,37,70,0,107,679,87,877,4,75,0,77,674,120,878,3,20,0,27,425,86,532,0,0,0,0,129,44,183,899,272,24,1192,3698,706,5605,3,31,0,39,309,64,409,56,40,0,99,273,55,425,381,38,19,441,297,79,821,450,28,23,495,224,66,788,217,113,12,338,558,92,987,23,187,3,213,707,111,1036,3,131,0,137,715,117,971,4,20,0,24,504,153,683,4,0,0,3,266,108,383,1131,594,58,1786,3853,856,6498,11,51,0,59,631,141,838,75,58,0,135,578,105,822,650,65,23,746,709,180,1628,808,47,32,883,484,146,1518,410,137,20,566,1043,155,1767,59,259,3,325,1394,192,1908,5,210,0,218,1393,240,1851,8,37,0,46,929,242,1212,5,0,0,9
2003,26,131,0,159,2862,292,3311,171,123,3,300,3132,280,3709,1905,203,61,2177,3759,438,6368,3143,144,99,3384,2015,388,5789,1780,235,54,2071,3478,405,5950,241,597,14,847,4277,383,5514,43,639,3,681,3273,445,4406,16,131,0,144,1846,318,2315,3,4,0,9,640,137,786,7321,2213,235,9767,25288,3083,38144,50,253,3,311,2608,277,3191,339,323,14,674,2835,275,3783,2728,412,182,3317,2882,421,6622,3781,237,249,4272,1742,361,6369,1694,611,103,2406,3834,433,6676,147,1514,8,1664,4178,432,6281,41,1112,4,1150,3451,476,5080,9,193,0,199,2364,499,3059,4,14,0,19,1331,242,1589,8785,4664,565,14015,25227,3405,42647,77,388,5,466,5469,571,6504,510,447,14,974,5969,555,7489,4637,614,241,5496,6639,855,12991,6922,381,354,7659,3754,748,12161,3476,843,156,4479,7313,833,12626,379,2115,19,2511,8460,818,11787,77,1750,4,1839,6723,922,9477,25,322,0,347,4208,816,5375,6,22,0,25
2004,10,126,0,135,2561,320,3016,193,158,8,355,2804,239,3395,1901,216,56,2183,3389,434,6001,2838,136,98,3076,1918,365,5358,1552,230,41,1819,3279,415,5513,232,639,8,881,4076,433,5384,42,579,0,626,3115,448,4192,10,121,0,123,1852,366,2352,3,8,0,8,688,187,886,6784,2209,214,9205,23679,3213,36093,47,265,0,307,2393,299,3002,385,281,28,697,2656,224,3572,2691,439,178,3312,2684,426,6419,3484,224,224,3937,1571,379,5884,1424,622,74,2121,3514,407,6039,146,1502,12,1658,3943,418,6022,35,916,3,958,3274,459,4688,5,130,0,137,2260,494,2891,15,13,0,22,1233,375,1632,8240,4385,518,13145,23535,3473,40147,57,391,0,447,4960,622,6023,577,439,30,1048,5458,468,6970,4600,651,242,5493,6076,854,12416,6327,364,319,7010,3490,744,11241,2971,852,113,3940,6791,817,11552,379,2137,18,2533,8019,847,11405,82,1501,4,1582,6388,910,8880,14,247,0,261,4119,867,5240,14,17,0,34
2005,0,15,0,19,317,34,374,23,16,0,43,311,35,391,217,20,3,247,447,65,753,333,16,9,364,279,43,687,171,26,4,207,467,51,724,37,102,0,140,546,64,747,3,66,0,67,468,77,612,0,14,0,14,299,61,380,4,5,0,4,118,24,154,787,287,27,1101,3254,469,4817,4,23,0,28,281,41,345,51,34,3,87,245,26,363,342,45,16,408,231,43,678,376,34,26,429,172,32,628,165,92,11,266,473,54,794,12,227,3,245,545,67,860,3,117,0,119,501,87,706,0,24,0,27,409,106,540,0,3,0,4,244,58,303,958,596,52,1608,3101,511,5219,6,37,0,46,598,72,713,76,47,3,130,561,59,745,560,70,21,649,672,108,1432,710,43,37,790,449,77,1315,335,118,18,466,938,110,1515,49,334,3,381,1095,129,1606,8,182,0,192,972,165,1318,0,36,0,39,708,168,914,3,5,0,10
2006,0,39,0,35,525,68,624,26,12,0,39,373,50,460,342,31,7,382,555,73,1009,566,28,27,623,352,84,1064,337,50,12,394,728,86,1217,46,110,0,156,1021,109,1295,6,109,0,115,1072,146,1332,3,22,0,29,590,124,741,0,0,0,0,171,55,226,1332,402,49,1785,5392,800,7977,8,57,0,67,464,64,601,78,42,6,121,307,41,474,489,78,35,602,472,94,1166,698,41,37,776,305,63,1153,308,131,18,457,799,94,1350,32,285,0,309,1000,115,1428,9,164,0,177,1050,158,1382,3,32,0,37,658,162,858,3,0,0,3,309,81,393,1622,840,91,2549,5380,866,8794,9,91,3,104,987,128,1223,106,58,6,161,683,92,937,828,111,39,984,1026,167,2176,1264,70,59,1405,660,156,2219,643,185,24,852,1534,183,2565,74,395,0,469,2026,227,2726,17,273,0,290,2125,305,2713,4,54,0,59,1252,287,1601,3,3,0,9
2007,30,313,11,354,6791,652,7795,283,267,4,556,7092,632,8284,3986,468,94,4552,9462,1350,15369,8610,290,219,9115,5141,1200,15448,4834,463,140,5433,8704,1161,15298,755,1542,20,2316,11035,1028,14383,145,1871,18,2032,8376,1066,11474,28,378,0,407,4878,776,6063,7,22,0,33,1910,420,2361,18690,5618,507,24807,63394,8280,96484,64,577,3,644,6342,570,7552,587,517,35,1140,6249,516,7907,6019,904,361,7280,7819,938,16036,10079,617,611,11302,4125,839,16268,4714,1277,209,6206,9571,961,16730,410,3711,35,4155,10659,1048,15858,113,3113,24,3250,8491,1122,12862,36,506,7,542,5986,1118,7644,15,23,3,46,3420,738,4203,22039,11241,1285,34566,62660,7848,105074,95,888,12,997,13133,1218,15347,873,785,43,1699,13339,1147,16188,10004,1369,459,11835,17280,2287,31402,18687,904,823,20416,9266,2039,31719,9553,1739,347,11640,18270,2115,32028,1162,5250,54,6471,21693,2084,30243,260,4985,36,5288,16864,2194,24339,65,882,4,955,10864,1896,13708,26,52,3,76
2008,0,31,0,30,606,55,688,7,19,0,23,443,24,490,285,19,7,313,473,48,828,859,17,34,909,335,93,1335,591,43,11,645,782,78,1506,89,105,0,195,1015,77,1288,9,170,0,182,768,79,1026,0,36,0,38,299,58,393,0,4,0,4,92,13,112,1847,444,51,2338,4819,517,7677,3,52,0,55,532,54,642,13,30,0,46,406,22,467,417,54,18,493,406,51,953,990,39,82,1116,296,77,1488,587,84,29,700,856,79,1632,37,294,0,335,921,67,1327,10,291,0,298,642,92,1034,5,42,0,44,275,50,372,0,0,0,4,134,54,193,2064,889,131,3088,4462,549,8100,6,86,0,89,1136,108,1334,23,48,0,71,850,40,961,706,76,24,802,878,101,1783,1848,60,119,2021,631,172,2826,1181,119,32,1339,1641,161,3138,122,404,0,527,1937,149,2608,21,466,0,484,1408,169,2060,3,78,0,82,576,109,762,0,4,0,7
2009,5,23,0,24,427,39,495,36,23,0,55,384,27,467,327,28,10,363,534,81,981,466,16,17,500,278,57,836,262,24,9,294,610,65,964,51,101,0,148,778,59,989,3,89,0,94,592,80,773,0,20,0,18,409,69,500,0,3,0,3,149,28,183,1152,321,36,1506,4168,509,6190,6,48,0,55,373,42,472,77,31,6,118,359,28,510,442,50,35,529,447,54,1028,578,38,40,650,246,55,954,235,88,9,337,644,46,1025,36,256,0,295,742,80,1120,6,145,0,155,642,94,896,3,29,0,27,530,89,647,4,9,0,6,297,51,356,1390,696,88,2173,4281,547,7000,13,63,0,78,798,81,961,116,56,6,179,746,59,980,767,84,46,897,980,131,2010,1042,56,57,1152,523,111,1788,500,108,14,628,1246,114,1983,79,357,3,439,1524,147,2110,12,237,0,252,1240,179,1665,3,48,0,46,937,160,1144,4,12,0,9
