SUA_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
2010,705,120,182,14,1026,24,3,25,1052,67,3,1114,382,64,9,447,895,31,5,34,932,56,24,1010,55147,6795,851,938,63730,1320,271,1592,65327,3305,96,68721,740,156,15,21,924,238,18,256,1184,118,3,1300,1150,229,17,42,1434,153,76,226,1661,149,0,1812,1892,379,29,62,2358,389,95,486,2842,263,6,3110,57040,7175,881,999,66090,1711,370,2078,68167,3566,98,71837,12770,2323,225,404,15723,628,165,794,16520,4299,65,20882,95,21,0,53,173,3,0,4,174,17,178,366,69903,9517,1108,1459,81984,2346,534,2875,84864,7884,338,93088,15327,1748,170,122,17360,455,92,547,17906,1215,20,19138,16063,2509,196,146,18912,370,77,450,19358,1090,23,20467,424,96,152,17,680,17,3,22,699,56,0,751,197,21,4,289,509,15,3,23,533,47,13,588,32002,4372,524,566,37464,859,178,1029,38492,2407,53,40947,432,83,8,14,527,154,11,166,698,74,7,774,593,162,10,12,782,82,52,134
2011,14,3,0,0,17,0,3,3,23,3,0,27,6,0,0,6,15,0,0,0,15,3,0,16,583,61,12,19,671,10,4,15,693,50,0,747,10,3,0,0,15,9,0,9,20,3,0,24,15,0,0,3,26,0,0,4,29,3,0,28,31,3,0,3,34,8,0,10,48,3,0,50,613,64,15,22,708,22,9,26,742,55,0,795,185,31,10,15,242,13,6,17,254,98,3,354,0,0,0,0,0,0,0,0,0,0,0,0,800,103,23,29,955,32,15,44,1000,155,3,1159,131,11,0,4,155,4,0,7,159,9,0,168,113,8,0,3,127,5,0,5,134,12,0,149,4,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,8,0,0,0,8,0,0,6,254,21,4,8,288,10,0,11,304,20,0,325,3,0,0,0,5,3,0,3,7,0,0,7,10,0,0,0,5,0,0,3
2012,12,3,3,0,20,0,0,0,20,0,0,22,7,0,0,12,21,0,0,0,21,0,0,19,682,68,17,11,769,22,0,22,795,45,0,841,9,0,0,0,6,3,0,3,15,0,0,16,16,0,0,0,12,0,0,4,20,0,0,22,21,3,0,0,24,6,0,5,31,3,0,38,701,69,17,11,793,28,0,29,824,54,0,879,95,20,0,0,121,6,0,6,132,72,0,205,3,0,0,0,4,0,0,0,4,0,0,4,804,92,16,16,918,34,0,33,955,126,0,1083,80,6,0,0,92,0,0,0,92,3,0,96,76,8,0,0,89,3,0,3,94,9,0,101,0,0,3,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,160,21,3,0,182,3,0,3,189,16,0,198,4,0,0,0,4,0,0,0,4,0,0,3,3,0,0,0,3,0,0,0
2013,10,0,0,0,10,0,0,0,10,0,0,10,4,0,0,0,4,0,0,0,4,0,0,4,162,17,3,4,188,3,0,4,188,15,0,210,0,0,0,0,0,3,0,3,6,0,0,10,0,0,0,0,4,0,0,0,4,0,0,3,3,0,0,0,3,3,0,3,11,4,0,10,165,15,3,4,193,3,0,9,201,19,0,217,30,10,0,3,43,3,0,3,46,9,0,56,0,0,0,0,0,0,0,0,0,0,3,5,198,27,4,3,236,10,0,11,244,30,3,280,17,3,0,0,17,0,0,0,19,0,0,22,40,5,0,0,42,0,0,3,43,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,0,0,58,4,0,3,62,7,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,7,0,0,0,7,0,0,7,0,0,0,3,3,0,0,0,5,0,0,3,123,9,3,4,145,3,0,3,152,9,0,156,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,6,0,0,4,126,9,3,3,152,3,0,3,153,10,0,159,27,4,0,0,31,0,0,0,31,7,0,40,0,0,0,0,0,0,0,0,0,0,0,4,155,20,3,3,183,3,0,3,184,17,0,206,6,0,0,0,6,0,0,0,6,0,0,12,19,0,0,0,20,0,0,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,29,0,0,0,29,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,184,11,3,3,206,3,0,3,210,6,0,222,3,0,0,0,4,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,5,0,0,5,7,0,0,0,9,0,0,3,5,0,0,5,188,16,5,3,215,5,0,7,217,6,0,226,45,0,0,0,45,0,0,0,45,13,0,60,0,0,0,0,0,0,0,0,0,0,0,0,239,16,5,3,258,5,0,7,268,21,0,283,18,0,0,0,16,0,0,0,16,0,0,15,19,0,0,0,22,0,0,0,22,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,40,0,0,0,40,5,0,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
2016,16,0,8,0,21,0,0,0,21,0,0,23,7,0,0,7,18,0,0,0,18,0,0,15,725,76,19,14,837,12,4,15,856,46,0,900,6,0,0,0,6,6,0,6,16,0,0,17,12,6,0,0,15,0,0,3,14,0,0,14,20,3,0,0,19,6,0,10,27,0,0,32,744,79,21,14,861,25,7,23,884,49,0,932,106,32,9,0,147,15,5,18,165,123,0,288,0,0,0,0,0,0,0,0,0,0,0,0,852,112,29,19,1004,37,11,43,1052,172,0,1222,86,16,0,0,103,0,0,4,105,3,0,110,84,17,6,0,104,4,0,4,107,8,0,111,4,0,0,0,8,0,0,0,8,0,0,8,3,0,0,0,4,0,0,0,4,0,0,4,176,26,9,0,218,4,0,8,223,13,0,229,0,3,0,0,6,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0
2017,6,0,4,0,5,0,0,0,5,0,0,5,3,0,0,3,3,0,0,0,3,0,0,3,149,17,6,3,182,0,0,3,180,9,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,17,6,3,180,0,0,3,183,4,0,193,25,5,0,0,32,0,0,0,32,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,176,23,6,0,216,0,0,3,214,12,3,234,7,0,0,0,11,3,0,3,14,0,0,15,17,5,0,0,23,0,0,0,23,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,29,5,0,0,36,4,0,4,35,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,0,4,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7,459,38,12,12,525,16,3,16,543,20,0,568,4,0,0,0,3,3,0,3,3,0,0,4,6,0,0,0,6,0,0,0,10,3,0,7,8,0,0,0,10,4,0,4,11,3,0,19,467,44,12,10,534,16,3,19,558,26,0,580,76,5,3,3,83,8,0,9,97,25,0,120,0,0,0,0,0,0,0,0,0,0,4,4,546,45,14,10,621,24,3,27,654,51,4,704,53,8,0,0,62,3,0,0,66,0,0,66,72,7,0,0,86,3,0,3,89,9,0,97,3,0,3,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,130,23,3,0,155,3,0,8,160,7,0,172,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,7,0,0,0
2019,13,0,0,0,13,0,0,0,13,0,0,13,4,0,0,0,5,0,0,0,5,0,0,5,245,25,5,3,281,0,0,0,281,10,0,292,3,0,0,0,3,0,0,0,3,0,0,3,4,3,0,0,12,0,0,0,7,0,0,7,10,3,0,0,10,0,0,0,13,0,0,13,255,29,5,3,295,0,0,0,297,10,0,306,30,0,0,0,32,0,0,3,39,7,0,47,0,0,0,3,3,0,0,0,3,0,0,7,285,30,5,6,333,3,3,3,338,15,0,355,36,0,0,0,34,0,0,0,34,4,0,43,29,6,0,0,37,0,0,0,37,0,0,37,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,3,3,0,0,0,3,0,0,3,68,9,0,4,73,0,0,0,73,4,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,13,3,0,0,15,0,0,0,15,3,0,19,0,0,0,3,3,0,0,0,3,0,0,3,536,46,4,6,592,6,0,8,594,21,0,623,0,0,0,0,0,0,0,0,7,0,0,7,3,3,0,0,11,0,0,4,13,0,0,8,8,3,0,0,8,3,0,3,15,0,0,16,543,55,4,6,604,7,4,11,610,24,0,639,106,19,0,3,125,4,0,4,127,20,0,154,0,0,0,0,0,0,0,0,0,0,0,0,647,70,4,10,730,9,4,16,744,49,0,788,71,4,3,0,84,0,0,0,84,4,0,88,114,20,0,0,129,0,0,0,130,4,0,141,0,0,3,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,184,24,8,4,216,0,0,0,217,13,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,9,0,4,0,12,0,0,0,12,0,0,13,0,0,0,3,3,0,0,0,3,0,0,3,500,58,17,3,584,5,4,7,594,22,0,620,6,0,0,0,4,0,0,3,5,0,0,9,5,0,0,0,11,0,0,0,12,0,0,14,16,0,0,0,19,3,0,3,21,0,0,21,514,61,17,9,601,3,3,8,611,22,0,638,67,17,3,5,86,0,0,0,86,18,0,104,0,0,0,0,0,0,0,0,0,0,0,0,579,79,20,14,688,3,3,8,697,38,0,739,43,3,3,0,45,4,0,4,52,3,0,57,68,7,0,0,81,0,0,0,81,4,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,14,3,0,132,3,0,3,132,6,0,144,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
