SUA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
2000,3020,8266,2747,3030,479,19769,1779,2149,8733,6904,9088,1439,30087,163,120,743,630,1193,163,3009,153,110,587,898,5653,311,7723,188,137,871,927,3593,1416,7126,7782,8212,37431,31853,88379,11363,185019
2001,91,293,105,127,16,734,41,57,232,177,240,23,775,4,0,17,20,36,3,86,6,3,20,40,193,11,272,9,3,26,29,117,23,207,286,236,1190,1028,2791,239,5771
2002,47,161,64,91,14,402,50,57,196,177,236,26,744,3,0,6,12,19,0,39,0,0,11,30,143,7,195,0,0,13,16,58,25,110,118,136,683,629,1834,223,3622
2003,608,1738,485,545,54,4147,618,571,2281,1094,1387,187,6137,36,15,167,86,184,25,515,22,20,104,167,718,32,1072,34,14,133,96,357,134,774,2128,1738,7960,4661,11380,1081,28953
2004,517,1469,414,437,74,3298,559,502,1996,1097,1609,197,5958,22,13,85,64,157,16,356,41,23,106,178,803,41,1190,24,17,107,88,401,149,772,1519,1506,6957,4198,11766,1113,27050
2005,36,138,48,55,5,299,31,23,125,123,235,42,581,0,0,4,9,21,0,39,4,0,7,22,95,0,130,0,0,8,8,69,30,114,83,84,498,512,1698,204,3076
2006,86,312,75,69,5,593,58,76,316,214,291,42,993,0,3,16,16,44,8,90,7,0,21,45,189,6,260,6,3,27,15,106,46,206,166,226,1215,864,2677,291,5429
2007,1233,4238,1381,1163,187,9853,1259,1144,5225,2613,3516,478,14232,72,58,337,233,402,53,1156,90,59,373,538,1866,81,3011,99,52,444,381,1066,389,2435,5286,3828,21344,13325,28668,2884,75342
2008,142,402,112,109,21,931,88,110,335,164,190,40,916,9,7,48,14,34,10,124,6,0,41,37,177,13,267,15,14,67,31,104,32,252,528,447,1985,1238,2542,256,6995
2009,83,234,64,80,10,500,77,74,327,225,298,34,1040,0,0,15,12,37,3,71,3,3,21,37,180,3,248,5,3,11,20,62,33,130,201,208,985,797,2212,204,4596
2010,20689,62724,17554,13829,2830,154821,28982,15360,83120,37448,37942,6956,209814,2698,1324,10925,5077,6196,873,27099,3480,1384,9971,9769,27802,1873,54278,5788,1395,16872,9364,17926,8201,59544,184508,73242,511424,237866,370762,52702,1430509
2011,149,577,215,261,37,1351,110,108,526,579,728,79,2129,7,7,41,42,105,14,225,25,8,43,100,511,25,711,20,3,74,112,327,132,660,651,417,2691,2789,7404,778,14728
2012,214,733,275,258,29,1607,157,131,732,516,698,91,2319,6,3,18,27,67,0,123,0,4,36,70,420,29,563,8,9,31,55,243,113,456,406,491,2676,2115,6021,744,12451
2013,46,128,85,85,7,376,28,30,166,152,288,34,703,0,0,5,10,22,5,39,0,5,9,28,137,9,185,0,0,4,20,95,35,155,88,108,526,615,2228,228,3788
2014,38,137,42,51,3,288,18,35,137,107,210,25,536,0,0,4,11,11,0,29,0,0,11,14,91,4,119,0,0,6,7,56,22,96,65,106,470,403,1481,156,2675
2015,78,201,78,71,4,472,87,68,270,146,209,40,814,3,0,3,11,16,0,32,0,3,11,25,109,7,158,0,0,11,16,75,19,124,207,204,930,715,1777,185,4017
2016,285,602,203,224,30,1474,233,191,855,618,759,103,2764,3,0,11,32,54,0,103,11,12,44,102,440,25,622,13,5,38,58,231,107,450,634,647,2703,2232,5447,640,12294
2017,55,188,34,66,3,365,27,32,162,113,143,18,493,0,0,6,3,26,0,39,0,0,9,15,121,6,149,0,0,8,10,55,13,95,67,105,611,456,1356,149,2738
2018,151,447,129,161,33,1028,178,123,675,389,557,92,2012,0,4,24,16,44,4,87,8,3,28,55,340,15,453,3,3,30,19,183,76,317,427,414,2160,1697,5182,513,10393
2019,78,256,70,92,13,559,82,101,389,252,324,46,1203,0,4,15,12,30,4,64,9,3,18,35,163,4,232,3,0,13,30,86,32,160,219,247,1103,893,2357,219,5040
2020,203,569,196,209,27,1374,111,113,453,332,475,59,1527,3,0,17,35,39,6,105,10,12,44,75,340,18,495,6,10,29,54,179,50,326,459,469,2014,1687,4727,439,9798
2021,144,592,150,193,19,1254,146,185,763,413,560,95,2157,9,5,22,32,64,10,144,11,7,29,59,291,20,415,7,7,34,32,146,50,271,445,476,2472,1600,4316,455,9765
