SUA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
2000,..,1169,160,1329,17,1349,..,80,5,88,0,88,..,322,17,341,0,342,..,600,81,684,10,685,..,155,10,162,7,172,..,105,21,126,0,131,..,220,15,235,3,239,..,1485,154,1630,19,1652,..,3817,426,4245,102,4348,..,317,40,361,5,360,..,119,50,168,3,169,..,226,39,268,5,270,..,490,21,506,14,516,..,81,11,92,0,92,..,350,34,385,9,391,..,207,33,242,3,240,..,62,5,67,0,67,..,230,31,262,4,271,..,697,31,726,10,734,..,226,12,241,6,243,..,678,28,712,12,719,..,204,19,227,0,230,..,1808,91,1897,29,1924,..,733,63,798,9,809,..,154,31,179,4,188,..,446,97,540,4,544,..,227,65,298,0,298,..,387,228,615,11,628,..,3872,832,4706,126,4835,..,22909,3594,26502,484,26986,..,1711,123,1833,54927,56755,605332,24617,3717,28335,55406,689078
2001,..,74,3,77,0,75,..,0,0,0,0,0,..,45,0,45,0,45,..,84,15,96,0,101,..,5,3,7,0,7,..,14,0,14,0,14,..,20,5,20,0,20,..,167,18,185,0,186,..,101,13,105,0,105,..,8,3,11,0,11,..,0,0,0,0,0,..,16,3,21,0,21,..,91,3,98,0,98,..,0,0,0,0,0,..,28,7,32,0,30,..,6,0,6,0,6,..,13,0,16,0,16,..,36,0,36,0,39,..,18,0,18,0,18,..,0,0,3,0,3,..,16,3,17,0,17,..,7,0,7,0,7,..,41,5,48,0,48,..,57,3,60,0,60,..,6,0,6,0,6,..,18,0,18,0,18,..,8,0,8,0,8,..,35,5,41,0,43,..,189,34,220,3,224,..,1167,118,1278,18,1299,..,32,0,35,1077,1113,17941,1198,116,1314,1093,20345
2002,..,8,0,8,3,7,..,0,0,0,0,0,..,26,0,24,0,25,..,10,0,10,0,10,..,8,0,8,0,8,..,3,0,3,0,3,..,10,0,10,0,10,..,55,0,59,0,61,..,82,6,92,3,94,..,5,0,5,0,5,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,15,3,20,0,20,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,33,0,38,0,38,..,0,0,0,0,0,..,31,0,31,0,31,..,5,0,5,0,5,..,77,0,81,0,81,..,11,0,8,0,9,..,15,0,14,0,14,..,12,0,12,0,12,..,0,0,0,0,0,..,26,27,53,0,53,..,61,13,78,4,77,..,514,85,606,15,619,..,46,0,52,1376,1421,12682,563,86,656,1393,14728
2003,..,111,24,137,5,139,..,69,10,75,0,75,..,208,17,222,0,222,..,216,24,239,3,246,..,78,9,86,3,86,..,79,17,96,0,96,..,103,6,114,0,114,..,749,82,831,3,835,..,195,14,214,4,212,..,125,22,144,0,144,..,38,3,40,0,40,..,17,0,19,0,19,..,51,4,51,0,53,..,59,11,65,0,65,..,44,3,48,0,48,..,59,5,65,0,65,..,5,0,5,0,5,..,33,0,33,7,40,..,132,7,137,0,137,..,36,0,41,0,41,..,161,6,167,0,167,..,34,3,39,0,40,..,363,16,377,0,384,..,100,5,101,0,101,..,72,7,77,0,77,..,67,18,87,0,86,..,21,3,26,0,26,..,79,22,103,0,107,..,911,168,1079,36,1112,..,4695,692,5379,73,5452,..,283,19,302,5783,6086,88346,4972,705,5681,5858,99885
2004,..,105,18,123,0,124,..,54,7,59,0,58,..,165,11,179,0,179,..,173,23,195,0,192,..,94,8,107,0,107,..,66,4,68,0,72,..,112,14,125,0,125,..,666,60,724,4,733,..,150,8,159,4,161,..,43,0,39,3,43,..,45,15,59,0,59,..,11,0,11,0,11,..,15,0,15,0,15,..,26,3,31,0,31,..,19,0,19,0,19,..,40,3,43,0,43,..,10,0,7,0,7,..,7,4,9,0,9,..,122,0,124,5,127,..,80,0,80,0,80,..,124,0,121,0,121,..,25,0,25,0,23,..,342,4,344,4,352,..,58,8,69,0,69,..,62,3,69,0,69,..,46,8,54,4,56,..,16,3,21,0,21,..,67,25,90,3,95,..,1082,650,1734,37,1772,..,3676,1005,4681,68,4749,..,245,17,259,6114,6374,83258,3922,1021,4944,6181,94378
2005,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,7,0,7,..,10,0,10,0,10,..,7,0,7,0,7,..,3,0,4,0,4,..,3,0,4,0,4,..,30,4,28,0,28,..,49,9,52,4,55,..,7,0,7,0,7,..,4,3,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,7,6,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,3,0,3,..,23,0,23,0,23,..,9,0,5,0,5,..,11,0,13,0,13,..,13,0,12,0,12,..,52,0,57,0,57,..,4,0,4,0,4,..,4,0,4,0,4,..,7,0,4,0,4,..,0,0,0,0,0,..,12,3,18,0,18,..,158,20,177,12,187,..,466,99,565,18,576,..,25,12,34,746,784,10892,492,102,595,763,12250
2006,..,13,0,19,0,16,..,0,0,0,0,0,..,11,0,11,0,11,..,12,0,11,0,11,..,20,0,23,0,23,..,3,0,3,0,3,..,14,3,18,0,18,..,59,5,70,0,70,..,45,11,52,0,52,..,7,6,8,0,8,..,4,3,8,0,8,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,26,0,24,0,24,..,3,0,3,0,3,..,37,0,38,0,38,..,0,0,0,0,0,..,66,0,73,0,73,..,17,0,19,0,19,..,0,0,0,0,0,..,5,0,6,0,6,..,0,0,3,0,3,..,13,0,13,0,13,..,102,25,125,9,131,..,494,60,551,10,561,..,72,3,71,1369,1443,18418,564,65,628,1378,20424
2007,..,749,108,856,13,874,..,115,10,124,0,124,..,539,16,559,3,566,..,704,68,772,6,783,..,237,17,258,0,256,..,219,21,241,0,241,..,337,19,359,7,368,..,2158,155,2312,18,2331,..,2065,316,2380,42,2422,..,271,18,292,0,293,..,121,35,156,0,156,..,847,203,1047,16,1060,..,163,14,170,3,171,..,353,75,427,3,430,..,413,68,484,4,492,..,222,51,268,0,271,..,37,0,39,0,39,..,621,152,776,16,789,..,418,13,431,0,431,..,243,4,254,0,250,..,506,14,521,3,522,..,148,3,158,3,159,..,1322,32,1353,11,1366,..,499,91,591,7,604,..,185,8,196,0,196,..,228,61,288,3,287,..,262,57,325,3,327,..,510,204,709,9,715,..,3846,1214,5056,114,5168,..,21041,3872,24906,344,25251,..,642,57,703,14293,14994,207214,21680,3925,25609,14634,247459
2008,..,59,0,57,0,59,..,0,0,0,0,0,..,8,0,8,0,8,..,10,3,11,0,11,..,3,0,3,0,3,..,3,0,4,0,4,..,0,0,0,0,0,..,26,4,31,0,31,..,149,11,156,3,165,..,17,4,21,0,21,..,5,0,5,0,5,..,15,3,20,0,20,..,64,0,66,0,65,..,3,0,3,0,3,..,22,9,28,0,28,..,3,0,3,0,3,..,0,0,0,0,3,..,5,0,5,0,5,..,3,3,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,7,0,7,0,7,..,16,3,15,0,15,..,40,10,42,0,42,..,3,0,3,0,3,..,6,0,8,0,8,..,19,0,19,0,19,..,19,0,15,0,15,..,91,21,108,6,118,..,803,93,897,16,915,..,46,0,51,1007,1055,18247,850,91,948,1021,20218
2009,..,17,0,15,0,15,..,12,0,12,0,12,..,19,3,23,0,23,..,11,0,11,0,11,..,13,0,13,0,11,..,7,0,7,0,9,..,27,3,26,0,26,..,89,7,96,3,98,..,75,4,78,0,83,..,7,0,7,0,7,..,8,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,13,0,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,27,3,32,0,32,..,0,0,0,0,0,..,31,0,35,0,35,..,10,0,13,0,13,..,81,3,86,0,86,..,16,0,19,0,19,..,10,0,10,0,10,..,3,3,5,0,5,..,19,4,27,0,27,..,9,0,9,0,9,..,135,39,181,3,186,..,605,75,682,13,695,..,37,4,39,847,887,14672,634,83,721,863,16250
