SUA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
2000,24462,311,7,5,325,86,24870,554,864,41,10,919,4,1477,13,52,50,3,106,0,117,11,0,0,3,4,0,19,576,923,91,14,1025,7,1611,64,4,0,0,4,44,115,25101,1234,96,17,1351,136,26597,27852,313,5,4,322,93,28264,583,763,25,3,792,5,1380,20,56,32,0,89,0,104,8,5,0,0,9,0,19,612,823,62,8,888,5,1500,106,4,0,0,4,55,167,28568,1138,64,9,1213,152,29931,16568,177,0,3,180,54,16803,322,418,10,3,436,3,756,5,24,27,0,47,0,50,4,3,0,3,3,0,8,324,448,36,4,490,3,815,58,3,0,0,3,42,103,16949,630,36,9,668,105,17724,10575,111,0,4,113,37,10728,164,240,13,0,255,6,419,3,17,17,0,32,0,37,8,0,0,0,0,0,5,174,251,36,0,291,6,465,36,4,0,0,4,23,63,10788,366,32,8,403,61,11259,14330,160,0,4
2001,967,25,0,0,27,0,989,28,59,0,0,65,0,96,0,4,0,0,4,0,3,0,3,0,0,3,0,3,28,70,0,0,66,0,96,3,0,0,0,0,0,3,999,94,0,0,92,0,1097,997,25,0,0,25,3,1020,32,59,0,0,59,0,91,0,4,0,0,4,0,4,0,3,0,0,3,0,3,32,63,0,0,68,0,97,6,0,0,0,0,0,8,1032,88,0,0,86,5,1123,507,24,0,0,24,0,535,13,20,0,0,21,0,29,0,0,3,0,3,0,3,0,0,0,0,0,0,0,13,18,5,0,20,0,36,0,0,0,0,0,0,0,520,38,5,0,47,0,564,315,11,0,0,11,3,331,3,14,0,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,14,0,19,0,0,0,0,0,0,0,325,22,0,0,22,3,351,464,20,0,0
2002,532,6,0,0,6,3,538,8,28,0,0,27,0,39,0,0,6,0,4,0,4,0,3,0,0,3,0,3,8,32,3,0,38,0,45,0,0,0,0,0,0,0,548,35,3,0,43,5,589,485,7,0,0,7,3,500,15,22,0,0,23,0,35,0,0,6,0,6,0,6,0,0,0,0,0,0,0,15,22,4,0,24,0,39,3,0,0,0,0,0,3,503,27,4,0,34,3,535,282,4,0,0,4,3,288,12,3,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,9,0,16,0,0,0,0,0,0,0,290,10,0,0,11,3,307,183,0,0,0,0,0,188,6,3,0,0,3,0,7,0,0,0,0,4,0,4,0,0,0,0,0,0,0,6,6,0,0,4,0,10,0,0,0,0,0,0,0,189,4,0,0,9,0,197,244,3,0,0
2003,4154,63,4,0,60,7,4222,99,345,12,0,366,0,469,4,27,3,0,26,0,36,0,0,0,0,0,0,0,110,373,22,0,397,0,499,5,3,0,0,3,4,16,4264,433,19,0,457,12,4737,4006,55,0,0,55,5,4057,90,240,5,0,249,0,341,3,26,9,0,32,0,36,0,0,0,0,0,0,0,97,263,16,0,284,0,377,0,0,0,0,0,5,7,4105,319,16,0,334,5,4442,2187,27,0,0,27,0,2216,60,101,9,0,109,0,165,3,13,7,0,21,0,18,0,0,0,0,0,0,0,59,117,9,0,125,0,186,0,0,0,0,0,8,6,2243,144,9,0,153,5,2408,1332,16,0,0,16,0,1343,25,70,3,0,76,0,101,0,6,0,0,5,0,5,0,0,0,0,0,0,0,25,76,5,0,85,0,107,5,0,0,0,0,4,7,1355,91,5,0,93,9,1461,1779,27,0,0
2004,3915,52,4,0,57,8,3979,66,279,15,6,297,0,363,0,24,66,0,95,0,99,0,0,0,0,3,0,3,70,305,83,4,391,0,461,15,0,0,0,0,6,17,3994,359,80,4,451,11,4457,3728,40,0,0,40,5,3778,68,193,5,3,205,0,269,0,9,64,0,76,0,79,0,0,0,0,0,0,0,69,205,72,3,279,0,349,6,0,0,0,0,4,17,3804,250,72,3,320,16,4136,1991,18,0,0,18,0,2017,26,85,4,0,95,0,117,0,10,47,0,57,0,57,0,0,0,0,0,0,0,26,95,53,4,152,0,178,0,0,0,0,0,3,6,2019,116,50,4,170,3,2194,1349,4,0,0,4,3,1357,25,38,3,0,39,0,72,0,8,25,0,36,0,37,0,0,0,0,0,0,0,32,42,29,0,79,0,102,0,0,0,0,0,3,6,1378,47,34,0,85,5,1464,1733,13,0,0
2005,472,4,0,0,4,0,478,12,31,0,0,28,0,40,0,9,3,0,15,0,15,0,0,0,0,0,0,0,12,36,4,0,44,0,54,4,0,0,0,0,0,3,486,43,4,0,47,0,532,501,4,0,0,4,0,500,13,25,0,0,24,0,39,0,3,0,0,7,0,7,0,0,0,0,0,0,0,13,27,3,0,28,0,44,3,0,0,0,0,3,3,513,33,3,0,36,3,548,258,3,0,0,3,3,261,5,14,3,0,15,0,20,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,13,5,0,20,0,27,0,0,0,0,0,0,0,265,16,5,0,26,3,290,165,3,0,0,3,0,172,0,8,3,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,12,0,12,0,0,0,0,0,0,0,170,8,5,0,10,0,184,240,6,0,0
2006,767,3,0,0,3,0,768,11,29,0,0,33,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,3,0,36,0,43,3,0,0,0,0,4,12,774,38,3,0,37,8,820,825,11,0,0,11,3,836,12,22,0,0,18,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,4,0,20,0,34,4,0,0,0,0,9,9,835,30,4,0,33,6,877,467,3,0,0,3,0,471,3,8,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,9,0,13,4,0,0,0,0,3,7,477,11,0,0,11,0,491,341,0,0,0,0,0,342,3,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,5,4,0,0,0,0,3,5,352,4,0,0,4,3,362,442,0,0,0
2007,10018,270,0,3,269,15,10296,336,1088,32,3,1121,5,1461,4,95,79,4,184,0,186,0,4,0,0,10,0,12,341,1189,110,8,1308,11,1657,16,0,0,0,0,20,37,10376,1456,110,14,1580,39,11994,9781,202,0,6,206,3,9994,284,795,36,3,832,0,1113,4,80,96,0,174,0,178,0,4,0,3,13,0,13,291,884,130,7,1015,0,1304,17,0,0,0,0,8,26,10084,1083,132,10,1227,11,11321,5287,100,0,0,99,4,5388,132,390,16,0,405,0,536,0,37,66,0,106,0,107,0,0,0,0,4,0,4,131,430,81,3,513,0,643,9,0,0,0,0,7,16,5428,529,82,3,618,12,6055,3349,62,3,0,60,3,3412,111,268,5,0,278,0,383,0,40,37,0,71,0,75,0,0,0,0,3,0,3,111,307,46,3,351,0,462,0,0,0,0,3,5,8,3461,369,49,3,413,6,3880,4369,96,0,3
2008,1042,22,0,0,22,0,1061,35,33,0,0,32,0,63,0,0,3,0,4,0,4,0,0,0,0,0,0,0,35,32,4,0,38,0,65,0,0,0,0,0,0,3,1076,53,4,0,55,0,1135,1209,15,0,0,17,8,1229,17,36,0,0,36,0,50,3,0,0,0,0,0,6,0,0,0,0,0,0,0,21,36,0,0,35,0,56,0,0,0,0,0,0,3,1228,52,0,0,54,8,1294,742,15,0,3,15,3,760,8,16,0,0,16,0,22,3,0,3,0,3,0,5,0,0,0,0,0,0,0,11,16,3,0,13,0,24,0,0,0,0,0,0,0,756,23,3,3,31,3,785,394,8,0,3,10,4,410,18,11,0,0,11,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,11,0,28,0,0,0,0,0,0,0,410,19,0,3,22,3,439,540,10,0,0
2009,657,8,0,0,8,0,663,12,58,0,0,58,0,72,0,4,0,0,4,0,4,0,0,0,0,0,0,0,12,63,0,0,60,0,76,4,0,0,0,0,0,4,673,68,0,0,66,0,744,648,4,0,0,4,0,651,20,33,0,0,33,0,52,0,5,0,0,6,0,6,0,3,0,0,3,0,3,20,33,0,0,36,0,60,0,0,0,0,0,0,0,665,45,0,0,43,0,710,345,9,0,0,9,0,356,3,27,0,0,27,0,30,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,31,0,0,29,0,29,3,0,0,0,0,0,3,352,32,0,0,38,0,386,216,0,0,0,0,0,216,4,11,0,0,11,0,11,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,15,3,0,14,0,17,0,0,0,0,0,0,0,221,15,3,0,14,0,230,296,0,0,0
