SUA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
2000,787,1476,3579,4412,5744,6405,4112,1384,266,28173,15,83,417,518,586,424,72,13,3,2125,671,1427,2791,3592,4446,3523,723,67,15,17257,30,127,503,706,1109,913,114,11,0,3517,1240,2665,4953,4876,5298,4124,848,79,24,24107,168,323,657,896,1190,1007,264,31,12,4544,1756,1139,1517,1663,1824,1822,626,84,16,10449,1697,845,1037,933,1003,1058,404,46,7,7032,108,331,1034,1714,2640,2767,847,70,11,9520,28,75,132,240,340,330,74,6,0,1228,10,43,170,301,367,282,115,14,0,1307,27,65,162,235,357,332,139,18,5,1336,76,193,681,1021,1238,1252,601,88,6,5165,101,204,520,705,932,917,261,31,7,3683,151,400,1158,1824,2645,2275,360,29,0,8843,131,251,810,1188,1395,1644,405,36,7,5866,71,245,670,991,1467,1734,475,60,7,5716,171,174,328,427,538,505,178,34,4,2368,363,611,1014,1048,1406,1205,366,49,5,6066,525,706,1101,1370,1937,1651,708,256,61,8321
2001,4,10,21,27,30,19,14,3,0,124,0,4,9,15,19,12,0,0,0,64,11,31,68,130,140,97,14,0,0,482,0,6,15,22,32,14,4,0,0,93,75,147,282,236,186,114,17,3,0,1054,3,9,30,56,51,42,5,0,0,198,55,66,63,56,48,29,7,0,0,317,67,42,36,18,14,11,6,0,0,193,4,26,117,157,153,129,33,0,0,616,0,6,9,18,22,6,0,0,0,68,0,3,20,24,23,18,0,0,0,93,3,5,12,10,8,21,3,0,0,64,0,10,48,58,56,37,21,0,0,237,0,6,30,25,30,17,5,0,0,115,0,8,58,88,101,54,10,0,0,330,9,10,51,30,41,35,9,0,0,188,0,5,18,22,32,26,9,0,0,111,9,11,13,13,19,8,5,0,0,78,9,24,51,39,53,27,5,0,0,209,9,37,57,56,58,35,17,4,0,279
2002,3,11,28,19,27,21,18,4,0,133,0,0,7,10,5,12,0,0,0,43,7,42,93,60,76,60,15,6,0,351,0,4,12,12,17,8,0,0,0,61,22,57,116,95,74,72,12,0,0,449,3,13,25,32,24,17,8,3,0,122,58,28,82,64,53,59,20,0,0,361,50,28,23,26,23,20,3,0,0,168,0,10,21,39,46,51,21,0,0,182,3,3,7,3,4,9,3,0,0,30,0,3,6,6,8,6,0,0,0,23,0,3,3,3,3,10,10,0,0,37,0,4,19,24,22,23,9,3,0,113,3,5,15,12,13,16,6,0,0,72,3,0,34,29,28,31,7,0,0,128,0,3,25,29,15,29,13,0,0,114,0,11,26,26,45,40,13,5,0,160,0,0,10,6,3,5,0,0,0,31,6,12,31,18,29,35,4,0,0,147,7,11,33,30,29,30,9,0,0,152
2003,17,41,81,71,88,53,46,23,0,421,3,12,78,70,77,38,0,0,0,283,72,172,441,655,713,464,65,3,3,2585,7,25,62,69,88,59,6,0,0,313,175,547,1052,643,586,414,71,3,3,3495,21,49,129,157,173,111,33,9,0,690,269,363,493,360,321,277,75,9,0,2171,408,324,283,165,121,93,23,0,0,1418,16,43,216,236,292,279,85,17,0,1185,17,49,150,152,123,73,16,0,0,569,0,14,75,80,105,60,14,5,0,348,3,18,80,58,49,48,22,3,0,282,14,111,336,320,242,175,73,10,0,1292,11,51,96,96,114,104,19,6,0,498,18,58,285,348,332,248,42,3,3,1335,33,101,309,360,327,315,76,3,0,1522,16,88,364,366,393,349,76,9,0,1655,46,82,101,74,63,59,31,3,0,448,24,85,144,149,172,160,64,8,0,801,57,120,181,170,200,122,43,13,3,912
2004,18,47,130,98,101,103,43,16,0,569,4,49,170,147,123,40,8,0,0,538,77,301,633,513,541,403,59,10,0,2535,3,21,102,70,118,68,13,0,0,390,130,482,964,643,573,401,71,10,0,3278,14,39,110,135,125,82,19,4,0,524,302,364,438,372,308,253,76,11,0,2123,412,294,237,131,110,85,23,0,0,1284,12,45,139,210,281,290,88,3,3,1076,8,19,73,78,61,43,9,0,0,301,6,44,188,225,168,91,28,0,0,738,3,15,39,55,56,40,19,3,0,227,6,71,262,207,164,157,45,6,0,917,13,37,99,110,124,114,21,5,0,530,12,66,223,293,373,287,51,4,0,1303,18,72,237,253,236,240,71,8,0,1134,18,100,323,324,350,330,79,10,0,1536,30,46,57,47,47,42,20,4,0,289,40,105,198,155,152,158,40,8,3,855,41,113,170,197,192,159,39,18,0,934
2005,3,24,40,31,48,37,15,5,0,209,0,0,3,3,3,3,0,0,0,12,41,102,179,173,136,80,14,0,3,724,0,0,5,7,21,9,0,0,0,46,26,51,90,50,53,44,11,7,0,332,3,12,13,23,17,25,0,0,0,85,28,24,40,46,36,38,9,3,0,227,59,22,26,14,10,16,0,0,0,147,4,9,25,39,40,38,21,0,0,173,4,3,10,6,6,4,3,0,0,39,0,4,8,12,13,3,0,0,0,35,0,0,0,0,0,6,0,0,0,12,3,0,16,15,14,13,5,3,0,72,3,8,18,18,17,22,13,0,0,85,0,9,16,16,24,41,3,0,0,110,0,3,19,13,12,34,8,3,0,84,0,0,14,25,36,30,11,0,0,123,5,3,4,4,7,3,0,0,0,26,5,14,24,14,15,18,3,0,0,97,11,16,43,26,17,31,7,3,5,145
2006,8,6,42,51,53,51,28,12,0,250,0,0,7,11,3,5,0,0,0,28,26,53,141,170,181,139,12,3,0,729,0,0,16,13,22,11,5,0,0,64,53,92,167,144,147,107,22,0,0,737,4,7,23,30,38,30,13,3,0,148,68,30,80,65,72,54,21,0,0,391,114,48,67,62,67,63,20,5,0,451,3,9,27,43,78,58,38,0,0,260,8,0,6,5,3,7,0,0,0,28,0,3,0,16,19,11,0,5,0,49,0,0,7,3,7,9,3,0,0,43,8,9,18,35,26,27,11,3,0,137,3,8,3,13,22,25,10,3,0,85,0,7,30,46,66,46,9,0,0,201,7,9,39,32,36,47,6,0,0,189,0,10,41,36,38,52,16,0,0,196,5,3,22,16,13,8,4,0,0,69,8,24,44,23,36,48,12,4,0,197,17,26,40,38,52,44,14,3,0,228
2007,23,76,141,152,173,135,77,33,3,818,3,5,68,71,77,58,10,0,0,289,131,448,1192,1521,1695,1147,172,17,3,6327,8,43,231,233,264,176,30,0,0,982,394,1252,2817,2279,1775,1217,204,20,3,9952,45,142,342,438,470,355,66,3,4,1869,647,943,1198,978,801,611,190,24,0,5390,1009,754,648,428,300,231,101,8,0,3478,47,162,672,814,968,856,209,7,4,3730,36,56,157,188,186,124,22,3,0,775,6,68,302,406,366,211,50,9,3,1422,5,43,126,162,142,127,57,16,0,679,30,198,735,900,748,596,228,34,3,3473,33,100,290,323,372,321,106,5,0,1552,30,156,619,873,1039,675,133,23,0,3549,66,196,739,862,770,779,169,12,0,3593,30,180,701,776,758,661,165,21,7,3294,141,171,183,212,156,133,56,8,0,1065,72,229,434,409,423,356,101,13,0,2039,133,277,547,559,562,442,133,36,9,2694
2008,0,5,13,10,15,12,13,3,0,76,0,3,0,3,3,4,0,0,0,15,20,29,55,113,138,97,17,3,0,469,3,3,4,19,23,17,0,0,0,70,50,109,251,244,255,135,34,3,0,1076,4,8,13,40,76,31,10,0,0,182,62,42,36,47,58,38,21,0,0,310,76,40,9,23,20,22,3,0,0,197,0,21,50,135,176,123,37,0,0,542,4,4,10,22,26,11,4,0,0,83,0,3,17,50,53,31,9,0,0,162,0,3,7,30,24,16,8,0,0,84,0,12,52,93,94,96,31,3,0,389,6,8,19,39,35,20,17,6,0,151,5,9,45,105,124,88,12,3,0,394,4,17,36,55,60,71,16,0,0,263,3,4,19,34,42,33,21,0,0,157,19,8,15,24,18,14,7,0,0,114,6,10,26,40,46,44,13,3,0,177,8,21,33,56,60,39,17,3,0,237
2009,0,22,35,34,57,42,40,20,0,255,0,0,15,3,4,5,0,0,0,26,9,18,40,43,36,32,7,0,0,183,0,6,28,16,27,24,0,0,0,114,43,79,161,117,107,76,22,3,0,610,3,13,43,55,46,37,13,0,0,211,58,58,94,74,71,58,15,4,0,436,69,30,44,27,22,14,9,0,0,215,0,12,33,51,65,79,20,4,0,263,4,6,18,6,6,12,3,0,0,52,3,4,7,12,23,3,0,0,0,61,0,0,11,10,11,4,3,0,0,41,3,10,27,33,13,25,5,3,0,116,0,8,11,16,24,23,10,0,0,91,7,18,41,37,68,55,7,0,0,244,4,4,47,26,26,35,8,0,0,154,9,15,49,58,69,61,13,0,0,273,9,8,5,8,11,12,6,0,0,53,10,24,49,36,31,33,12,4,0,199,13,13,42,30,34,24,11,4,0,172
