SUA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
2000,2002,2792,4796,46953,53717,100669,3,3,5,3615,4045,7656,298,280,576,70258,73997,144257,616,762,1373,1763,1531,3287,809,1039,1843,358,408,767,2938,3266,6206,76,61,134,829,888,1715,2118,2420,4544,11854,12211,24064,809,1064,1877,517,673,1187,22448,26753,49202,6367,6996,13358,208,253,457,172836,190355,363194,723,601,1321,886,713,1598,152,177,335,30,33,66,359,286,643,816,1276,2092,1207,1598,2806,125093,109990,235078,985,810,1788,469,726,1193,126543,111520,238063,41119,35841,76961,345471,343603,689078
2001,50,86,138,1067,1360,2430,0,0,0,96,122,221,3,3,8,2714,2997,5708,4,10,10,127,95,218,33,45,74,15,19,30,59,82,137,0,0,0,25,28,58,59,69,129,172,235,407,15,9,27,17,23,45,360,504,862,204,229,434,7,5,14,4963,5831,10796,69,51,119,31,18,45,3,3,4,7,5,8,54,36,94,15,42,60,76,86,161,3831,3439,7271,35,35,68,13,19,37,3883,3495,7374,875,833,1711,9944,10407,20345
2002,34,53,85,1119,1416,2538,0,0,0,97,95,190,63,67,130,1274,1537,2808,7,9,16,12,3,18,26,34,58,7,7,14,13,21,36,3,0,7,11,10,23,67,101,166,179,235,412,24,49,77,20,24,42,300,440,741,136,150,287,3,3,4,3364,4207,7571,41,31,68,13,14,20,0,3,3,0,0,0,7,7,13,7,29,40,15,37,57,2562,2491,5052,14,28,38,8,11,12,2587,2524,5113,853,953,1809,6905,7819,14728
2003,316,429,749,4682,5916,10600,0,0,0,412,476,891,102,90,191,11273,13086,24352,389,553,945,183,205,386,107,158,263,55,71,127,232,295,531,21,17,37,102,128,225,295,343,640,1234,1505,2748,164,216,381,60,94,151,2869,3897,6769,832,970,1798,24,21,47,23048,28038,51087,333,278,615,247,176,427,17,25,41,7,5,14,108,104,218,121,169,299,238,284,527,18952,17935,36883,179,147,329,56,99,159,19185,18182,37372,4542,4527,9062,47944,51943,99885
2004,427,549,977,5397,6736,12133,0,0,0,919,1037,1959,74,72,142,9649,11162,20808,64,88,148,149,139,289,116,141,255,80,93,170,155,175,331,41,39,78,74,80,158,422,534,956,894,1090,1987,87,133,223,92,105,195,2742,3678,6424,967,1117,2079,14,16,31,21935,26433,48365,243,233,478,237,214,450,21,20,40,5,7,14,104,82,189,94,168,268,210,259,471,17617,16467,34087,149,136,286,39,90,128,17806,16692,34500,4584,4514,9101,45463,48916,94378
2005,30,28,57,593,736,1330,0,0,0,51,57,105,0,0,0,1679,1766,3445,0,3,6,19,17,37,21,22,42,3,3,8,12,23,37,6,0,5,10,13,24,22,28,54,292,311,604,19,20,37,5,7,12,376,582,960,84,101,187,3,4,12,3184,3712,6896,11,10,19,77,21,101,0,3,5,0,0,0,5,3,13,4,7,10,6,12,22,2065,1890,3946,20,16,32,15,5,14,2093,1902,3996,589,559,1153,5995,6258,12250
2006,51,61,110,1630,1956,3590,0,0,0,76,116,193,4,0,4,2454,2750,5207,17,33,48,20,22,40,11,21,31,9,9,21,57,53,108,3,4,9,9,23,32,80,75,150,317,416,734,21,45,59,5,3,14,667,969,1631,161,170,333,4,5,12,5542,6672,12216,24,18,44,11,4,18,0,3,3,0,3,3,6,4,14,6,12,17,14,16,29,3198,2860,6060,21,22,42,10,8,17,3229,2883,6116,944,945,1885,9816,10611,20424
2007,1048,1393,2447,11692,14904,26598,0,0,0,2186,2499,4690,87,80,166,29118,33215,62330,168,220,389,1799,1842,3640,304,398,696,130,158,285,854,1096,1955,49,42,95,253,350,600,724,828,1554,3108,3685,6791,256,333,589,114,151,267,5321,7443,12766,2812,3398,6211,87,114,197,59068,70751,129816,1013,703,1714,1426,1122,2553,57,56,118,10,7,19,386,333,720,274,345,622,675,684,1362,44155,41005,85158,435,306,746,183,265,451,44775,41578,86359,12009,11086,23102,120081,127382,247459
2008,48,73,121,1243,1462,2699,0,0,0,61,73,140,0,0,0,2681,2699,5382,32,37,62,73,77,148,18,24,36,10,13,20,45,55,103,0,0,3,18,22,39,45,54,104,228,234,464,3,10,14,23,21,41,418,578,995,179,204,386,3,3,9,5079,5561,10644,13,8,24,23,22,44,7,4,15,0,0,0,6,9,17,13,18,26,18,27,39,3895,3588,7486,35,40,80,17,17,32,3945,3651,7595,878,857,1731,10017,10202,20218
2009,27,41,69,749,967,1720,0,0,0,45,33,81,0,0,0,1362,1477,2835,112,151,264,25,15,43,4,3,8,0,12,17,630,732,1363,8,3,11,12,7,19,115,126,239,165,182,351,26,46,66,11,20,32,1049,1399,2451,120,157,272,5,5,11,4432,5346,9773,39,37,76,43,32,74,5,4,5,0,3,3,8,10,15,17,13,28,22,23,51,2557,2284,4838,11,11,26,4,14,20,2578,2309,4881,660,653,1316,7806,8448,16250
2010,75800,93310,169112,142883,177393,320279,1352,1369,2719,26451,30626,57083,853,875,1732,475773,532548,1008324,2950,3742,6698,94044,98794,192837,4279,5448,9727,4418,4815,9231,6300,8024,14327,7478,7661,15139,8054,9269,17323,18970,22074,41043,30400,36129,66527,2381,3360,5743,3549,4166,7716,41558,56342,97902,51929,60035,111966,1752,2067,3818,925379,1064751,1990132,68763,58978,127741,97830,87456,185289,19984,21570,41557,93,111,202,27125,21624,48752,6836,8178,15008,34058,29909,63963,690843,644783,1335627,6789,5524,12314,2686,4038,6726,700318,654347,1354666,197439,193177,390618,2119559,2203512,4323072
2011,320,434,752,2729,3219,5952,4,5,10,384,434,816,88,70,160,8213,9070,17278,22,23,41,626,599,1227,143,174,316,185,200,387,117,141,259,94,89,181,143,150,293,343,407,746,483,592,1078,49,73,118,77,99,177,754,942,1691,985,1079,2071,32,35,62,15458,17394,32848,500,489,986,579,563,1141,14,9,19,0,4,3,355,340,694,74,111,184,434,452,882,9033,8312,17349,102,72,175,36,69,105,9176,8450,17624,2892,2738,5628,29371,30523,59887
2012,217,266,481,2761,3321,6085,0,0,0,155,150,305,0,0,0,5417,5980,11401,111,159,269,272,246,518,63,99,165,64,75,142,252,350,610,9,5,15,98,92,190,234,300,530,565,650,1212,87,116,200,151,198,346,1306,1776,3081,478,561,1036,35,29,70,12064,14110,26176,122,92,215,519,389,902,9,6,18,37,38,73,90,87,181,30,51,76,161,169,333,8702,7866,16570,53,42,98,16,28,42,8768,7940,16708,2740,2666,5405,24594,25645,50239
2013,53,78,132,1141,1396,2539,0,0,0,65,84,151,44,61,100,1738,2004,3746,4,7,14,93,105,199,86,120,210,38,40,79,22,36,57,0,0,0,18,32,48,82,108,189,270,326,595,30,39,73,15,21,34,160,245,401,163,196,361,11,6,12,3976,4841,8813,8,7,13,27,18,42,0,0,4,0,0,0,3,4,7,29,40,65,32,44,69,3016,2672,5685,39,28,59,14,21,34,3061,2719,5780,865,820,1685,8022,8527,16551
