SUA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
2000,0,3,4,28,32,28,24,8,3,123,0,3,7,43,15,13,0,8,3,86,0,0,14,38,0,0,0,0,0,54,0,17,18,106,118,402,692,294,125,1774,26,202,277,1041,864,853,473,153,41,3926,0,0,5,20,49,64,81,44,16,277,3,5,6,26,7,3,0,0,3,56,0,8,5,71,53,33,16,8,0,196,15,105,88,628,295,259,117,23,6,1538,0,0,3,52,17,42,46,22,28,213,0,14,26,112,196,340,468,200,76,1425,0,8,17,47,28,33,7,0,0,148,4,31,57,210,124,119,73,25,13,654,0,0,0,4,29,31,57,31,11,163,0,0,10,69,38,39,45,6,7,209,0,4,51,258,10,8,0,0,0,336,17,37,49,232,100,48,7,0,0,491,0,0,0,5,10,18,22,5,0,74,0,3,3,26,21,15,15,0,0,79,13,47,33,209,134,173,150,22,3,791
2001,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,13,12,0,45,0,8,9,55,31,15,14,8,0,147,0,0,0,0,3,0,8,0,0,13,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,11,11,5,3,0,0,35,0,0,0,6,0,6,0,0,0,11,0,0,3,12,8,18,19,4,4,67,0,0,0,3,0,0,0,0,0,7,0,3,3,13,3,3,5,0,0,38,0,0,0,0,3,8,0,0,0,16,0,3,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,16,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,5,4,0,0,25
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,9,0,28,0,7,3,22,15,18,14,10,0,86,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,3,27,10,12,6,3,3,63,0,0,0,4,0,0,3,0,0,11,0,0,0,0,0,5,3,14,3,30,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,3,0,0,0,22,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,3,9,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,13
2003,0,0,3,8,0,0,0,0,0,9,0,0,3,4,3,0,3,0,0,10,0,0,0,15,3,0,0,0,0,20,0,3,3,4,11,42,118,79,25,282,4,22,37,109,73,73,33,22,7,387,0,0,3,0,3,11,7,9,3,30,0,0,8,16,0,0,0,0,0,29,0,0,3,11,7,0,0,0,0,24,3,26,23,111,44,46,14,3,0,262,0,0,0,7,3,3,7,8,8,33,0,0,4,18,29,31,53,34,9,186,0,8,4,8,10,8,0,0,0,31,0,0,14,36,21,12,8,3,0,96,0,0,0,4,3,5,8,3,3,26,0,9,4,29,10,0,3,0,0,57,0,0,3,14,3,0,0,0,0,19,0,3,8,41,14,7,0,0,0,76,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,8,13,39,16,16,12,0,0,108
2004,0,0,0,14,5,0,4,0,0,24,0,8,39,111,33,15,7,6,0,225,3,0,0,19,0,0,0,0,0,18,0,0,3,6,5,21,35,20,12,91,3,11,16,105,49,65,35,15,0,305,0,0,0,5,0,0,8,9,3,28,0,7,4,19,0,0,0,0,0,29,0,0,0,22,3,0,0,0,0,30,0,17,13,109,48,28,12,3,0,244,0,0,0,0,0,0,3,6,3,15,0,0,0,9,16,36,32,21,8,136,0,0,7,6,5,6,3,0,0,30,0,9,14,35,11,5,12,0,3,89,0,0,0,0,3,0,5,4,0,9,0,10,4,38,11,6,7,6,3,89,0,0,5,18,3,3,0,0,0,28,10,81,68,43,14,3,0,0,0,227,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,6,0,13,10,25,12,4,6,3,0,73
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,18,0,4,7,17,11,13,6,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3,3,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,16,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,20,6,0,33,0,4,7,31,20,18,8,10,3,103,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,9,4,25,17,11,0,3,0,66,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,5,19,9,3,40,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,4,3,3,0,26,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,3,3,0,0,0,23
2007,0,4,8,20,10,5,5,3,0,45,3,5,38,91,27,21,16,0,0,201,0,0,9,31,3,0,0,0,0,49,0,3,13,28,33,112,267,174,89,726,15,58,110,435,230,180,100,33,12,1172,0,3,3,28,37,46,57,33,10,218,5,36,35,56,3,3,3,0,0,145,0,5,0,28,20,12,3,4,0,68,13,43,94,304,171,132,73,9,8,845,0,0,0,48,17,44,48,46,57,252,3,24,17,72,87,166,184,145,37,739,0,15,27,38,26,21,14,0,0,139,3,23,39,129,82,45,38,20,6,389,0,0,0,13,37,50,66,48,21,232,3,11,16,90,20,20,14,3,8,185,3,0,7,22,4,4,4,0,0,44,9,89,66,116,39,18,10,3,0,345,0,0,5,40,42,90,82,60,16,335,0,0,5,19,14,7,11,5,0,61,10,48,35,150,50,39,37,4,4,382
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12,4,0,28,0,9,3,51,44,25,6,0,4,142,0,0,0,0,4,3,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,3,4,0,0,0,11,0,0,0,5,4,0,0,3,3,13,0,0,0,5,18,13,23,3,3,70,0,0,7,0,6,0,0,0,0,10,0,3,6,12,7,3,0,3,0,37,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,7,4,0,0,35
2009,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,6,6,7,0,25,0,0,6,13,7,3,3,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,4,0,3,0,9,3,6,4,28,5,9,0,0,0,60,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,7,8,0,22,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,9,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,8
