SUA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
2010,1120,1127,2248,133274,126316,259592,7134,6791,13921,141530,134228,275764,1097,1123,2221,129087,122789,251879,6408,5928,12336,136593,129842,266434,1115,996,2119,118013,112099,230108,5477,5212,10696,124611,118313,242921,1066,1040,2105,124155,120237,244389,6116,5951,12059,131334,127227,258561,1105,1086,2195,153397,150394,303794,9139,8899,18037,163639,160384,324024,942,938,1873,162150,167072,329216,10813,11053,21870,173900,179060,352960,785,726,1511,164567,170593,335151,10662,10417,21073,176012,181730,357742,635,645,1282,147350,149500,296853,8687,8099,16792,156683,158242,314928,679,684,1365,139198,146414,285612,7912,7561,15473,147784,154655,302444,692,655,1350,135133,144744,279881,7481,7298,14773,143304,152700,296005,479,594,1072,123782,130111,253894,7160,6678,13835,131419,137382,268803,406,417,823,111698,119716,231413,6477,6498,12976,118583,126630,245212,334,369,706,95133,103978,199111,5637,5782,11420,101103,110134,211238,476,626,1103,255126,310155,565285,17463,22196,39660,273069,332978,606044,10944,11022,21969,1992057,2074126,4066179,116559,118363,234925,2119559,2203512,4323072
2011,53,70,124,2430,2373,4803,181,183,370,2669,2626,5293,63,56,122,2194,2215,4411,162,169,338,2423,2446,4869,49,41,98,1864,1728,3594,127,124,253,2050,1893,3939,47,50,104,1758,1642,3400,99,100,201,1909,1793,3700,36,43,73,1787,1830,3616,128,144,276,1955,2007,3965,30,52,84,2002,2239,4242,140,156,299,2177,2444,4623,24,33,58,2161,2402,4564,154,165,320,2345,2599,4944,27,31,52,2072,2098,4169,128,130,255,2228,2255,4483,21,21,49,1879,1904,3788,134,113,246,2034,2041,4078,20,31,44,1646,1760,3410,116,113,225,1782,1906,3685,15,20,35,1537,1546,3084,105,116,217,1652,1683,3333,14,20,31,1403,1599,3001,85,91,182,1505,1706,3208,9,9,17,1401,1615,3016,116,115,232,1521,1746,3270,17,17,29,2914,3113,6025,196,248,446,3130,3378,6507,432,492,919,27054,28057,55112,1888,1970,3852,29371,30523,59887
2012,177,155,327,1325,1299,2627,105,117,221,1602,1565,3170,165,141,309,1428,1329,2764,134,84,213,1733,1552,3287,143,126,270,1333,1337,2667,105,103,205,1576,1564,3137,131,108,236,1445,1337,2785,136,113,251,1713,1563,3271,97,115,207,1233,1284,2521,134,114,248,1459,1519,2975,82,129,209,1348,1371,2721,147,118,263,1576,1622,3198,54,88,143,1239,1313,2558,125,118,238,1416,1515,2937,57,72,131,1143,1233,2378,86,81,170,1290,1390,2679,61,67,123,1302,1422,2730,118,107,229,1481,1601,3087,50,85,135,1404,1518,2923,136,122,257,1586,1728,3310,41,74,121,1393,1474,2862,138,105,238,1576,1648,3227,45,53,97,1467,1535,3007,144,143,285,1659,1730,3388,30,27,52,1387,1369,2753,136,128,259,1550,1522,3069,36,58,98,3923,4560,8481,428,506,932,4382,5130,9515,1157,1300,2458,21375,22393,43770,2063,1951,4015,24594,25645,50239
2013,27,21,48,377,408,791,24,27,54,433,463,894,13,13,26,419,395,817,37,26,63,477,435,905,11,9,24,417,422,843,38,34,66,464,463,928,10,12,22,487,422,906,29,29,64,532,460,990,15,13,28,496,503,1000,39,43,75,552,555,1104,14,8,25,403,456,858,30,36,68,449,502,950,10,3,14,402,452,850,38,30,73,450,486,941,7,7,18,378,376,758,29,33,55,412,418,828,3,8,11,417,449,867,29,22,48,451,474,924,6,14,20,429,494,925,42,34,73,480,532,1016,10,8,22,512,527,1031,31,42,75,551,571,1124,3,3,4,534,530,1066,39,37,74,578,570,1144,10,7,13,535,575,1111,40,47,85,580,628,1208,7,12,14,1475,1794,3263,145,169,308,1627,1969,3587,152,132,287,7280,7807,15087,594,584,1180,8022,8527,16551
2014,23,25,45,246,268,517,21,22,47,292,316,608,20,15,38,255,236,493,19,21,38,295,273,568,15,15,38,289,262,552,32,22,50,341,301,637,22,13,34,319,280,596,18,28,44,353,319,678,11,8,25,259,234,494,29,22,54,305,265,572,9,4,9,205,221,426,16,21,36,233,243,473,7,8,15,244,269,514,9,17,33,264,296,565,3,9,12,255,272,522,18,21,32,278,301,573,10,5,17,293,320,616,26,23,52,323,356,676,3,3,3,327,321,646,32,22,51,357,346,700,8,5,14,398,378,772,26,29,52,429,408,836,7,4,9,373,410,778,27,31,61,405,446,853,5,6,12,358,380,741,26,32,61,386,420,808,4,10,11,963,1062,2025,107,109,212,1066,1183,2254,138,144,284,4780,4911,9691,408,416,828,5325,5473,10800
2015,12,18,30,447,419,867,33,35,73,498,468,964,13,20,33,462,400,868,38,34,71,516,454,969,15,16,24,403,397,799,20,21,46,433,431,866,13,8,28,432,406,836,22,14,38,472,427,901,11,13,25,382,345,724,29,28,56,423,385,808,7,7,12,370,443,819,38,28,70,414,480,897,3,10,19,433,431,870,33,35,67,467,481,952,3,4,9,381,396,781,39,19,62,426,424,851,6,6,13,373,445,820,35,31,62,413,480,888,7,11,16,377,476,852,25,37,68,407,523,936,7,3,10,417,466,879,39,41,82,462,509,968,0,17,17,401,489,894,37,39,73,438,544,980,3,0,3,391,415,807,36,35,73,429,454,876,3,5,11,1129,1432,2563,111,100,211,1241,1536,2776,103,134,233,6405,6963,13364,536,507,1048,7041,7602,14646
2016,113,106,219,1469,1422,2897,137,127,263,1718,1650,3373,126,126,254,1546,1439,2987,104,111,220,1778,1681,3457,110,108,214,1453,1316,2767,118,89,205,1680,1512,3190,107,96,204,1528,1424,2952,101,120,212,1730,1639,3374,83,72,157,1281,1296,2578,97,99,193,1455,1477,2934,57,57,120,1394,1463,2860,131,135,261,1583,1650,3236,41,63,100,1383,1461,2843,127,120,247,1550,1645,3192,30,57,92,1254,1342,2596,103,112,221,1397,1511,2906,48,68,117,1363,1423,2782,114,106,222,1525,1589,3115,43,54,96,1425,1463,2887,120,111,229,1587,1629,3216,46,47,89,1362,1471,2832,138,130,267,1545,1643,3186,27,39,68,1371,1407,2775,116,114,229,1512,1556,3073,24,36,64,1165,1312,2482,110,126,230,1302,1471,2774,56,56,118,3521,4126,7644,377,502,879,3955,4681,8641,924,981,1906,21522,22364,43885,1889,1993,3881,24328,25342,49672
2017,26,32,66,328,301,627,38,31,76,391,370,762,31,30,59,282,266,547,33,34,65,342,328,668,25,19,43,266,252,521,34,31,63,324,304,631,12,20,32,306,292,601,25,43,67,346,354,702,22,15,38,285,287,576,37,27,61,344,333,676,15,22,39,333,307,634,39,34,73,382,359,748,10,8,16,291,312,603,29,23,51,328,347,669,6,10,17,256,294,545,31,41,72,301,339,637,10,7,16,285,275,555,25,19,50,318,301,622,4,9,11,274,283,565,36,37,75,315,333,647,3,9,15,301,294,597,31,24,61,338,333,667,4,4,8,284,299,583,33,32,65,325,337,660,0,6,8,265,273,531,24,30,54,289,305,597,10,18,28,841,1091,1930,123,142,267,967,1254,2219,180,211,395,4590,4834,9428,533,554,1085,5307,5596,10905
2018,50,59,111,1190,1066,2258,98,83,183,1340,1212,2550,50,42,95,1193,1127,2317,91,86,177,1325,1252,2582,31,43,70,1158,1058,2218,86,74,161,1270,1178,2450,35,33,67,1082,1014,2099,96,93,183,1213,1133,2348,34,24,56,1131,1210,2342,103,108,213,1274,1344,2615,17,34,51,1206,1260,2463,97,133,230,1317,1421,2740,22,19,40,1125,1279,2404,98,114,209,1244,1410,2650,14,22,33,1063,1104,2162,78,85,158,1151,1204,2354,15,18,33,1020,1132,2155,84,92,172,1117,1239,2355,13,20,27,1185,1156,2341,108,90,203,1304,1270,2572,13,19,33,1155,1270,2424,85,114,197,1251,1408,2656,10,8,16,1178,1306,2481,120,97,220,1315,1412,2724,9,6,17,1100,1118,2221,103,98,205,1212,1226,2440,13,16,33,3014,3693,6707,341,469,812,3370,4185,7551,309,359,675,17800,18801,36597,1598,1731,3324,19709,20891,40601
2019,17,26,42,496,460,957,23,23,47,536,507,1045,12,16,34,554,514,1070,37,28,63,606,562,1164,22,21,37,537,522,1056,21,29,52,583,568,1147,15,12,28,492,508,997,35,35,66,542,554,1094,17,14,33,423,441,866,28,31,63,470,487,959,10,4,21,412,478,892,31,17,54,460,507,962,8,10,17,455,497,954,19,23,42,484,525,1012,11,8,14,440,525,964,19,21,46,470,559,1026,9,3,13,500,529,1031,35,26,59,548,562,1108,3,5,9,521,568,1091,38,31,69,558,603,1164,8,7,13,534,585,1118,28,37,66,571,633,1198,9,3,10,521,621,1144,38,39,74,566,667,1228,3,3,5,526,584,1117,25,35,62,555,629,1186,8,8,12,1672,2336,4014,158,224,386,1838,2568,4411,142,151,295,8099,9167,17273,548,602,1152,8791,9922,18710
2020,32,22,51,1001,1022,2021,56,70,128,1086,1114,2204,31,30,55,1157,1108,2266,70,72,146,1255,1212,2461,24,19,46,981,996,1980,53,62,116,1061,1075,2137,27,24,52,1045,1011,2056,46,50,93,1120,1080,2197,14,12,26,884,865,1751,60,63,127,961,935,1898,4,16,22,922,981,1904,45,52,100,977,1053,2025,12,9,18,920,979,1898,66,45,110,989,1033,2020,7,11,23,793,929,1728,49,72,125,857,1018,1871,11,9,19,885,971,1854,65,60,123,962,1045,2003,11,9,17,983,1151,2136,79,87,167,1076,1239,2314,8,3,13,1009,1128,2136,67,70,138,1089,1200,2288,13,14,19,1027,1126,2158,61,81,142,1098,1221,2317,4,15,11,946,1053,2006,63,71,132,1016,1141,2154,8,8,20,3011,3495,6501,257,286,542,3276,3790,7070,197,201,398,15570,16818,32390,1048,1137,2183,16812,18153,34970
2021,39,39,77,930,864,1791,62,50,112,1032,952,1983,36,28,65,1007,967,1974,62,54,116,1107,1045,2150,30,30,65,938,932,1867,77,53,130,1042,1013,2062,24,30,54,1031,1015,2051,80,77,151,1139,1119,2263,31,29,62,1045,983,2030,84,65,153,1169,1072,2240,29,24,49,997,991,1991,61,71,136,1087,1085,2171,14,15,29,850,935,1789,56,63,117,928,1013,1941,11,14,24,838,943,1790,53,60,111,908,1014,1926,20,15,35,907,978,1889,58,67,126,987,1064,2048,12,15,28,966,1109,2077,87,85,176,1074,1208,2280,6,14,18,958,1126,2084,68,67,137,1035,1205,2237,5,8,18,927,1119,2049,71,84,156,1003,1220,2218,8,4,9,940,986,1925,82,72,149,1025,1061,2088,10,6,19,2564,3245,5807,238,351,593,2817,3603,6419,294,265,558,14909,16197,31104,1146,1219,2358,16341,17675,34021
