SUA_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
2000,2776,89,30,124,2900,552,14,3472,32,7,5,11,54,0,0,0,54,3,40,95,13578,1820,383,354,16134,273,80,356,16490,1147,83,17724,2888,321,40,25,3275,33,10,41,3317,175,3,3493,4051,543,88,52,4725,44,13,59,4785,226,12,5023,140,24,41,3,206,8,0,8,216,9,0,221,44,7,3,75,124,0,0,0,126,6,3,136,7122,894,171,149,8336,83,25,106,8448,415,18,8884,40,9,0,4,56,21,0,20,84,11,0,90,97,16,3,0,118,11,6,16,135,9,0,151,144,26,6,6,180,31,9,41,220,20,0,237,7260,924,176,159,8517,112,32,150,8668,436,18,9124,1265,204,56,63,1585,48,15,59,1649,411,10,2067,29,7,0,8,44,0,0,0,43,0,25,68,8554,1140,234,228,10149,163,48,210,10355,846,56,11259,4210,428,77,28,4741,57,11,65,4808,199,8,5018,5291,778,137,71,6274,71,8,82,6360,293,15,6669
2001,128,4,0,4,129,15,0,142,0,0,0,0,0,0,0,0,0,0,0,0,472,40,10,6,531,6,0,6,540,23,0,564,92,7,3,0,98,0,0,0,104,3,0,106,136,12,0,0,147,3,0,3,150,0,0,154,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,3,6,0,0,0,6,0,0,6,234,17,8,6,259,3,0,3,265,4,0,269,3,3,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,9,10,3,0,0,7,0,0,0,7,0,0,11,243,15,8,6,269,3,0,3,269,7,0,278,55,4,3,3,61,0,0,0,61,11,0,70,0,0,0,0,0,0,0,0,0,0,0,0,292,25,6,5,329,3,0,3,333,16,0,351,151,22,3,4,181,6,0,6,188,4,0,191,177,16,0,0,192,3,0,3,192,3,0,195
2002,49,0,0,0,50,13,0,62,0,0,0,0,0,0,0,0,0,0,0,0,229,24,11,4,266,4,0,6,270,34,0,307,47,3,0,0,53,0,0,0,54,3,0,57,86,4,0,0,92,3,0,3,97,4,0,101,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,128,12,3,3,146,0,0,0,152,9,0,160,5,3,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,4,3,0,0,9,0,0,0,9,0,0,9,133,15,3,3,151,0,0,0,159,9,0,164,18,0,0,0,19,0,0,0,23,12,0,32,0,0,0,0,0,0,0,0,0,0,0,5,156,18,3,3,174,4,0,4,180,13,0,197,59,10,0,0,69,3,0,3,66,3,0,77,110,16,0,0,126,3,0,3,130,3,0,134
2003,377,18,4,26,396,87,4,484,0,0,0,0,0,0,0,0,0,0,3,3,1858,241,26,38,2159,56,9,67,2228,178,4,2408,400,43,4,0,446,3,0,3,454,14,3,471,556,56,6,6,624,9,5,11,643,17,0,658,18,0,0,0,19,3,0,3,19,0,0,23,3,0,0,7,12,0,0,0,12,0,0,13,976,104,15,9,1106,17,8,19,1123,37,3,1163,8,0,0,0,8,3,0,3,8,0,0,10,16,3,0,0,22,0,0,0,22,3,0,21,23,3,0,0,28,3,0,3,28,6,0,34,996,103,15,11,1126,20,8,24,1152,43,3,1201,155,23,3,3,192,10,3,11,199,56,3,263,0,0,0,0,0,0,0,0,0,0,0,3,1151,132,17,19,1317,28,7,34,1356,103,9,1461,553,58,7,3,613,9,5,18,628,33,0,666,732,85,12,0,830,12,3,16,852,44,0,892
2004,416,17,5,24,438,94,0,528,3,0,0,0,6,0,0,0,6,0,3,9,1686,227,39,34,1987,35,19,55,2041,150,4,2194,347,45,3,0,405,7,3,5,406,19,4,431,548,73,10,13,642,13,0,12,654,23,0,681,15,4,3,0,18,0,0,0,18,0,0,24,3,0,0,0,7,0,0,0,10,0,0,8,918,126,19,16,1073,17,3,22,1096,39,3,1140,9,3,0,0,8,3,0,3,14,0,0,14,20,0,0,0,19,0,0,0,20,3,0,27,24,5,0,0,31,3,0,3,33,3,0,34,944,131,19,16,1100,17,3,23,1127,47,3,1180,176,37,3,3,218,3,5,12,229,52,0,282,0,0,0,0,0,0,0,0,0,0,3,5,1117,164,24,19,1320,23,10,36,1360,96,5,1464,485,62,3,6,560,9,4,8,573,25,0,604,714,93,7,3,825,5,3,4,827,36,0,871
2005,34,3,0,3,36,7,0,46,0,0,0,0,0,0,0,0,0,0,3,3,229,28,4,3,268,4,0,4,274,18,3,290,32,4,0,0,39,0,0,3,38,0,0,41,99,7,0,3,105,0,0,0,106,5,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,9,0,3,145,0,4,3,150,5,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,9,0,3,145,3,4,7,155,5,0,154,12,0,0,0,16,0,0,0,17,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,150,10,0,6,167,4,4,9,174,4,3,184,62,7,0,0,75,0,0,0,76,3,0,84,114,7,0,0,117,0,3,3,123,7,0,128
2006,44,0,0,0,47,11,0,60,4,0,0,0,4,0,0,0,4,0,5,9,407,36,3,3,454,8,0,11,461,28,8,491,113,8,3,3,126,0,0,0,126,5,0,131,144,17,3,6,164,3,0,4,170,6,0,171,6,0,0,0,8,0,0,0,8,0,0,8,0,0,0,3,3,0,0,0,3,0,0,3,260,26,4,5,298,3,0,4,302,8,0,317,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,5,0,0,0,5,0,0,5,7,0,0,0,6,0,0,0,6,0,0,10,270,23,4,5,307,3,0,4,312,13,0,321,21,0,0,0,29,0,0,0,29,10,0,35,3,0,0,0,0,0,0,0,0,0,0,4,294,27,4,9,338,3,0,4,337,17,0,362,170,13,5,0,191,0,0,0,188,11,0,197,173,22,0,5,199,4,3,3,200,0,0,208
2007,997,23,10,35,1028,172,3,1201,3,0,0,9,12,0,0,0,12,0,12,22,4789,571,89,94,5548,110,27,141,5685,339,27,6055,897,113,15,5,1032,24,4,31,1060,52,0,1116,1570,157,10,11,1754,18,3,20,1773,63,0,1830,33,3,9,0,47,0,0,0,50,6,0,48,13,8,0,17,33,0,0,0,33,0,0,33,2514,282,33,33,2863,41,12,50,2914,119,3,3038,37,11,0,0,49,3,0,3,51,0,0,57,55,3,0,0,60,3,4,7,61,0,0,65,90,14,0,3,107,12,4,14,120,3,0,118,2608,290,33,30,2969,53,11,62,3031,120,4,3154,478,64,8,14,568,24,6,32,594,116,0,713,8,0,0,0,8,0,0,0,8,0,7,16,3093,358,44,41,3538,72,20,94,3635,242,12,3880,1303,141,17,5,1470,26,0,22,1494,65,6,1561,1982,213,33,24,2254,26,0,26,2280,96,0,2373
2008,111,0,0,0,114,8,0,114,0,0,0,0,0,0,0,0,0,0,3,3,674,56,11,10,754,5,0,6,764,24,3,785,122,12,5,0,137,0,0,0,138,3,0,139,171,15,0,4,192,0,0,0,199,6,0,205,5,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,298,28,3,5,338,3,0,3,339,10,0,356,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,7,0,0,0,7,0,0,7,10,0,0,0,13,0,0,0,13,0,0,13,316,28,3,5,355,3,0,3,354,10,0,363,56,3,0,0,64,0,0,0,60,4,0,67,3,0,0,0,3,0,0,0,3,0,6,4,369,36,9,5,416,0,0,0,421,17,6,439,152,21,5,0,179,5,0,5,180,4,3,189,242,32,3,3,280,3,0,5,282,8,0,296
2009,51,0,0,3,50,9,0,64,0,0,0,0,0,0,0,0,0,0,3,3,321,27,3,8,361,7,3,10,371,17,3,386,56,3,0,0,60,0,0,0,62,0,0,62,102,17,0,5,127,4,0,4,130,0,0,130,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,165,20,0,4,189,5,0,5,191,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,168,20,0,4,193,5,0,5,196,3,0,203,25,4,0,0,24,0,0,0,31,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,186,23,0,4,220,5,0,5,226,5,0,230,95,7,0,0,109,0,0,0,107,4,0,112,134,15,0,0,155,4,0,4,154,0,0,153
