SUA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
2000,104927,1541,1020,1418,651,109555,84823,467,320,449,510,86573,17563,1515,1559,155,116,20906,2565,798,720,3,15,4102,14578,479,492,233,175,15968,429,276,196,0,15,924,3209,121,126,397,95,3954,2214,73,88,40,41,2464,40562,3269,3178,838,463,48311,1796,141,161,54,38,2190,6958,354,324,239,211,8081,239070,5768,5002,2995,1876,254709
2001,1950,139,3,17,4,2115,2972,157,4,3,5,3140,680,229,3,4,0,919,151,30,34,0,0,210,252,46,23,0,0,323,9,62,3,0,0,70,17,3,0,9,0,32,23,6,0,0,0,32,1133,379,58,13,0,1590,47,6,0,0,0,62,144,36,0,0,14,190,6261,715,73,29,17,7099
2002,1947,56,14,10,3,2028,1602,15,3,3,4,1626,710,128,51,0,3,897,192,79,19,0,0,288,272,16,6,3,4,294,60,4,10,0,0,77,23,4,0,3,3,34,24,0,0,0,0,29,1280,234,85,9,13,1620,55,4,0,0,0,55,180,12,3,4,52,253,5058,319,107,24,77,5587
2003,10650,1167,170,28,28,12049,11489,828,74,36,37,12456,5151,2156,601,15,30,7951,923,455,102,0,9,1495,1460,312,94,8,14,1883,138,101,63,0,8,311,113,47,18,6,11,194,119,37,11,0,0,172,7906,3114,886,31,67,12001,189,78,10,3,8,281,761,178,49,7,23,1021,30992,5362,1185,102,168,37811
2004,10617,531,50,67,26,11293,11731,284,58,16,28,12117,5127,1392,208,12,34,6781,871,429,64,0,6,1372,1785,245,38,12,9,2089,186,83,27,0,0,291,120,25,40,34,0,217,133,26,6,3,3,175,8227,2194,389,60,51,10924,174,18,4,0,3,202,802,161,40,16,9,1025,31549,3199,532,159,125,35561
2005,1689,121,0,12,6,1830,1444,28,0,3,3,1478,412,155,0,4,0,574,135,60,19,0,0,218,229,56,0,3,0,286,25,20,0,0,0,46,18,6,0,15,0,47,18,12,0,0,3,25,837,309,20,23,5,1196,16,15,0,0,0,30,132,32,0,3,3,170,4120,501,23,42,10,4697
2006,2524,186,37,51,11,2800,2316,67,11,3,4,2404,829,251,108,4,3,1198,203,137,9,0,0,354,327,43,14,8,3,397,18,11,8,0,0,38,34,11,0,9,0,54,26,13,0,3,0,37,1436,458,139,27,11,2073,37,36,8,3,0,89,205,52,7,4,5,274,6517,802,212,87,29,7646
2007,28676,2181,374,191,77,31501,29727,1595,302,82,61,31761,10803,3686,1154,62,62,15762,1592,859,147,0,0,2606,3875,724,185,35,21,4842,356,258,58,4,3,682,336,80,34,150,16,620,309,75,26,17,6,435,17269,5683,1612,263,108,24938,557,137,22,14,8,745,1892,340,113,24,21,2386,78120,9936,2421,580,279,91328
2008,2247,118,0,13,8,2384,3148,86,0,0,3,3241,400,126,0,0,3,530,22,11,0,0,0,34,178,39,0,0,4,226,3,13,4,0,0,25,22,0,0,7,0,26,26,3,0,0,0,26,654,200,3,8,7,871,25,3,0,0,0,29,141,12,0,3,0,156,6213,418,4,31,16,6682
2009,2088,115,68,4,5,2283,2100,31,23,0,0,2159,770,116,204,0,3,1097,157,76,41,0,3,275,260,18,25,0,4,310,17,24,5,0,0,42,18,12,0,0,3,40,19,13,3,0,0,36,1242,259,280,3,11,1796,29,23,3,0,0,54,148,19,13,0,3,190,5606,446,392,9,26,6481
