SUA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2000,164,2114,7519,7986,10323,9194,3779,1199,495,42777,42,754,4683,5593,6761,5748,1926,456,137,26095,7,308,2994,4601,5678,4626,1208,339,136,19896,10,114,1582,3072,3911,2939,772,194,82,12670,11,83,1635,3646,4700,3534,963,298,86,14957,50,100,622,1728,2528,2227,1056,425,151,8881,5658,3041,6513,7559,9566,10826,10618,6901,3762,64442,39948,30512,62085,76335,98475,108918,91011,44497,17903,569670
2001,3,78,369,294,324,224,82,24,3,1400,0,26,273,275,250,176,40,7,5,1067,0,25,170,222,221,120,25,3,0,795,0,4,102,206,158,100,13,4,0,585,0,7,101,216,213,133,19,3,0,692,6,0,25,63,80,40,16,7,0,232,122,79,150,187,192,167,206,123,80,1313,1342,1208,2530,2787,2802,2377,1903,795,333,16082
2002,8,52,209,155,176,175,74,41,10,902,0,17,104,99,108,112,29,8,4,490,0,7,66,84,97,75,17,4,3,360,0,0,26,37,52,38,17,4,0,179,0,0,30,48,77,44,5,6,6,218,3,3,23,21,39,40,15,5,0,147,136,110,185,153,168,215,242,240,180,1632,838,822,1628,1518,1767,1908,1851,1212,563,12101
2003,12,438,1679,1371,1397,1108,423,121,62,6616,7,146,1161,995,1033,671,185,70,20,4280,0,48,744,918,836,587,119,34,5,3289,0,20,397,591,622,431,75,23,10,2168,0,12,389,684,775,527,108,24,9,2524,8,17,115,386,458,303,107,48,25,1468,633,594,935,859,904,898,959,778,469,7035,6504,7489,12991,12161,12626,11787,9477,5375,2375,80792
2004,13,440,1608,1187,1281,1041,389,143,71,6174,8,182,1111,931,926,668,185,42,21,4070,0,53,688,815,793,567,135,28,15,3086,0,20,371,514,547,361,85,21,11,1931,3,19,386,652,661,420,88,46,14,2282,9,18,111,279,290,235,84,41,11,1067,653,504,950,790,887,947,957,846,712,7258,6023,6970,12416,11241,11552,11405,8880,5240,2515,76243
2005,3,68,205,160,181,152,48,23,17,860,0,22,106,115,102,84,37,5,3,472,0,7,48,60,81,58,11,5,0,276,0,3,24,57,40,51,10,3,3,188,0,0,26,41,47,42,13,3,0,179,0,0,16,24,34,11,10,7,3,101,78,66,117,92,130,157,137,130,65,976,713,745,1432,1315,1515,1606,1318,914,460,10034
2006,0,81,304,280,324,253,106,43,13,1403,0,20,194,171,186,154,41,13,3,785,0,7,101,156,196,116,19,9,0,603,0,4,66,102,141,66,27,3,4,413,0,0,66,131,116,72,18,3,3,416,0,0,19,58,65,59,19,17,7,254,141,89,182,161,192,238,325,305,189,1810,1223,937,2176,2219,2565,2726,2713,1601,622,16773
2007,27,1006,4115,3487,3400,2824,1165,367,178,16576,14,348,3118,2706,2441,1780,563,136,63,11173,14,151,2160,2436,2296,1565,401,105,38,9164,4,61,1131,1802,1714,1137,256,61,31,6189,7,26,1171,2484,2313,1493,360,97,43,7993,14,43,365,1201,1353,849,322,128,50,4327,1398,1273,2430,2330,2411,2277,2391,1908,1440,17855,15347,16188,31402,31719,32028,30243,24339,13708,6564,201556
2008,0,71,239,289,312,230,136,38,3,1325,3,26,193,228,237,164,74,17,5,947,0,16,180,241,273,207,61,9,4,979,0,5,83,213,191,122,25,8,0,648,0,0,124,352,380,216,51,14,7,1139,0,3,39,215,273,144,31,4,0,716,111,56,110,189,196,168,179,99,72,1181,1334,961,1783,2826,3138,2608,2060,762,305,15775
2009,0,90,273,207,247,209,65,18,11,1125,0,20,186,145,153,116,45,12,4,685,0,8,85,112,111,94,25,15,5,457,0,0,49,62,85,81,13,8,3,310,0,0,54,83,104,64,20,12,7,341,3,3,21,41,41,54,8,12,3,183,86,60,147,122,134,165,167,144,87,1108,961,980,2010,1788,1983,2110,1665,1144,543,13188
2010,747,19588,95296,63854,58254,42313,16512,5183,2216,303963,218,7256,69078,51035,43174,28929,9591,2543,1094,212909,178,2831,50220,47946,39890,25572,7340,1964,871,176808,83,1153,28423,36049,29741,18490,4843,1294,570,120648,147,1023,36479,59882,47147,26845,7247,1971,857,181604,240,780,11341,38731,39050,21215,7496,2416,1109,122379,21195,24464,55092,42654,39128,33169,29947,24088,17905,287635,258561,324024,710699,617372,564806,456448,329185,189963,86899,3537956
2011,14,263,1342,1049,807,608,139,25,6,4255,3,110,799,814,552,378,77,9,0,2739,0,41,470,507,406,272,53,3,3,1768,0,9,247,366,282,164,22,3,0,1098,0,14,252,383,282,185,36,4,3,1167,7,11,74,95,106,59,22,4,0,378,387,378,843,685,585,582,460,241,72,4227,3700,3965,9565,8557,7016,6479,4430,1541,541,45789
2012,3,150,713,579,696,553,203,67,35,2996,5,79,396,481,425,329,113,26,5,1862,0,26,270,360,411,275,56,17,3,1422,0,10,113,240,254,191,33,13,3,866,0,3,102,247,272,184,40,9,4,856,8,8,56,121,109,115,51,21,4,503,450,340,675,536,619,716,687,473,218,4714,3271,2975,6132,5758,6536,6454,5239,3002,1275,40649
2013,7,70,174,166,146,147,52,31,12,797,0,26,113,99,121,92,27,3,6,480,3,14,82,79,111,88,21,0,0,399,0,6,48,57,80,59,14,3,4,267,0,13,55,100,118,101,17,3,0,407,3,3,30,26,70,57,13,4,3,212,140,116,166,145,204,236,243,201,161,1615,990,1104,1882,1754,2145,2350,1906,1141,537,13818
2014,4,39,111,111,153,124,39,11,6,596,0,20,78,87,106,78,20,3,0,392,0,12,61,64,103,83,16,6,0,334,0,3,32,59,76,71,6,0,0,257,0,4,37,91,137,73,5,3,0,350,0,3,10,22,28,31,13,9,4,110,78,68,96,111,138,164,150,128,64,1003,678,572,1034,1249,1542,1667,1209,704,333,8988
2015,0,59,210,148,165,176,77,26,14,879,0,23,161,143,126,106,35,8,4,610,0,21,116,108,123,72,25,6,5,478,0,3,69,89,75,72,14,0,0,325,0,3,111,142,134,86,24,3,6,497,0,3,46,91,128,62,10,3,3,346,88,76,159,146,166,188,146,147,90,1194,901,808,1845,1743,1906,1860,1439,885,448,11842
2016,12,212,766,679,713,586,207,75,32,3272,3,74,547,433,462,314,85,25,6,1948,0,27,294,359,381,280,56,10,7,1423,0,9,145,206,243,190,36,16,3,837,3,9,131,263,289,208,58,14,12,981,7,12,64,105,152,122,40,24,5,528,376,276,629,571,640,610,641,459,264,4475,3374,2934,6431,6027,6404,5844,4677,2751,1210,39647
2017,4,69,186,139,161,124,26,20,11,733,0,19,131,73,107,60,15,14,4,419,0,3,77,61,82,75,12,3,3,316,0,0,28,47,33,34,3,7,0,142,0,0,27,57,57,36,9,3,0,190,0,0,17,22,19,22,7,3,3,101,122,85,147,145,143,158,169,141,68,1168,702,676,1414,1257,1320,1255,1049,792,385,8849
2018,4,189,682,420,484,371,138,44,13,2361,0,70,458,366,336,227,69,21,0,1551,0,43,284,325,286,259,37,18,3,1254,0,18,187,252,259,198,35,9,7,961,0,21,229,309,394,319,57,9,3,1344,4,10,108,127,231,142,31,6,8,668,305,275,523,405,516,564,499,428,232,3738,2348,2615,5390,4712,5228,5166,4014,2473,1068,33011
2019,4,60,256,250,269,242,87,28,23,1226,0,16,172,161,192,131,32,11,3,726,0,8,99,138,140,101,22,9,3,530,0,3,37,73,95,80,18,8,0,319,0,3,47,74,113,70,18,5,0,324,0,3,17,35,47,35,22,8,7,173,133,77,143,160,165,211,238,264,300,1691,1094,959,1977,2132,2366,2415,2110,1446,856,15346
2020,5,138,519,419,485,408,165,62,17,2222,0,54,380,308,325,245,87,17,4,1431,0,22,240,232,290,229,53,11,0,1069,0,8,141,149,229,164,41,10,3,749,0,3,115,214,299,187,40,16,7,883,0,5,38,90,145,116,47,16,6,474,196,155,295,323,391,365,418,301,175,2614,2197,1898,4050,3874,4605,4471,4033,2198,835,28164
2021,3,147,570,449,571,417,160,42,22,2370,3,56,332,322,324,263,72,17,10,1389,4,15,184,260,300,218,63,11,4,1057,0,7,111,178,222,145,31,6,3,702,0,5,101,214,233,151,42,14,4,779,9,3,39,106,139,100,40,18,7,455,236,183,302,297,377,392,395,318,223,2725,2263,2240,4110,3977,4521,4307,3436,2009,978,27830
