SUA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
2000,83018,163754,1309,7184,7466,34818,1900,8485,36072,144730,46743,195217,3364,13768,5870,18946,13616,42119,22854,74832,69594,270052,302,1333,1778,6358,778,2733,9404,25537,12261,35960,867,2684,2448,5232,8632,18054,11944,25971,24208,61925,1901,3941,178719,499668
2001,1889,3790,42,234,252,1173,79,376,1362,5418,1738,7208,141,602,221,765,493,1604,862,2972,2597,10184,10,39,71,261,33,114,368,1046,477,1458,40,139,87,198,333,719,463,1048,934,2510,57,111,5478,16596
2002,1661,3275,12,78,137,649,31,142,752,2931,936,3792,57,236,93,306,239,734,389,1283,1328,5074,10,42,67,217,22,83,272,759,366,1098,35,111,62,136,221,465,318,711,685,1814,53,106,3729,10267
2003,9599,18987,138,800,1082,5021,219,999,5864,23021,7307,29849,500,2083,839,2725,1614,5068,2951,9880,10255,39730,60,279,344,1245,189,655,1999,5399,2590,7578,210,669,499,1103,1477,3131,2186,4901,4775,12481,395,818,25022,72010
2004,9344,18515,169,934,964,4543,234,1081,5435,21432,6805,28000,420,1725,796,2641,1597,4983,2816,9344,9617,37342,58,292,387,1393,161,554,1975,5307,2582,7536,205,627,463,1005,1450,3061,2115,4697,4696,12235,423,871,24078,68963
2005,1221,2433,24,112,124,602,35,149,630,2582,814,3438,51,206,85,269,236,723,366,1196,1180,4637,14,68,36,123,18,59,233,655,302,908,23,69,46,89,181,387,248,542,547,1452,56,119,3008,8637
2006,2460,4870,32,179,226,1052,60,262,1110,4420,1426,5907,94,361,164,556,336,1030,598,1951,2024,7865,17,47,55,211,24,89,339,898,431,1248,34,94,75,154,251,545,359,789,793,2039,49,96,5327,14867
2007,24812,49080,367,2039,2667,12256,523,2400,15476,60252,19036,76944,1489,6121,2513,8493,4745,14763,8744,29378,27779,106319,142,645,811,2879,327,1149,4042,10771,5319,15443,500,1580,1223,2682,3737,7955,5456,12223,10773,27669,898,1867,64269,184937
2008,2029,3995,49,267,320,1454,52,244,1574,6354,2000,8318,152,614,292,992,483,1513,925,3125,2924,11446,12,63,57,180,12,43,170,468,251,760,48,143,70,162,206,419,321,725,570,1482,31,61,5550,16981
2009,1830,3610,28,151,144,648,43,170,949,3752,1157,4721,77,326,126,379,266,817,472,1523,1629,6249,4,30,53,187,21,72,345,927,419,1216,18,54,62,143,211,440,295,635,715,1850,69,136,4246,11841
