SUA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2000,0,9,17,97,93,59,21,9,0,301,57,242,182,944,362,294,124,24,6,2229,0,3,9,90,33,91,110,47,48,425,6,25,35,229,337,676,922,404,128,2765,3,19,35,75,57,50,9,4,0,248,4,60,113,369,260,206,171,58,9,1247,0,0,0,11,71,96,117,76,17,389,4,12,20,177,66,75,74,22,8,455,3,9,96,423,15,7,0,0,0,553,28,85,98,303,112,52,10,0,0,691,0,0,3,17,40,50,52,21,0,180,0,3,5,62,59,31,36,6,0,208,25,88,78,323,232,294,297,55,7,1401,4,27,67,315,127,89,22,3,3,663,3,5,10,66,89,127,146,68,20,523,0,11,13,56,57,49,28,5,0,223,35,207,291,1272,849,967,1086,660,240,5603,2214,5248,5085,12292,9788,11213,9828,5359,2462,63497,35696,83708,70453,138420,98475,108918,91011,44497,17903,689078
2001,0,0,0,0,3,0,0,0,0,5,0,3,4,25,10,5,3,0,0,48,0,0,0,8,0,4,3,0,0,21,0,0,7,19,15,29,39,13,4,132,0,3,3,8,3,0,0,0,0,15,0,11,8,25,8,10,11,0,0,72,0,0,0,0,5,16,3,3,3,27,3,3,0,7,0,3,7,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,3,0,0,0,16,0,0,0,0,7,3,3,6,0,12,0,0,0,0,3,0,0,0,0,0,0,4,4,6,7,10,3,0,0,43,0,0,3,18,6,4,3,0,0,36,0,0,0,7,9,0,9,4,3,29,0,0,9,11,3,0,0,0,0,21,3,7,9,63,51,47,30,22,8,240,50,117,112,320,179,173,174,98,40,1265,1407,2857,2551,5316,2802,2377,1903,795,333,20345
2002,0,0,0,0,0,0,0,0,0,4,3,5,8,36,8,12,6,3,3,88,0,0,0,5,0,4,5,0,4,19,0,0,0,6,3,8,13,21,3,60,0,0,0,3,0,0,0,0,0,3,0,5,6,11,8,5,3,0,0,31,0,0,0,0,0,0,3,0,0,3,0,0,0,13,0,3,0,0,0,14,0,0,3,14,0,0,0,0,0,17,0,0,3,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,5,3,0,18,0,0,4,19,11,6,4,0,0,41,0,3,0,3,6,0,3,0,0,12,0,0,5,3,3,0,0,0,0,11,0,5,3,20,16,14,21,20,8,113,79,125,179,344,193,209,222,184,113,1635,903,1717,1653,3146,1767,1908,1851,1212,563,14728
2003,0,0,3,14,18,0,0,0,0,39,7,52,44,188,55,47,14,3,0,412,0,3,0,10,8,3,10,10,9,49,0,5,8,38,54,66,100,58,14,354,0,12,4,19,16,10,0,0,0,52,0,12,28,76,35,26,13,11,0,206,0,0,0,4,6,6,9,14,3,44,0,12,6,64,18,8,5,3,3,122,0,0,3,35,3,0,0,0,0,44,0,12,17,50,14,7,4,0,0,111,0,0,0,0,4,0,0,0,0,7,0,0,0,4,3,3,0,0,0,17,0,24,25,69,35,37,33,0,0,230,3,4,10,51,14,8,0,0,0,95,0,3,0,7,8,13,17,16,7,69,0,0,11,14,9,3,3,0,0,45,14,74,119,266,117,94,63,85,35,876,352,564,836,1631,939,851,868,551,233,6831,6519,12573,13998,25146,12626,11787,9477,5375,2375,99885
2004,0,0,0,25,10,0,0,0,0,45,3,33,36,160,63,39,21,9,0,354,0,0,0,3,0,3,3,6,8,18,0,0,4,28,32,58,61,50,16,253,0,0,5,17,3,7,10,3,0,50,0,13,41,68,32,18,22,0,3,198,0,0,0,0,3,0,9,5,0,17,0,19,15,64,24,21,12,8,5,174,0,3,6,35,3,3,0,0,0,46,22,151,137,76,15,4,0,0,0,403,0,0,0,0,0,0,4,0,0,10,0,0,3,3,3,0,0,0,0,8,0,20,17,37,17,23,25,0,3,144,0,11,8,42,7,3,0,0,0,74,0,4,4,7,3,11,7,6,0,39,0,3,8,15,4,0,7,0,0,36,9,36,78,155,63,67,65,40,18,525,336,640,769,1648,913,922,796,581,316,6922,6170,11968,12990,23662,11552,11405,8880,5240,2515,94378
2005,0,0,0,0,0,0,0,0,0,0,0,10,7,21,4,3,4,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,9,6,33,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,3,12,0,0,0,0,0,17,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,3,0,14,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,10,0,4,7,54,21,8,8,4,4,113,32,54,98,183,117,135,139,113,45,918,744,1470,1463,2753,1515,1606,1318,914,460,12250
2006,0,0,0,0,6,0,0,0,0,9,0,14,11,43,13,11,0,3,0,96,0,0,0,0,0,0,0,0,3,6,0,0,0,3,9,12,29,12,6,71,0,0,0,4,0,0,0,0,0,6,3,7,4,12,5,6,3,4,0,47,0,0,0,0,0,0,0,0,0,3,0,3,3,22,0,0,4,0,0,33,0,0,0,3,0,0,0,0,0,4,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,4,14,3,4,0,0,0,30,0,0,0,10,0,0,0,0,0,10,0,0,0,3,0,3,5,3,0,14,0,0,0,0,0,0,0,0,0,5,0,8,0,18,13,12,15,15,7,86,78,131,134,351,195,259,289,173,78,1689,1157,2497,2157,4388,2565,2726,2713,1601,622,20424
2007,0,4,3,45,33,14,3,4,0,113,15,100,196,458,251,161,85,14,9,1283,0,0,3,81,39,82,78,70,77,430,4,34,34,163,210,331,357,255,68,1449,0,28,46,62,54,41,29,0,0,261,8,48,72,263,149,96,65,35,14,748,0,0,0,27,78,112,131,105,24,480,3,25,63,182,42,42,31,9,8,406,4,6,14,35,12,4,4,0,0,73,12,173,128,166,48,14,6,3,0,556,0,3,9,63,104,187,161,110,21,650,0,6,10,38,43,17,18,16,0,152,21,90,66,249,110,79,85,11,6,718,3,12,72,244,107,62,20,3,3,526,0,12,5,61,55,49,72,32,12,299,0,12,7,83,21,11,5,3,0,155,56,216,341,993,438,541,549,474,247,3849,718,1372,1714,3716,2252,2188,1961,1377,752,16052,15507,30400,31540,63120,32028,30243,24339,13708,6564,247459
2008,0,0,0,0,3,0,0,0,0,5,0,3,6,9,3,4,0,0,0,24,0,0,0,3,4,3,0,4,3,19,0,3,3,11,29,27,43,14,7,134,0,3,7,6,10,0,3,0,0,18,0,3,5,25,19,9,4,5,0,76,0,0,0,0,0,0,4,3,0,11,0,0,0,6,3,4,8,0,0,24,0,5,0,0,0,0,0,0,0,4,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,8,0,0,11,0,0,0,3,3,0,0,0,0,3,0,9,12,10,20,11,11,5,0,77,0,0,0,7,6,0,0,0,0,17,0,0,0,7,6,10,3,3,3,40,0,0,0,0,6,3,0,0,0,11,0,10,6,48,36,32,36,17,7,197,64,115,81,283,191,173,160,88,63,1216,1332,3103,2292,4602,3138,2608,2060,762,305,20218
2009,0,0,0,3,3,4,0,3,0,13,3,16,12,42,8,9,0,0,0,94,0,0,0,0,0,0,3,0,0,12,0,0,0,3,7,10,13,7,4,42,0,0,0,0,0,0,0,0,0,3,0,3,4,10,0,3,0,0,0,27,0,0,0,0,0,0,0,5,0,5,0,3,3,7,3,0,0,0,0,21,0,0,0,5,0,0,0,0,0,8,0,9,8,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,9,3,7,3,0,0,0,0,20,0,0,3,15,4,0,0,3,0,21,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,5,4,0,0,0,0,11,3,7,9,21,13,10,7,9,4,76,38,77,99,248,131,160,140,92,46,1034,1035,2035,1937,3797,1983,2110,1665,1144,543,16250
