SUA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
2000,8117,11404,23238,28666,36457,34173,11677,2410,462,156613,298,517,1305,1876,2561,2890,2013,573,64,12106,4,15,63,67,65,50,3,0,0,275,580,521,943,1289,1701,1235,250,15,7,6544,6,38,148,221,201,116,11,4,0,738,51,124,490,727,792,502,113,13,0,2817,63,130,306,378,552,334,83,6,0,1853,2570,1557,2128,2628,3781,2740,553,40,12,16006,2613,1577,1661,1754,2189,1677,392,35,15,11916,44,127,353,544,804,672,172,15,6,2742,60,80,163,248,241,207,56,3,4,1061,30,179,521,636,745,403,74,11,0,2605,51,142,325,345,399,276,90,13,3,1647,109,332,1110,1488,1592,1121,341,18,10,6123,75,214,618,876,1245,1041,261,26,3,4362,56,261,1232,1941,2459,1744,320,17,8,8040,237,719,2559,3818,4943,3999,636,32,19,16969,380,1704,4567,5761,8886,8209,1321,58,26,30912,177,245,361,485,535,366,120,5,3,2301,210,500,856,850,972,703,182,20,8,4301
2001,257,452,1021,1103,1114,760,178,17,3,4917,3,8,9,10,19,7,6,0,0,59,0,0,0,0,10,0,3,0,0,10,16,7,19,45,31,30,3,0,0,161,0,0,3,7,0,0,0,0,0,12,6,13,23,28,36,12,3,0,0,121,0,10,11,25,23,4,0,0,0,82,101,75,98,106,119,68,8,0,0,584,115,59,39,30,23,26,3,0,0,295,3,19,38,48,52,41,0,0,0,199,0,3,5,9,10,0,0,0,0,28,3,9,35,38,27,14,0,0,0,131,0,3,18,13,18,5,3,0,0,61,12,9,53,75,45,34,9,0,0,239,3,17,30,30,40,19,4,3,0,143,0,11,69,112,89,73,11,0,0,369,19,50,150,156,186,105,20,3,0,686,8,54,181,187,229,173,22,0,0,851,3,12,10,13,8,3,0,0,0,63,7,30,36,24,25,15,8,0,0,155
2002,161,261,617,539,559,547,166,27,4,2888,0,3,13,6,11,10,11,5,0,59,0,0,0,0,0,0,0,0,0,0,7,12,38,31,35,46,5,0,0,183,0,3,7,3,0,3,0,0,0,17,0,0,9,8,22,18,3,0,0,56,3,4,12,11,9,6,0,0,0,42,72,50,65,66,81,62,5,0,0,401,62,29,39,40,39,30,3,3,0,242,0,3,3,5,14,12,0,0,0,41,3,5,3,0,7,6,0,0,0,23,0,5,13,10,19,4,0,0,0,49,0,4,6,7,7,6,0,0,0,34,0,6,21,20,30,21,11,0,0,109,4,4,17,32,26,17,3,0,0,106,0,13,30,40,37,21,5,0,0,153,11,25,65,70,108,83,12,3,0,375,11,61,131,142,199,175,31,3,0,743,3,3,3,6,6,3,0,0,0,33,3,18,20,22,24,18,3,0,0,108
2003,1219,2353,4959,4606,4593,3481,885,118,14,22234,6,15,18,23,25,22,13,5,0,130,0,0,7,15,14,4,0,0,0,44,72,75,163,205,206,132,25,0,0,879,0,0,18,28,29,15,0,0,0,92,6,27,77,106,108,73,5,0,0,401,11,23,35,47,48,29,8,3,0,197,447,531,528,430,494,319,65,0,3,2811,591,456,303,250,231,145,30,0,3,2001,3,25,59,58,81,71,20,0,0,327,20,42,101,72,62,31,5,0,0,336,0,45,96,100,101,57,10,4,0,406,7,43,53,53,63,30,9,0,0,252,18,119,287,273,214,121,28,3,0,1064,11,43,111,123,154,113,17,7,0,584,16,66,295,357,338,232,35,7,0,1347,49,217,676,789,861,610,100,0,0,3298,52,491,1312,1254,1370,1124,155,9,4,5762,48,76,96,76,78,47,18,0,0,434,32,99,172,144,151,105,14,0,0,716
2004,1170,2341,4784,4260,4207,3394,819,108,14,21093,5,11,30,44,36,38,16,3,0,185,0,7,18,16,20,7,3,0,0,68,90,162,202,167,221,146,30,0,0,1013,0,4,35,37,39,17,0,0,0,139,4,28,89,101,88,56,7,0,0,389,8,23,33,27,38,32,4,0,0,179,437,541,491,399,475,348,66,7,0,2771,539,405,282,198,174,125,18,3,0,1742,8,14,31,43,85,58,14,0,0,249,7,30,60,39,32,23,11,0,0,196,0,70,253,274,208,112,7,0,0,928,9,21,66,40,46,36,13,0,0,224,23,72,206,220,166,109,24,0,0,818,11,52,132,133,161,136,23,4,4,654,9,47,253,319,290,231,37,3,0,1188,42,192,569,639,685,471,66,0,3,2659,76,481,1264,1108,1311,1171,158,5,3,5579,40,55,48,50,50,37,8,0,0,296,40,102,187,127,137,94,29,0,0,717
2005,193,300,588,541,528,493,124,19,7,2797,0,3,6,4,4,9,4,5,0,46,0,0,0,0,0,0,0,0,0,0,25,52,61,40,47,25,4,0,0,248,0,0,3,0,0,3,0,0,0,6,3,3,3,8,3,9,0,0,0,34,4,3,3,3,8,3,0,0,0,21,58,39,59,65,65,70,7,0,0,362,67,39,37,32,40,18,0,0,0,227,0,7,11,8,12,9,3,0,0,42,3,3,14,9,10,4,3,0,0,40,3,0,13,10,12,7,0,0,0,35,0,3,8,7,8,0,3,0,0,30,0,3,24,14,20,17,0,0,0,85,0,4,12,28,26,9,7,3,0,81,0,4,27,39,53,39,3,0,0,170,3,15,46,50,70,67,12,0,0,267,3,43,109,111,173,142,29,3,0,610,0,7,4,5,0,3,3,0,0,30,4,6,16,20,10,9,5,0,0,76
2006,321,348,823,855,985,854,239,38,4,4468,3,3,15,7,13,14,8,3,0,68,0,0,3,0,0,0,0,0,0,3,22,24,39,43,62,35,0,0,0,228,0,0,4,7,3,0,0,0,0,17,0,4,16,15,31,19,3,0,0,88,0,4,10,7,19,7,3,0,0,54,105,58,112,125,129,98,16,0,0,635,103,76,116,90,132,84,12,0,0,617,0,0,4,16,23,15,8,0,0,74,10,0,6,3,3,3,0,0,0,30,0,3,22,20,27,15,0,0,0,91,5,5,6,12,16,9,0,0,0,52,3,9,43,33,42,20,4,0,0,150,0,8,19,36,37,23,8,0,0,132,0,0,37,50,53,42,13,0,0,199,18,15,110,138,123,90,10,0,0,512,10,58,199,217,254,252,43,0,0,1037,17,20,14,22,10,14,7,0,0,96,9,24,44,30,36,22,6,3,0,175
2007,2891,5508,12132,12582,12037,9207,2275,297,36,56970,17,23,47,75,84,74,44,8,3,382,0,6,8,8,6,5,0,0,0,39,183,185,328,382,429,299,43,3,0,1847,4,45,118,110,76,34,0,0,0,389,14,53,208,310,289,163,33,9,0,1079,28,86,159,198,165,124,21,0,0,775,1024,1288,1548,1282,1359,922,137,9,3,7569,1448,1026,722,549,525,348,85,3,3,4713,19,76,148,169,246,153,28,4,0,839,40,63,122,134,104,57,16,0,0,543,7,107,528,498,429,173,31,0,3,1774,14,99,203,176,160,119,28,5,0,797,35,192,646,800,648,390,92,9,0,2810,25,107,310,440,508,316,92,6,0,1802,24,137,701,916,944,608,97,7,0,3436,95,399,1607,1849,1982,1454,205,7,0,7607,137,985,2923,2905,3448,2700,435,15,0,13553,103,121,154,169,152,105,38,0,0,860,77,252,470,406,374,245,65,7,0,1900
2008,271,369,716,1178,1336,940,294,25,0,5145,0,4,8,15,13,7,3,0,0,51,0,0,0,0,3,0,0,0,0,3,14,18,27,51,62,22,9,0,0,195,0,0,10,4,12,3,0,0,0,34,3,7,23,38,45,21,3,0,0,138,3,7,15,23,15,6,3,0,0,67,88,61,51,71,97,78,15,0,0,458,86,58,24,38,31,14,3,0,0,251,3,14,26,42,64,23,3,0,0,192,0,9,4,15,10,9,4,0,0,56,3,16,39,72,65,21,6,0,0,219,5,0,13,22,13,15,3,0,0,64,3,16,51,99,87,42,15,0,0,321,0,17,19,44,48,28,8,0,0,172,3,15,72,82,123,70,10,0,0,377,10,28,125,184,242,171,27,0,0,797,14,56,149,212,264,168,35,0,0,892,12,10,13,18,18,9,5,0,0,96,8,14,34,36,42,25,5,0,0,163
2009,243,353,800,686,750,667,197,47,3,3756,0,3,7,8,9,16,17,4,3,62,0,0,0,0,0,0,0,0,0,3,10,6,12,19,14,6,6,0,0,75,0,3,16,14,10,0,0,0,0,44,0,7,9,8,18,13,4,0,0,66,3,3,4,9,13,9,0,0,0,44,76,59,76,90,120,96,8,0,0,525,96,43,54,24,50,37,6,0,0,324,0,3,8,10,9,9,3,0,0,43,3,11,13,6,7,3,0,0,0,39,0,16,20,32,13,10,0,0,0,94,0,8,4,9,7,3,0,0,0,34,0,13,36,35,41,23,5,0,0,155,0,11,24,36,33,29,3,0,0,140,4,12,44,48,53,39,6,0,0,203,4,30,100,88,110,88,16,0,0,426,26,92,231,185,221,237,27,0,0,1021,6,5,11,17,10,9,3,0,0,59,10,23,33,25,28,22,4,0,0,149
