SUA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
2000,3,87,..,101,18,121,0,124,..,229,6,240,5,241,..,31,3,36,0,36,..,198,17,219,3,223,..,119,21,140,0,138,..,31,0,30,0,30,..,105,11,119,0,124,..,431,19,452,10,460,..,127,8,135,3,138,..,442,13,455,11,468,..,138,3,144,0,144,..,1139,43,1183,23,1207,..,376,37,415,6,416,..,79,4,85,3,86,..,304,60,371,4,376,..,94,35,130,0,130,..,183,139,321,5,332,..,1984,399,2381,62,2439,..,11782,1865,13654,239,13889,..,835,48,882,25613,26495,303213,12620,1917,14532,25854,343603,605332,..,..,..,..,605332,..,334,0,330,4,337,..,481,111,590,12,607,..,113,9,121,3,126,..,368,151,511,4,517,..,1216,690,1905,28,1937,..,146,71,215,0,215,..,1724,910,2635,33,2668,..,455,47,504,4,506,..,1081,23,1106,19,1124,..,758,28,788,15,805,..,1791,48,1841,20,1868
2001,0,0,..,7,0,9,0,9,..,51,0,55,0,55,..,0,0,0,0,0,..,15,3,17,0,17,..,7,0,7,0,7,..,5,0,10,0,10,..,16,0,16,0,16,..,11,0,11,0,11,..,0,0,3,0,3,..,10,0,15,0,15,..,4,0,4,0,4,..,30,3,32,0,32,..,26,4,25,0,25,..,3,0,3,0,3,..,14,0,14,0,14,..,3,0,3,0,3,..,13,0,16,0,20,..,103,9,118,3,120,..,579,64,641,9,651,..,19,0,19,540,566,9190,599,64,659,551,10407,17941,..,..,..,..,17941,..,25,0,25,0,25,..,34,3,33,3,38,..,0,0,0,0,0,..,13,0,8,0,8,..,26,12,32,0,36,..,0,0,0,0,0,..,38,12,50,0,47,..,44,8,55,0,53,..,46,0,46,0,46,..,24,0,25,0,25,..,62,0,60,0,60
2002,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,3,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,22,0,25,0,25,..,0,0,0,0,0,..,21,0,21,0,21,..,0,0,0,0,0,..,49,0,47,0,47,..,3,0,3,0,3,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,15,18,34,0,34,..,31,5,38,0,38,..,278,52,334,6,338,..,28,0,29,751,786,6697,306,53,363,764,7819,12682,..,..,..,..,12682,..,15,0,15,0,15,..,8,0,8,0,8,..,0,0,0,0,0,..,11,4,15,0,15,..,32,25,54,0,60,..,9,3,9,0,9,..,52,29,82,0,77,..,4,0,4,0,4,..,9,0,9,0,10,..,13,0,13,0,13,..,43,0,43,3,45
2003,0,26,..,8,0,8,0,8,..,30,0,30,0,33,..,24,4,28,0,28,..,26,4,29,0,29,..,28,4,37,0,37,..,3,0,3,0,3,..,17,0,17,0,19,..,84,3,83,0,83,..,29,0,29,0,29,..,91,3,93,0,93,..,25,0,26,0,24,..,221,5,232,0,229,..,49,3,51,0,52,..,31,4,35,0,35,..,47,8,56,0,60,..,11,3,9,0,9,..,48,9,58,0,56,..,458,70,527,19,545,..,2421,348,2772,40,2805,..,149,10,157,2995,3153,45984,2569,356,2928,3032,51943,88346,..,..,..,..,88346,..,56,3,61,0,61,..,142,7,155,0,155,..,18,0,19,0,20,..,130,36,167,0,165,..,655,191,846,5,854,..,55,20,76,0,76,..,840,245,1085,4,1090,..,102,17,118,0,115,..,158,5,159,4,163,..,113,5,120,0,118,..,159,5,168,0,168
2004,0,27,..,5,0,5,0,5,..,9,0,9,0,9,..,15,0,18,0,18,..,10,0,10,0,10,..,28,0,27,0,27,..,3,0,3,0,3,..,8,0,8,0,8,..,77,0,80,0,80,..,53,0,53,0,53,..,89,0,89,0,89,..,17,0,17,0,20,..,238,0,236,3,243,..,25,8,36,0,36,..,38,3,36,0,36,..,29,0,29,3,35,..,8,0,12,0,12,..,34,10,47,0,45,..,526,342,866,26,890,..,1913,535,2446,43,2489,..,139,3,146,3125,3268,43153,2053,544,2592,3165,48916,83258,..,..,..,..,83258,..,60,3,63,0,63,..,134,12,148,0,148,..,10,0,10,0,10,..,92,20,115,0,111,..,313,134,452,4,452,..,23,3,24,0,24,..,435,161,590,4,597,..,23,0,27,0,27,..,46,4,43,3,49,..,74,3,78,0,78,..,93,0,98,0,97
2005,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,3,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,3,0,3,..,13,0,13,0,13,..,3,0,3,0,3,..,10,0,6,0,6,..,0,0,3,0,3,..,27,3,30,0,30,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,7,0,7,..,51,11,59,4,70,..,190,51,241,8,248,..,14,0,11,391,401,5604,204,53,257,397,6258,10892,..,..,..,..,10892,..,3,0,3,0,3,..,49,9,60,0,60,..,0,0,0,0,0,..,11,3,14,0,14,..,30,32,59,0,60,..,0,0,0,0,0,..,44,32,77,0,83,..,3,0,3,0,3,..,12,0,12,0,12,..,3,0,3,0,3,..,12,0,12,0,12
2006,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,18,0,18,..,3,0,3,0,3,..,23,0,23,0,23,..,0,0,0,0,0,..,48,0,48,0,48,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,48,6,57,3,64,..,260,23,286,7,292,..,39,0,41,722,762,9554,298,28,323,729,10611,18418,..,..,..,..,18418,..,14,0,14,0,14,..,13,0,13,0,13,..,10,0,10,0,10,..,7,0,7,0,7,..,31,4,34,0,34,..,3,0,3,0,3,..,46,4,47,0,47,..,4,0,4,0,4,..,8,0,8,0,8,..,17,3,24,0,24,..,28,0,28,0,28
2007,0,90,..,417,121,544,10,551,..,79,8,89,0,89,..,171,43,214,0,212,..,254,43,301,3,303,..,113,37,147,0,147,..,20,0,20,0,20,..,308,100,405,5,405,..,256,7,260,0,260,..,144,3,147,0,147,..,317,10,321,3,330,..,83,3,84,0,85,..,794,22,819,5,825,..,290,55,352,3,355,..,69,5,72,0,72,..,156,41,194,0,195,..,126,26,151,0,153,..,233,118,351,3,348,..,1850,646,2504,49,2553,..,10660,2180,12835,176,13009,..,337,27,360,6837,7205,107167,10991,2201,13198,7011,127382,207214,..,..,..,..,207214,..,178,0,179,3,183,..,545,124,664,10,676,..,27,0,27,0,27,..,372,69,442,0,447,..,1414,373,1790,22,1806,..,100,43,135,0,135,..,1875,490,2365,23,2387,..,1738,343,2082,16,2104,..,512,10,524,11,536,..,402,21,420,3,421,..,896,22,920,18,934
2008,0,3,..,8,0,7,0,7,..,31,0,31,0,31,..,3,0,3,0,3,..,15,3,17,0,17,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,15,0,15,0,15,..,18,5,26,0,26,..,0,0,0,0,0,..,6,0,8,0,8,..,4,0,4,0,4,..,10,0,7,0,7,..,46,11,55,4,61,..,416,55,465,7,470,..,22,0,29,510,535,9195,442,53,493,513,10202,18247,..,..,..,..,18247,..,30,0,34,0,34,..,11,0,11,0,15,..,3,0,3,0,3,..,8,3,14,0,14,..,34,23,57,0,63,..,4,0,6,0,6,..,50,29,78,0,78,..,32,4,36,0,36,..,22,0,22,0,22,..,35,0,33,0,33,..,70,0,70,0,71
2009,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,18,0,18,..,0,0,0,0,0,..,18,0,18,0,18,..,10,0,10,0,10,..,50,0,46,0,46,..,9,0,8,0,8,..,5,0,5,0,5,..,4,0,5,0,5,..,7,3,14,0,14,..,4,0,4,0,4,..,72,21,95,3,100,..,321,48,367,7,376,..,12,4,22,434,450,7625,338,50,386,438,8448,14672,..,..,..,..,14672,..,6,0,6,0,6,..,15,0,15,0,15,..,4,0,4,0,4,..,20,3,22,0,22,..,42,6,47,0,46,..,0,0,0,0,0,..,63,8,69,0,68,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,9,..,20,0,19,0,19
